LEASE_NUMBER,MMS_COMPANY_NUM,BUS_ASC_NAME,ASGN_STATUS_CODE,OWNER_ALIQUOT_CD,SN_LSE_OWNER,ASSGN_APRV_DATE,MMS_STRT_DATE,ASSGN_TERM_DATE,OWNER_GROUP_CODE,ASSIGNMENT_PCT,ASSGN_EFF_DATE,LEASE_NUM
G36990,2805,Repsol E&P USA LLC,C,1,308330,4/29/2024,10/18/2022,,,50.0,8/15/2023,G36990
G37001,2805,Repsol E&P USA LLC,C,1,308381,4/30/2024,10/18/2022,,,50.0,8/15/2023,G37001
G37002,2805,Repsol E&P USA LLC,C,1,308383,4/30/2024,10/18/2022,,,50.0,8/15/2023,G37002
G37003,2805,Repsol E&P USA LLC,C,1,308385,4/30/2024,10/18/2022,,,50.0,8/15/2023,G37003
G37004,2805,Repsol E&P USA LLC,C,1,308387,5/1/2024,10/18/2022,,,50.0,8/15/2023,G37004
G37005,2805,Repsol E&P USA LLC,C,1,308338,4/29/2024,10/18/2022,,,50.0,8/15/2023,G37005
G37006,2805,Repsol E&P USA LLC,C,1,308341,4/29/2024,10/18/2022,,,50.0,8/15/2023,G37006
G37007,2805,Repsol E&P USA LLC,C,1,308353,4/30/2024,10/18/2022,,,50.0,8/15/2023,G37007
G36677,2805,Repsol E&P USA LLC,C,1,308369,4/30/2024,10/18/2022,,,50.0,8/15/2023,G36677
G36678,2805,Repsol E&P USA LLC,C,1,308389,5/1/2024,10/18/2022,,,50.0,8/15/2023,G36678
G36679,2805,Repsol E&P USA LLC,C,1,308312,4/25/2024,10/18/2022,,,50.0,8/15/2023,G36679
G36693,2805,Repsol E&P USA LLC,C,1,308595,5/9/2024,10/18/2022,,,33.0,10/1/2023,G36693
G37010,2805,Repsol E&P USA LLC,C,1,303882,5/13/2022,3/31/2005,,,50.0,4/1/2022,G37010
G37012,2805,Repsol E&P USA LLC,C,1,303902,5/16/2022,3/31/2005,,,50.0,4/1/2022,G37012
G37013,2805,Repsol E&P USA LLC,C,1,303919,5/17/2022,3/31/2005,,,50.0,4/1/2022,G37013
G37017,2805,Repsol E&P USA LLC,C,1,306084,2/10/2023,3/31/2005,,,20.0,10/1/2022,G37017
G37018,2805,Repsol E&P USA LLC,C,1,306087,2/13/2023,3/31/2005,,,20.0,10/1/2022,G37018
G37019,2805,Repsol E&P USA LLC,C,1,306090,2/13/2023,3/31/2005,,,20.0,10/1/2022,G37019
