LEASE_NUMBER,LEASE_STATUS_CD,BLK_MAX_WTR_DPTH,PA_ADJUSTMENT_FL,WELL_INST_DCOM_COUNT,WELL_PRP_DCOM_COUNT,PTFRM_INST_DCOM_COUNT,PTFRM_PRP_SITE_CLRNCE_COUNT,PTFRM_PRP_DCOM_COUNT,PTFRM_INST_SITE_CLRNCE_COUNT,PPL_INST_DCOM_COUNT,PPL_PRP_DCOM_COUNT,AREA_CODE,BLOCK_NUMBER,UPDATED_DATE,ROW_NUMBER,RUE_NUMBER
G36775,PRIMRY,568,Y,0,0,0,0,0,0,0,0,MC,456,8/5/2020,,
G36776,PRIMRY,1487,Y,0,0,0,0,0,0,0,0,MC,683,8/5/2020,,
G36777,PRIMRY,1681,Y,0,0,0,0,0,0,0,0,MC,689,8/5/2020,,
G36778,PRIMRY,1064,Y,0,0,0,0,0,0,0,0,MC,715,8/5/2020,,
G36779,PRIMRY,1025,Y,0,0,0,0,0,0,0,0,MC,716,8/5/2020,,
G36780,PROD,1627,Y,1,0,0,0,0,0,0,0,MC,727,7/11/2024 2:34:55 PM,,
G36781,PRIMRY,1685,Y,0,0,0,0,0,0,0,0,MC,732,8/5/2020,,
G36782,UNIT,1070,Y,0,0,0,0,0,0,0,0,MC,758,8/5/2020,,
G36783,PRIMRY,885,Y,0,0,0,0,0,0,0,0,MC,798,8/5/2020,,
G36784,PRIMRY,812,Y,0,0,0,0,0,0,0,0,MC,842,8/5/2020,,
G36785,PRIMRY,1360,Y,0,0,0,0,0,0,0,0,MC,855,8/5/2020,,
G36786,PRIMRY,1268,Y,0,0,0,0,0,0,0,0,MC,893,8/5/2020,,
G36787,PRIMRY,700,Y,0,0,0,0,0,0,0,0,MC,925,8/5/2020,,
G36788,PRIMRY,754,Y,0,0,0,0,0,0,0,0,MC,926,8/5/2020,,
G36789,PRIMRY,1321,Y,0,0,0,0,0,0,0,0,MC,937,9/26/2023 9:45:57 AM,,
G36790,PRIMRY,1347,Y,0,0,0,0,0,0,0,0,MC,938,2/7/2024 9:23:00 AM,,
G36791,PRIMRY,779,Y,0,0,0,0,0,0,0,0,MC,969,8/5/2020,,
G36792,PRIMRY,767,Y,0,0,0,0,0,0,0,0,MC,970,8/5/2020,,
G36793,PRIMRY,1322,Y,0,0,0,0,0,0,0,0,MC,981,8/5/2020,,
