SEGMENT_NUM,ORIG_ID_NAME,ORIG_AR_CODE,ORIG_BLK_NUM,ORIG_LSE_NUM,DEST_ID_NAME,DEST_AR_CODE,DEST_BLK_NUM,DEST_LSE_NUM,APPROVED_DATE,INIT_HS_DT,STATUS_CODE,PPL_SIZE_CODE,ROW_NUMBER,PROD_CODE,FACIL_OPERATOR,FACIL_OPERATOR_NAME,MAX_WTR_DPTH,MAOP_PRSS,CATHODIC_CODE,ROW_STATUS_CODE,SEG_LENGTH,AUTHCODE,BIDIR_FLAG,ABAN_APROV_DT,ABAN_DATE,OUT_OF_SERVICE_DATE,TEMP_CESS_DATE,FLUSH_AND_FILL_DATE
4792,A Platform,EI,  307,G02110,8-inch/24-inch SSTI,EI,  307,G02110,9/7/1977,9/27/1979,COMB,08,G29045,GAS,3035,Fieldwood Energy Offshore LLC,275.0,1306.0,,RELQ,342.0,DOI,N,,,,,
20488,SSTI with 18290,EI,  106,,CMP1,EI,  120, 00050,,,CNCL,,G29461,OIL,2628,"Arena Offshore, LP",40.0,600.0,,,27141.0,DOI,N,,,,,
20730,A,SA,   13,G03959,Capped End,SA,   14,,1/16/1981,5/28/1981,PABN,08,G04335,OIL,3209,"Renaissance Offshore, LLC",50.0,1440.0,,RELQ,8818.0,DOI,N,7/21/2021,,6/26/2018,11/21/2021,
15874,,,,,,,,,12/8/2006,1/22/2007,DECR,06,,BLKG,981,Anadarko Petroleum Corporation,8943.0,7156.0,,,66.0,DOI,N,4/9/2014,5/19/2014,,,
800,A,SM,   11,G01182,B,SM,    6,G01177,6/2/1966,1/7/1971,DECP,06,G01458,G/O,103,ExxonMobil Pipeline Company,0.0,1440.0,,RELQ,5300.0,DOT,N,6/3/2005,5/18/2005,,,
1050,#19,SS,  114, 00064,L,SS,  114, 00064,,,DECP,03,,BLKO,1689,Murphy Exploration & Production Company,0.0,0.0,,,2700.0,DOI,N,,,,,
6041,#40,VR,   26, 00297,B,VR,   26, 00297,4/22/1981,7/27/1981,DECP,06,,BLKG,2851,"Apache Shelf, Inc.",0.0,1440.0,,,4356.0,DOI,N,11/21/2005,5/14/2014,6/4/2001,,5/21/2002
19661,SSWell No. 4,KC,  875,G21444,East Manifold,KC,  875,G21444,5/10/2017,7/23/2017,ACT,06,,BLKO,981,Anadarko Petroleum Corporation,6815.0,9320.0,,,70.0,DOI,N,,,,,
17404,SS Valve,EC,  222,G02037,20-inch SSTI,EC,  249,G27049,3/6/2008,8/12/1975,DECP,12,G28449,G/C,2222,"PetroQuest Energy, L.L.C.",,1440.0,,RELQ,39630.0,DOI,N,7/15/2009,10/3/2009,9/24/2005,,
9674,B,SS,  300,G07760,10 SSTI,SS,  291,G02923,7/17/1992,8/18/1992,ACT,08,G13738,GAS,1284,"W & T Offshore, Inc.",251.0,1300.0,,,16781.0,DOI,N,,,,,
10852,CAP,GB,  387,G07485,CAP,GB,  388,G07486,3/4/1996,2/21/1997,DECP,04,,SERV,2211,Newfield Exploration Gulf Coast LLC,2110.0,8378.0,,,15598.0,DOI,N,10/4/2010,8/25/1999,3/7/2001,,8/25/1999
19849,Platform C,SM,  130,G02280,12-inch TAP,SM,  130,G02280,4/13/2017,6/24/1978,ACT,16,,GAS,2899,Talos ERT LLC,216.0,1440.0,,,1584.0,DOI,Y,9/20/2017,,,,
3323,A,EC,  261,G00971,24 SSTI,EC,  265,G00972,6/11/1970,2/24/1972,DECP,12,G01907D,G/C,207,"Sea Robin Pipeline Company, LLC",170.0,984.0,,RELQ,14551.0,DOT,N,5/4/2016,7/20/2016,,,
15008,A,SP,   77,G02184,A,SP,   55,G01607,7/3/2008,8/2/1978,OUT,10,G04648,OIL,3151,"Cox Operating, L.L.C.",265.0,800.0,,,46074.0,DOT,N,,,,10/15/2021,
18966,Well SS001,MC,  546,G25098,PLEM2-LH3,MC,  546,G25098,1/24/2014,2/6/2014,ACT,06,,BLKG,2782,Eni US Operating Co. Inc.,2458.0,7500.0,,,71.0,DOI,N,,,,,
16366,END SPAN POINT,ST,   23,,END SPAN POINT,ST,   23,,,,DECR,04,,LIFT,78,Chevron U.S.A. Inc.,,1.0,,,974.0,DOI,N,6/24/2010,11/8/2010,,,
3872,A,EI,  128, 00053,C,EI,  128, 00053,7/1/1970,7/20/1970,DECP,06,,BLKG,540,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,0.0,0.0,,,0.0,DOI,N,5/24/2000,7/14/2000,,,
6685,#18,SS,   32, 00335,02 SSTI,SS,   32, 00335,5/13/1983,8/25/1983,COMB,03,,LIFT,2859,Offshore Shelf LLC,18.0,1200.0,,,0.0,DOI,N,,,,,
19054,Capped End,ST,   52,G01241,Capped end,ST,   52,G01241,5/14/1974,5/23/1974,CNCL,04,,TEST,78,Chevron U.S.A. Inc.,,1.0,,,801.0,DOI,N,,,,,
11451,#40,SM,   11,G01182,#54,SM,   11,G01182,,,CNCL,02,,LIFT,48,Sabine Oil & Gas Corporation,74.0,1440.0,,,8299.0,DOI,N,,,,,
5287,#01,EI,   32, 00196,A,EI,   32, 00196,,,DECP,02,,BLKO,3,Union Oil Company of California,0.0,1440.0,,,1680.0,DOI,N,,,,,
15145,patform A,EC,  213,G25959,platform A,EC,  205,G22588,6/27/2005,3/25/2006,DECP,06,G26858,BLKG,2970,"Castex Offshore, Inc.",115.0,2220.0,,RELQ,20763.0,DOI,N,6/27/2017,9/4/2017,12/7/2015,,
7967,#02,WC,  291,G04397,A,WC,  165, 00758,11/12/1986,11/27/1986,DECP,06,,BLKG,105,Apache Corporation,50.0,1440.0,,,8379.0,DOI,N,11/29/2013,4/20/2015,12/19/2012,,
10992,SSMANIFO,MC,  685,UNLEASE,SSW#A2,MC,  687,G05863,5/30/1996,,DECP,03,G16035,UMB,689,Shell Offshore Inc.,5333.0,,,RELQ,28695.0,DOI,N,2/7/2014,10/20/2014,9/10/2012,,
10161,02-inch SSTI,VR,   31,G02868,Caisson #14,VR,   31,G02868,3/7/1994,4/3/1994,OUT,02,,LIFT,78,Chevron U.S.A. Inc.,17.0,1440.0,,,114.0,DOI,N,,,,,
11617,C,EC,  193,G08651,A,EC,  189,G08418,12/4/1997,12/31/1997,DECP,04,,BLKG,491,"EP Energy Management, L.L.C.",101.0,1480.0,,,23238.0,DOI,N,3/26/2002,4/1/2002,,,
5998,A,HI,A 508,G03245,CAP,HI,A 508,G03245,1/28/1981,12/31/1981,DECP,12,G04612,G/C,11,"Transcontinental Gas Pipe Line Company, LLC",196.0,1440.0,,RELQ,2482.0,DOT,N,11/13/1987,11/29/1987,,,
20832,PLET 2,GC,  680,G22987,GC 680 South Intermediate Skid,GC,  680,G22987,6/22/2022,9/11/2022,OUT,,,BLKO,981,Anadarko Petroleum Corporation,5052.0,12792.0,,,113.0,DOI,Y,,,,,
7120,Caisson #03,SS,   69,G03577,Platform A,SS,   69,G03577,7/25/1984,11/5/1984,DECP,03,,BLKO,2312,McMoRan Oil & Gas LLC,29.0,4947.0,,,356.0,DOI,N,3/22/2018,8/23/2018,6/7/2016,,8/4/2016
8579,G,ST,   21, 00263,#101,ST,   21, 00263,2/15/1989,1/1/1989,DECR,04,,LIFT,2375,"Energy XXI GOM, LLC",30.0,1440.0,,,1210.0,DOI,N,12/9/2005,10/25/2005,8/29/2005,,
5754,A,BA,A  17,G02658,CGP,BA,  538,UNLEASE,5/13/1980,10/8/1981,DECP,12,G04306,GAS,14,"Tennessee Gas Pipeline Company, L.L.C.",0.0,1248.0,,,72682.0,DOT,N,,5/30/1992,5/18/1992,5/19/1997,5/30/1992
5987,#09,SS,  113, 00067,#37,SS,  113, 00067,3/4/1981,8/12/1981,DECP,03,,LIFT,1689,Murphy Exploration & Production Company,0.0,1440.0,,,920.0,DOI,N,3/12/2012,4/15/2012,,,
12928,AA(E),SP,   28, 00694,#99,SP,   28, 00694,,,DECP,04,,BLKO,2266,"EPL Oil & Gas, LLC",27.0,,,,,DOI,N,,8/24/2001,,,
10072,CF,EC,   14,G01440,B,EC,   14,G01440,10/7/1993,12/21/1993,DECP,02,,LIFT,3295,Fieldwood Energy LLC,33.0,1440.0,,,6603.0,DOI,N,1/10/2023,1/15/2023,7/10/2019,,11/10/2021
10668,A,ST,  252,G10842,16 SSTI,ST,  252,G10842,10/23/1995,11/14/1995,DECP,06,,G/C,1764,"Energy Resource Technology, Inc.",195.0,1300.0,,,5536.0,DOI,N,6/19/2003,7/21/2003,,,
8866,#01,BA,  411,G10214,#03,BA,  436,G04258,10/26/1989,11/17/1989,DECP,06,,BLKG,2899,Talos ERT LLC,75.0,1480.0,,,8289.0,DOI,N,8/15/1997,8/14/2009,,,
5553,F,ST,   29,G02621,FLARE,ST,   29,G02621,10/31/1979,10/31/1979,DECR,10,,FLG,78,Chevron U.S.A. Inc.,24.0,0.0,,,500.0,DOI,N,,,,,
1003,#16,SS,   93, 00063,#22,SS,   93, 00063,9/5/1972,,COMB,03,,BLKO,1689,Murphy Exploration & Production Company,0.0,1440.0,,,0.0,DOI,N,,,,,
6181,B,SA,    9,G04146,F/S,SA,    9,G04146,7/30/1981,7/9/1982,DECP,08,,BLKG,236,El Paso Production Company,43.0,3600.0,,,3029.0,DOI,N,3/1/1999,7/13/1999,,,
3787,SSTI Assembly,EI,  338,,12 SSTI,EI,  330,G02115,2/14/1975,9/14/1976,ACT,12,G01687S,GAS,207,"Sea Robin Pipeline Company, LLC",267.0,1306.0,,,21658.0,DOT,N,,,,,
14953,A,WD,  143,G04475,12 SSTI,WD,  128,G10883,7/13/1990,10/8/1990,CNCL,,G25497,OIL,2250,"GEL Offshore Pipeline, LLC",,2160.0,,RELQ,33745.0,DOT,N,6/15/2004,7/26/2004,,,
18951,B,EI,   77, 00466,"""10""",EI,   77, 00466,,,CNCL,04,G29217,BLKG,3035,Fieldwood Energy Offshore LLC,26.0,1450.0,,RELQ,1000.0,DOI,N,,,,,
4365,A,EI,  105, 00797,#02,EI,  105, 00797,7/15/1964,9/15/1964,DECP,03,,SPLY,1777,Devon Louisiana Corporation,0.0,1440.0,,,300.0,DOI,N,9/12/1995,8/27/1995,,,
14005,10,WC,  180, 00763,C,WC,  173, 00759,,,CNCL,04,,BLKG,2401,Westport Resources Corporation,45.0,4500.0,,,13128.0,DOI,N,,,,,
19874,UTA,MC,  254,G35324,UTA,MC,  427,G31498,11/30/2017,,ACT,04,G28769,UMB,3567,"Beacon Growthco Operating Company, L.L.C.",4450.0,,,,90968.0,DOI,N,,,,,
