SN_OPEN_HOLE_FK,LOG_TOOL_TYPE_CODE
19262,AGR
19263,AGR
19342,AGR
19343,AGR
19344,AGR
19345,AGR
19612,AGR
19613,AGR
19614,AGR
19615,AGR
19748,AGR
19749,AGR
19850,AGR
19882,AGR
19883,AGR
19884,AGR
19885,AGR
19886,AGR
19923,AGR
19924,AGR
19925,AGR
19926,AGR
19927,AGR
19928,AGR
19929,AGR
19930,AGR
19931,AGR
19932,AGR
19933,AGR
19934,AGR
20120,AGR
20156,AGR
20158,AGR
20159,AGR
20160,AGR
20161,AGR
20169,AGR
20170,AGR
20171,AGR
20172,AGR
20185,AGR
20186,AGR
20205,AGR
20224,AGR
20225,AGR
20241,AGR
20242,AGR
20243,AGR
20259,AGR
20339,AGR
20417,AGR
20451,AGR
20476,AGR
20477,AGR
20478,AGR
20479,AGR
20491,AGR
20527,AGR
20528,AGR
20562,AGR
20571,AGR
20572,AGR
20661,AGR
20662,AGR
20666,AGR
20667,AGR
20668,AGR
20770,AGR
20771,AGR
20772,AGR
20773,AGR
20774,AGR
20775,AGR
20776,AGR
20777,AGR
20778,AGR
20779,AGR
20780,AGR
20781,AGR
20870,AGR
20871,AGR
20872,AGR
20873,AGR
20874,AGR
20875,AGR
20884,AGR
20885,AGR
20886,AGR
20902,AGR
20903,AGR
21055,AGR
21182,AGR
21183,AGR
21185,AGR
21188,AGR
21190,AGR
21191,AGR
21214,AGR
21215,AGR
21216,AGR
