DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,LEASE_NUMBER,AREA_CODE,BLOCK_NUMBER,DOC_TYPE,LEASE_EFF_DATE,LEASE_EXPR_DATE,ASGN_APRVL_DATE,MERG_CON_APRVL_DATE,DOC_BAR_CODE
303,Atlantic,10/20/2017 7:39:21 AM,1,303385,A00508,CS,6614.0,Bonds,11/1/2017,,,,REn000082
301,Atlantic,10/20/2017 7:35:28 AM,2,1117344,A00478,PV,6582.0,Lease Status,11/1/2010,,,,REn000080
302,Atlantic,10/20/2017 7:37:48 AM,2,116613,A00478,PV,6582.0,Lease Status,11/1/2010,,,,REn000081
441,Atlantic,10/1/2019 2:30:48 PM,2,501854,A00498,SB,6081.0,"Bid, Lease, Receipt, Relinquishment",3/1/2016,,,,REn000104
461,Atlantic,11/27/2019 10:48:36 AM,3,545423,A00482,SB,6726.0,"Bid, Lease, Receipt, Relinquishment",,,,,REn000105
156,Atlantic,8/18/2017 9:38:31 AM,2,1262747,A00486,PV,7019.0,Lease Amendment,10/1/2013,,,,REn000021
261,Atlantic,10/6/2017 9:15:22 AM,1,372133,A00473,WM,6931.0,Bonds,11/1/2009,11/1/2014,,,REn000075
262,Atlantic,10/6/2017 9:15:23 AM,3,1324664,A00473,WM,6931.0,Bonds,11/1/2009,11/1/2014,,,REn000076
263,Atlantic,10/6/2017 9:15:25 AM,1,514205,A00475,WM,6936.0,"Bid, Lease, Receipt, Relinquishment",11/1/2009,10/12/2014,,,REn000077
281,Atlantic,10/13/2017 9:09:44 AM,2,380232,A00483,CS,6166.0,Bonds,11/1/2013,,,,REn000078
282,Atlantic,10/13/2017 9:11:09 AM,55,6522274,A00508,CS,6614.0,"Bid, Lease, Receipt, Relinquishment",11/1/2017,,,,REn000079
361,Atlantic,3/7/2019 8:43:55 AM,6,3108361,A00520,NK,7079.0,Bonds,,,,,REn000089
362,Atlantic,3/7/2019 8:43:56 AM,58,25391403,A00520,NK,7079.0,"Bid, Lease, Receipt, Relinquishment",,,,,REn000090
363,Atlantic,3/7/2019 8:43:56 AM,6,3902865,A00522,NK,6183.0,Bonds,,,,,REn000091
364,Atlantic,3/7/2019 8:43:57 AM,57,24785754,A00522,NK,6183.0,"Bid, Lease, Receipt, Relinquishment",,,,,REn000092
382,Atlantic,6/6/2019 7:33:55 AM,1,668644,A00474,SB,6325.0,"Bid, Lease, Receipt, Relinquishment",11/1/2009,10/31/2012,,,REn000068
141,Atlantic,8/18/2017 9:14:47 AM,4,510046,A00472,WM,7033.0,Bonds,11/1/2009,11/1/2014,,,REn000006
142,Atlantic,8/18/2017 9:16:04 AM,1,95557,A00472,WM,7033.0,"Bid, Lease, Receipt, Relinquishment",11/1/2009,11/1/2014,,,REn000007
144,Atlantic,8/18/2017 9:18:04 AM,5,603321,A00482,SB,6276.0,Bonds,12/1/2012,,,,REn000009
145,Atlantic,8/18/2017 9:18:52 AM,58,4177884,A00482,SB,6276.0,"Bid, Lease, Receipt, Relinquishment",12/1/2012,,,,REn000010
146,Atlantic,8/18/2017 9:19:27 AM,14,1161240,A00482,SB,6276.0,"Bid, Lease, Receipt, Relinquishment",12/1/2012,,,,REn000011
383,Atlantic,6/6/2019 7:46:26 AM,13,4307048,A00490,SB,6827.0,"Bid, Lease, Receipt, Relinquishment",12/1/2014,,,,REn000093
381,Atlantic,6/6/2019 7:33:30 AM,2,426914,A00472,WM,7033.0,Bonds,,,,,REn000008
149,Atlantic,8/18/2017 9:21:16 AM,0,585425,A00482,SB,6276.0,Bonds,12/1/2012,,,,REn000014
150,Atlantic,8/18/2017 9:22:18 AM,10,882192,A00482,SB,6276.0,Record Title Assignment,12/1/2012,,12/6/2016,,REn000015
151,Atlantic,8/18/2017 9:22:57 AM,2,474830,A00482,SB,6276.0,Bonds,12/1/2012,,,,REn000016
152,Atlantic,8/18/2017 9:23:28 AM,6,1172025,A00483,CS,6166.0,Bonds,11/1/2013,,,,Ren000017
153,Atlantic,8/18/2017 9:24:03 AM,48,4426503,A00483,CS,6166.0,"Bid, Lease, Receipt, Relinquishment",11/1/2013,,,,REn000018
154,Atlantic,8/18/2017 9:24:39 AM,6,1135030,A00486,PV,7019.0,Bonds,10/1/2013,,,,REn000019
155,Atlantic,8/18/2017 9:25:10 AM,47,1312441,A00486,PV,7019.0,"Bid, Lease, Receipt, Relinquishment",10/1/2013,,,,REn000020
384,Atlantic,6/6/2019 7:46:36 AM,2,396659,A00489,SB,6726.0,Bonds,12/1/2014,3/1/2018,,,REn000094
342,Atlantic,12/14/2018 11:03:55 AM,11,5852763,A00499,WM,6784.0,Bonds,,,,,REn000085
343,Atlantic,12/14/2018 11:04:36 AM,1,545274,A00499,WM,6784.0,Bonds,,,,,REn000086
344,Atlantic,12/14/2018 11:05:52 AM,6,2748568,A00499,WM,6784.0,Record Title Assignment,,,12/4/2018,,REn000087
345,Atlantic,12/14/2018 11:06:22 AM,6,3657866,A00499,WM,6784.0,Bonds,,,,,REn000088
385,Atlantic,6/6/2019 7:47:38 AM,6,3708562,A00521,BI,6280.0,Bonds,4/1/2019,,,,REn000095
386,Atlantic,6/6/2019 7:52:27 AM,49,25492783,A00521,BI,6280.0,"Bid, Lease, Receipt, Relinquishment",4/1/2019,,,,REn000096
387,Atlantic,6/7/2019 7:54:03 AM,6,2699818,A00482,SB,6425.0,Record Title Assignment,12/1/2012,,6/12/2019,,REn000097
388,Atlantic,6/7/2019 7:54:39 AM,6,2700081,A00519,SB,6577.0,Record Title Assignment,12/1/2012,,6/12/2018,,REn000098
389,Atlantic,6/7/2019 7:55:15 AM,6,2270060,A00519,SB,6577.0,Bonds,12/1/2012,,,,REn000099
501,Atlantic,3/2/2020 7:16:21 AM,6,2129194,A00521,BI,6280.0,Bonds,4/1/2019,,,,REn000106
