MMS_COMPANY_NUM,MMS_START_DATE,BUS_ASC_NAME,SORT_NAME,MMS_TERM_DATE,PAC_REGION_CODE,GOM_REGION_CODE,ALASKA_RGN_CODE,ATL_REGION_CODE,DUNS_NUMBER,TERM_ACTN_EFF_DT,TERMINATION_CODE,TERM_REMARK,DIVISION_NAME,LINE_1_ADDRESS,LINE_2_ADDRESS,CITY_NAME,POSTAL_ST_CODE,ZIP_CODE,COUNTRY_NAME,SEARCH_NAME
15093,3/19/2019,Cierco Projects Corporation,CIERCO PROJECTS CORPORATION,9/2/2021,P,G,Y,A,,11/25/2020,C,Cierco Projects Corporation changed its name to Cademo Corporation effective on 11/25/2020,,810 N. Farrell Drive,,Palm Springs,CA,92262,United States,Cierco Projects Corporation
3594,7/17/2019,"Rushmore Resources, LLC",RUSHMORE RESOURCES LLC,5/20/2020,P,G,Y,A,,5/19/2020,O,"Company dissolved, effective 5/20/2020.",,2103 Research Forest Drive,Suite 400,The Woodlands,TX,77380,United States,"Rushmore Resources, LLC"
3641,9/10/2020,Aquasition Energy LLC ,AQUASITION ENERGY LLC ,,P,G,Y,A,,,,,,5718 Westheimer Road,Suite 700,Houston,TX,70057,United States,Aquasition Energy LLC 
3708,11/2/2022,"HEQ Rigolets, LLC",HEQ RIGOLETS LLC,,P,G,Y,A,,,,,,"1200 Smith, Suite 2400",,Houston,TX,77002,United States,"HEQ Rigolets, LLC"
3719,2/17/2023,"HEQ II Longclaw, LLC",HEQ II LONGCLAW LLC,,P,G,Y,A,,,,,,"1200 Smith, Suite 2400",,Houston,TX,77002,United States,"HEQ II Longclaw, LLC"
3731,4/27/2023,"Navitas Monument US, LLC",NAVITAS MONUMENT US LLC,,P,G,Y,A,,,,,,5847 San Felipe Street,Suite 2200,Houston,TX,77057,United States,"Navitas Monument US, LLC"
3803,10/3/2024,"ECP GOM V, LP",ECP GOM V LP,,P,G,Y,A,,,,,,"11 Greenway Plaza, Suite 2010",,Houston,TX,77046,United States,"ECP GOM V, LP"
3803,10/3/2024,"ECP GOM V, LP",ECP GOM V LP,,P,G,Y,A,,,,,,"11 Greenway Plaza, Suite 2010",,Houston,TX,77046,United States,"ECP GOM V, LP"
15153,8/9/2022,Pacific Offshore Wind LLC,PACIFIC OFFSHORE WIND LLC,,P,G,Y,A,,,,,,,,,,,,Pacific Offshore Wind LLC
3725,4/10/2023,"YoYo Services, LLC",YOYO SERVICES LLC,,P,G,Y,A,,,,,,"8550 United Plaza Blvd., Bldg II",Suite 305,Baton Rouge,LA,70809,United States,"YoYo Services, LLC"
3741,7/17/2023,"405 GOM Holdings, LLC",405 GOM HOLDINGS LLC,,P,G,Y,A,,,,,,100 Glenborough Drive,Suite 725,Houston,TX,77060,United States,"405 GOM Holdings, LLC"
15098,6/8/2021,"Revolution Wind, LLC","REVOLUTION WIND, LLC",,P,G,Y,A,,,,,,56 Exchange Terrace,Suite 300,Providence,RI,02903,United States,"Revolution Wind, LLC"
3766,1/25/2024,Spectrum GOM Central LLC,SPECTRUM GOM CENTRAL LLC,,P,G,Y,A,,,,,,5005 Veterans Memorial Highway,,Holbrook,NY,11741,United States,Spectrum GOM Central LLC
3767,1/25/2024,Spectrum GOM Non-Op LLC,SPECTRUM GOM NON-OP LLC,,P,G,Y,A,,,,,,5005 Veterans Memorial Highway,,Holbrook,NY,11741,United States,Spectrum GOM Non-Op LLC
15132,12/1/2021,PSEG Renewable Generation LLC,PSEG RENEWABLE GENERATION LLC,,P,G,Y,A,,,,,,,,,,,,PSEG Renewable Generation LLC
3697,7/19/2022,OGOG (Warrior) Inc.,OGOG WARRIOR INC.,,P,G,Y,A,,,,,,251 Little Falls Drive,,Wilmington,DE,19808,United States,OGOG (Warrior) Inc.
3713,1/20/2023,Westlawn GOM Asset 1 Holdco LLC,WESTLAWN GOM ASSET 1 HOLDCO LLC,,P,G,Y,A,,,,,,4801 Woodway Drive,Suite 455E,Houston,TX,77056,United States,Westlawn GOM Asset 1 Holdco LLC
