INSP_END_DATE,BUS_ASC_NAME,ID_NUMBER,INCCOUNT,MMS_COMPANY_NUM
4/11/2002,El Paso Production GOM Inc.,46146,1,1138
6/2/2002,Union Oil Company of California,21953,1,3
6/4/2002,Shell Offshore Inc.,51520,1,689
6/7/2002,BP America Production Company,28506,1,114
5/29/2002,"Energy Resource Technology, Inc.",10003,1,1764
6/11/2002,Chevron U.S.A. Inc.,753,1,78
6/11/2002,Chevron U.S.A. Inc.,22837,1,78
6/8/2002,Sabine Oil & Gas Corporation,89,1,48
6/11/2002,Sabine Oil & Gas Corporation,23939,1,48
6/6/2002,"LLOG Exploration Offshore, L.L.C.",179,1,2058
6/12/2002,"Samson Contour Energy E&P, LLC",20524,1,2233
6/11/2002,"EP Energy Management, L.L.C.",837,1,491
6/12/2002,"EP Energy Management, L.L.C.",731,1,491
6/12/2002,Hall-Houston Oil Company,798,1,846
6/10/2002,J. M. Huber Corporation,23356,1,145
6/11/2002,"TotalEnergies E&P USA, Inc.",45883,1,1500
6/12/2002,"Transworld Exploration and Production, Inc.",21222,1,2108
6/7/2002,"Transworld Exploration and Production, Inc.",23392,1,2108
6/10/2002,B T Operating Co.,20217,1,1324
6/6/2002,Apache Corporation,90810,1,105
6/7/2002,Devon Louisiana Corporation,22271,1,1777
6/12/2002,Devon Louisiana Corporation,20812,1,1777
6/12/2002,Devon Louisiana Corporation,20825,1,1777
6/14/2002,Woodside Energy (GOM) Inc.,45682,1,2010
6/14/2002,Remington Oil and Gas Corporation,91310,1,1704
5/20/2002,Union Oil Company of California,21035,1,3
6/14/2002,Century Exploration Company,23672,1,2412
6/14/2002,Chevron U.S.A. Inc.,45177,1,78
6/7/2002,"Transworld Exploration and Production, Inc.",23393,1,2108
6/13/2002,Chevron U.S.A. Inc.,23922,1,78
6/17/2002,Apache Corporation,4810,1,105
6/18/2002,Hunt Oil Company,917,1,64
6/18/2002,"Samson Contour Energy E&P, LLC",24017,1,2233
6/13/2002,Chevron U.S.A. Inc.,20722,1,78
6/20/2002,Apache Corporation,27013,1,105
6/20/2002,"EP Energy Management, L.L.C.",126,1,491
6/19/2002,BP Exploration & Production Inc.,94104,1,2481
6/20/2002,Chevron U.S.A. Inc.,90823,1,78
5/24/2002,GOM Shelf LLC,22223,1,2451
6/4/2002,Union Oil Company of California,10140,1,3
6/17/2002,Anadarko E&P Company LP,23942,1,148
6/21/2002,"Dominion Exploration & Production, Inc.",14304,1,282
6/20/2002,"Transworld Exploration and Production, Inc.",22249,1,2108
6/18/2002,Hess Corporation,20734,1,59
6/20/2002,"W & T Offshore, Inc.",84006,1,1284
6/21/2002,Shell Offshore Inc.,91517,1,689
6/24/2002,"Texaco Exploration and Production, Inc.",21411,1,771
6/24/2002,Apache Corporation,20849,1,105
6/25/2002,El Paso Production GOM Inc.,90812,1,1138
6/21/2002,Anadarko E&P Company LP,90000,1,148
6/20/2002,Chevron U.S.A. Inc.,20740,1,78
6/12/2002,Williams Field Services Company,58,1,20295
5/29/2002,GOM Shelf LLC,10315,1,2451
6/23/2002,Pogo Producing Company,27065,1,231
6/28/2002,Anadarko E&P Company LP,396,1,148
6/29/2002,Chevron U.S.A. Inc.,23865,1,78
6/30/2002,"EPL Oil & Gas, LLC",20281,1,2266
7/2/2002,Gryphon Exploration Company,30407,1,2466
6/29/2002,Sabine Oil & Gas Corporation,22753,1,48
6/30/2002,Samedan Oil Corporation,23848,1,185
7/1/2002,Hunt Oil Company,22949,1,64
7/5/2002,"Devon SFS Operating, Inc.",23130,1,1551
7/2/2002,Chevron U.S.A. Inc.,20468,1,78
7/7/2002,Hunt Oil Company,22590,1,64
7/2/2002,Hunt Oil Company,22862,1,64
6/27/2002,Chevron U.S.A. Inc.,20396,1,78
6/27/2002,"Devon SFS Operating, Inc.",22912,1,1551
7/1/2002,Apache Corporation,26032,1,105
7/1/2002,The Louisiana Land and Exploration Company,21894,1,83
7/2/2002,"Texaco Exploration and Production, Inc.",23760,1,771
7/8/2002,Chevron U.S.A. Inc.,23865,1,78
7/1/2002,Samedan Oil Corporation,27025,1,185
7/9/2002,Union Oil Company of California,22027,1,3
7/8/2002,Devon Louisiana Corporation,22273,1,1777
6/25/2002,"Helis Oil & Gas Company, L.L.C.",1085,1,1978
7/10/2002,J. M. Huber Corporation,22056,1,145
7/10/2002,J. M. Huber Corporation,22369,1,145
7/9/2002,J. M. Huber Corporation,23689,1,145
7/7/2002,Shell Offshore Inc.,45804,1,689
7/12/2002,"Petro Ventures, Inc.",22397,1,2513
7/11/2002,"W & T Offshore, Inc.",24217,1,1284
7/12/2002,Bois d'Arc Offshore Ltd.,46611,1,2268
7/12/2002,"Petro Ventures, Inc.",22740,1,2513
7/15/2002,Chevron U.S.A. Inc.,20456,1,78
7/12/2002,Shell Offshore Inc.,44574,1,689
7/16/2002,"Dunhill Resources, Inc.",91234,1,2560
7/11/2002,El Paso Production Company,46669,1,236
7/15/2002,Union Oil Company of California,20920,1,3
6/27/2002,Chevron U.S.A. Inc.,2013,1,78
6/24/2002,GOM Shelf LLC,10075,1,2451
6/7/2002,Chevron U.S.A. Inc.,20781,1,78
7/23/2002,Chevron U.S.A. Inc.,45177,1,78
6/7/2002,Murphy Exploration & Production Company,26048,1,1689
7/8/2002,Mariner Gulf of Mexico LLC,91322,1,2169
7/8/2002,GOM Shelf LLC,24,1,2451
7/18/2002,Devon Louisiana Corporation,20818,1,1777
7/22/2002,Chevron U.S.A. Inc.,20199,1,78
7/25/2002,Pogo Producing Company,90623,1,231
7/22/2002,GOM Shelf LLC,44295,1,2451
7/23/2002,"Vastar Resources, Inc.",90625,1,1855
