AREA_CODE,BLOCK_NUMBER,FIELD_NAME_CODE,STRUCTURE_NAME,STRUCTURE_NUMBER,STRUC_TYPE_CODE,BUS_ASC_NAME,COMPLEX_ID_NUM,MAJ_STRUC_FLAG,INSTALL_DATE,REMOVAL_DATE,DISTRICT_CODE,HELIPORT_FLAG,LEASE_NUMBER,WATER_DEPTH,LATITUDE,LONGITUDE,NAD_YEAR_CD,PROJ_CODE,PTFRM_X_LOCATION,PTFRM_Y_LOCATION,SURF_N_S_DIST,SURF_N_S_CODE,SURF_E_W_DIST,SURF_E_W_CODE,ATTENDED_8_HR_FL,MANNED_24_HR_FL,STE_CLRNCE_DATE
SS,  129,SS154,A,1,MOPU,Apache Corporation,26018,Y,3/21/1993,,2,Y,G12941,50,28.750669,-91.239418,27.0,72.0,2030100.0,30561.22,700,S,1085,E,N,N,
PL,   10,PL010,26,1,CAIS,Apache Corporation,26029,N,3/6/1993,11/18/2022,2,N,G02925,32,28.97928243,-90.72929462,27.0,72.0,2193157.06,114194.96,281,N,8889,E,N,N,3/31/2023
PL,   11,PL020,23,1,CAIS,Apache Corporation,26034,N,6/2/1993,6/8/2012,2,N, 00071,36,28.940048,-90.742476,27.0,72.0,2189015.570135,99905.38,497,N,2407,W,N,N,8/7/2012
SM,   66,SM066,A,1,FIXED,Apache Corporation,20066,N,1/1/1962,5/8/2011,3,N,G01198,128,28.644486,-91.948401,27.0,72.0,1802662.66,-7536.86,2800,N,7700,W,N,N,
SM,   66,SM066,D,2,FIXED,Apache Corporation,20066,Y,1/1/1977,,3,N,G01198,128,28.64419,-91.948172,27.0,72.0,1802735.66,-7644.86,2908,N,7773,W,N,N,
SM,   66,SM066,C-Aux-ROW,2,FIXED,Apache Corporation,20067,N,1/1/1967,5/8/2009,3,Y,G01198,129,28.64706783,-91.93674045,,,1806408.712,-6617.863,1881,N,3312,E,N,N,
SM,   66,SM066,C,1,FIXED,Apache Corporation,20067,Y,1/1/1967,,3,Y,G01198,129,28.64671,-91.937446,27.0,72.0,1806181.71,-6746.86,2010,N,3539,E,N,N,
EC,   48,EC064,H,1,FIXED,Apache Corporation,20215,Y,1/1/1967,9/30/2007,5,N, 00768,47,29.420362,-92.963242,27.0,72.0,1481091.0,277770.71,6319,S,1091,W,N,N,8/2/2008
EC,   48,EC064,C,1,FIXED,Apache Corporation,20218,Y,1/1/1960,10/5/2007,5,Y, 00768,49,29.412921,-92.960266,27.0,72.0,1482000.0,275051.71,3600,S,2000,W,N,N,7/18/2008
EC,   62,EC062,A,1,FIXED,Apache Corporation,20452,Y,1/1/1955,8/2/2016,5,Y, 00161,52,29.364773,-92.917359,27.0,72.0,1495418.04,257353.66,660,S,660,W,N,N,9/13/2016
EC,   14,EC014,B,1,FIXED,Apache Corporation,20506,N,1/1/1971,9/21/2023,5,Y,G01440,32,29.605714,-92.901848,27.0,72.0,1501558.04,344891.95,350,N,6800,W,N,N,
EC,   14,EC014,CF,1,FIXED,Apache Corporation,20507,Y,1/1/1969,,5,Y,G01440,35,29.588333,-92.899719,27.0,72.0,1502148.04,338562.9,8079,S,7390,W,N,N,
EC,  270,EC271,B,1,FIXED,Apache Corporation,20557,Y,1/1/1971,7/26/2016,5,Y,G02045,174,28.443328,-92.663785,27.0,72.0,1572298.28,-78741.44,4000,S,3750,W,N,N,9/18/2016
SM,   57,SM073,C,1,FIXED,Apache Corporation,20703,Y,1/1/1967,10/16/2005,3,N,G01193,130,28.66831,-92.114198,27.0,72.0,1749528.51,1451.14,6188,S,1160,E,N,N,9/7/2006
SM,   58,SM073,B,1,FIXED,Apache Corporation,20704,Y,1/1/1966,11/2/2012,3,N,G01194,130,28.664765,-92.075451,27.0,72.0,1761948.56,79.14,4816,S,3498,E,N,N,7/9/2013
SM,   10,SM006,A,1,FIXED,Apache Corporation,20706,Y,1/1/1969,,3,Y,G01181,65,28.973223,-91.961746,27.0,72.0,1799036.66,112033.53,1294,N,4074,W,N,N,
VR,  265,VR265,A-DRL,1,FIXED,Apache Corporation,20734,Y,1/1/1971,,5,Y,G01955,165,28.51245403,-92.45182498,27.0,72.0,1640680.172,-54330.383,2962,N,6702,E,N,N,
VR,  265,VR265,A-PRD,2,FIXED,Apache Corporation,20734,Y,1/1/1972,,5,Y,G01955,165,28.51162919,-92.45181587,27.0,72.0,1640680.172,-54630.383,3262,N,6702,E,N,N,
SM,   11,SM006,K,1,WP,Apache Corporation,20901,N,1/1/1970,12/22/2008,3,N,G01182,68,28.963725,-91.976426,27.0,72.0,1794322.66,108605.53,4722,N,640,E,N,N,
EC,  265,EC265,A,1,FIXED,Apache Corporation,21441,Y,1/1/1970,9/10/1990,5,N,G00972,162,28.432589,-92.871456,27.0,72.0,1505489.09,-81811.44,930,S,4027,E,N,N,6/7/1991
EC,  265,EC265,A-AUX1,2,FIXED,Apache Corporation,21441,Y,1/1/1970,12/31/1990,5,N,G00972,162,28.432781,-92.871459,27.0,72.0,1505489.09,-81741.44,1000,S,4027,E,N,N,6/7/1991
SM,   33,SM038,B,1,WP,Apache Corporation,21454,N,1/1/1969,8/1/2011,3,N, 00780,92,28.81585721,-91.93433087,27.0,72.0,1807503.712,54760.337,465,S,2217,E,N,N,7/17/2012
SM,   33,SM038,4,1,CAIS,Apache Corporation,21456,N,1/1/1973,1/16/1989,3,N, 00780,89,28.833884,-91.944075,27.0,72.0,1804417.71,61332.38,7721,N,5303,E,N,N,1/16/1989
SM,   33,SM038,A,1,WP,Apache Corporation,21460,N,1/1/1969,1/12/1989,3,N, 00780,92,28.817147,-91.972464,27.0,72.0,1795292.66,55295.33,1000,S,330,W,N,N,1/12/1989
SM,  281,SM269,C,1,FIXED,Apache Corporation,21843,Y,1/1/1975,,3,Y,G02600,30,29.085762,-91.873676,27.0,72.0,1827393.76,152813.69,4788,N,2915,W,N,N,
SM,  137,SM137,A,1,FIXED,Apache Corporation,21875,Y,1/1/1976,9/27/2023,3,N,G02589,217,28.273888,-92.104091,27.0,72.0,1751805.51,-142016.31,4457,N,1117,W,N,N,
SM,  268,SM269,D,1,FIXED,Apache Corporation,21880,Y,1/1/1976,,3,Y,,32,29.10084768,-91.86851277,27.0,72.0,1829068.762,158291.687,690,S,4590,W,N,N,
EC,   48,EC064,I,1,FIXED,Apache Corporation,21947,Y,1/1/1975,10/19/2017,5,Y, 00768,50,29.408445,-92.966318,27.0,72.0,1480050.0,273451.71,2000,S,50,W,N,N,11/3/2017
SM,  281,SM269,E,1,FIXED,Apache Corporation,22040,Y,1/1/1977,,3,Y,G02600,43,29.065775,-91.872364,27.0,72.0,1827778.76,145543.64,2700,S,3300,W,N,N,
VR,  261,VR261,A,1,FIXED,Apache Corporation,22107,Y,1/1/1979,,5,Y,G03328,153,28.533561,-92.592241,27.0,72.0,1595657.02,-46186.38,5182,S,7451,E,N,N,
VR,  261,VR261,A-AUX,2,FIXED,Apache Corporation,22107,Y,1/1/1979,7/31/2023,5,Y,G03328,153,28.533937,-92.592679,27.0,72.0,1595518.02,-46048.38,5320,S,7590,E,N,N,
VR,  325,VR320,A,1,WP,Apache Corporation,22213,N,1/1/1978,5/25/1998,5,Y,G02089,213,28.27052,-92.543907,27.0,72.0,1610170.02,-142016.67,2100,N,7062,W,N,N,7/24/1998
EC,   47,EC046,J,1,FIXED,Apache Corporation,22325,N,1/1/1980,11/4/2013,5,Y, 00767,48,29.440582,-92.979302,27.0,72.0,1476084.0,285195.76,1014,N,3916,E,Y,Y,4/10/2014
EC,   47,EC046,JP,2,FIXED,Apache Corporation,22325,Y,1/1/1980,9/28/2013,5,Y, 00767,48,29.440641,-92.977681,27.0,72.0,1476600.0,285209.76,1000,N,3400,E,Y,Y,4/10/2014
VR,  380,VR380,A,1,FIXED,Apache Corporation,22355,Y,1/1/1980,,5,Y,G02580,340,28.06001,-92.271206,27.0,72.0,1697356.31,-219406.91,5700,N,5700,W,N,N,
EC,  336,EC334,A,1,FIXED,Apache Corporation,22404,Y,1/1/1980,10/26/2011,5,N,G03388,277,28.112793,-92.934281,27.0,72.0,1483667.0,-197838.82,2967,S,3667,W,N,N,5/8/2012
EC,  347,EC347,A,1,FIXED,Apache Corporation,22434,Y,1/1/1981,11/2/1994,5,N,G02566,280,28.105157,-92.734352,27.0,72.0,1548110.24,-201460.82,655,N,5680,E,N,N,1/31/1995
SM,   33,SM038,D,1,FIXED,Apache Corporation,22456,Y,1/1/1981,10/13/2011,3,N, 00780,90,28.827852,-91.947776,27.0,72.0,1803220.71,59145.33,4850,S,6500,E,N,Y,6/3/2012
SM,   33,SM038,D-PRD,2,FIXED,Apache Corporation,22456,Y,1/1/1983,10/13/2011,3,N, 00780,90,28.827329,-91.947355,27.0,72.0,1803354.71,58954.33,4659,S,6366,E,N,Y,6/3/2012
SM,   95,EI266,A,1,FIXED,Apache Corporation,22759,Y,1/1/1983,11/13/2007,3,N, 00790,180,28.462035,-91.863268,27.0,72.0,1829669.571233,-74027.11,4500,S,3280,E,N,N,7/11/2008
SM,  161,SM155,A,1,FIXED,Apache Corporation,22986,Y,1/1/1984,10/8/2007,3,N,G04809,270,28.14913,-91.955832,27.0,72.0,1799299.66,-187683.46,5850,N,4337,W,N,N,7/28/2008
EC,  299,EC299,A,1,FIXED,Apache Corporation,23015,Y,1/1/1984,6/15/2016,5,N,G05391,185,28.301407,-92.983317,27.0,72.0,1468840.95,-129017.58,2002,N,3599,W,N,N,8/22/2016
