INCCOUNT,INC_ISSUE_DATE,BUS_ASC_NAME,MMS_COMPANY_NUM
1,10/14/1977,Texaco Inc.,40
1,9/28/1979,Atlantic Richfield Company,2
1,6/26/1979,Marathon Petroleum Company,115
3,12/16/1983,"Hilcorp North Slope, LLC",113
2,11/30/1976,Atlantic Richfield Company,2
2,7/23/1979,ConocoPhillips Company,56
1,12/4/2008,"Hilcorp North Slope, LLC",113
2,11/10/1978,ConocoPhillips Company,56
1,8/22/1979,Marathon Petroleum Company,115
1,7/25/1982,"ConocoPhillips Alaska, Inc.",635
1,6/11/2018,Eni US Operating Co. Inc.,2782
1,3/30/2018 7:21:05 AM,Eni US Operating Co. Inc.,2782
1,5/25/1979,Marathon Petroleum Company,115
1,6/27/1986,BP America Production Company,114
1,10/16/1977,Texaco Inc.,40
2,6/27/1979,Marathon Petroleum Company,115
1,11/16/1979,Atlantic Richfield Company,2
1,11/1/1979,Atlantic Richfield Company,2
1,11/1/1993,"ConocoPhillips Alaska, Inc.",635
6,8/2/1989,BP America Production Company,114
6,5/25/1989,SWEPI LP,832
1,4/10/1980,ConocoPhillips Company,56
3,10/11/1978,ConocoPhillips Company,56
1,5/19/1979,Marathon Petroleum Company,115
1,7/29/1993,"ConocoPhillips Alaska, Inc.",635
4,11/4/1983,"Hilcorp North Slope, LLC",113
1,1/11/1979,ConocoPhillips Company,56
5,7/4/1984,Exxon Mobil Corporation,276
1,6/8/1979,ConocoPhillips Company,56
1,11/14/1978,ConocoPhillips Company,56
1,2/18/2016 2:30:32 PM,"Hilcorp Alaska, LLC",3361
2,6/9/1982,"ConocoPhillips Alaska, Inc.",635
2,6/10/1979,ConocoPhillips Company,56
5,10/18/1978,ConocoPhillips Company,56
1,7/7/1982,"ConocoPhillips Alaska, Inc.",635
3,7/28/1979,Atlantic Richfield Company,2
1,8/1/1984,Chevron U.S.A. Inc.,78
1,11/9/1990,"ConocoPhillips Alaska, Inc.",635
1,9/11/1979,ConocoPhillips Company,56
1,8/27/1979,ConocoPhillips Company,56
1,12/11/1978,ConocoPhillips Company,56
1,12/17/1979,Atlantic Richfield Company,2
3,6/28/1979,Marathon Petroleum Company,115
5,7/12/1979,Atlantic Richfield Company,2
1,12/10/1978,ConocoPhillips Company,56
1,6/9/1980,Atlantic Richfield Company,2
1,9/8/1993,"ConocoPhillips Alaska, Inc.",635
1,7/14/1979,Atlantic Richfield Company,2
2,7/20/1979,Marathon Petroleum Company,115
2,12/7/1978,ConocoPhillips Company,56
1,8/26/2015 10:33:10 AM,Shell Gulf of Mexico Inc.,2117
2,11/9/1978,ConocoPhillips Company,56
1,2/10/1992,"ConocoPhillips Alaska, Inc.",635
1,12/4/1978,ConocoPhillips Company,56
1,11/15/1978,ConocoPhillips Company,56
1,6/30/1979,Marathon Petroleum Company,115
1,12/10/2019 11:41:47 AM,"Hilcorp Alaska, LLC",3361
3,6/17/1979,Marathon Petroleum Company,115
1,6/7/1979,ConocoPhillips Company,56
5,11/18/1978,ConocoPhillips Company,56
1,6/29/1979,Marathon Petroleum Company,115
1,6/15/1980,Atlantic Richfield Company,2
3,7/16/1979,Atlantic Richfield Company,2
1,9/15/1979,ConocoPhillips Company,56
1,3/6/1989,Chevron U.S.A. Inc.,78
1,10/11/1990,SWEPI LP,832
2,5/12/1977,Chevron U.S.A. Inc.,112
1,2/4/1979,ConocoPhillips Company,56
1,1/16/1978,Texaco Inc.,40
1,10/9/1982,"ConocoPhillips Alaska, Inc.",635
2,8/4/1989,SWEPI LP,832
2,3/5/1978,Exxon Mobil Corporation,276
1,1/14/1979,ConocoPhillips Company,56
1,8/16/1989,BP America Production Company,114
1,4/15/1983,Atlantic Richfield Company,2
2,2/18/2016 7:00:32 AM,"Hilcorp Alaska, LLC",3361
1,12/30/1978,Amerada Hess Corporation,59
1,4/10/1979,ConocoPhillips Company,56
1,4/5/1979,ConocoPhillips Company,56
1,7/23/1983,Atlantic Richfield Company,2
1,12/22/1978,ConocoPhillips Company,56
1,10/13/1984,Exxon Mobil Corporation,276
1,11/23/1991,"ConocoPhillips Alaska, Inc.",635
1,4/13/1979,ConocoPhillips Company,56
1,11/30/1978,ConocoPhillips Company,56
7,10/15/1985,BP America Production Company,114
1,1/27/1989,BP America Production Company,114
1,11/9/1983,"Hilcorp North Slope, LLC",113
2,,"Hilcorp Alaska, LLC",3361
1,6/15/1979,Marathon Petroleum Company,115
1,5/5/1979,ConocoPhillips Company,56
1,11/2/1978,ConocoPhillips Company,56
1,7/6/1979,Atlantic Richfield Company,2
1,7/3/1989,SWEPI LP,832
1,1/12/1979,ConocoPhillips Company,56
1,7/12/1984,Exxon Mobil Corporation,276
1,2/7/1979,ConocoPhillips Company,56
6,10/17/1990,"ConocoPhillips Alaska, Inc.",635
1,12/9/1977,Exxon Mobil Corporation,276
1,7/24/1993,"ConocoPhillips Alaska, Inc.",635
