API_WELL_NUMBER,WELL_NAME,WELL_NAME_SUFFIX,BOTM_LEASE_NUMBER,BOTM_AREA_CODE,BOTM_BLOCK_NUMBER,COMPANY_NAME,WELL_SPUD_DATE,BH_TOTAL_MD,WELL_BORE_TVD,WELL_TD_SS,RKB_ELEVATION,WELL_BP_ST_KICKOFF_MD,TOTAL_DEPTH_DATE,BOREHOLE_STAT_DT,WELL_TYPE_CODE,BOREHOLE_STAT_CD,CASING_CUT_CODE,WATER_DEPTH,UNDWTR_COMP_STUB,SURF_LEASE_NUMBER,SURF_LATITUDE,SURF_LONGITUDE,BOTM_LATITUDE,BOTM_LONGITUDE,REGION_CODE,SN_APD,MMS_COMPANY_NUM,KICKOFF_POINT_MD,WELL_NM_BP_SFIX,WELL_NM_ST_SFIX,PERMIT_TYPE,PRP_RKB_ELEV,MINERAL_CODE,REQ_SPUD_DATE,SUBSEA_BOP_FLAG,DRIVE_DEPTH,DRIVE_SIZE,SURF_AREA_CODE,SURF_BLOCK_NUMBER,SURF_STATE_LEASE_NUM,SURF_X_COORD_LOC,SURF_Y_COORD_LOC,SURF_E_W_DISTANCE,SURF_E_W_CODE,SURF_N_S_DISTANCE,SURF_N_S_CODE,BOTM_STATE_LEASE_NUM,SV_PLAN_CTRL_CD,SV_PLAN_CTRL_NUM,SV_SURF_LEASE_NUM,SV_SURF_AREA_CODE,SV_SURF_BLOCK_NUM,SV_WELL_NAME,BV_PLAN_CTRL_CD,BV_PLAN_CTRL_NUM,BV_BOTM_LEASE_NUM,BV_BOTM_AREA_CODE,BV_BOTM_BLOCK_NUM,BV_WELL_NAME,RIG_ANCHOR_FLAG,RIG_NAME,RIG_TYPE_CODE,RIG_ID_NUM,RIG_FUNC_CODE,CONSTRUCTION_YR,SHIPYARD_NAME,REFURBISHED_YR,RATED_WTR_DEPTH,RATE_DRIL_DEPTH,ABS_CERT_EXPR_DT,CG_CERT_EXPR_DT,SAFE_BRN_APRV_DT,SAFE_BURN_DIST,SAFE_BRN_RMK,BUS_ASC_NAME,APD_SUB_STATUS_DT,APD_STATUS_DT
177104166200, C019,ST00BP00,G02323,EI,  360,"Array Petroleum, LLC",1/11/2014,9124,4464,4331,133.0,,4/2/2014,6/8/2014,D,COM,N,307.0,N,G02323,28.11713184,-91.66945614,28.09967224,-91.66205204,G,-14404,78,,0,0,Revised New Well,133,H,11/15/2013,N,700.0,24.0,EI,360,,1891596.098622,-199709.035389,3249,E,5647,N,,R,5987.0,G02323,EI,  360,C-19,R,5987.0,G02323,EI,  360,C-19,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,4/4/2014 10:53:04 AM,4/4/2014 11:10:17 AM
177104119201, C014,ST01BP00,G02323,EI,  360,"Array Petroleum, LLC",4/10/2014,5310,3778,3645,133.0,2186,4/20/2014,6/18/2014,D,COM,N,307.0,N,G02323,28.11715129,-91.66944948,28.11403249,-91.66024408,G,-14334,78,2145.0,0,1,Revised Sidetrack,131,H,12/15/2013,N,704.0,24.0,EI,360,,1891593.873429,-199697.985684,3251,E,5636,N,,R,6017.0,G02323,EI,  360,C014ST01,R,6017.0,G02323,EI,  360,C014ST01,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,3/19/2014 1:02:21 PM,3/27/2014 3:11:02 PM
177104166200, C019,ST00BP00,G02323,EI,  360,"Array Petroleum, LLC",1/11/2014,9124,4464,4331,133.0,,4/2/2014,6/8/2014,D,COM,N,307.0,N,G02323,28.11713184,-91.66945614,28.09967224,-91.66205204,G,-14320,78,,0,0,Revised New Well,133,H,11/15/2013,N,700.0,24.0,EI,360,,1891596.098622,-199709.035389,3249,E,5647,N,,R,5987.0,G02323,EI,  360,C-19,R,5987.0,G02323,EI,  360,C-19,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,3/18/2014 6:51:25 AM,3/18/2014 1:40:43 PM
177244032201,DA002,ST01BP00,G01315,MP,298,"Cantium, LLC",2/3/2015,8200,7209,7063,146.0,3649,2/11/2015,4/22/2015,D,COM,N,217.0,N,G01316,29.26048222,-88.74721863,29.26875522,-88.74376933,G,-14271,78,3650.0,0,1,Sidetrack,146,H,2/1/2015,N,519.0,26.0,MP,299,,2824604.001056,225248.004471,386,E,8582,N,,R,6152.0,G01316,MP,  299,DA002ST0,R,6152.0,G01315,MP,  298,DA002ST0,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,11/11/2014 8:39:59 AM,1/27/2015 4:13:59 PM
177244037004,AA001,ST02BP00,G01316,MP,299,"Cantium, LLC",7/25/2014,7997,5810,5669,141.0,2352,8/1/2014,8/12/2014,D,COM,N,207.0,N,G01316,29.28301389,-88.75171388,29.27474019,-88.74727848,G,-14188,78,2350.0,0,2,Sidetrack,135,H,7/3/2014,N,548.0,26.0,MP,299,,2822986.001243,233406.006592,2004,E,424,N,,R,6079.0,G01316,MP,  299,AA1ST02,R,6079.0,G01316,MP,  299,AA1ST02,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,5/13/2014 2:51:38 PM,7/22/2014 5:14:18 PM
177104166700, C018,ST00BP00,G02323,EI,  360,"Array Petroleum, LLC",2/7/2014,9945,3263,3130,133.0,,3/9/2014,5/31/2014,D,COM,N,307.0,N,G02323,28.11716295,-91.6694942,28.09559185,-91.6684195,G,-14167,78,,0,0,Revised New Well,133,H,2/4/2014,N,718.0,24.0,EI,360,,1891583.681098,-199697.17738,3261,E,5635,N,,S,1567.0,G02323,EI,  360,O,S,1567.0,G02323,EI,  360,O,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,2/11/2014 3:26:49 PM,2/12/2014 9:13:16 AM
177104166700, C018,ST00BP00,G02323,EI,  360,"Array Petroleum, LLC",2/7/2014,9945,3263,3130,133.0,,3/9/2014,5/31/2014,D,COM,N,307.0,N,G02323,28.11716295,-91.6694942,28.09559185,-91.6684195,G,-14131,78,,0,0,New Well,100,H,2/4/2014,N,650.0,24.0,EI,360,,1891583.681098,-199697.17738,3261,E,5635,N,,S,1567.0,G02323,EI,  360,O,S,1567.0,G02323,EI,  360,O,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,1/31/2014 10:34:45 AM,2/4/2014 2:58:24 PM
177104110002, C001,ST02BP00,G02323,EI,  360,"Array Petroleum, LLC",4/28/2014,6200,4281,4148,133.0,4863,5/2/2014,5/20/2014,D,COM,N,307.0,N,G02323,28.11716795,-91.66942059,28.12519125,-91.66362659,G,-13889,78,4845.0,0,2,Sidetrack,131,H,12/15/2013,N,692.0,24.0,EI,360,,1891602.883074,-199692.974299,3242,E,5631,N,,R,6017.0,G02323,EI,  360,C001ST02,R,6017.0,G02323,EI,  360,C001ST02,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,12/4/2013 4:26:51 PM,12/18/2013 12:28:22 PM
177244085202,DA010,ST02BP00,G01315,MP,298,"Cantium, LLC",10/25/2013,8825,7803,7657,146.0,3190,11/13/2013,12/16/2013,D,COM,N,217.0,N,G01316,29.26050111,-88.74726917,29.26963701,-88.74327777,G,-13876,78,3174.0,0,2,Revised Sidetrack,146,H,9/15/2013,N,576.0,26.0,MP,299,,2824587.001881,225254.004222,403,E,8576,N,,S,3948.0,G01316,MP,  299,DA-10,S,3948.0,G01315,MP,  298,DA-10,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,11/18/2013 9:35:14 AM,11/18/2013 9:37:45 AM
177104119201, C014,ST01BP00,G02323,EI,  360,"Array Petroleum, LLC",4/10/2014,5310,3778,3645,133.0,2186,4/20/2014,6/18/2014,D,COM,N,307.0,N,G02323,28.11715129,-91.66944948,28.11403249,-91.66024408,G,-13824,78,2145.0,0,1,Sidetrack,131,H,12/15/2013,N,704.0,24.0,EI,360,,1891593.873429,-199697.985684,3251,E,5636,N,,R,6017.0,G02323,EI,  360,C014ST01,R,6017.0,G02323,EI,  360,C014ST01,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,11/26/2013 7:59:00 AM,12/12/2013 10:26:48 AM
