SN_WAR_FK,BUS_ASC_NAME,OPERATIONS_COMPLETED_DATE,TOOL_LOGGING_METHOD_NAME,LOG_INTV_TOP_MD,LOG_INTV_BOTM_MD,SN_OPEN_HOLE
45650,BAKER ATLAS (use with well inventory),3/22/2003,WIRELINE,10000.0,18095.0,4143
45650,BAKER ATLAS (use with well inventory),3/22/2003,WIRELINE,4000.0,10000.0,4144
45650,BAKER ATLAS (use with well inventory),3/22/2003,WIRELINE,1000.0,4000.0,4145
45973,BAKER ATLAS (use with well inventory),4/5/2003,WIRELINE,0.0,13800.0,4229
46008,BAKER ATLAS (use with well inventory),3/29/2003,WIRELINE,12771.0,15924.0,4244
46008,BAKER ATLAS (use with well inventory),3/29/2003,WIRELINE,12771.0,15924.0,4245
46087,BAKER ATLAS (use with well inventory),3/29/2003,WIRELINE,12771.0,15924.0,4264
46087,BAKER ATLAS (use with well inventory),3/29/2003,WIRELINE,12771.0,15924.0,4265
46110,BAKER ATLAS (use with well inventory),4/3/2003,WIRELINE,618.0,3201.0,4276
46117,BAKER ATLAS (use with well inventory),4/6/2003,MWD/LWD,1727.0,3305.0,4277
46225,BAKER ATLAS (use with well inventory),3/31/2003,WIRELINE,11640.0,13072.0,4292
46318,BAKER ATLAS (use with well inventory),4/13/2003,WIRELINE,24450.0,27320.0,4304
46363,BAKER ATLAS (use with well inventory),4/14/2003,MWD/LWD,9005.0,12432.0,4313
46391,BAKER ATLAS (use with well inventory),4/9/2003,MWD/LWD,3305.0,3759.0,4336
46391,BAKER ATLAS (use with well inventory),4/9/2003,MWD/LWD,3305.0,3759.0,4337
46391,BAKER ATLAS (use with well inventory),4/9/2003,MWD/LWD,3305.0,3759.0,4338
46414,BAKER ATLAS (use with well inventory),4/3/2003,WIRELINE,3128.0,7314.0,4341
46414,BAKER ATLAS (use with well inventory),4/3/2003,WIRELINE,3128.0,7314.0,4342
46414,BAKER ATLAS (use with well inventory),4/3/2003,WIRELINE,3128.0,7314.0,4343
46465,BAKER ATLAS (use with well inventory),4/11/2003,WIRELINE,5800.0,8900.0,4354
46465,BAKER ATLAS (use with well inventory),4/11/2003,WIRELINE,5800.0,8900.0,4355
46577,BAKER ATLAS (use with well inventory),4/16/2003,WIRELINE,12675.0,12675.0,4383
46579,BAKER ATLAS (use with well inventory),4/15/2003,WIRELINE,12500.0,12500.0,4384
46584,BAKER ATLAS (use with well inventory),4/16/2003,WIRELINE,19500.0,21625.0,4386
46620,BAKER ATLAS (use with well inventory),4/14/2003,WIRELINE,19000.0,27250.0,4396
46648,BAKER ATLAS (use with well inventory),4/15/2003,WIRELINE,12500.0,18624.0,4402
46696,BAKER ATLAS (use with well inventory),4/28/2003,WIRELINE,12600.0,18900.0,4410
46721,BAKER ATLAS (use with well inventory),4/22/2003,WIRELINE,19275.0,20638.0,4423
46816,BAKER ATLAS (use with well inventory),4/27/2003,MWD/LWD,25136.0,25136.0,4438
46826,BAKER ATLAS (use with well inventory),4/25/2003,WIRELINE,14700.0,18090.0,4445
46826,BAKER ATLAS (use with well inventory),4/25/2003,WIRELINE,16300.0,17500.0,4446
46544,BAKER ATLAS (use with well inventory),4/11/2003,WIRELINE,12295.0,15690.0,4474
46545,BAKER ATLAS (use with well inventory),4/14/2003,WIRELINE,12295.0,15690.0,4475
46997,BAKER ATLAS (use with well inventory),4/21/2003,WIRELINE,3191.0,5583.0,4562
46997,BAKER ATLAS (use with well inventory),4/21/2003,WIRELINE,3191.0,5583.0,4563
47101,BAKER ATLAS (use with well inventory),5/6/2003,WIRELINE,3665.0,8215.0,4618
47132,BAKER ATLAS (use with well inventory),4/28/2003,WIRELINE,16250.0,17500.0,4627
47160,BAKER ATLAS (use with well inventory),5/11/2003,WIRELINE,22820.0,24837.0,4653
47160,BAKER ATLAS (use with well inventory),5/12/2003,WIRELINE,22954.0,24703.0,4675
51552,BAKER ATLAS (use with well inventory),10/1/2003,WIRELINE,0.0,1200.0,7394
47216,BAKER ATLAS (use with well inventory),5/7/2003,WIRELINE,318.0,815.0,4704
47216,BAKER ATLAS (use with well inventory),5/10/2003,WIRELINE,828.0,3976.0,4705
47261,BAKER ATLAS (use with well inventory),5/13/2003,WIRELINE,3970.0,4000.0,4714
47281,BAKER ATLAS (use with well inventory),5/18/2003,WIRELINE,9600.0,15567.0,4723
47313,BAKER ATLAS (use with well inventory),5/11/2003,WIRELINE,12697.0,15211.0,4744
47313,BAKER ATLAS (use with well inventory),5/11/2003,WIRELINE,5000.0,15211.0,4745
47313,BAKER ATLAS (use with well inventory),5/11/2003,WIRELINE,12697.0,15211.0,4746
47339,BAKER ATLAS (use with well inventory),5/13/2003,MWD/LWD,10949.0,12088.0,4760
47383,BAKER ATLAS (use with well inventory),4/16/2003,WIRELINE,11862.0,14208.0,4787
47383,BAKER ATLAS (use with well inventory),4/17/2003,WIRELINE,11863.0,14208.0,4788
47383,BAKER ATLAS (use with well inventory),4/16/2003,WIRELINE,11863.0,14208.0,4789
47383,BAKER ATLAS (use with well inventory),4/16/2003,WIRELINE,11863.0,14208.0,4790
47383,BAKER ATLAS (use with well inventory),4/16/2003,WIRELINE,11863.0,14208.0,4791
47383,BAKER ATLAS (use with well inventory),4/17/2003,WIRELINE,11863.0,14208.0,4792
47383,BAKER ATLAS (use with well inventory),4/17/2003,WIRELINE,13908.0,16478.0,4793
47383,BAKER ATLAS (use with well inventory),4/28/2003,WIRELINE,13908.0,16478.0,4794
47383,BAKER ATLAS (use with well inventory),4/28/2003,WIRELINE,13908.0,16478.0,4795
47383,BAKER ATLAS (use with well inventory),4/28/2003,WIRELINE,13908.0,16478.0,4796
47383,BAKER ATLAS (use with well inventory),4/28/2003,WIRELINE,13908.0,16478.0,4797
47383,BAKER ATLAS (use with well inventory),4/30/2003,WIRELINE,14204.0,16478.0,4798
47434,BAKER ATLAS (use with well inventory),5/23/2003,WIRELINE,4000.0,10593.0,4846
47465,BAKER ATLAS (use with well inventory),5/14/2003,MWD/LWD,24450.0,27300.0,4857
47510,BAKER ATLAS (use with well inventory),5/25/2003,WIRELINE,16938.0,16938.0,4873
47783,BAKER ATLAS (use with well inventory),4/13/2003,WIRELINE,4545.0,4545.0,4972
47783,BAKER ATLAS (use with well inventory),4/13/2003,WIRELINE,4545.0,4545.0,4973
47783,BAKER ATLAS (use with well inventory),4/13/2003,WIRELINE,4545.0,4545.0,4974
47783,BAKER ATLAS (use with well inventory),4/13/2003,WIRELINE,4545.0,4545.0,4975
47859,BAKER ATLAS (use with well inventory),5/30/2003,WIRELINE,18975.0,23920.0,5001
48130,BAKER ATLAS (use with well inventory),6/14/2003,WIRELINE,13376.0,16553.0,5067
47383,BAKER ATLAS (use with well inventory),4/17/2003,WIRELINE,11863.0,14208.0,5084
47383,BAKER ATLAS (use with well inventory),4/28/2003,WIRELINE,14231.0,15471.0,5085
47383,BAKER ATLAS (use with well inventory),5/3/2003,WIRELINE,14231.0,15471.0,5086
47383,BAKER ATLAS (use with well inventory),5/6/2003,WIRELINE,14259.0,15566.0,5087
48191,BAKER ATLAS (use with well inventory),6/13/2003,WIRELINE,13500.0,16800.0,5088
48212,BAKER ATLAS (use with well inventory),6/15/2003,MWD/LWD,510.0,4900.0,5122
47631,BAKER ATLAS (use with well inventory),5/13/2003,MWD/LWD,10949.0,12088.0,5128
48253,BAKER ATLAS (use with well inventory),6/21/2003,WIRELINE,17200.0,19049.0,5139
48472,BAKER ATLAS (use with well inventory),6/18/2003,WIRELINE,3520.0,11500.0,5239
48519,BAKER ATLAS (use with well inventory),6/26/2003,MWD/LWD,8925.0,11925.0,5250
48632,BAKER ATLAS (use with well inventory),7/3/2003,WIRELINE,6736.0,9017.0,5338
48632,BAKER ATLAS (use with well inventory),7/3/2003,WIRELINE,6736.0,9017.0,5339
48632,BAKER ATLAS (use with well inventory),7/3/2003,WIRELINE,6736.0,9017.0,5340
48632,BAKER ATLAS (use with well inventory),7/3/2003,WIRELINE,6736.0,9017.0,5341
48747,BAKER ATLAS (use with well inventory),6/30/2003,WIRELINE,12592.0,13972.0,5430
48910,BAKER ATLAS (use with well inventory),6/27/2003,WIRELINE,2825.0,5010.0,5535
48910,BAKER ATLAS (use with well inventory),6/27/2003,WIRELINE,2825.0,5010.0,5536
48910,BAKER ATLAS (use with well inventory),6/27/2003,WIRELINE,2825.0,5010.0,5537
48910,BAKER ATLAS (use with well inventory),6/27/2003,WIRELINE,2825.0,5010.0,5538
48977,BAKER ATLAS (use with well inventory),7/10/2003,MWD/LWD,11750.0,12720.0,5570
51540,BAKER ATLAS (use with well inventory),10/4/2003,WIRELINE,12580.0,13065.0,7384
49042,BAKER ATLAS (use with well inventory),6/23/2003,WIRELINE,7687.0,11100.0,5615
49042,BAKER ATLAS (use with well inventory),6/23/2003,WIRELINE,7687.0,11100.0,5616
48961,BAKER ATLAS (use with well inventory),7/8/2003,WIRELINE,3190.0,9684.0,5630
49125,BAKER ATLAS (use with well inventory),4/29/2003,WIRELINE,13000.0,14490.0,5693
49126,BAKER ATLAS (use with well inventory),7/19/2003,WIRELINE,2461.0,6000.0,5713
49214,BAKER ATLAS (use with well inventory),5/4/2003,WIRELINE,0.0,14891.0,5722
49214,BAKER ATLAS (use with well inventory),5/4/2003,WIRELINE,0.0,14891.0,5723
49373,BAKER ATLAS (use with well inventory),7/27/2003,WIRELINE,4700.0,6904.0,5795
49373,BAKER ATLAS (use with well inventory),7/27/2003,WIRELINE,4700.0,6904.0,5796
49373,BAKER ATLAS (use with well inventory),7/27/2003,WIRELINE,6250.0,6904.0,5797
49415,BAKER ATLAS (use with well inventory),7/20/2003,WIRELINE,11038.0,16674.0,5856
49477,BAKER ATLAS (use with well inventory),7/21/2003,WIRELINE,9016.0,12865.0,5875
49528,BAKER ATLAS (use with well inventory),7/30/2003,MWD/LWD,8087.0,11180.0,5900
49477,BAKER ATLAS (use with well inventory),7/22/2003,WIRELINE,9034.0,12279.0,5933
49292,BAKER ATLAS (use with well inventory),7/3/2003,WIRELINE,6736.0,9017.0,5937
49594,BAKER ATLAS (use with well inventory),8/1/2003,WIRELINE,16990.0,20084.0,5985
49594,BAKER ATLAS (use with well inventory),8/1/2003,WIRELINE,5000.0,20000.0,5986
49604,BAKER ATLAS (use with well inventory),8/3/2003,WIRELINE,0.0,0.0,5989
49705,BAKER ATLAS (use with well inventory),7/31/2003,WIRELINE,2990.0,6760.0,6080
49727,BAKER ATLAS (use with well inventory),8/7/2003,WIRELINE,2490.0,5972.0,6098
49124,BAKER ATLAS (use with well inventory),5/12/2003,WIRELINE,9590.0,15170.0,6491
49856,BAKER ATLAS (use with well inventory),7/8/2003,MWD/LWD,4200.0,6554.0,6176
49856,BAKER ATLAS (use with well inventory),7/8/2003,MWD/LWD,4200.0,6554.0,6177
49863,BAKER ATLAS (use with well inventory),8/9/2003,WIRELINE,11335.0,14084.0,6187
49878,BAKER ATLAS (use with well inventory),8/18/2003,MWD/LWD,6890.0,12711.0,6198
49972,BAKER ATLAS (use with well inventory),7/29/2003,WIRELINE,4211.0,11500.0,6255
49972,BAKER ATLAS (use with well inventory),7/29/2003,WIRELINE,4211.0,11500.0,6256
49972,BAKER ATLAS (use with well inventory),7/29/2003,WIRELINE,4211.0,11500.0,6257
49972,BAKER ATLAS (use with well inventory),7/29/2003,WIRELINE,4211.0,11500.0,6258
49972,BAKER ATLAS (use with well inventory),7/29/2003,WIRELINE,4211.0,11500.0,6259
49972,BAKER ATLAS (use with well inventory),7/29/2003,WIRELINE,4211.0,11500.0,6260
50011,BAKER ATLAS (use with well inventory),8/18/2003,WIRELINE,10450.0,12475.0,6295
50037,BAKER ATLAS (use with well inventory),8/14/2003,WIRELINE,4762.0,4762.0,6310
50041,BAKER ATLAS (use with well inventory),7/21/2003,WIRELINE,8900.0,12742.0,6324
50041,BAKER ATLAS (use with well inventory),7/21/2003,WIRELINE,8900.0,12742.0,6325
50041,BAKER ATLAS (use with well inventory),7/21/2003,WIRELINE,8900.0,12742.0,6326
