SN_EOR_FK,SN_EOR_WELL_COMP,COMP_LATITUDE,COMP_LONGITUDE,COMP_RSVR_NAME,COMP_INTERVAL_NAME
-48327,-5211,28.44787028,-92.66127778,A-24 Sand,A-24 Sand
-66757,-6781,28.43905833,-92.66126944,A-20 Sand,A-20 Sand
-89456,-9310,28.22418861,-92.94015083,5600' Sand,5600' Sand
-73099,-7940,28.41629111,-92.63010833,CD-5 FB II,CD-5
-137956,-20552,27.93088667,-93.94679806,MP-1 Sand,MP-1
-106288,-11146,27.89674444,-93.96939861,MP-1 FB B-2 Sand,MP-1 FB B-2 Sand
-18799,-2711,28.89244278,-90.83564222,M-5-BF-31,M-5
-117188,-15472,29.43534139,-92.54187667,Amp E1 Upper Sand,Amp E1 Upper 
-103105,-10449,28.54306389,-92.18994222,7200' sand,7200' sand
-132656,-19528,28.80042833,-91.72339639,LI RA,LI Sand
-114462,-14550,28.80042833,-91.72339639,LI Sand,LI Sand
-144491,-21794,28.79599722,-91.72429306,KM Sand,KM Sand
-166494,-24822,29.23609389,-88.42030417,K UPPER RD,J Sand
-132815,-19800,29.23609389,-88.42030417,J3 Sand,J Sand
-26938,-3401,28.24218583,-93.56226194,TA-1,TA-1
-26938,-3402,28.24225694,-93.56370583,TA-2 Sand,TA-2
-14829,-2540,28.4700501,-93.9716958,BASAL NEB 7200',BASAL NEB 7200'
-115975,-15384,28.82810083,-89.52962361,NN1 Sand,NN1 Sand
-120843,-16807,28.82819028,-89.53016056,M9-10 Sand,M9-10 Sand
-180888,-27690,28.82825861,-89.53045111,M7B Sand,M7B Sand
-195613,-28366,28.82829444,-89.53082694,M5 Sands,M5 Sand
-22751,-2778,29.49283889,-93.62575806,Rob L-2 Sand,Rob L-2 Sand
-79883,-8244,29.49307111,-93.62564361,Upper Amph B,Upper Amph B
-33786,-3940,29.0559,-88.97939,LL-RJ-4,LL RJ-4 Sand
-117227,-15780,29.14051333,-89.60990583,7150' Sand,7150' sand
-78484,-8192,27.35750389,-94.47028,C-Mac Sand,C-Mac
-142681,-21237,27.37954917,-94.45446361,DS-1,DS-1
-151612,-22672,27.37892139,-94.45522972,DS-1.5/DS-2/DS-3,DS-1.5 / DS-2 / DS-3
-196107,-28611,27.37870278,-94.45550389,DP-1,DP-1
-58143,-5781,29.26755556,-92.73663889,Discorbis 12,Discorbis 12 
-57057,-5759,29.26763889,-92.73633333,Discorbis 12 B,Discorbis 12 B
-59907,-6008,29.26755556,-92.73663889,Discorbis 12/12B,Discorbis 12  / Discorbis 12 B
-58162,-5821,29.26763889,-92.73633333,Discorbis 12B,Discorbis 12 B
-108090,-11638,29.26763889,-92.73633333,Discorbis 12 B,Discorbis 12 B
-5570,-1217,29.25756667,-88.75131944,7650' Sand,7650' Sand
-201348,-29875,29.25734583,-88.75129056,7650' Sand FB DG,7650' Sand
-201010,-29732,29.25734444,-88.75112972,7500',7500' Sand
-141678,-21405,28.95899333,-89.80254583,MD Sand,MD Sand
-163314,-24245,28.96241944,-89.80203333,KS,KS Sand
-45304,-4929,28.24914333,-92.13930278,FD Sand,FD Sand
-15840,-2419,27.95246806,-96.53731,MA-4 Sand,MA-4 Sand
-45164,-4806,27.95210278,-96.53756722,MA-3,MA-3 Sand
-72302,-7366,27.95162,-96.52633611,MA-2 Sand,MA-2 Sand
-2784,-824,28.71134361,-88.38489194,ROB E,ROB E
-114658,-14460,28.71134361,-88.38489194,ROB E,ROB E
-54309,-5644,29.58993389,-93.44481056,Crist A-3,Crist A-3
-112163,-13693,28.41516,-91.613132,4000 Sand,4000 Sand
-18239,-2503,27.95394083,-88.1543225,AMP 6.2 Sand,AMP 6.2
-15311,-2218,26.24310694,-96.88404194,1250 ,1250
-50394,-5468,28.21763889,-92.44127778,J Sand,J Sand
-15899,-2750,27.20645667,-92.20866639,C50/C60,C50 Sand / C60 Sand
-24115,-3075,29.44485667,-92.99034333,MS Sand,MS Sand
-16520,-2603,28.0837517,-90.8334503,OH Sand,OH Sand
-18880,-2584,28.90399889,-92.49330806,E-40,E-40
-15759,-2270,28.93540917,-90.1724075,P Sand,P Sand
-105841,-10709,28.93649722,-90.1730175,O10,O-10 Sand
-119206,-16156,28.93684556,-90.17317,O6 Sand,O6 Sand
-119009,-16438,28.36695139,-90.84360278,N1 Sand,N1 Sand
-138938,-20487,28.20753,-88.75795583,Orange/Blue SW FB,Blue Sand / Orange Sand
-134818,-20227,28.20642778,-88.75874167,ORANGE/BLUE SW FB,ORANGE/BLUE SAND
-134274,-20389,28.20642778,-88.75874167,Orange/Blue SW FB,Blue Sand / Orange Sand
-137975,-20457,28.20642778,-88.75874167,Orange/Blue SW FB,Blue Sand / Orange Sand
-139056,-20524,28.20642778,-88.75874167,Orange/Blue SW FB,Blue Sand / Orange Sand
-142194,-21254,28.20642778,-88.75874167,Orange/Blue SW FB,Blue Sand / Orange Sand
-121668,-17051,28.57719306,-92.45559389,K Middle FB-SWI,K Middle Sand
-121668,-17052,28.577195,-92.45561806,K Upper FB-SWI,K Upper Sand
-129247,-18667,28.57719306,-92.45559389,K Middle FB-SWI,K Middle Sand
-137939,-20499,28.57719444,-92.45560722,K Middle FB-SWI,K Middle Sand
-119505,-16534,28.0561425,-91.065995,P Sand,P Sand
-119281,-16605,28.44206222,-91.44831694,Cris Sub2 RN,Cris Sub2
-170664,-25709,28.44286667,-91.44886056,ANGB1 RD,Ang (B) Lower Lobe Sand
-119515,-16627,29.02785528,-90.15475083,8000' FB B SD,8000' SD
-133922,-20108,27.57524722,-92.41065611,U RA,U Sand
-138738,-20987,28.17531611,-89.29355417,ALUM RA,Aluminum
-122012,-18185,28.50179306,-91.04759167,CS-9,CS-9 Sand
-130695,-18889,28.50179306,-91.04759167,CS-9,
-122012,-18034,28.50179417,-91.0475925,CS-8,CS-8 Sand
-171654,-25913,28.50179833,-91.04759194,CS-8 Sand,CS-8 Sand
-111242,-12914,28.425345,-91.46603389,BUL(1) 5 FB-RB,Bul(1)5
-123297,-17353,28.42534306,-91.46603694,BUL(1) 4 FB-RD,Bul(1)4
-111056,-13029,28.441132,-91.469967,CRIS SUB 3B RB,Cris Sub 3b
-122965,-17199,28.44089611,-91.46997111,CRIS SUB 3 FB-RG,Cris Sub 3
