SN_APD,DRIVE_SIZE,DRIVE_DEPTH,Y_COORD_LOC,X_COORD_LOC,N_S_CODE,N_S_DISTANCE,E_W_CODE,E_W_DISTANCE,LATITUDE,LONGITUDE,SN_BOREHOLE_FK
-80,20.0,365.0,163962.35,2418090.77,N,6815,W,4705,29.11097139,-90.02415111,
-84,36.0,4387.0,1247101.012154,10455899.975681,S,1500,E,4259,28.80625361,-88.22847222,
-80,20.0,365.0,2416065.026898,171698.043812,S,921,W,2679,29.13230639,-90.03021833,
-84,36.0,4387.0,10447862.0,1245107.0,N,6538,E,6253,28.78408694,-88.23443861,
-89,20.0,365.0,2416065.026898,171698.043812,S,921,W,2679,29.13230639,-90.03021833,
-89,20.0,365.0,163962.35,2418090.77,N,6815,W,4705,29.11097139,-90.02415111,
-92,30.0,500.0,1943785.891033,-59617.121304,S,3958,W,3875,28.50262144,-91.50829705,
-92,30.0,500.0,-53476.229737,1937774.442644,N,4400,E,2137,28.51947988,-91.52703967,
-95,36.0,685.0,2746434.266142,716317.340783,S,2608,W,2539,27.61862611,-96.19484361,
-95,36.0,685.0,716317.340783,2746434.266142,S,2608,W,2539,27.61862611,-96.19484361,
-104,26.0,400.0,6184.729703,1643037.023177,N,1479,E,4345,28.67890611,-92.44631861,
-104,26.0,400.0,3747.647419,1642918.725047,N,3916,E,4463,28.67220194,-92.44661361,
-107,26.0,450.0,2555662.647045,784451.872601,S,7382,W,1847,27.81438806,-96.78103806,
-107,26.0,450.0,782637.732117,2555778.334771,S,5568,W,1963,27.80939417,-96.78075667,
-109,30.0,400.0,57507.971754,1665838.99746,S,5570,W,3699,28.8206175,-92.37668472,
-109,30.0,400.0,57507.971754,1665838.99746,S,5570,W,3699,28.8206175,-92.37668472,
-179,24.0,750.0,53973.038338,3620109.925379,N,1467,W,1754,27.88620944,-93.98437278,
-131,30.0,350.0,516720.750009,3605120.810302,S,1921,W,2605,29.15953139,-93.96913167,
-131,30.0,350.0,519285.071528,3602670.021365,S,4485,W,154,29.1668675,-93.97645861,
-133,16.0,425.0,-35748.780853,1631307.633731,S,862,E,1316,28.56328917,-92.4815775,
-133,16.0,425.0,-37241.196549,1636355.85884,N,631,W,3732,28.55932389,-92.46581056,
-136,30.0,380.0,1381971.977574,141152.985483,N,1750,W,5278,29.04047278,-93.26728111,
-136,30.0,380.0,141152.985483,1381971.977574,N,1750,W,5278,29.04047278,-93.26728111,
-139,26.0,324.0,278788.031721,2741323.873512,S,708,W,2724,29.41259583,-89.00491194,
-139,26.0,324.0,275596.0,2741576.0,N,2484,W,2976,29.40380556,-89.00432389,
-143,24.0,750.0,52440.031568,3620980.764104,N,3000,W,2625,27.88189472,-93.98188361,
-143,24.0,750.0,53974.618147,3620127.826179,N,1465,W,1772,27.88621167,-93.98431722,
-144,42.0,637.0,-212156.00242,1562797.012719,S,3408,E,5751,28.07624139,-92.68842972,
-144,42.0,637.0,-212904.045789,1559400.008826,S,2660,W,5610,28.07407417,-92.69893,
-151,26.0,350.0,2549171.983628,180106.960497,N,6254,E,150,29.15059972,-89.61298722,
-151,26.0,350.0,181339.029837,2547405.986795,N,5021,E,1916,29.15406028,-89.61846083,
-179,24.0,750.0,52372.064847,3614042.267651,N,3068,E,4314,27.88252472,-94.00334611,
-415,26.0,306.0,114667.382435,2194719.241545,S,191,E,7327,28.98055889,-90.72440167,
-283,26.0,450.0,-11910.363433,2098593.529559,S,113,W,4994,28.63355306,-91.02606806,
-283,26.0,450.0,-7776.795315,2098587.258118,S,4247,W,4987,28.64491917,-91.02605306,
-515,36.0,5447.0,9864119.388461,2521608.957781,N,4201,W,3049,27.15728889,-90.28973722,
-484,26.0,335.0,105721.326891,2107859.819212,S,6052,E,1340,28.95694444,-90.99611111,
-312,30.0,445.0,-88342.073042,2062789.782289,N,6511,W,390,28.42361111,-91.13805556,
-312,30.0,445.0,-87634.271167,2063145.840377,N,5803,W,746,28.42555556,-91.13694444,
-308,30.0,384.0,90563.38087,2161152.011166,S,4856,W,5152,28.91472444,-90.82970389,
-308,30.0,384.0,90563.38087,2161152.011166,S,4856,W,5152,28.91472444,-90.82970389,
-309,30.0,381.0,342545.529185,1219111.947239,N,6971,W,4757,29.58562,-93.79027778,
-309,30.0,381.0,346624.096,1224817.184,N,2892,E,4296,29.59716861,-93.77260556,
-333,26.0,1300.0,10103181.161853,1142789.75413,N,2739,W,2310,27.83274389,-94.54014111,
-333,26.0,1300.0,10103317.702232,1139341.850363,N,2602,E,1138,27.833,-94.55081444,
-334,30.0,345.0,383502.19564,1299491.411921,S,4470,E,3412,29.70272556,-93.53992333,
-334,30.0,345.0,383502.19564,1299491.411921,S,4470,E,3412,29.70272556,-93.53992333,
-335,30.0,331.0,372669.971967,1343542.996786,N,6362,E,3635,29.67520111,-93.40057722,
-335,30.0,331.0,372097.188982,1343742.55891,N,6935,E,3435,29.67363611,-93.39991639,
-354,36.0,406.0,327042.45199,1321306.95816,S,7042,W,3645,29.548625,-93.46790833,
-354,36.0,406.0,330197.548245,1320114.061372,N,4560,W,2453,29.55723889,-93.47184444,
-362,26.0,400.0,-7789.535103,2098583.10532,S,4234,W,4983,28.64488417,-91.02606611,
-367,36.0,685.0,716317.340783,2746434.266142,S,2608,W,2539,27.61862611,-96.19484361,
-415,26.0,306.0,115296.96,2189239.55405,S,821,W,2711,28.98236889,-90.7415275,
-426,26.0,316.0,282341.878923,2757836.979108,S,4262,W,4487,29.42143389,-88.95282889,
-362,26.0,400.0,-10535.101689,2100407.805203,S,1488,W,6808,28.63732111,-91.02040222,
-367,36.0,685.0,716317.340783,2746434.266142,S,2608,W,2539,27.61862611,-96.19484361,
