API_WELL_NUMBER,WELL_NAME,PERF_TOP_MD,PERF_BOTM_TVD,PERF_TOP_TVD,PERF_BASE_MD
177114156300,002,3512,3174,3167,3522
608074031400,002,5025,4750,4740,5040
608174128900,006,5070,4775,4770,5080
177104167601,K018,7882,5712,5704,7894
608084004700,002,6360,6437,6342,6460
608114061500,MD018,11862,10700,10665,11902
177104167800,K017,11812,10650,10600,11829
177144001205,076,12306,10834,10784,12364
608174128900,006,12878,8001,7867,12944
608174112305,PI001,12705,12206,12201,12710
608114007502,A005,6630,6280,6253,6660
177144001503,078,10056,9817,9807,10066
177114156100,C008,7830,7675,7659,7846
177094121802,A005,7855,7698,7683,7870
608124009400,JU101,6266,5148,5126,6296
177190084601,C004,8940,8932,8893,8966
608114063200,006,10809,10592,10558,10844
177114020302,B017,12160,11519,11501,12180
608114066900,005,9798,9316,9298,9818
177064098401,A004,6093,5139,5069,6186
608114066300,PC001,11365,11304,11298,11395
608174134500,002,11365,11318,11293,11390
608174123200,006,13675,13345,13260,13785
608174135000,001,9348,9352,9340,9360
608174133200,001,9246,9286,9246,9286
177104140404,A014,9286,9310,9286,9310
608114066800,SS001,12766,8752,8718,12820
608114066200,PS010,3600,3221,3178,3654
608174134500,002,17970,16494,16455,18012
608114065600,SB002,9018,9021,8983,9058
608084005703,001,13430,13058,13050,13440
608114067100,WI003,8750,8410,8397,8764
177114055401,I012,8686,8352,8335,8704
608174105701,001,8108,7832,7814,8128
608114067000,001,9086,8860,8840,9106
177104149401,A017,6100,5960,5941,6120
608174132900,011,9204,9212,9204,9212
608054005900,GA022,8874,8889,8874,8889
608114066901,005,7502,6507,6399,7605
608174121404,006,6190,5575,5568,6200
608164045700,SS006,8378,7821,7746,8470
608174128800,001,8302,8339,8280,8362
608114061500,MD018,12806,12585,12555,12836
608114036904,A004,12984,12739,12733,12990
608114040900,DC134,12995,12756,12744,13007
177190085602,B020,10431,9998,9969,10463
177150100201,P008,5716,5730,5716,5730
177254087401,CC051,5758,5772,5758,5772
608234002800,001,7086,7088,7084,7090
608174128900,006,6943,3945,3941,6947
177244035201,DA008,9146,9074,8928,9292
608234002800,001,7444,6353,6269,7544
608174129500,002,7104,6129,5982,7270
608174127701,B011,7104,6129,5982,7270
608174128900,006,6430,5473,5415,6500
608114062201,005,6430,5473,5415,6500
608114062700,001,6870,5844,5785,6940
177104167700,C020,6940,6960,6940,6960
177144001503,078,6950,7004,6950,7004
608084004701,002,5703,5708,5703,5708
608114062900,002,11298,10198,10131,11457
608174112305,PI001,10402,10049,10038,10414
608174128200,002,12130,8396,8354,12190
608104014600,A008,10960,7879,7875,10980
427094117200,C002,6612,6079,6016,6692
608114065500,SA002,5166,3892,3872,5200
608174120701,MB008,5420,4085,4017,5540
608084005400,002,5088,3845,3827,5120
608114066800,SS001,6763,2962,2953,6778
608174134300,002,5628,2490,2476,5677
177154127500,K002,12832,12459,12256,12862
608114066700,007,12769,12210,12198,12782
608114066800,SS001,3946,3136,3116,3992
608114067200,006,6892,4959,4936,6918
177104140403,A014,6800,4903,4884,6830
608174133200,001,4916,4922,4916,4922
608114066903,005,6879,6265,6175,6973
608124011101,JU105,6010,4912,4881,6044
608174135002,001,6685,6357,6353,6689
608174135200,001,6693,6365,6361,6697
608174134000,AW001,6731,6406,6368,6739
608114066600,PC002,6748,6424,6414,6758
608094000200,002,5752,5089,5076,5766
608114067500,003,5752,5089,5076,5766
608114063600,002,12118,11983,11961,12139
608174128500,001,12118,12003,11961,12160
608114063500,002,12118,11978,11961,12134
608174112305,PI001,13350,13378,13350,13378
177124068900,A017,11932,11942,11932,11942
608174129100,001,12002,12026,12002,12026
608084004800,001,15808,15535,15502,15844
608114059300,DC321,15930,15632,15615,15948
608174128900,006,14646,14660,14646,14660
427084064500,001,14609,14621,14609,14621
608174046602,A003,14350,14378,14350,14378
608174129300,004,14350,14079,14073,14357
608174128900,006,14350,14082,14073,14360
608174129100,001,15088,15126,15088,15126
608174128700,001,14808,14848,14808,14848
177104167800,K017,14678,14734,14678,14734
