RIG_NAME,RIG_TYPE,NOTES
"""PRIDE ARKANSAS""",jack_up,Pride jack-up rig
#2 CARAVEL PROSPECT,unknown,garbage entry
&P 108,unknown,typo/garbage
* ANCHOR HANDLING VESSEL,support_vessel,anchor handling vessel
* COIL TUBING UNIT,coil_tubing_unit,generic coiled tubing unit
* COIL TUBING UNIT (HOUMA #2),coil_tubing_unit,coiled tubing unit - Houma district
* COIL TUBING UNIT (HOUMA #3),coil_tubing_unit,coiled tubing unit - Houma district
* COIL TUBING UNIT (HOUMA #4),coil_tubing_unit,coiled tubing unit - Houma district
* COIL TUBING UNIT (HOUMA DIST,coil_tubing_unit,coiled tubing unit - Houma district
* COIL TUBING UNIT (L.C. #2),coil_tubing_unit,coiled tubing unit - Lake Charles district
* COIL TUBING UNIT (L.C. DIST),coil_tubing_unit,coiled tubing unit - Lake Charles district
* COIL TUBING UNIT (L.J. #2),coil_tubing_unit,coiled tubing unit - Lake Jackson district
* COIL TUBING UNIT (L.J. #3),coil_tubing_unit,coiled tubing unit - Lake Jackson district
* COIL TUBING UNIT (L.J. DIST),coil_tubing_unit,coiled tubing unit - Lake Jackson district
* COIL TUBING UNIT (LAF #2),coil_tubing_unit,coiled tubing unit - Lafayette district
* COIL TUBING UNIT (LAF DIST),coil_tubing_unit,coiled tubing unit - Lafayette district
* COIL TUBING UNIT (N.O. #2),coil_tubing_unit,coiled tubing unit - New Orleans district
* COIL TUBING UNIT (N.O. #3),coil_tubing_unit,coiled tubing unit - New Orleans district
* COIL TUBING UNIT (N.O. DIST),coil_tubing_unit,coiled tubing unit - New Orleans district
* DIVE SUPPORT VESSEL (DSV),support_vessel,dive support vessel
* DP SEMI RIG TO BE DETERMINED,unknown,TBD entry
* DRILL SHIP TO BE DETERMINED,unknown,TBD entry
* EEB Generic Inspection Facility,unknown,inspection facility
* GENERIC COIL TUBING UNIT,coil_tubing_unit,generic coiled tubing unit
* GENERIC PIPELINE CONSTRUCTION VESSEL,support_vessel,pipeline construction vessel
* GENERIC SNUBBING UNIT,snubbing_unit,generic snubbing unit
* HYDRAULIC WORKOVER UNIT,snubbing_unit,hydraulic workover unit
* HYDRAULIC WORKOVER UNIT      HO#2,snubbing_unit,hydraulic workover unit
* HYDRAULIC WORKOVER UNIT (ALTERNATE),snubbing_unit,hydraulic workover unit
* HYDRAULIC WORKOVER UNIT (HO),snubbing_unit,hydraulic workover unit - Houma
