terminal_name,country,latitude,longitude,terminal_type,function,status,capacity_mtpa,year_commissioned,operator,owner,water_depth_m,storage_m3,jetty_count,capex_usd_million,source,source_url,data_confidence
Sabine Pass LNG,USA,29.7295,-93.8711,onshore_export,export,operational,30.0,2016,Cheniere Energy,Cheniere Energy,12.0,950000,2,18000.0,FERC/Cheniere Public Filings,https://www.cheniere.com,high
Corpus Christi LNG,USA,27.8342,-97.5128,onshore_export,export,operational,25.0,2018,Cheniere Energy,Cheniere Energy,14.0,850000,3,15000.0,FERC/Cheniere Public Filings,https://www.cheniere.com,high
Cameron LNG,USA,29.7956,-93.3133,onshore_export,export,operational,13.5,2019,Sempra Energy,Sempra Energy,11.0,650000,1,10000.0,FERC/Sempra Public Filings,https://www.sempra.com,high
Freeport LNG,USA,28.9467,-95.3031,onshore_export,export,operational,15.0,2019,Freeport LNG Development,Freeport LNG Development,13.0,700000,2,13000.0,FERC Public Records,https://www.ferc.gov,high
Cove Point LNG,USA,38.3842,-76.3850,onshore_export,export,operational,5.25,2018,Berkshire Hathaway Energy,Berkshire Hathaway Energy,10.0,450000,1,4000.0,FERC Public Records,https://www.ferc.gov,high
Elba Island LNG,USA,32.0544,-80.9089,onshore_export,export,operational,2.5,2019,Southern LNG Company,Southern LNG Company,9.0,150000,1,2000.0,FERC Public Records,https://www.ferc.gov,medium
Golden Pass LNG,USA,29.7028,-93.8522,onshore_export,export,under_construction,18.0,2025,Golden Pass Products,Golden Pass Products,12.0,800000,2,10000.0,FERC Public Records,https://www.ferc.gov,medium
Plaquemines LNG,USA,29.2542,-89.4639,onshore_export,export,under_construction,20.0,2025,Venture Global LNG,Venture Global LNG,11.0,750000,2,8500.0,FERC Public Records,https://www.ferc.gov,medium
Port Arthur LNG,USA,29.8669,-93.9306,onshore_export,export,under_construction,13.5,2027,Sempra Energy,Sempra Energy,13.0,650000,2,10000.0,FERC/Sempra Filings,https://www.sempra.com,medium
Calcasieu Pass LNG,USA,29.7281,-93.3444,onshore_export,export,operational,10.0,2022,Venture Global LNG,Venture Global LNG,12.0,550000,1,4500.0,FERC Public Records,https://www.ferc.gov,high
Rio Grande LNG,USA,26.0708,-97.1558,onshore_export,export,under_construction,17.6,2028,NextDecade,NextDecade,14.0,780000,2,15000.0,FERC Public Records,https://www.ferc.gov,medium
Alaska LNG,USA,61.1686,-149.9619,onshore_export,export,planned,20.0,2030,Alaska Gasline Development,State of Alaska,15.0,900000,2,43000.0,State of Alaska Public Info,https://agdc.us,low
Delfin FLNG,USA,28.9783,-90.2458,flng,export,planned,4.4,2028,Delfin Midstream,Delfin Midstream,1500.0,180000,0,3000.0,FERC Public Records,https://www.ferc.gov,medium
Ras Laffan LNG,QAT,25.9333,51.5500,onshore_export,export,operational,77.0,1997,QatarEnergy,QatarEnergy,14.0,2800000,6,12000.0,QatarEnergy Public Disclosures,https://www.qatarenergy.qa,high
North Field East LNG,QAT,25.9333,51.5500,onshore_export,export,under_construction,32.0,2026,QatarEnergy,QatarEnergy,14.0,1500000,4,28000.0,QatarEnergy Public Disclosures,https://www.qatarenergy.qa,high
Gorgon LNG,AUS,-20.0583,116.7167,onshore_export,export,operational,15.6,2016,Chevron Australia,Chevron Australia,10.0,750000,2,54000.0,Chevron Public Reports,https://www.chevron.com,high
Wheatstone LNG,AUS,-20.6000,115.5833,onshore_export,export,operational,8.9,2017,Chevron Australia,Chevron Australia,10.0,450000,1,34000.0,Chevron Public Reports,https://www.chevron.com,high
North West Shelf LNG,AUS,-20.7333,116.6833,onshore_export,export,operational,16.9,1989,Woodside Energy,Woodside Energy,10.0,800000,2,12000.0,Woodside Public Reports,https://www.woodside.com,high
Gladstone GLNG,AUS,-23.8333,151.2500,onshore_export,export,operational,7.8,2015,Santos,Santos,10.0,400000,1,18500.0,Santos Public Reports,https://www.santos.com,high
Queensland Curtis QCLNG,AUS,-23.8333,151.2667,onshore_export,export,operational,8.5,2014,Shell,Shell,10.0,420000,1,20000.0,Shell Public Reports,https://www.shell.com,high
Australia Pacific APLNG,AUS,-23.8500,151.2833,onshore_export,export,operational,9.0,2015,ConocoPhillips,ConocoPhillips,10.0,450000,1,24700.0,ConocoPhillips Public Reports,https://www.conocophillips.com,high
Ichthys LNG,AUS,-12.5000,130.8333,onshore_export,export,operational,8.9,2018,INPEX,INPEX,10.0,450000,1,34000.0,INPEX Public Reports,https://www.inpex.com,high
Darwin LNG,AUS,-12.4167,130.8667,onshore_export,export,operational,3.7,2006,Santos,Santos,9.0,200000,1,1200.0,Santos Public Reports,https://www.santos.com,high
Pluto LNG,AUS,-20.5167,116.8000,onshore_export,export,operational,4.9,2012,Woodside Energy,Woodside Energy,10.0,250000,1,15000.0,Woodside Public Reports,https://www.woodside.com,high
Prelude FLNG,AUS,-14.1333,123.5000,flng,export,operational,3.6,2018,Shell,Shell,250.0,175000,0,12000.0,Shell Public Reports,https://www.shell.com,high
Nigeria LNG Bonny Island,NGA,4.4333,7.3667,onshore_export,export,operational,22.0,1999,Nigeria LNG Limited,NNPC/Shell/Total/Eni,11.0,1000000,3,7000.0,NLNG Public Reports,https://www.nlng.com,high
Yamal LNG,RUS,70.3333,72.5000,onshore_export,export,operational,17.4,2017,Novatek,Novatek,8.0,850000,2,27000.0,Novatek Public Reports,https://www.novatek.ru,high
Sakhalin-2 LNG,RUS,46.6333,142.7500,onshore_export,export,operational,10.8,2009,Sakhalin Energy,Gazprom,11.0,550000,2,20000.0,Gazprom Public Reports,https://www.gazprom.com,high
Arctic LNG 2,RUS,73.6000,82.9000,onshore_export,export,under_construction,19.8,2026,Novatek,Novatek,8.0,950000,2,21000.0,Novatek Public Reports,https://www.novatek.ru,medium
MLNG Bintulu,MYS,3.2000,113.0500,onshore_export,export,operational,30.0,1983,PETRONAS,PETRONAS,10.0,1200000,3,8000.0,PETRONAS Public Reports,https://www.petronas.com,high
PFLNG Satu,MYS,5.2833,113.0500,flng,export,operational,1.2,2016,PETRONAS,PETRONAS,1200.0,80000,0,1200.0,PETRONAS Public Reports,https://www.petronas.com,high
PFLNG Dua,MYS,4.8333,114.6667,flng,export,operational,1.5,2021,PETRONAS,PETRONAS,1300.0,90000,0,1500.0,PETRONAS Public Reports,https://www.petronas.com,high
Bontang LNG,IDN,-0.1333,117.5000,onshore_export,export,operational,22.5,1977,Pertamina,Pertamina,10.0,1100000,3,5000.0,Pertamina Public Reports,https://www.pertamina.com,high
