Company Name,Area,Block,Well Name,Manned 24 Hrs,Water Depth (ft),Date Installed
Exxon Mobil Corporation,AC,   25,A-Hoover Spar,YES,4825,4/25/2000
Shell Offshore Inc.,AC,  857,A(Perdido),YES,7835,11/12/2009
Anadarko Petroleum Corporation,EB,  602,A(NANSEN SPAR),YES,3675,11/10/2001
Anadarko Petroleum Corporation,EB,  643,A-Boomvang Spar,YES,3650,4/28/2002
Walter Oil & Gas Corporation,EW,  834,A,YES,1186,11/25/2015
Eni US Operating Co. Inc.,EW,  921,A-Morpeth East,YES,1700,8/10/1998
"EnVen Energy Ventures, LLC",EW, 1003,A-Prince TLP,YES,1500,7/18/2001
Hess Corporation,GB,  260,A(BALDPATE),YES,1648,5/31/1998
Shell Offshore Inc.,GB,  426,A-Auger TLP,YES,2860,2/5/1994
Anadarko Petroleum Corporation,GB,  668,A-Gunnison Spar,YES,3150,12/9/2003
"W & T Offshore, Inc.",GB,  783,A-Magnolia TLP,YES,4670,8/5/2004
Fieldwood Energy Offshore LLC,GC,   65,A-Bullwinkle,YES,1353,1/1/1988
"EnVen Energy Ventures, LLC",GC,  158,A-Brutus TLP,YES,2900,6/20/2001
"MC Offshore Petroleum, LLC",GC,  184,A-Jolliet TLP,YES,1760,1/1/1989
Chevron U.S.A. Inc.,GC,  205,A-Genesis Spar,YES,2590,7/21/1998
Talos ERT LLC,GC,  237,B(Helix),YES,2200,6/11/2009
Eni US Operating Co. Inc.,GC,  254,A(ALLEGHENY SEA,YES,3294,8/19/1999
Murphy Exploration & Production Company - USA,GC,  338,A-Front Runner,YES,3330,8/2/2004
Hess Corporation,GC,  468,A,YES,3360,5/29/2017
Anadarko Petroleum Corporation,GC,  608,A(TLP MARCO POL,YES,4300,1/24/2004
BHP Billiton Petroleum (GOM) Inc.,GC,  613,A (Neptune TLP),YES,4250,10/16/2007
Chevron U.S.A. Inc.,GC,  641,A-Tahiti-SPAR,YES,4000,8/8/2008
Anadarko Petroleum Corporation,GC,  645,A(HOLSTEIN SPAR,YES,4340,6/3/2004
BHP Billiton Petroleum (GOM) Inc.,GC,  653,A (MTLP Shenzi),YES,4375,8/25/2008
Anadarko Petroleum Corporation,GC,  680,A (Constitution,YES,4970,12/27/2005
BP Exploration & Production Inc.,GC,  782,A(MAD DOG SPAR),YES,4420,7/30/2004
BP Exploration & Production Inc.,GC,  787,A (Atlantis),YES,7050,1/16/2007
Anadarko Petroleum Corporation,GC,  860,A (Heidelberg),YES,5300,1/7/2016
Anadarko Petroleum Corporation,KC,  875,A (Lucius),YES,7000,3/17/2014
Talos Petroleum LLC,MC,  109,A-Amberjack,YES,1100,1/1/1991
Anadarko Petroleum Corporation,MC,  127,A(HORN MOUNTAIN,YES,5400,6/29/2002
"EnVen Energy Ventures, LLC",MC,  194,A-Cognac,YES,1023,1/1/1978
"W & T Energy VI, LLC",MC,  243,A(MATTERHORN SE,YES,2850,8/3/2003
Murphy Exploration & Production Company - USA,MC,  254,A-Delta House,YES,4400,10/8/2014
Exxon Mobil Corporation,MC,  280,A-Lena CT,YES,1000,1/1/1983
Shell Offshore Inc.,MC,  437,A-Appomattox,YES,7400,6/7/2018
BP Exploration & Production Inc.,MC,  474,A(NA KIKA FPDS),YES,6340,8/2/2003
"LLOG Exploration Offshore, L.L.C.",MC,  547,A- WHO DAT,YES,3280,7/12/2011
Murphy Exploration & Production Company - USA,MC,  582,A-Medusa Spar,YES,2223,8/8/2003
Chevron U.S.A. Inc.,MC,  650,A (Blind Faith),YES,6480,4/18/2008
Hess Corporation,MC,  724,Gulfstar 1,YES,4600,3/9/2014
Fieldwood Energy LLC,MC,  736,A(Thunder Hawk),YES,6050,8/7/2009
Eni US Operating Co. Inc.,MC,  773,A(DEVILS TOWER,YES,5610,2/19/2004
BP Exploration & Production Inc.,MC,  778,A(Thunder Horse,YES,6200,4/1/2005
Shell Offshore Inc.,MC,  807,B(Olympus),YES,3028,7/30/2013
Shell Offshore Inc.,MC,  807,A-Mars TLP,YES,2933,7/18/1996
Shell Offshore Inc.,MC,  809,A-Ursa TLP,YES,3970,12/28/1998
Anadarko Petroleum Corporation,MC,  920,A(Independence ,YES,8000,6/11/2007
Equinor USA E&P Inc.,MC,  941,A(Mirage/Titan),YES,4050,3/6/2010
Chevron U.S.A. Inc.,VK,  786,A-Petronius CT,YES,1754,4/28/2000
"W & T Energy VI, LLC",VK,  823,A (VIRGO),YES,1130,9/17/1999
Fieldwood Energy LLC,VK,  826,A-Neptune Spar,YES,1930,11/19/1996
Anadarko Petroleum Corporation,VK,  915,A-Marlin TLP,YES,3236,7/27/1999
Talos Petroleum LLC,VK,  956,A-Ram Powell,YES,3216,5/21/1997
Talos Petroleum LLC,VK,  989,A,YES,1290,8/19/1994
Chevron U.S.A. Inc.,WR,   29,A-Big Foot,YES,5185,2/19/2018
Murphy Exploration & Production Company - USA,WR,  249,A-BW Pioneer,YES,8300,6/30/2011
Shell Offshore Inc.,WR,  551,A - Turritella,YES,9560,1/1/2016
Chevron U.S.A. Inc.,WR,  718,A - Jack St. Ma,YES,6950,1/5/2014
