API Well Number,Approved Date,Received Date,Permit Type,Water Depth (feet),Well Type,Well Name,Well Name Bp Suffix,Well Name St Suffix,Company Number,Company Name,Bottom Lease Number,Bottom Area,Bottom Block,Surface Lease Number,Surface Area,Surface Block,Rig ID Number,Rig Name,Surface NS Dist,Surface NS Code,Surface EW Dist,Surface EW Code,Surf X Coord Loc,Surf Y Coord Loc,Surface Latitude,Surface Longitude
177004007801,8/20/2010,8/16/2010,Sidetrack,44,D,A009,00,01,01071,"Conn Energy, Inc.",G01997,WC,171,G01997,WC,171,4810,ENTERPRISE 214,5304,N,2096,E,1389355.71,270421.85,29.39625031,-93.250949
177004007801,9/1/2010,8/31/2010,Revised Sidetrack,44,D,A009,00,01,01071,"Conn Energy, Inc.",G01997,WC,171,G01997,WC,171,4810,ENTERPRISE 214,5304,N,2096,E,1389355.71,270421.85,29.39625031,-93.250949
177004007801,9/16/2010,9/15/2010,Revised Sidetrack,44,D,A009,00,01,01071,"Conn Energy, Inc.",G01997,WC,171,G01997,WC,171,4810,ENTERPRISE 214,5304,N,2096,E,1389355.71,270421.85,29.39625031,-93.250949
177004007801,9/22/2010,9/21/2010,Revised Sidetrack,44,D,A009,00,01,01071,"Conn Energy, Inc.",G01997,WC,171,G01997,WC,171,4810,ENTERPRISE 214,5304,N,2096,E,1389355.71,270421.85,29.39625031,-93.250949
177004009101,2/11/2005,2/7/2005,Sidetrack,50,D,004,00,01,01046,The Houston Exploration Company, 00759,WC,173, 00759,WC,173,91219,ENSCO 98,3100,N,5600,E,1415367.80,272625.85,29.40348222,-93.16938806
177004020801,6/22/2007,6/14/2007,Sidetrack,34,D,B009,00,01,00105,Apache Corporation,G02826,WC,66,G02826,WC,66,28535,DIAMOND OCEAN SPARTAN,3509,N,4479,W,1425446.80,360765.14,29.64627646,-93.14210888
177004020801,9/20/2007,9/19/2007,Revised Sidetrack,34,D,B009,00,01,00105,Apache Corporation,G02826,WC,66,G02826,WC,66,28540,DIAMOND OCEAN TITAN,3509,N,4479,W,1425446.80,360765.14,29.64627646,-93.14210888
177004025001,7/15/2011,6/29/2011,Sidetrack,43,E,010,00,01,02851,"Mariner Energy Resources, Inc.", 00081,WC,110, 00081,WC,110,12022,HERCULES 200,4700,S,5000,W,1381693.612065,309941.899672,29.50456071,-93.27711069
177004025001,9/1/2011,9/1/2011,Revised Sidetrack,43,E,010,00,01,02851,"Mariner Energy Resources, Inc.", 00081,WC,110, 00081,WC,110,12022,HERCULES 200,4700,S,5000,W,1381693.612065,309941.899672,29.50456071,-93.27711069
177004025001,11/3/2011,11/2/2011,Revised Sidetrack,43,E,010,00,01,02851,"Mariner Energy Resources, Inc.", 00081,WC,110, 00081,WC,110,12022,HERCULES 200,4700,S,5000,W,1381693.612065,309941.899672,29.50456071,-93.27711069
177004025001,11/8/2011,11/8/2011,Revised Sidetrack,43,E,010,00,01,02851,"Mariner Energy Resources, Inc.", 00081,WC,110, 00081,WC,110,12022,HERCULES 200,4700,S,5000,W,1381693.612065,309941.899672,29.50456071,-93.27711069
177004025001,11/28/2011,11/28/2011,Revised Sidetrack,43,E,010,00,01,02851,"Mariner Energy Resources, Inc.", 00081,WC,110, 00081,WC,110,12022,HERCULES 200,4700,S,5000,W,1381693.612065,309941.899672,29.50456071,-93.27711069
177004025001,11/30/2011,11/30/2011,Revised Sidetrack,43,E,010,00,01,02851,"Mariner Energy Resources, Inc.", 00081,WC,110, 00081,WC,110,12022,HERCULES 200,4700,S,5000,W,1381693.612065,309941.899672,29.50456071,-93.27711069
177004025001,12/6/2011,12/5/2011,Revised Sidetrack,43,E,010,00,01,02851,"Mariner Energy Resources, Inc.", 00081,WC,110, 00081,WC,110,12022,HERCULES 200,4700,S,5000,W,1381693.612065,309941.899672,29.50456071,-93.27711069
177004036603,2/25/2005,2/24/2005,Sidetrack,32,D,C002,00,03,00114,BP America Production Company,G02826,WC,66,G01860,WC,66,91249,ENSCO 81,2622,N,6788,E,1428937.8560,361652.1440,29.64886667,-93.13116389
177004042902,1/6/2005,1/4/2005,Sidetrack,32,D,D007,00,02,00114,BP America Production Company,G01860,WC,66,G03251,WC,34,91249,ENSCO 81,1293,S,2489,W,1438214.85,365567.14,29.66002861,-93.10215306
177004053601,11/12/2004,11/9/2004,Sidetrack,60,D,A008,00,01,01764,"Energy Resource Technology, Inc.",G04087,WC,215,G04087,WC,215,91230,ENSCO 89,2217,N,5364,W,1411573.76,214476.66,29.24342472,-93.17836111
177004063602,1/26/2007,1/17/2007,Sidetrack,43,D,A001,00,02,01376,"Linder Oil Company, A Partnership",G05283,WC,168,G05283,WC,168,90809,GSF HIGH ISLAND I,506,N,6790,E,1340387.5680,275219.8560,29.40709909,-93.40496436
177004063603,5/29/2015,4/9/2015,Sidetrack,43,D,A001,00,03,01376,"Linder Oil Company, A Partnership",G05283,WC,168,G05283,WC,168,90115,ENTERPRISE 264,506,N,6790,E,1340387.283602,275219.443964,29.40709793,-93.40496524
177004063603,7/23/2015,7/23/2015,Revised Sidetrack,43,D,A001,00,03,01376,"Linder Oil Company, A Partnership",G05283,WC,168,G05283,WC,168,90115,ENTERPRISE 264,506,N,6790,E,1340387.283602,275219.443964,29.40709793,-93.40496524
177004063603,7/31/2015,7/30/2015,Revised Sidetrack,43,D,A001,00,03,01376,"Linder Oil Company, A Partnership",G05283,WC,168,G05283,WC,168,90115,ENTERPRISE 264,506,N,6790,E,1340387.283602,275219.443964,29.40709793,-93.40496524
177004063603,8/21/2015,8/21/2015,Revised Sidetrack,43,D,A001,00,03,01376,"Linder Oil Company, A Partnership",G05283,WC,168,G05283,WC,168,90115,ENTERPRISE 264,506,N,6790,E,1340387.283602,275219.443964,29.40709793,-93.40496524
177004063604,8/29/2015,8/28/2015,Bypass,43,D,A001,01,03,01376,"Linder Oil Company, A Partnership",G05283,WC,168,G05283,WC,168,90115,ENTERPRISE 264,506,N,6790,E,1340387.283602,275219.443964,29.40709793,-93.40496524
177004063604,9/3/2015,9/2/2015,Revised Bypass,43,D,A001,01,03,01376,"Linder Oil Company, A Partnership",G05283,WC,168,G05283,WC,168,90115,ENTERPRISE 264,506,N,6790,E,1340387.283602,275219.443964,29.40709793,-93.40496524
177004063605,9/18/2015,9/16/2015,Bypass,43,D,A001,02,03,01376,"Linder Oil Company, A Partnership",G05283,WC,168,G05283,WC,168,90115,ENTERPRISE 264,506,N,6790,E,1340387.283602,275219.443964,29.40709793,-93.40496524
177004063605,10/7/2015,10/6/2015,Revised Bypass,43,D,A001,02,03,01376,"Linder Oil Company, A Partnership",G05283,WC,168,G05283,WC,168,90115,ENTERPRISE 264,506,N,6790,E,1340387.283602,275219.443964,29.40709793,-93.40496524
177004063606,10/15/2015,10/13/2015,Bypass,40,D,A001,03,03,01376,"Linder Oil Company, A Partnership",G05283,WC,168,G05283,WC,168,90115,ENTERPRISE 264,506,N,6790,E,1340387.283602,275219.443964,29.40709793,-93.40496524
177004086301,10/3/2006,9/28/2006,Sidetrack,40,E,012,00,01,00818,"Mariner Energy, Inc.", 00081,WC,110, 00081,WC,110,30406,NOBLE JOE ALFORD,6838,N,544,W,1377237.66,313162,29.513206,-93.2912893
177004086301,10/20/2006,10/20/2006,Revised Sidetrack,40,E,012,00,01,00818,"Mariner Energy, Inc.", 00081,WC,110, 00081,WC,110,30406,NOBLE JOE ALFORD,6838,N,544,W,1377237.66,313162,29.513206,-93.2912893
177004086302,11/27/2006,11/27/2006,Sidetrack,40,E,012,00,02,00818,"Mariner Energy, Inc.", 00081,WC,110, 00081,WC,110,30406,NOBLE JOE ALFORD,6838,N,544,W,1377237.66,313162,29.513206,-93.2912893
177004086302,12/6/2006,12/6/2006,Revised Sidetrack,40,E,012,00,02,00818,"Mariner Energy, Inc.", 00081,WC,110, 00081,WC,110,30406,NOBLE JOE ALFORD,6838,N,544,W,1377237.66,313162,29.513206,-93.2912893
177004093001,3/18/2011,3/3/2011,Sidetrack,29,E,003,00,01,00105,Apache Corporation,G02819,WC,35,G02819,WC,35,12022,HERCULES 200,4006,N,6487,W,1427454.8080,375026.1920,29.68557672,-93.13649471
177004093001,6/2/2011,6/2/2011,Revised Sidetrack,29,E,003,00,01,00105,Apache Corporation,G02819,WC,35,G02819,WC,35,12022,HERCULES 200,4006,N,6487,W,1427454.811244,375026.195234,29.68557672,-93.13649471
177004093001,6/16/2011,6/16/2011,Revised Sidetrack,29,E,003,00,01,00105,Apache Corporation,G02819,WC,35,G02819,WC,35,12022,HERCULES 200,4006,N,6487,W,1427454.811244,375026.195234,29.68557672,-93.13649471
177004098102,7/12/2006,7/10/2006,Sidetrack,70,D,A008,00,02,01819,ATP Oil & Gas Corporation,G02833,WC,237,G02833,WC,237,99901,HERCULES 250,7024,S,4828,W,1440553.8560,164685.4720,29.10776811,-93.08512102
177004098501,6/11/2007,5/31/2007,Sidetrack,32,D,D010,00,01,00105,Apache Corporation,G03256,WC,67,G03251,WC,34,28535,DIAMOND OCEAN SPARTAN,1296,S,2529,W,1438254.8560,365570.1440,29.6600386,-93.1020271
177004099303,2/9/2007,2/2/2007,Sidetrack,55,D,C002,00,03,02859,Offshore Shelf LLC,G27789,WC,181,G03265,WC,198,90915,SEAHAWK 2003,473,N,558,W,1392009.7120,245736.76,29.32849754,-93.24132536
177004108501,7/2/2008,6/30/2008,Sidetrack,66,E,C001,00,01,01963,"Apex Oil & Gas, Inc.",G31293,WC,229,G19708,WC,229,90924,ENTERPRISE 209,510,S,1944,E,1374749.6640,172929.52,29.12750659,-93.29157609
177004110901,1/15/2008,1/11/2008,Sidetrack,33,D,A004,00,01,00105,Apache Corporation, 00526,WC,68, 00526,WC,68,91228,ENSCO 90,3524,S,5780,E,1459461.9520,353040.0960,29.62646783,-93.03467937
177004111802,12/7/2004,12/1/2004,Sidetrack,31,D,A001,00,02,02427,"Virgin Offshore U.S.A., Inc.",G17753,WC,41,G17753,WC,41,93513,HERCULES 152,7799,S,3435,E,1343742.5680,372073.1440,29.67357,-93.399915
177004114203,11/25/2005,11/2/2005,Sidetrack,40,D,A003,00,01,02266,"Energy Partners, Ltd.",G12757,WC,98,G12757,WC,98,90825,GSF HIGH ISLAND VIII,4465,S,3767,E,1372926.6640,324465,29.54408171,-93.30545173
177004114203,8/4/2006,8/2/2006,Revised Sidetrack,40,D,A003,00,01,02266,"Energy Partners, Ltd.",G12757,WC,98,G12757,WC,98,90825,GSF HIGH ISLAND VIII,4465,S,3767,E,1372926.6640,324465,29.54408171,-93.30545173
177004114203,8/21/2006,8/16/2006,Revised Sidetrack,40,D,A003,00,01,02266,"Energy Partners, Ltd.",G12757,WC,98,G12757,WC,98,90825,GSF HIGH ISLAND VIII,4465,S,3767,E,1372926.6640,324465,29.54408171,-93.30545173
177004114204,9/5/2006,9/5/2006,Bypass,40,D,A003,01,01,02266,"Energy Partners, Ltd.",G12757,WC,98,G12757,WC,98,90825,GSF HIGH ISLAND VIII,4465,S,3767,E,1372926.6640,324465,29.54408171,-93.30545173
177004114205,9/8/2006,9/8/2006,Bypass,40,D,A003,02,01,02266,"Energy Partners, Ltd.",G12757,WC,98,G12757,WC,98,90825,GSF HIGH ISLAND VIII,4465,S,3767,E,1372926.6640,324465,29.54408171,-93.30545173
177004114205,9/22/2006,9/22/2006,Revised Bypass,40,D,A003,02,01,02266,"Energy Partners, Ltd.",G12757,WC,98,G12757,WC,98,90825,GSF HIGH ISLAND VIII,4465,S,3767,E,1372926.6640,324465,29.54408171,-93.30545173
177004114206,9/27/2006,9/26/2006,Bypass,40,D,A003,03,01,02266,"Energy Partners, Ltd.",G12757,WC,98,G12757,WC,98,90825,GSF HIGH ISLAND VIII,4465,S,3767,E,1372926.6640,324465,29.54408171,-93.30545173
