SN_APD,API_WELL_NUMBER,MMS_COMPANY_NUM,KICKOFF_POINT_MD,WELL_NAME,WELL_NM_BP_SFIX,WELL_NM_ST_SFIX,WATER_DEPTH,PERMIT_TYPE,PRP_RKB_ELEV,MINERAL_CODE,REQ_SPUD_DATE,SUBSEA_BOP_FLAG,WELL_TYPE_CODE,DRIVE_DEPTH,DRIVE_SIZE,SURF_AREA_CODE,SURF_BLOCK_NUMBER,SURF_LEASE_NUMBER,SURF_STATE_LEASE_NUM,SURF_X_COORD_LOC,SURF_Y_COORD_LOC,SURF_LATITUDE,SURF_LONGITUDE,SURF_E_W_DISTANCE,SURF_E_W_CODE,SURF_N_S_DISTANCE,SURF_N_S_CODE,BOTM_AREA_CODE,BOTM_BLOCK_NUMBER,BOTM_LEASE_NUMBER,BOTM_STATE_LEASE_NUM,SV_PLAN_CTRL_CD,SV_PLAN_CTRL_NUM,SV_SURF_LEASE_NUM,SV_SURF_AREA_CODE,SV_SURF_BLOCK_NUM,SV_WELL_NAME,BV_PLAN_CTRL_CD,BV_PLAN_CTRL_NUM,BV_BOTM_LEASE_NUM,BV_BOTM_AREA_CODE,BV_BOTM_BLOCK_NUM,BV_WELL_NAME,RIG_ANCHOR_FLAG,RIG_NAME,RIG_TYPE_CODE,RIG_ID_NUM,RIG_FUNC_CODE,CONSTRUCTION_YR,SHIPYARD_NAME,REFURBISHED_YR,RATED_WTR_DEPTH,RATE_DRIL_DEPTH,ABS_CERT_EXPR_DT,CG_CERT_EXPR_DT,SAFE_BRN_APRV_DT,SAFE_BURN_DIST,SAFE_BRN_RMK,BUS_ASC_NAME,APD_SUB_STATUS_DT,APD_STATUS_DT,REGION_CODE
-15297,177114156300,3093,,002,0,0,60,New Well,120,H,11/5/2014,N,D,480,30,SS,171,G33645,,2076825.045261,-6050.341012,28.64980917,-91.09387083,1175,E,5973,S,SS,171,G33645,,N,9784,G33645,SS,  171,C-1,N,9784,G33645,SS,  171,C-1,N,ENTERPRISE 253,JACKUP,99904,D,1982.0,BETHLEHEM,,250.0,25000,9/30/2017,7/31/2015,3/8/2004,GOMR Lafayette District,"Superceeds approval 07/26/95 when rig was Falcon rig 20.Superceeds approval 08/02/01 District 2, when rig was R&B Falcon 253.

USCG cert EXPIRED 9/14/12   ABS Exp 9/30/12 - added temp cert exp date of 10/25/12 so that operator could submit APM",Bois d' Arc Exploration LLC,10/15/2014 3:19:37 PM,12/16/2014 3:15:50 PM,G
-15298,608074031400,2873,,002,0,0,4878,New Well,81,H,2/20/2015,Y,E,5229,36,GB,958,G32460,,1883708.961899,9813161.011103,27.0412575,-92.25233111,1251,E,7639,N,GB,959,G30876,,S,7689,G32460,GB,  958,BB,S,7689,G30876,GB,  959,BB,N,VALARIS DS-17 (ROWAN RELIANCE),DRILLSHIP,100032,D,2015.0,Hyundai Hvy Ind,,12000.0,40000,11/6/2019,2/2/2019,1/28/2015,GOMR Lafayette District,,"Cobalt International Energy, L.P.",11/20/2014 2:11:12 PM,2/2/2015 3:52:40 PM,G
-15300,608174128900,2647,,006,0,0,2047,Revised New Well,92,H,9/16/2014,Y,E,2399,36,MC,538,G16614,,853733.999037,10315225.025445,28.402795,-89.4474275,1626,E,3385,S,MC,538,G16614,,S,7590,G16614,MC,  538,SS006,S,7590,G16614,MC,  538,SS006,N,T.O. DISCOVERER DEEP SEAS,DRILLSHIP,46105,D,2000.0,"ASTANO, SPAIN",,10000.0,40000,1/5/2016,1/5/2017,,,"No SW&B Plan - will permit welding on case-by-case basis - DJT.
DNV certificate.",Murphy Exploration & Production Company - USA,10/14/2014 12:34:46 PM,10/14/2014 2:06:46 PM,G
-15311,177104167601,2628,4579.0,K018,0,1,269,Sidetrack,165,H,10/16/2014,N,D,690,26,EI,338,G02118,,1892595.107376,-170996.68471,28.19607611,-91.66661694,2250,E,5932,N,EI,338,G02118,,S,7543,G02118,EI,  338,J,S,7543,G02118,EI,  338,J,N,H&P 100,PLATFORM,94104,D,,Unknown,,0.0,30000,,,6/12/2020,GOMR Houma District,"The following conditions shall apply to this approval;
The doors must be closed during all hot work.
All hot work will cease during any flowback of well fluids through temporary equipment on the rig.
The designated safe welding area shall be clearly marked and identified on the rig.","Arena Offshore, LP",10/16/2014 11:08:54 AM,10/16/2014 2:45:13 PM,G
-15329,608084004700,78,,002,0,0,6827,Revised New Well,82,H,8/25/2014,Y,E,7230,36,KC,785,G25806,,1931888.044273,9513208.992304,26.21497167,-92.11069611,592,E,6631,N,KC,785,G25806,,S,7655,G25806,KC,  785,BMP 3,S,7655,G25806,KC,  785,BMP 3,N,NOBLE STANLEY LAFOSSE (FKA PACIFIC SHARAV),DRILLSHIP,51090,D,2014.0,SAMSUNG KOREA,,12000.0,40000,5/13/2029,6/13/2025,,,"Any welding performed on the Pacific Sharav will follow Chevron's Welding Plan as approved by the BSEE New Orleans District on May 17, 2017.",Chevron U.S.A. Inc.,10/20/2014 8:41:26 AM,10/21/2014 6:05:40 AM,G
-15325,608114061500,2481,,MD018,0,0,4428,Revised New Well,168,H,8/1/2014,N,D,4887,36,GC,782,G15610,,2528148.750036,9875546.333551,27.18830972,-90.26887639,6251,E,7226,S,GC,781,G15609,,R,5519,G15610,GC,  782,P,R,5519,G15610,GC,  782,P,N,MAD DOG SPAR RIG,PLATFORM,51323,D,2012.0,KOS INGLESIDE,,4450.0,30000,11/8/2024,10/15/2024,,,,BP Exploration & Production Inc.,10/18/2014 8:00:51 PM,10/22/2014 10:26:30 AM,G
-15330,177104167800,2628,,K017,0,0,269,New Well,165,H,11/5/2014,N,D,690,26,EI,338,G02118,,1892616.906473,-170980.784026,28.19612,-91.66654944,2228,E,5916,N,EI,338,G02118,,S,7543,G02118,EI,  338,N,S,7543,G02118,EI,  338,N,N,H&P 100,PLATFORM,94104,D,,Unknown,,0.0,30000,,,6/12/2020,GOMR Houma District,"The following conditions shall apply to this approval;
The doors must be closed during all hot work.
All hot work will cease during any flowback of well fluids through temporary equipment on the rig.
The designated safe welding area shall be clearly marked and identified on the rig.","Arena Offshore, LP",10/21/2014 9:57:49 AM,11/6/2014 10:50:18 AM,G
-15331,177144001205,78,5600.0,076,0,4,43,Revised Sidetrack,87,H,10/15/2014,N,D,237,36,BM,2,,,2377242.73288,144503.004473,29.05868284,-90.1526782,2465,W,10173,S,BM,2, 00369,,S,5877,,BM,    2,76,S,5877, 00369,BM,    2,76,N,HERCULES 173,JACKUP,90103,D,1971.0,VICKSBURG,,173.0,15000,5/31/2016,5/21/2016,5/27/2009,GOMR Lafayette District,Rig name change to HERCULES 173 issued new stamped drawings on 5-27-09.,Chevron U.S.A. Inc.,10/20/2014 9:25:45 AM,10/22/2014 10:17:03 AM,G
-15333,608174128900,2647,,006,0,0,2047,Revised New Well,92,H,9/16/2014,Y,E,2399,36,MC,538,G16614,,853733.999037,10315225.025445,28.402795,-89.4474275,1626,E,3385,S,MC,538,G16614,,S,7590,G16614,MC,  538,SS006,S,7590,G16614,MC,  538,SS006,N,T.O. DISCOVERER DEEP SEAS,DRILLSHIP,46105,D,2000.0,"ASTANO, SPAIN",,10000.0,40000,1/5/2016,1/5/2017,,,"No SW&B Plan - will permit welding on case-by-case basis - DJT.
DNV certificate.",Murphy Exploration & Production Company - USA,10/20/2014 1:15:22 PM,10/20/2014 3:41:14 PM,G
-15449,608174112305,689,13422.0,PI001,0,3,3853,Revised Sidetrack,82,H,8/18/2014,Y,D,4136,36,MC,809,G05868,,966092.966689,10224167.522976,28.15824905,-89.09317492,147,E,7368,S,MC,810,G09873,,S,7022,G05868,MC,  809,PI-1,R,5873,G09873,MC,  810,PI001ST,N,NOBLE DON TAYLOR,DRILLSHIP,92600,D,2013.0,HYUNDAI,,10000.0,40000,4/29/2023,6/25/2021,,,,Shell Offshore Inc.,11/6/2014 1:22:28 PM,11/12/2014 4:31:10 PM,G
