WATER_DEPTH,API_WELL_NUMBER,PRODUCTION_DATE,WELL_STAT_CD
227,177104052300,9/30/1991,8
227,177104052300,10/31/1991,8
227,177104052300,11/30/1991,8
227,177104052300,1/31/1992,9
227,177104052300,2/29/1992,9
227,177104052300,3/31/1992,9
227,177104052300,4/30/1992,9
227,177104052300,5/31/1992,9
227,177104052300,6/30/1992,9
227,177104052300,7/31/1992,9
227,177104052300,9/30/1992,9
227,177104052300,10/31/1992,9
227,177104052300,11/30/1992,9
227,177104052300,12/31/1992,9
227,177104052300,1/31/1993,9
227,177104052300,2/28/1993,9
227,177104052300,3/31/1993,9
227,177104052300,4/30/1993,9
227,177104052300,5/31/1993,9
227,177104052300,6/30/1993,9
227,177104052300,7/31/1993,9
227,177104052300,8/31/1993,9
227,177104052300,9/30/1993,9
227,177104052300,10/31/1993,9
227,177104052300,11/30/1993,9
227,177104052300,12/31/1993,9
227,177104052300,1/31/1994,9
227,177104052300,2/28/1994,9
227,177104052300,3/31/1994,9
227,177104052300,4/30/1994,9
227,177104052300,5/31/1994,9
227,177104052300,6/30/1994,9
227,177104052300,10/31/1989,11
227,177104052300,11/30/1989,11
227,177104052300,12/31/1989,11
227,177104052300,1/31/1990,11
227,177104052300,2/28/1990,11
227,177104052300,3/31/1990,11
227,177104052300,4/30/1990,11
227,177104052300,4/30/1991,11
227,177104052300,9/30/1992,11
227,177104052300,6/30/1993,11
227,177104052300,12/31/1993,11
227,177104052300,3/31/1994,11
218,177104086500,8/31/1980,1
218,177104086500,9/30/1980,1
218,177104086500,11/30/1981,1
218,177104086500,1/31/1985,11
218,177104086500,2/28/1985,11
218,177104086500,3/31/1985,11
218,177104086500,4/30/1985,11
218,177104086500,5/31/1985,11
218,177104086500,6/30/1985,11
218,177104086500,7/31/1985,11
218,177104086500,8/31/1985,11
218,177104086500,9/30/1985,11
218,177104086500,10/31/1985,11
218,177104086500,11/30/1985,11
218,177104086500,12/31/1985,11
218,177104086500,1/31/1986,11
218,177104086500,2/28/1986,11
218,177104086500,3/31/1986,11
218,177104086500,4/30/1986,11
218,177104086500,5/31/1986,11
218,177104086500,6/30/1986,11
218,177104086500,7/31/1986,11
218,177104086500,8/31/1986,11
218,177104086500,9/30/1986,11
218,177104086500,10/31/1986,11
218,177104086500,11/30/1986,11
218,177104086500,12/31/1986,11
218,177104086500,2/28/1987,11
218,177104086500,3/31/1987,11
218,177104086500,4/30/1987,11
218,177104086500,5/31/1987,11
218,177104086500,6/30/1987,11
218,177104086500,7/31/1987,11
218,177104086500,8/31/1987,11
218,177104086500,9/30/1987,11
218,177104086500,10/31/1987,11
218,177104086500,12/31/1987,11
215,177104086600,6/30/1980,1
215,177104086600,7/31/1980,1
215,177104086600,10/31/1981,1
215,177104086600,11/30/1981,1
215,177104086600,1/31/1985,8
215,177104086600,2/28/1985,8
215,177104086600,3/31/1985,8
215,177104086600,4/30/1985,8
215,177104086600,5/31/1985,8
215,177104086600,6/30/1985,8
215,177104086600,7/31/1985,8
215,177104086600,8/31/1985,8
215,177104086600,9/30/1985,8
215,177104086600,10/31/1985,8
215,177104086600,11/30/1985,8
215,177104086600,12/31/1985,8
215,177104086600,1/31/1986,8
215,177104086600,2/28/1986,8
215,177104086600,3/31/1986,8
