SN_RUE,RUE_NUMBER,TEMP,BUS_ASC_NAME
28,G22067,TERMIN,"W & T Offshore, Inc."
203,G23558,TERMIN,"W & T Offshore, Inc."
232,G23587,TERMIN,"W & T Offshore, Inc."
424,G30077,TERMIN,"W & T Offshore, Inc."
421,G30074,TERMIN,"W & T Offshore, Inc."
449,G30102,TERMIN,"W & T Offshore, Inc."
452,G30105,TERMIN,"W & T Offshore, Inc."
472,G30125,A,"W & T Offshore, Inc."
515,G30168,TERMIN,"W & T Offshore, Inc."
538,G30190,TERMIN,"W & T Offshore, Inc."
749,G30401,X,"W & T Offshore, Inc."
779,G30431,A,"W & T Offshore, Inc."
777,G30429,A,"W & T Offshore, Inc."
778,G30430,A,"W & T Offshore, Inc."
775,G30427,A,"W & T Offshore, Inc."
444,G30097,TERMIN,Petrobras America Inc.
447,G30100,TERMIN,Petrobras America Inc.
691,G30343,TERMIN,Petrobras America Inc.
7,G21991,TERMIN,"Aviva America, Inc."
134,G21915,TERMIN,Unocal Pipeline Company
380,G30033,TERMIN,"EOG Resources, Inc."
381,G30034,TERMIN,"EOG Resources, Inc."
395,G30048,TERMIN,"EOG Resources, Inc."
41,G21903,TERMIN,Sandefer Offshore Production Co.
157,G21919,A,"Sandefer Oil & Gas, Inc."
171,G21983,TERMIN,Mobil Exploration and Producing North America Inc.
54,G21921,TERMIN,Union Texas Petroleum Corporation
123,G21935,TERMIN,Anadarko Petroleum Corporation
124,G21939,TERMIN,Anadarko Petroleum Corporation
271,G23626,TERMIN,Anadarko Petroleum Corporation
578,G30230,A,Anadarko Petroleum Corporation
625,G30277,A,Anadarko Petroleum Corporation
293,G23648,TERMIN,Anadarko Petroleum Corporation
715,G30367,A,Anadarko Petroleum Corporation
34,G22024,TERMIN,CNG Pipeline Company
33,G21923,TERMIN,CNG Pipeline Company
47,G21987,TERMIN,Hall-Houston Oil Company
101,G21989,TERMIN,Hall-Houston Oil Company
133,G21914,TERMIN,Hall-Houston Oil Company
162,G21926,TERMIN,Hall-Houston Oil Company
46,G21928,TERMIN,Hall-Houston Oil Company
198,G23553,TERMIN,Hall-Houston Oil Company
143,G21927,TERMIN,Houston Oil Fields Company
69,G22020,TERMIN,Taylor Energy Company
481,G30134,TERMIN,Marathon Oil Company
132,G21909,X,Walter Oil & Gas Corporation
194,G23549,TERMIN,Walter Oil & Gas Corporation
259,G23614,TERMIN,Walter Oil & Gas Corporation
296,G23651,A,Walter Oil & Gas Corporation
345,G23699,TERMIN,Walter Oil & Gas Corporation
349,G30002,TERMIN,Walter Oil & Gas Corporation
350,G30003,TERMIN,Walter Oil & Gas Corporation
412,G30065,A,Walter Oil & Gas Corporation
415,G30068,TERMIN,Walter Oil & Gas Corporation
551,G30203,TERMIN,Walter Oil & Gas Corporation
605,G30257,TERMIN,Walter Oil & Gas Corporation
735,G30387,TERMIN,Walter Oil & Gas Corporation
721,G30373,A,Walter Oil & Gas Corporation
730,G30382,TERMIN,Walter Oil & Gas Corporation
751,G30403,X,Walter Oil & Gas Corporation
738,G30390,A,Walter Oil & Gas Corporation
760,G30412,A,Walter Oil & Gas Corporation
42,G21922,TERMIN,Koch Exploration Company
120,G22002,TERMIN,Shell Offshore Inc.
116,G21984,TERMIN,Shell Offshore Inc.
117,G21990,TERMIN,Shell Offshore Inc.
127,G22023,TERMIN,Shell Offshore Inc.
102,G21920,TERMIN,Shell Offshore Inc.
179,G22076,TERMIN,Shell Offshore Inc.
5,G22079,TERMIN,Shell Offshore Inc.
122,G22088,TERMIN,Shell Offshore Inc.
200,G23555,TERMIN,Shell Offshore Inc.
211,G23566,TERMIN,Shell Offshore Inc.
248,G23603,TERMIN,Shell Offshore Inc.
342,G23696,TERMIN,Shell Offshore Inc.
392,G30045,TERMIN,Shell Offshore Inc.
393,G30046,TERMIN,Shell Offshore Inc.
468,G30121,TERMIN,Shell Offshore Inc.
273,G23628,TERMIN,Shell Offshore Inc.
365,G30018,TERMIN,Shell Offshore Inc.
571,G30223,TERMIN,Shell Offshore Inc.
588,G30240,TERMIN,Shell Offshore Inc.
593,G30245,TERMIN,Shell Offshore Inc.
585,G30237,TERMIN,Shell Offshore Inc.
583,G30235,TERMIN,Shell Offshore Inc.
622,G30274,TERMIN,Shell Offshore Inc.
624,G30276,TERMIN,Shell Offshore Inc.
570,G30222,TERMIN,Shell Offshore Inc.
656,G30308,TERMIN,Shell Offshore Inc.
669,G30321,TERMIN,Shell Offshore Inc.
727,G30379,A,Shell Offshore Inc.
741,G30393,A,Shell Offshore Inc.
667,G30319,TERMIN,Shell Offshore Inc.
782,G30434,A,Shell Offshore Inc.
728,G30380,A,Shell Offshore Inc.
50,G21947,TERMIN,"ROBERTS OIL AND GAS, INC."
149,G22014,TERMIN,Seneca Resources Corporation
361,G30014,TERMIN,Seneca Resources Corporation
141,G22025,TERMIN,"EP Energy Management, L.L.C."
90,G22082,TERMIN,"EP Energy Management, L.L.C."
