FIELD_NAME_CODE,LEASE_NUMBER,COMPLETION_NAME,API_WELL_NUMBER,RESERVOIR_NAME,BHTST_DATE,SI_TIME,BHTST_TEMP,BHTST_SI_PRSS,BHTST_MD,BHTST_TVD,BHTST_PRESSURE,REMARK,REGION_CODE
WD027,G01331,  010,177190078000,K-5,6/15/1994,24,240,240,14058.0,,4867.0,,G
WD027,G01331,  010,177190078000,K-5,6/15/1994,24,240,240,14058.0,,4901.0,,G
WD027,G01331,  010,177190078000,K-5,6/15/1994,24,240,240,14938.0,,5233.0,,G
WD027,G01331,  010,177190078000,K-5,6/15/1994,24,240,240,14938.0,,5271.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,40.0,,2128.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,40.0,,2148.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,2040.0,,2254.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,2040.0,,2275.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,4040.0,,2380.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,4040.0,,2397.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,6040.0,,2514.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,6040.0,,2524.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,8040.0,,2651.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,8040.0,,2654.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,10040.0,,2758.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,10040.0,,2783.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,12040.0,,2892.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,12040.0,,2913.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,12540.0,,2925.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,12540.0,,2941.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,13040.0,,2958.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,13040.0,,2971.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,13715.0,,3002.0,,G
WD027,G01331,  013,177190112600,K-3A,8/31/1994,-,230,2150,13715.0,,3014.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,36.0,,2054.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,36.0,,2064.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,2036.0,,2178.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,2036.0,,2189.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,4036.0,,2304.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,4036.0,,2313.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,6036.0,,2430.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,6036.0,,2433.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,8036.0,,2557.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,8036.0,,2558.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,10036.0,,2694.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,10036.0,,2701.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,12036.0,,2868.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,12036.0,,2880.0,,G
