SN_APD_CSG_INTV,SN_APD_FK,CSNG_INTV_NUM,CSNG_INTV_TYPE_CD,CSNG_INTV_NAME,CSNG_HOLESIZE,CSNG_MUD_WGT_PPG,CSNG_MUD_TYPE_CD,CSNG_FRAC_GRAD_PPG,CSNG_TOP_MD,CSNG_CEMENT_VOL,CSNG_PREVENTER_CD,CSNG_BOP_STACK_SIZE,CSNG_WELLHEAD_RATING,CSNG_ANNULAR_RATING,CSNG_BOP_RATING,CSNG_ANNULAR_TEST_PRSS,CSNG_BOP_DIV_TEST_PRSS,CSNG_MUD_TEST_PRSS,CSNG_LINER_TEST,CSNG_FORMATION_TEST_PRSS
-360165,-16347,1,C,S,26.0,12.0,WBM,12.8,0.0,4815.0,BOP,18.75,15000.0,10000.0,15000.0,4700,6600,8.6,4800.0,12.1
-360166,-16347,2,L,I,20.0,11.4,SBM,13.9,6850.0,1724.0,BOP,18.75,15000.0,10000.0,15000.0,4700,6600,11.4,3800.0,13.9
-360167,-16347,3,L,I,17.5,12.8,SBM,14.9,15504.0,1786.0,BOP,18.75,15000.0,10000.0,15000.0,4700,6600,12.8,2600.0,14.0
-360168,-16347,4,L,P,14.5,12.8,SBM,15.7,19675.0,5705.0,BOP,18.75,15000.0,10000.0,15000.0,4700,6600,12.8,2600.0,0.0
-360552,-16353,1,C,C,32.0,8.6,WBM,9.5,,1849.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-360553,-16353,2,C,S,26.0,10.5,WBM,9.5,,3813.0,BOP,18.75,15000.0,10000.0,15000.0,7000,10000,8.6,2629.0,12.0
-360554,-16353,3,L,S,21.0,11.4,SBM,12.0,7600.0,1445.0,BOP,18.75,15000.0,10000.0,15000.0,7000,10000,11.7,2700.0,15.5
-360555,-16353,4,L,I,19.0,14.8,SBM,16.0,4720.0,2158.0,BOP,18.75,15000.0,10000.0,15000.0,6700,10000,14.8,6700.0,16.1
-360556,-16353,5,L,I,16.5,14.8,SBM,16.7,12100.0,450.0,BOP,18.75,15000.0,10000.0,15000.0,6700,10000,14.8,2400.0,15.5
-360557,-16353,6,L,I,13.5,14.0,SBM,15.5,21675.0,725.0,BOP,18.75,15000.0,10000.0,15000.0,6900,10000,14.0,2400.0,15.6
-360558,-16353,7,C,P,12.25,14.7,SBM,16.1,21575.0,5345.0,BOP,18.75,15000.0,10000.0,15000.0,6700,10000,14.7,2300.0,
-360741,-16356,2,L,P,6.0,16.6,WBM,18.0,13120.0,220.0,BOP,18.75,10000.0,10000.0,15000.0,7000,8500,16.6,1300.0,18.0
-360740,-16356,1,L,P,8.5,16.3,WBM,17.7,9564.0,702.0,BOP,18.75,10000.0,10000.0,15000.0,7000,8500,16.3,1500.0,17.1
-360742,-16356,3,C,P,8.5,0.0,WBM,0.0,,243.0,BOP,18.75,10000.0,10000.0,15000.0,7000,8500,16.3,4400.0,0.0
-317606,-14675,1,C,C,30.0,8.8,GSW,10.2,,2474.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-317607,-14675,2,C,S,24.0,9.7,GSW,12.1,,4961.0,BOP,18.75,15000.0,10000.0,15000.0,4600,4600,8.6,2340.0,12.1
-317608,-14675,3,L,I,20.0,11.4,SBM,13.1,7200.0,1460.0,BOP,18.75,15000.0,10000.0,15000.0,4600,4600,11.4,820.0,13.1
-317609,-14675,4,C,I,17.0,12.3,SBM,14.6,,1467.0,BOP,18.75,15000.0,10000.0,15000.0,4600,4600,12.3,4180.0,14.6
-317610,-14675,5,O,O,12.25,13.4,SBM,15.7,,,BOP,18.75,15000.0,10000.0,15000.0,4600,4600,13.4,,
-317663,-14677,1,C,C,32.5,12.0,WBM,9.2,6656.0,1378.0,,,5000.0,0.0,0.0,0,0,0.0,0.0,0.0
-317664,-14677,2,C,S,26.0,12.0,WBM,10.2,,2561.0,BOP,18.75,15000.0,10000.0,15000.0,4600,4600,8.7,3700.0,10.2
-317665,-14677,3,L,I,21.0,9.2,SBM,13.3,8300.0,331.0,BOP,18.75,15000.0,10000.0,15000.0,4600,4600,9.2,3400.0,13.3
-317666,-14677,4,C,I,16.5,11.6,SBM,13.6,,236.0,BOP,18.75,15000.0,10000.0,15000.0,4600,4600,11.6,4000.0,13.6
-317667,-14677,5,O,O,12.25,12.2,SBM,13.8,,,BOP,18.75,15000.0,10000.0,15000.0,4600,4600,12.2,,13.8
-317724,-14670,1,C,C,35.5,9.1,WBM,9.6,0.0,3174.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-317725,-14670,2,C,S,32.0,9.5,WBM,10.0,0.0,2420.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-317726,-14670,3,C,S,26.0,10.5,WBM,11.1,0.0,4900.0,BOP,18.75,15000.0,10000.0,15000.0,5900,5900,8.6,4500.0,11.1
-317924,-14681,5,L,P,8.5,16.8,WBM,18.2,8850.0,311.0,BOP,13.625,10000.0,5000.0,10000.0,3500,6000,16.8,4000.0,0.0
-322153,-14839,1,C,C,32.5,10.0,WBM,10.0,5747.0,3499.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-322154,-14839,2,C,S,26.0,11.5,WBM,14.2,5744.0,9089.0,BOP,18.75,15000.0,10000.0,15000.0,4500,7500,8.6,4500.0,14.2
