"SN_WAR_CSNG_INTV_FK","SN_WAR_FK","CSNG_SETTING_BOTM_MD","CSNG_SETTING_TOP_MD"
"-136076","-104844","17042","12829"
"-136149","-104923","1969","0"
"-136150","-104923","7225","0"
"-135696","-104513","4210","0"
"-136021","-104801","3491","0"
"-135885","-104637","2470","0"
"-135469","-104323","807","0"
"-134788","-103779","6664","0"
"-135444","-104312","12346","0"
"-135382","-104254","1018","0"
"-136084","-104846","4202","0"
"-136202","-104943","20977","0"
"-136203","-104943","26710","20706"
"-136204","-104943","10219","0"
"-136206","-104944","11987","0"
"-136207","-104944","15000","0"
"-136209","-104944","9847","0"
"-136161","-104933","10300","0"
"-136165","-104933","16730","15979"
"-135610","-104451","1301","0"
"-135612","-104451","15652","0"
"-135298","-104182","3441","0"
"-135299","-104182","9614","0"
"-135301","-104185","1190","0"
"-136287","-105002","12061","0"
"-136542","-105195","3882","0"
"-135583","-104413","21841","19437"
"-136612","-105276","16107","12420"
"-136099","-104867","10851","0"
"-136049","-104822","14570","0"
"-136229","-104948","830","0"
"-136589","-105262","13074","7999"
"-136590","-105262","14200","12830"
"-136593","-105262","16028","0"
"-136105","-104868","14347","12063"
"-134906","-103857","6476","4816"
"-134908","-103857","13695","9102"
"-136011","-104798","6476","4816"
"-136133","-104887","800","0"
"-136281","-104991","1500","0"
"-136282","-104991","6433","0"
"-134637","-103609","1999","0"
"-136680","-105338","10001","0"
"-135098","-104028","5149","0"
"-135103","-104028","17150","10480"
"-136804","-105409","13000","11990"
"-136840","-105430","7065","10"
"-135149","-104065","1007","0"
"-134752","-103753","3848","0"
"-134676","-103672","25642","19876"
"-136025","-104802","9860","0"
"-135556","-104393","5558","0"
"-135944","-104746","9614","0"
"-135947","-104747","3933","0"
"-135992","-104660","11164","0"
"-136918","-105487","5308","0"
"-136568","-105226","2020","0"
"-136260","-104972","1050","0"
"-136262","-104972","11984","0"
"-136564","-105221","900","0"
"-136846","-105437","2100","0"
"-136847","-105437","7342","0"
"-136732","-105382","6664","0"
"-136733","-105382","8473","0"
"-136455","-105144","8213","0"
"-136456","-105144","14512","7187"
"-136579","-105233","26710","20706"
"-136580","-105233","17830","0"
"-135154","-104068","3848","0"
"-136481","-105157","7708","0"
"-136292","-105006","9442","0"
"-136790","-105402","7381","0"
"-136792","-105402","18561","16624"
"-135553","-104392","20071","0"
"-136347","-105067","21760","18575"
"-136424","-105135","5485","0"
"-136426","-105135","13067","0"
"-137149","-105726","812","0"
"-136402","-105099","830","0"
"-135534","-104381","11742","0"
"-137433","-105909","4380","0"
"-137434","-105909","14994","0"
"-135625","-104462","5861","0"
"-135732","-104533","15391","14047"
"-135732","-104533","1000","0"
"-137134","-105713","10917","0"
"-136962","-105544","4600","0"
"-136444","-105140","13891","10150"
"-137036","-105600","9860","0"
"-137537","-106011","3305","0"
"-136889","-105458","10676","0"
"-136890","-105458","11742","0"
"-136731","-105380","19411","16854"
"-136829","-105416","15487","0"
"-136947","-105525","4552","0"
"-136883","-105455","12470","9368"
"-136896","-105460","12061","0"
"-136682","-105340","1512","0"
"-137379","-105890","4504","0"
"-136921","-105506","3570","0"
"-136118","-104877","8459","0"
"-137152","-105736","7077","0"
"-137058","-105626","9754","0"
"-137155","-105738","4600","0"
"-137220","-105815","7832","0"
"-137679","-106121","1060","0"
"-137619","-106048","7381","0"
"-137066","-105636","5000","0"
"-137533","-106007","5010","0"
"-137091","-105677","6670","0"
"-137087","-105672","9182","0"
"-137232","-105823","23240","17781"
"-137186","-105800","25602","19251"
"-137656","-106086","11351","0"
"-137866","-105629","2518","0"
"-137853","-106241","4500","0"
"-137865","-106254","4500","0"
"-137916","-106297","7681","0"
"-137918","-106297","15000","0"
"-137920","-106297","9847","0"
"-137920","-106297","11758","0"
"-137920","-106297","20706","0"
"-138002","-106342","4250","0"
"-138003","-106342","11984","0"
"-137097","-105691","4180","0"
"-136091","-104866","1023","0"
"-137982","-106246","2518","0"
"-137078","-105659","20071","0"
"-137639","-106082","9730","9310"
"-137692","-106132","4529","0"
"-137612","-106042","8108","0"
"-138070","-106378","16761","0"
"-136703","-104459","4975","0"
"-136563","-105219","3251","0"
"-137278","-105837","3318","0"
"-138051","-106368","10922","0"
"-138265","-106540","1401","0"
"-137944","-106305","2029","0"
"-137372","-105888","5120","0"
"-135814","-104589","5868","0"
"-137642","-106084","12061","0"
"-137643","-106084","15221","11896"
"-137514","-105993","8975","6630"
"-137674","-106117","12901","0"
"-137674","-106117","14807","0"
"-138503","-106717","3318","0"
"-138579","-106798","4050","0"
"-137494","-105981","1195","0"
"-138333","-106601","3068","0"
"-138335","-106602","5010","0"
"-138213","-106491","900","0"
"-138315","-106568","9688","0"
"-138058","-106371","9852","0"
"-138182","-106478","7708","0"
"-138186","-106478","25602","19251"
"-138147","-106465","8213","0"
"-138150","-106465","23837","19114"
"-137387","-105891","11010","6878"
"-138624","-106836","9041","0"
"-138626","-106836","16991","11761"
"-138782","-106935","12046","0"
"-138606","-106816","818","0"
"-138251","-106523","9754","0"
"-138794","-106941","12091","0"
"-138796","-106941","16790","13435"
"-138726","-106896","9847","0"
"-138726","-106896","17830","0"
"-135452","-104315","5018","0"
"-135453","-104315","8996","0"
"-135455","-104315","14350","10834"
"-138042","-106360","1500","0"
"-138042","-106360","2565","0"
"-138355","-106616","4505","0"
"-138449","-106683","2512","0"
"-138450","-106683","4999","2181"
"-136701","-105357","4784","0"
"-135872","-104635","11454","10762"
"-135873","-104635","13185","11248"
"-135874","-104635","17150","10480"
"-135490","-104334","9989","0"
"-139154","-107217","8077","5037"
"-139155","-107217","13262","7812"
"-138284","-106547","4600","0"
"-138403","-106658","2124","0"
"-138404","-106658","14045","11428"
"-139325","-107344","11278","11185"
"-139388","-107212","915","0"
"-136842","-105434","4579","0"
"-138212","-106488","13891","10150"
"-139035","-106848","15244","14191"
"-135955","-104762","6300","5557"
"-135955","-104762","7782","6300"
"-135956","-104762","15466","9144"
"-138018","-106346","13486","0"
"-137474","-105953","13637","0"
"-138969","-107037","3318","0"
"-138989","-107045","1200","0"
"-138134","-106439","13637","0"
"-139166","-107223","8991","0"
"-139553","-107519","26748","19179"
"-138286","-106548","5275","0"
"-138085","-106384","18225","14490"
"-139589","-107150","14210","0"
"-139351","-107356","11987","0"
"-139573","-107534","7663","0"
"-139574","-107534","16955","7380"
"-138866","-106997","12388","9944"
"-138908","-107018","19534","0"
"-138241","-106519","9442","0"
"-138242","-106519","19916","7582"
"-138243","-106519","23821","19364"
"-139289","-107296","11111","0"
"-139432","-107405","1220","0"
"-139269","-107274","4100","0"
"-138227","-106496","10468","0"
"-139531","-107509","27045","23477"
"-139343","-107354","3680","0"
"-139349","-107354","449","0"
"-138350","-106612","3882","0"
"-138976","-107041","7522","0"
"-138144","-106464","1023","0"
"-138730","-106903","2595","0"
"-137072","-105142","13243","12969"
"-136130","-104884","8996","0"
"-136132","-104884","14350","10834"
"-139329","-107345","4600","0"
"-139391","-107387","12851","0"
"-139558","-107521","12046","0"
"-139559","-107521","12523","8473"
"-139561","-107521","14347","12063"
"-139562","-107521","15925","14289"
"-139031","-107103","3520","0"
"-137816","-106219","2518","0"
"-137816","-106219","3848","0"
"-139430","-107402","12500","0"
"-139043","-107119","6000","0"
"-139314","-107330","15244","14191"
"-139743","-107654","801","0"
"-139740","-107652","9386","0"
"-139148","-107211","2455","0"
"-139149","-107211","6969","2455"
"-140041","-107899","1028","0"
"-140043","-107899","8142","0"
"-139791","-107698","15923","0"
"-140024","-107880","19004","17711"
"-140112","-107945","8191","0"
"-140317","-108064","1040","345"
"-139702","-107367","2000","0"
"-140296","-108048","16790","13419"
"-139861","-107720","18180","16632"
"-140409","-108144","13620","8721"
"-139705","-107631","4240","0"
"-138993","-107051","1200","0"
"-138995","-107051","7208","0"
"-140422","-108157","5010","0"
"-140423","-108157","14971","0"
"-140248","-108020","2615","773"
"-140249","-108020","4963","0"
"-140252","-108022","5308","0"
"-139918","-107742","7832","0"
"-140383","-108125","9182","0"
"-140385","-108125","15236","0"
"-140386","-108125","16995","14880"
"-139869","-107723","5085","0"
"-139875","-107723","28885","19144"
"-140537","-108239","8791","0"
"-140559","-108251","20977","0"
"-140602","-108277","16130","0"
"-140577","-108253","5704","0"
"-140578","-108253","8385","0"
"-139624","-107577","19654","16270"
"-140581","-108255","16761","0"
"-140462","-108217","12046","0"
"-140286","-108043","10216","0"
"-140677","-108329","13803","6947"
"-140077","-107936","900","0"
"-140240","-108017","3570","0"
"-138998","-107053","18225","14490"
"-138263","-106539","4202","0"
"-140684","-108334","5903","0"
"-139769","-107686","15244","14191"
"-138849","-106988","12619","0"
"-139946","-107802","5000","0"
"-139947","-107802","12682","11728"
"-140723","-108348","4520","0"
"-140803","-108436","3096","0"
"-140883","-108436","6703","0"
"-140420","-108155","7065","10"
"-138605","-106756","1265","0"
"-138267","-106544","1000","0"
"-138269","-106544","8386","0"
"-138271","-106544","10338","0"
"-140458","-108214","11100","0"
"-137111","-105700","16650","11860"
"-137111","-105700","11860","9676"
"-138408","-106663","4147","0"
"-138409","-106663","6297","3077"
"-138411","-106663","13442","8675"
"-137779","-106197","7236","0"
"-139193","-107233","22004","20436"
"-140753","-108364","18125","14170"
"-140437","-108194","3561","0"
"-141058","-108686","995","0"
"-141062","-108686","8494","0"
"-140972","-108594","14971","0"
"-141183","-108752","7042","0"
"-141187","-108752","20156","0"
"-140100","-107942","16986","0"
"-137501","-105984","18304","9355"
"-141040","-108591","25821","20958"
"-138010","-106345","7728","0"
"-138011","-106345","9989","0"
"-139088","-107152","4112","0"
"-140921","-108566","4500","0"
"-140923","-108566","11900","10396"
"-140235","-108015","4100","0"
"-137296","-105856","7020","3128"
"-137390","-105892","7020","3128"
"-137392","-105892","15900","10450"
"-140272","-108040","4050","0"
"-141044","-108675","830","0"
"-134395","-103343","9240","0"
"-134398","-103343","17643","0"
"-140198","-107977","8102","0"
"-140202","-107977","25378","17943"
"-140277","-108042","6043","0"
"-141359","-108899","12294","0"
"-140405","-108140","17429","12412"
"-141354","-108892","11108","0"
"-141422","-108943","17337","14987"
"-140974","-108595","3318","0"
"-140975","-108595","12855","0"
"-140887","-108516","900","0"
"-141377","-108919","7236","0"
"-141379","-108919","11761","9055"
"-140872","-108494","2020","0"
"-140630","-108293","12901","0"
"-141157","-108742","5704","0"
"-140893","-108520","1005","0"
"-140158","-107960","4202","0"
"-140160","-107960","14700","12139"
"-141065","-108693","4202","0"
"-141482","-108990","1002","202"
"-139718","-107640","13818","0"
"-141258","-108809","3084","0"
"-140034","-107892","4577","0"
"-140035","-107892","6969","2455"
"-139228","-107258","3077","0"
"-137030","-105589","14350","10834"
"-141665","-109098","3882","0"
"-141666","-109098","8142","0"
"-140819","-108441","715","0"
"-140419","-108154","9605","0"
"-140124","-107951","10075","0"
"-140958","-108586","3757","0"
"-139375","-107364","4615","0"
"-139376","-107364","8614","4613"
"-140247","-108019","19896","13301"
"-141507","-109009","8274","0"
"-137368","-105886","12108","0"
"-137368","-105886","20082","15708"
"-106974","-81601","8907","0"
"-105886","-80904","5005","0"
"-106011","-80960","2325","0"
"-105999","-80956","3950","0"
"-106653","-81371","4952","0"
"-106654","-81371","10300","0"
"-105455","-80614","6307","0"
"-105652","-80743","4965","0"
"-106253","-81073","820","0"
"-106869","-81550","3504","0"
"-105410","-80593","9175","0"
"-106911","-81579","3892","2446"
"-106916","-81579","14318","12750"
"-107322","-81802","8152","0"
"-107379","-81842","829","0"
"-107283","-81766","12665","9128"
"-105469","-80616","8334","0"
"-105990","-80949","20187","0"
"-105990","-80949","7251","0"
"-107477","-81900","16158","7337"
"-106510","-81266","2958","0"
"-106977","-81604","925","0"
"-107540","-81983","6710","0"
"-107543","-81983","12876","9899"
"-106926","-81581","23019","20269"
"-107559","-81095","19796","14992"
"-106831","-81526","4570","3733"
"-107018","-81626","4952","0"
"-107717","-82210","5058","0"
"-107516","-81964","2020","0"
"-107757","-82246","3768","0"
"-107775","-82254","4920","0"
"-107300","-81780","18118","11751"
"-106976","-81593","5210","0"
"-104026","-79576","8102","0"
"-107914","-82312","4494","0"
"-107896","-82304","15498","13986"
"-107436","-81874","1018","0"
"-107441","-81874","19407","13801"
"-107442","-81874","20179","18987"
"-107443","-81874","13714","9008"
"-106408","-81148","4310","0"
"-106931","-81583","16905","0"
"-107822","-82267","27206","25277"
"-107725","-82219","8531","0"
"-107916","-82316","3810","0"
"-107917","-82316","4556","3263"
"-108114","-82491","2215","0"
"-108213","-82523","8830","0"
"-108214","-82523","14597","0"
"-103297","-78937","1229","0"
"-108096","-82473","23019","20269"
"-108011","-82396","10718","0"
"-107587","-82007","4114","0"
"-107588","-82007","8995","0"
"-107639","-82102","1490","0"
"-107641","-82102","11418","0"
"-107384","-81843","1505","0"
"-107538","-81981","10015","0"
"-108302","-82613","5246","0"
"-107958","-81734","14550","0"
"-106934","-81587","1018","271"
"-108453","-82750","1236","0"
"-107681","-82150","14096","11763"
"-107804","-82261","745","0"
"-107278","-81760","9379","6302"
"-107598","-82043","7970","0"
"-107036","-81632","601","0"
"-107037","-81632","985","0"
"-107038","-81632","1765","0"
"-107074","-81655","974","0"
"-108423","-82731","3270","0"
"-107811","-82263","7988","0"
"-108686","-82862","1265","0"
"-108751","-82374","7175","0"
"-108651","-82307","821","0"
"-108652","-82307","5210","0"
"-108555","-82786","16940","7402"
"-108557","-82786","25938","21115"
"-108495","-82763","18166","17224"
"-108295","-82611","3058","0"
"-108416","-82725","15936","0"
"-107939","-82335","15374","8894"
"-108776","-82893","821","0"
"-108647","-82849","5890","0"
"-108807","-82917","5645","0"
"-108808","-82917","8334","0"
"-107808","-82262","3505","0"
"-108304","-82615","698","0"
"-108562","-82788","4796","0"
"-108255","-82585","5243","0"
"-108256","-82585","8062","0"
"-107813","-82265","829","0"
"-108080","-82464","920","0"
"-108883","-82963","3832","0"
"-107961","-82377","9178","0"
"-108792","-82903","815","0"
"-106837","-81527","5850","4271"
"-108870","-82956","7080","0"
"-108825","-82930","11485","0"
"-106651","-81370","10371","0"
"-109047","-83090","1681","0"
"-104036","-79584","14544","0"
"-104037","-79584","14454","0"
"-108238","-82562","19407","13801"
"-109288","-83297","13800","11733"
"-105629","-80727","4014","0"
"-106628","-81337","16275","14479"
"-108297","-82612","1275","0"
"-108988","-83045","3740","0"
"-109089","-83138","3740","0"
"-106430","-81165","11445","0"
"-109370","-83371","13483","10964"
"-109134","-83153","5292","0"
"-108947","-83011","506","0"
"-108948","-83011","4020","0"
"-109269","-83290","9369","5800"
"-107996","-82393","10631","0"
"-109068","-83121","8134","0"
"-108335","-82622","11770","0"
"-109447","-83450","9051","0"
"-109447","-83450","8417","0"
"-109448","-83450","16158","7337"
"-109547","-83563","1490","0"
"-105881","-80901","3990","0"
"-107720","-82211","12747","935"
"-107723","-82211","24732","21545"
"-109587","-83601","7022","0"
"-109591","-83602","7098","0"
"-109593","-83602","7022","0"
"-109593","-83602","15598","0"
"-109596","-83602","11464","0"
"-108572","-82794","3990","0"
"-108574","-82794","9017","5882"
"-109498","-83489","1009","0"
"-109502","-83491","1009","0"
"-109729","-83691","3990","0"
"-108881","-82960","5080","0"
"-109678","-83643","821","0"
"-109681","-83643","13313","8603"
"-108076","-82448","3632","0"
"-108075","-82448","1005","0"
"-109128","-83150","3478","0"
"-109129","-83150","11905","0"
"-109131","-83150","14412","11982"
"-109562","-83567","13304","12301"
"-109564","-83567","15524","13809"
"-109168","-83192","3525","0"
"-109508","-83493","5525","0"
"-109187","-83208","1002","0"
"-108761","-82885","11523","5910"
"-109908","-83782","14454","0"
"-109139","-83171","14150","0"
"-109140","-83171","15498","13986"
"-109904","-83781","4556","3263"
"-109929","-83796","12480","0"
"-106509","-81264","12582","0"
"-108964","-83023","4000","0"
"-108966","-83023","12254","9899"
"-106388","-80562","11429","0"
"-104808","-80217","7019","0"
"-104808","-80217","15608","0"
"-106610","-81332","7268","0"
"-106612","-81332","25320","21643"
"-106613","-81332","15333","0"
"-107696","-82193","10301","0"
"-109634","-83625","12751","0"
"-109635","-83625","14670","12450"
"-108783","-82899","9950","0"
"-108785","-82899","7251","0"
"-110078","-83933","10950","0"
"-108041","-82421","12079","7192"
"-108043","-82421","14970","13446"
"-108702","-82869","809","0"
"-108706","-82869","14857","13500"
"-108867","-82952","19795","0"
"-110087","-83943","22693","0"
"-109490","-83481","4500","0"
"-106795","-81484","5159","0"
"-109630","-83621","1180","0"
"-110051","-83876","2020","0"
"-110133","-84007","6833","0"
"-110137","-84015","8417","0"
"-110009","-83847","11770","0"
"-110232","-84095","6049","0"
"-110204","-84055","8726","0"
"-109309","-83310","7537","0"
"-109822","-83744","5776","0"
"-104091","-79638","6047","0"
"-104095","-79638","17345","15808"
"-104097","-79638","24890","15659"
"-110018","-83854","1009","0"
"-108039","-82420","10064","1825"
"-110240","-84098","4512","0"
"-110276","-84114","5159","0"
"-110158","-84024","12747","935"
"-110127","-84004","14970","13446"
"-107861","-82292","6043","0"
"-106917","-81580","5823","0"
"-107871","-82293","23923","19678"
"-109144","-83174","17838","0"
"-110267","-84112","12079","7192"
"-110348","-84168","13753","7057"
"-110363","-84172","20174","17363"
"-110379","-84177","5159","0"
"-109978","-83816","9271","0"
"-110478","-84234","8102","0"
"-110501","-84249","9820","0"
"-110530","-84266","8102","0"
"-110559","-84278","16110","0"
"-110409","-84202","5562","0"
"-110391","-84181","25277","0"
"-110396","-84188","9369","5800"
"-110669","-84351","8204","0"
"-110100","-83970","27385","27234"
"-110610","-84305","5746","0"
