"API_WELL_NUMBER","BOTM_LEASE_NUM","WELL_SPUD_DATE","TOTAL_DEPTH_DATE","BOREHOLE_STAT_DT","BH_TOTAL_MD","WELL_BORE_TVD"
"177104090200","G03996",12/20/1980,1/27/1981,5/10/1990,"12000","11999"
"177104090201","G03996",5/10/1990,6/6/1990,6/11/1990,"12704","11554"
"177104090300","G02322",10/10/1980,3/5/1981,12/1/2010,"14990","10707"
"177104090400","G00997",12/3/1980,8/1/1981,4/9/2008,"8992","7420"
"177104090470","G00997",10/22/1980,12/2/1980,12/3/1980,"8582","7103"
"177104090500","G04225",4/27/1983,5/7/1983,5/12/1983,"5026","5026"
"177104090600","G04227",11/14/1980,12/3/1980,12/8/1980,"5663","5662"
"177104090700","G03785",10/22/1980,12/6/1980,1/1/1981,"12000","12000"
"177104090800","G02332",11/3/1980,12/2/1980,6/22/1989,"7827","5446"
"177104090900","G03410",11/8/1980,1/11/1981,1/11/1981,"10212","10212"
"177104091000","G03334",2/17/1981,3/8/1981,3/13/1981,"6449","5518"
"177104091100","G04226",1/27/1983,2/9/1983,2/13/1983,"8904","8903"
"177104091101","G04226",2/14/1983,3/1/1983,3/7/1983,"9657","8899"
"177104091400","G00997",12/21/1980,1/8/1981,6/13/1981,"8024","7751"
"177104091401","G00997",6/13/1981,6/22/1981,11/5/1999,"7817","7460"
"177104091402","G00997",11/5/1999,11/10/1999,4/9/2008,"8141","7592"
"177104091500","G02914",12/11/1980,1/14/1981,7/28/2014,"9965","8994"
"177104091600","G02332",12/31/1980,1/13/1981,6/22/1989,"8065","5921"
"177104091670","G02332",12/11/1980,12/30/1980,12/31/1980,"6207","4730"
"177104091700","G02332",1/24/1981,3/1/1981,3/5/1981,"9595","6829"
"177104091800","G03573",12/31/1980,4/26/1981,1/12/1989,"12559","10000"
"177104091900","G03569",4/10/1981,4/28/1981,2/28/2011,"5101","4309"
"177104092000","G02111",1/11/1981,2/6/1981,2/8/1981,"6700","6164"
"177104092001","G02111",2/8/1981,2/12/1981,3/28/2013,"6655","6046"
"177104092002","G02111",3/28/2013,4/1/2013,4/3/2013,"6628","5413"
"177104092003","G02111",4/3/2013,4/8/2013,10/24/2015,"6585","5468"
"177104092004","G02111",10/24/2015,11/10/2015,11/24/2015,"10871","7230"
"177104092100","G02322",3/19/1981,5/15/1981,9/19/2005,"11192","9590"
"177104092101","G02322",9/19/2005,12/5/2005,12/13/2005,"5513","4623"
"177104092102","G02322",12/13/2005,12/21/2005,11/26/2010,"5922","4985"
"177104092200","G03574",11/17/1981,1/16/1982,1/31/1982,"11051","8968"
"177104092300","G03786",4/22/1982,5/21/1982,5/30/2011,"8929","8517"
"177104092400","G02914",1/18/1981,2/16/1981,4/8/1995,"8199","8198"
"177104092401","G02914",4/23/1995,4/30/1995,10/24/2016,"7715","7480"
"177104092402","G02914",10/24/2016,10/29/2016,11/14/2016,"7992","7496"
"177104092470","G02914",4/8/1995,4/19/1995,4/23/1995,"7745","7515"
"177104092500","G00997",3/15/1981,4/5/1981,4/9/2008,"9777","8976"
"177104092570","G00997",1/19/1981,2/12/1981,2/13/1981,"8260","7971"
"177104092571","G00997",2/13/1981,2/18/1981,2/20/1981,"8775","8382"
"177104092572","G00997",2/20/1981,3/11/1981,3/15/1981,"9928","9046"
"177104092600","G03569",5/1/1981,5/15/1981,2/28/2011,"5630","4311"
"177104092700","G02322",5/27/1982,7/2/1982,7/9/1982,"12010","12008"
"177104092800","G02111",2/18/1981,4/11/1981,5/14/1999,"9847","9189"
"177104092801","G02111",5/14/1999,5/28/1999,8/10/2013,"9765","7982"
"177104092802","G02111",8/10/2013,8/13/2013,8/15/2013,"9474","7622"
"177104092803","G02111",8/15/2013,8/18/2013,8/22/2013,"9327","7610"
"177104092804","G02111",8/22/2013,8/25/2013,5/14/2014,"9208","7620"
"177104092805","G02111",5/14/2014,5/18/2014,5/19/2014,"1497","1496"
"177104092806","G33636",5/19/2014,5/31/2014,6/16/2014,"6906","6075"
"177104092900","G02111",7/1/1981,8/12/1981,2/14/2002,"11140","6891"
"177104092901","G02111",2/14/2002,2/20/2002,2/26/2002,"7886","6220"
"177104092902","G02111",2/26/2002,3/1/2002,5/6/2012,"7376","5901"
"177104092903","G02111",5/6/2012,5/20/2012,5/28/2012,"6130","5814"
"177104093000","G03568",2/14/1981,3/5/1981,5/10/1981,"9484","8155"
"177104093001","G03568",3/12/1981,4/30/1981,5/10/1981,"12300","11984"
