API_WELL_NUMBER,SN_WAR,TOTAL_DEPTH_DATE,WAR_START_DT,WAR_END_DT,gap_to_previous_days,is_completion_text,text_remark_snippet
608124015400,-414529,2024-10-31,2024-10-27 00:00:00,2024-11-02 00:00:00,,True,"10/27/2024: TIH 12-1/4"" drilling BHA and wear bushing on MPT from 9,893' to 13,521' bit depth. Jet well head. Set 13-3/8"" wear bushing at 13,817' bit depth. TOH with MPT. TIH to 15,049'. Log down for top of cement to 15,"
608124015400,-415007,2024-10-31,2024-11-03 00:01:00,2024-11-09 23:59:00,1.0,True,"11/03/2024: TIH with storm packer from 9,221' to 9,768' bit depth (7,995' packer depth) and set. Perform feel good test down drill string with rig pump against storm valve to 1,000 for 5 min. Perform feel good pressure t"
608124015400,-415529,2024-10-31,2024-11-10 00:01:00,2024-11-16 23:59:00,0.0,True,11/10/2024: Wait on Tropical Storm Rafael to pass. Transit back to WR 759 Jack PS014. 11/11/2024: Transit back to WR 759 Jack PS014's SHZ. P/U and M/U double. Transfer MPD flowline and OPP hoses from travel position to t
608124015400,-415532,2024-10-31,2024-11-17 00:01:00,2024-11-23 23:59:00,0.0,True,"11/17/2024: TIH with open ended Nu-Tec tool to 7,021'. Circulate 1.5 DP capacity. Spot W/L equipment. Continue R/U and wiring for EV camera. RIH on W/L to 7,021' (WLM). POOH with EV camera. R/D W/L equipment. Pump 100 bb"
608124015400,-415559,2024-10-31,2024-11-24 00:01:00,2024-11-30 23:59:00,0.0,True,"11/24/2024: Flow check well. TIH to bottom. Circulate B/U through choke. R/U OES tool. Pump out of hole to 22,863'. 11/25/2024: Pump out of hole from 22,863' to 20,000'. Flow check. R/D fill up tool. TOH to surface. R/B "
608124015400,-415563,2024-10-31,2024-12-01 00:01:00,2024-12-07 23:59:00,0.0,True,12/01/2024: Perform Pre-Brine displacement cleaning and displace to 13.9ppg brine. NOTE: Mr. Bill Sanders (BSEE Houma District) sent email notification to Mr. Jonathan Fisher (Chevron) on 12/1/2024 at 1240 hrs. stating h
608124015400,-416004,2024-10-31,2024-12-08 00:01:00,2024-12-14 23:59:00,0.0,True,"12/08/2024: TOH with Interwell RT to surface and L/D same, TIH with Dril-Quip MPT to recover seat protector, TOH with Dril-Quip Seat protector/MPT assembly to surface, R/U riser handling tools and equipment, L/D diverter"
608124015400,-416005,2024-10-31,2024-12-15 00:01:00,2024-12-21 23:59:00,0.0,True,"12/15/2024: TOH to below BOP. Circulate out spent gun gas through choke. Function test BOP on 5-7/8"" DP from secondary control panel / blue pod. Function diverter from secondary control panel. TOH to 1,361'. L/D spent TC"
608124015400,-416417,2024-10-31,2024-12-22 00:01:00,2024-12-28 23:59:00,0.0,True,12/22/2024: Monitor well. Wait on frac boat to return from shore-base repairs. 12/23/2024: Monitor well. Wait on frac boat Blue Dolphin to arrive in place of frac boat Blue Tarpon. 12/24/2024: Wait on S/V Blue Dolphin. R
608124015400,-416435,2024-10-31,2024-12-29 00:01:00,2025-01-04 23:59:00,0.0,True,12/29/2024: TIH with Archer Tornar w/ HAL cleanwell BHA. Space out and function test BOP from primary control panel blue. Jet BOP. Function test diverter from secondary control panel with starboard side pre-selected. TOH
608124015400,-416491,2024-10-31,2025-01-05 00:01:00,2025-01-09 23:59:00,0.0,True,"01/05/2025: RIH with slickline and isolation sleeve retrieval tool from 2,250' to 6,925'. Retrieve isolation sleeve and lay down at surface. Apply 2,500 psi between tubing and casing annulus. Displace kill line with base"
608124015504,-418368,2025-03-19,2025-03-16 00:01:00,2025-03-22 23:59:00,,True,"03/16/2025: Trip in hole and set WH seat protector. Trip out of hole. Trip in hole with 8-1/2"" drilling assembly to 18,260' MD. 03/17/2025: Trip in hole and tag TOC at 25,204' MD / 24,571' TVD. Drill cement in Tieback fr"
608124015504,-418839,2025-03-19,2025-03-23 00:01:00,2025-03-29 23:59:00,0.0,True,"03/23/2025: Trip out of hole to 10,146' MD with 4.5"" cement stinger. Suspend operations due to fire in the laundry room. All personnel report to muster stations. TOH to surface. Pick up cleanout BHA. Trip in hole to 17,6"
608124015504,-419290,2025-03-19,2025-03-30 00:01:00,2025-04-05 23:59:00,0.0,True,"03/30/2025: Reverse circulate 1.5X drill string plus casing annulus. Space out and Jet BOP. Trip in hole and forward circulate brine to spec. Flow check. Trip out of hole with displacement work string to 19,132' laying d"
608124015504,-419630,2025-03-19,2025-04-06 00:01:00,2025-04-12 23:59:00,0.0,True,"04/06/2025: Unlatch BOP. Pick up XT from supply vessel and deploy XT subsea with Crane. Land and latch XT. Pressure test XT gasket to 11,600 psi (14,700 psi subsea) for 15 minutes. Move rig from Well center to DOZ. 04/07"
608124015504,-419757,2025-03-19,2025-04-13 00:00:00,2025-04-19 00:00:00,0.0,True,04/13/2025: Cleanout tieback gap. Trip in hole and latch Tool with overshot assembly. Trip out of hole and lay down recovered wireline tool string. Rig up for TCP assembly. 04/14/2025: Trip in hole w/ TCP Assembly. Space
608124015504,-420012,2025-03-19,2025-04-20 00:01:00,2025-04-26 23:59:00,1.0,True,"04/20/2025: Zone 1: Spot Acid at Crossover, Perform Mini-Frac, Perform Main Frac and Reverse-Out. L/D Frac Head. TOH to Zone 2, check space out and P/U space out pup joints and frac head. R/U surface iron. Locate tool po"
608124015504,-420292,2025-03-19,2025-04-27 00:01:00,2025-05-03 23:59:00,0.0,True,"04/27/2025: TIH with 4-1/2"" tubing installing control line clamps. 04/28/2025: TIH with 4-1/2"" tubing, P/U SCSSV, TIH with 4-1/2"" tubing and 6"" VIT. P/U Tubing Hanger. 04/29/2025: Terminate and test control lines. Rig do"
608124015504,-420300,2025-03-19,2025-05-04 00:01:00,2025-05-04 23:59:00,0.0,False,05/04/2025: Pull riser & BOP to surface. End of operations.
