api_well_number,surf_lease_num_frozen,surf_lease_num_candidate,drill_frozen,drill_cand,drill_delta,compl_frozen,compl_cand,compl_delta,screening_status,_merge
608124015400,G17016,G17016,0,48,48,0,71,71,BOTH,both
608124015504,G17015,G17015,0,68,68,0,47,47,BOTH,both
608124000400,G21245,G21245,60,60,0,39,39,0,MATCH,both
608124000401,G21245,G21245,40,40,0,21,21,0,MATCH,both
608124000402,G21245,G21245,19,19,0,25,25,0,MATCH,both
608124001100,G21245,G21245,99,99,0,37,37,0,MATCH,both
608124001300,G17016,G17016,70,70,0,5,5,0,MATCH,both
608124001301,G17016,G17016,52,52,0,24,24,0,MATCH,both
608124001700,G17015,G17015,200,200,0,187,187,0,MATCH,both
608124001701,G17015,G17015,22,22,0,89,89,0,MATCH,both
608124002700,G17015,G17015,19,19,0,14,14,0,MATCH,both
608124002701,G17015,G17015,28,28,0,11,11,0,MATCH,both
608124002702,G17015,G17015,2,2,0,9,9,0,MATCH,both
608124002703,G17015,G17015,120,120,0,47,47,0,MATCH,both
608124002900,G18753,G18753,172,172,0,26,26,0,MATCH,both
608124003100,G21245,G21245,226,226,0,21,21,0,MATCH,both
608124003101,G21245,G21245,56,56,0,34,34,0,MATCH,both
608124004400,G18745,G18745,2,2,0,2,2,0,MATCH,both
608124005000,G17015,G17015,95,95,0,245,245,0,MATCH,both
608124005100,G17015,G17015,39,39,0,8,8,0,MATCH,both
608124005101,G17015,G17015,1,1,0,9,9,0,MATCH,both
608124005102,G17015,G17015,3,3,0,7,7,0,MATCH,both
608124005103,G17015,G17015,32,32,0,102,102,0,MATCH,both
608124005200,G17015,G17015,24,24,0,14,14,0,MATCH,both
608124005201,G17015,G17015,50,50,0,114,114,0,MATCH,both
608124005202,G17015,G17015,8,8,0,47,47,0,MATCH,both
608124005203,G17015,G17015,30,30,0,66,66,0,MATCH,both
608124005300,G18745,G18745,72,72,0,116,116,0,MATCH,both
608124005400,G18745,G18745,61,61,0,80,80,0,MATCH,both
608124005500,G18745,G18745,65,65,0,25,25,0,MATCH,both
608124005600,G18753,G18753,111,111,0,248,248,0,MATCH,both
608124005700,G18753,G18753,82,82,0,122,122,0,MATCH,both
608124005800,G18753,G18753,44,44,0,105,105,0,MATCH,both
608124010700,G18745,G18745,24,24,0,7,7,0,MATCH,both
608124010701,G18745,G18745,29,29,0,94,94,0,MATCH,both
608124011400,G18753,G18753,57,57,0,87,87,0,MATCH,both
608124011500,G17015,G17015,61,61,0,13,13,0,MATCH,both
608124011501,G17015,G17015,3,3,0,10,10,0,MATCH,both
608124011502,G17015,G17015,2,2,0,16,16,0,MATCH,both
608124011503,G17015,G17015,2,2,0,11,11,0,MATCH,both
608124011504,G17015,G17015,38,38,0,140,140,0,MATCH,both
608124011600,G17015,G17015,15,15,0,7,7,0,MATCH,both
608124011601,G17015,G17015,2,2,0,6,6,0,MATCH,both
608124011602,G17015,G17015,5,5,0,11,11,0,MATCH,both
608124011603,G17015,G17015,7,7,0,13,13,0,MATCH,both
608124011604,G17015,G17015,6,6,0,8,8,0,MATCH,both
608124011605,G17015,G17015,48,48,0,47,47,0,MATCH,both
608124011606,G17015,G17015,7,7,0,103,103,0,MATCH,both
608124011800,G18753,G18753,26,26,0,7,7,0,MATCH,both
608124011801,G18753,G18753,81,81,0,113,113,0,MATCH,both
608124012200,G18753,G18753,47,47,0,105,105,0,MATCH,both
608124012500,G17015,G17015,49,49,0,171,171,0,MATCH,both
608124012600,G17015,G17015,19,19,0,7,7,0,MATCH,both
608124012601,G17015,G17015,36,36,0,174,174,0,MATCH,both
608124012602,G17015,G17015,0,0,0,0,0,0,MATCH,both
608124012800,G20394,G20394,15,15,0,14,14,0,MATCH,both
608124012801,G20394,G20394,5,5,0,22,22,0,MATCH,both
608124012802,G20394,G20394,41,41,0,8,8,0,MATCH,both
608124012803,G20394,G20394,5,5,0,10,10,0,MATCH,both
608124012804,G20394,G20394,4,4,0,132,132,0,MATCH,both
608124013200,G18745,G18745,26,26,0,9,9,0,MATCH,both
608124013201,G18745,G18745,13,13,0,10,10,0,MATCH,both
608124013202,G18745,G18745,81,81,0,125,125,0,MATCH,both
608124013300,G21245,G21245,107,107,0,144,144,0,MATCH,both
608124013500,G21245,G21245,45,45,0,144,144,0,MATCH,both
608124013600,G18753,G18753,46,46,0,71,71,0,MATCH,both
608124014600,G17015,G17015,55,55,0,70,70,0,MATCH,both
608124015100,G18753,G18753,38,38,0,56,56,0,MATCH,both
608124015300,G17016,G17016,0,0,0,0,0,0,MATCH,both
608124015500,G17015,G17015,0,0,0,0,0,0,MATCH,both
608124015501,G17015,G17015,0,0,0,0,0,0,MATCH,both
608124015502,G17015,G17015,0,0,0,0,0,0,MATCH,both
608124015503,G17015,G17015,0,0,0,0,0,0,MATCH,both
