LEASE_NUMBER,API_WELL_NUMBER,COMPLETION_NAME,PROD_DATE,DAYS_ON_PROD,OIL_PRODUCTION,GAS_PRODUCTION,WATER_PRODUCTION,PRODUCT_CODE,WELL_STAT_CD,AREA_CODE_BLOCK_NUM,OPERATOR_NUM,SORT_NAME,BOEM_FIELD,INJECTION_VOLUME,PROD_INTERVAL_CD,FIRST_PROD_DATE,UNIT_AGT_NUMBER,UNIT_ALOC_SUFFIX
G35662,608114077600,004,202401,0,0,0,0,U,16,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,X01,,,
G35662,608114068000,SS001,202401,29,402181,233518,56767,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220623,,
G35662,608114068901,SS002,202401,17,292535,183000,1167,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220813,,
G35662,608114068000,SS001,202402,28,409221,254913,50630,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220623,,
G35662,608114068901,SS002,202402,0,0,0,0,O,12,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220813,,
G35662,608114068000,SS001,202403,30,440544,260715,64995,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220623,,
G35662,608114068901,SS002,202403,14,245903,158720,777,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220813,,
G35662,608114068000,SS001,202404,30,411248,239727,58406,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220623,,
G35662,608114068901,SS002,202404,30,490637,301813,3515,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220813,,
G35662,608114068000,SS001,202405,30,394625,237783,66531,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220623,,
G35662,608114068901,SS002,202405,30,483631,297616,5805,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220813,,
G35662,608114068000,SS001,202406,30,377022,228095,55377,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220623,,
G35662,608114068901,SS002,202406,30,460084,285018,5337,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220813,,
G35662,608114068000,SS001,202407,31,385448,235669,54137,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220623,,
G35662,608114068901,SS002,202407,31,460194,290781,5314,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220813,,
G35662,608114068000,SS001,202408,30,357312,221025,51659,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220623,,
G35662,608114068901,SS002,202408,30,427943,275855,5358,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220813,,
G35662,608114078100,SS006,202408,0,0,0,0,O,12,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20240902,,
G35662,608114078100,SS006,202408,0,0,0,0,O,12,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S02,20240930,,
G35662,608114068000,SS001,202409,28,178373,107776,32483,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220623,,
G35662,608114068901,SS002,202409,29,363603,218088,5059,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220813,,
G35662,608114078100,SS006,202409,22,192303,159504,32483,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20240902,,
G35662,608114078100,SS006,202409,0,0,0,0,O,12,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S02,20240930,,
G35662,608114068000,SS001,202410,31,241395,146370,32483,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220623,,
G35662,608114068901,SS002,202410,31,396756,238854,5059,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220813,,
G35662,608114078100,SS006,202410,0,0,0,0,O,12,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S02,20240930,,
G35662,608114078100,SS006,202410,31,440297,362616,4315,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20240902,,
G35662,608114068000,SS001,202411,29,349491,224573,5614,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220623,,
G35662,608114068901,SS002,202411,29,503679,441039,4664,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220813,,
G35662,608114078100,SS006,202411,0,0,0,0,O,12,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S02,20240930,,
G35662,608114078100,SS006,202411,29,192696,125274,35378,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20240902,,
G35662,608114068000,SS001,202412,31,362758,215963,5517,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220623,,
G35662,608114068901,SS002,202412,31,531660,439231,3965,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20220813,,
G35662,608114078100,SS006,202412,0,0,0,0,O,12,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S02,20240930,,
G35662,608114078100,SS006,202412,31,219369,133351,40704,O,08,GC478,02647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GC478,0,S01,20240902,,
