Month-Year,Monthly_production_BBL,Oil_price_USD,CAPEX_monthly,OPEX_monthly,Oil_sales,Net_revenue_after_OPEX,Cumulative_revenue,Cumulative_OPEX,Cumulative_CAPEX,Cumulative_cash_flow,Cumulative_cash_flow_after_OPEX,Cumulative_NPV,Wells_total,Wells_producing,Daily_production_rate_BBL_per_day
December,19123.987142857142,62.34,47272727.27272727,286859.8071428571,1192189.3584857143,905329.5513428572,1192189.3584857143,286859.8071428571,47272727.27272727,-46367397.72138441,905329.5513428599,0.0,20,20,629.0785244360902
January,32642.056878306877,47.76,47272727.27272727,489630.85317460314,1558984.6365079363,1069353.7833333332,2751173.9949936504,776490.6603174603,94545454.54545455,-92570771.21077836,1974683.3346761912,0.0,20,20,1073.7518709969368
February,49933.10769230769,58.1,47272727.27272727,748996.6153846154,2901113.556923077,2152116.9415384615,5652287.551916728,1525487.2757020756,141818181.8181818,-137691381.54196715,4126800.276214659,0.0,20,20,1642.5364372469635
March,51680.15147265077,55.89,47272727.27272727,775202.2720897614,2888403.6658064513,2113201.39371669,8540691.21772318,2300689.547791837,189090909.0909091,-182850907.42097774,6240001.669931352,0.0,20,20,1700.0049826529857
April,62606.2,59.52,47272727.27272727,939093.0,3726321.024,2787228.024,12267012.24172318,3239782.547791837,236363636.36363637,-227336406.66970503,9027229.693931341,0.0,20,20,2059.4144736842104
May,63403.62958843159,64.08,47272727.27272727,951054.4438264739,4062904.584026696,3111850.1402002224,16329916.825749876,4190836.9916183106,283636363.6363636,-271497283.8022321,12139079.834131539,0.0,20,20,2085.6457101457763
June,65152.9,61.48,47272727.27272727,977293.5,4005600.292,3028306.792,20335517.117749877,5168130.491618311,330909090.9090909,-315741704.28295934,15167386.626131535,0.0,20,20,2143.1875
July,69962.50115698454,56.56,47272727.27272727,1049437.517354768,3957079.0654390454,2907641.5480842777,24292596.183188923,6217568.008973079,378181818.1818181,-360106790.00760233,18075028.174215794,0.0,21,21,2301.3980643744912
August,74197.48387096774,46.52,47272727.27272727,1112962.2580645161,3451666.9496774194,2338704.691612903,27744263.13286634,7330530.267037595,425454545.4545454,-405040812.5887167,20413732.865828693,0.0,21,21,2440.7067062818337
September,70338.46666666667,47.62,47272727.27272727,1055077.0,3349517.782666667,2294440.782666667,31093780.91553301,8385607.267037595,472727272.7272726,-450019099.0787773,22708173.648495317,0.0,21,21,2313.765350877193
October,69876.87096774194,48.43,47272727.27272727,1048153.0645161291,3384136.8609677423,2335983.7964516133,34477917.776500754,9433760.331553724,519999999.9999999,-494955842.555053,25044157.444946885,0.0,21,21,2298.5812818336167
November,65470.01915708812,44.27,47272727.27272727,982050.2873563218,2898357.7480842914,1916307.4607279697,37376275.524585046,10415810.618910046,567272727.2727271,-540312262.3670523,26960464.905674815,0.0,21,21,2153.619051220004
December,71277.29032258065,38.01,47272727.27272727,1069159.3548387098,2709249.8051612903,1640090.4503225805,40085525.329746336,11484969.973748757,614545454.5454544,-585944899.189457,28600555.355997324,0.0,21,21,2344.647707979627
January,70901.90322580645,30.7,47272727.27272727,1063528.5483870967,2176688.429032258,1113159.8806451615,42262213.758778594,12548498.522135854,661818181.8181816,-632104466.5815392,29713715.23664248,0.0,21,21,2332.2994482173176
February,71220.20689655172,32.18,47272727.27272727,1068303.103448276,2291866.2579310345,1223563.1544827586,44554080.016709626,13616801.62558413,709090909.0909089,-678153630.6997837,30937278.391125202,0.0,22,22,2342.7699637023593
March,73120.16129032258,38.21,47272727.27272727,1096802.4193548386,2793921.3629032257,1697118.9435483871,47348001.37961285,14713604.044938968,756363636.3636361,-723729239.0289626,32634397.334673524,0.0,22,22,2405.2684634974535
April,78885.64838709676,41.58,47272727.27272727,1183284.7258064514,3280065.2599354833,2096780.534129032,50628066.63954833,15896888.770745419,803636363.6363634,-768905185.7675608,34731177.86880255,0.0,22,22,2594.9226443123935
May,83972.06752688171,46.74,47272727.27272727,1259581.0129032256,3924854.4362064516,2665273.423303226,54552921.075754784,17156469.783648644,850909090.9090906,-813512639.6169848,37396451.292105794,0.0,22,22,2762.239063384267
June,97048.04848484849,48.25,47272727.27272727,1455720.7272727273,4682568.33939394,3226847.6121212123,59235489.41514872,18612190.51092137,898181818.1818179,-857558519.2775909,40623298.90422702,0.0,22,22,3192.3700159489636
July,94708.32258064515,44.95,47272727.27272727,1420624.8387096773,4257139.1,2836514.261290322,63492628.51514872,20032815.34963105,945454545.4545451,-901994732.2890278,43459813.16551733,0.0,22,22,3115.405348047538
August,100279.21658986175,45.84,47272727.27272727,1504188.2488479263,4596799.288479263,3092611.039631337,68089427.80362798,21537003.598478977,992727272.7272724,-946174848.5221237,46552424.2051487,0.0,22,22,3298.658440455979
September,103212.93333333333,46.57,47272727.27272727,1548194.0,4806626.305333333,3258432.305333333,72896054.10896131,23085197.598478977,1039999999.9999996,-990189143.4895177,49810856.51048195,0.0,23,23,3395.1622807017548
October,103691.93548387097,49.52,47272727.27272727,1555379.0322580645,5134824.645161291,3579445.612903226,78030878.7541226,24640576.63073704,1087272727.272727,-1033882425.1493417,53390302.12338531,0.0,23,23,3410.9189303904927
November,100183.22471264369,44.73,47272727.27272727,1502748.3706896552,4481195.641396551,2978447.270706896,82512074.39551915,26143325.001426697,1134545454.5454543,-1078176705.1513622,56368749.39409208,0.0,23,23,3295.500812915911
December,108436.4193548387,53.31,47272727.27272727,1626546.2903225804,5780745.515806451,4154199.225483871,88292819.9113256,27769871.291749276,1181818181.8181815,-1121295233.1986055,60522948.61957598,0.0,23,23,3566.987478777589
January,109909.16989247312,54.58,47272727.27272727,1648637.5483870967,5998842.492731183,4350204.944344087,94291662.40405679,29418508.84013637,1229090909.0909088,-1164217755.5269887,64873153.56392002,0.0,23,23,3615.433220147142
February,107270.67857142858,54.87,47272727.27272727,1609060.1785714286,5885942.133214286,4276881.9546428565,100177604.53727107,31027569.0187078,1276363636.363636,-1207213600.8450732,69150035.5185628,0.0,23,23,3528.6407424812032
March,110783.43894009216,51.59,47272727.27272727,1661751.5841013824,5715317.614919355,4053566.0308179725,105892922.15219042,32689320.602809183,1323636363.6363633,-1250432762.0869825,73203601.54938078,0.0,24,24,3644.192070397769
April,113862.23333333334,52.31,47272727.27272727,1707933.5,5956133.4256666675,4248199.9256666675,111849055.57785708,34397254.10280918,1370909090.9090905,-1293457289.4340432,77451801.47504735,0.0,24,24,3745.4682017543864
May,122532.7691001698,50.33,47272727.27272727,1837991.5365025469,6167074.268811545,4329082.732308999,118016129.84666862,36235245.63931173,1418181818.1818178,-1336400933.9744616,81780884.20735621,0.0,24,24,4030.683194084533
June,123320.5,46.37,47272727.27272727,1849807.5,5718371.585,3868564.085,123734501.43166861,38085053.13931173,1465454545.454545,-1379805097.1621888,85649448.29235625,0.0,24,24,4056.595394736842
July,123230.18576195773,48.48,47272727.27272727,1848452.786429366,5974199.405739711,4125746.6193103446,129708700.83740832,39933505.9257411,1512727272.7272723,-1422952077.8156056,89775194.91166663,0.0,24,24,4053.624531643347
August,110111.53626251391,51.7,47272727.27272727,1651673.0439377087,5692766.424771969,4041093.3808342605,135401467.2621803,41585178.969678804,1559999999.9999995,-1466183711.7074986,93816288.29250097,0.0,24,24,3622.0900086353263
September,110716.8,56.15,47272727.27272727,1660752.0,6216748.32,4555996.32,141618215.5821803,43245930.969678804,1607272727.2727268,-1508900442.6602259,98372284.6125009,0.0,24,24,3642.0000000000005
October,106493.60714285714,57.51,47272727.27272727,1597404.1071428573,6124447.346785714,4527043.239642857,147742662.92896602,44843335.07682166,1654545454.545454,-1551646126.6933103,102899327.85214376,0.0,25,25,3503.0791823308273
November,115763.60476190476,62.71,47272727.27272727,1736454.0714285714,7259535.654619047,5523081.5831904765,155002198.58358505,46579789.14825024,1701818181.8181813,-1593395772.382847,108422409.4353342,0.0,25,25,3808.013314536341
December,111042.25806451614,64.37,47272727.27272727,1665633.870967742,7147790.151612904,5482156.280645162,162149988.73519796,48245423.01921798,1749090909.0909085,-1635186343.3749292,113904565.71597934,0.0,25,25,3652.705857385399
January,112271.72525027808,69.08,47272727.27272727,1684075.878754171,7755730.780289209,6071654.901535038,169905719.51548716,49929498.89797215,1796363636.3636358,-1676387415.7461214,119976220.61751437,0.0,25,25,3693.148856917042
February,116309.67857142857,65.32,47272727.27272727,1744645.1785714284,7597348.204285713,5852703.025714285,177503067.71977288,51674144.07654358,1843636363.636363,-1717807439.9931345,125828923.64322853,0.0,25,25,3825.9762687969924
March,119108.93548387097,66.02,47272727.27272727,1786634.0322580645,7863571.920645161,6076937.888387096,185366639.64041802,53460778.10880164,1890909090.9090903,-1759003229.3774748,131905861.5316155,0.0,25,25,3918.0570882852294
April,117465.76428571428,72.11,47272727.27272727,1761986.464285714,8470456.262642857,6708469.798357142,193837095.90306088,55222764.57308736,1938181818.1818175,-1799567486.851845,138614331.3299725,0.0,25,25,3864.0054041353383
May,130754.19354838709,76.98,47272727.27272727,1961312.9032258063,10065457.81935484,8104144.916129033,203902553.72241572,57184077.47631317,1985454545.4545448,-1838736069.2084432,146718476.24610162,0.0,26,26,4301.1247877758915
