CAPEX_monthly_Excel,CAPEX_monthly_Task8,Cumulative_CAPEX_Excel,Cumulative_CAPEX_Task8,Cumulative_NPV_Excel,Cumulative_NPV_Task8,Cumulative_OPEX_Excel,Cumulative_OPEX_Task8,Cumulative_cash_flow_Excel,Cumulative_cash_flow_Task8,Cumulative_cash_flow_after_OPEX_Excel,Cumulative_cash_flow_after_OPEX_Task8,Cumulative_revenue_Excel,Cumulative_revenue_Task8,Daily_production_rate_BBL_per_day_Excel,Daily_production_rate_BBL_per_day_Task8,Month-Year,Monthly_production_BBL_Excel,Monthly_production_BBL_Task8,Net_revenue_after_OPEX_Excel,Net_revenue_after_OPEX_Task8,OPEX_monthly_Excel,OPEX_monthly_Task8,Oil_price_USD_Excel,Oil_price_USD_Task8,Oil_sales_Excel,Oil_sales_Task8,Wells_producing_Excel,Wells_producing_Task8,Wells_total_Excel,Wells_total_Task8
47272727.27272727,130000000.0,47272727.27272727,130000000.0,0.0,-129785503.62019216,286859.8071428571,74228.47499999999,-46367397.72138441,-129711275.14519218,905329.55134286,-129785503.62019216,1192189.3584857143,288724.85480782547,629.0785244360902,164.95216666666664,December,19123.987142857142,4948.565,905329.5513428572,214496.3798078255,286859.8071428571,74228.47499999999,62.34,58.34516770171262,1192189.3584857143,288724.85480782547,20,18,20,20
47272727.27272727,130000000.0,94545454.54545456,260000000.0,0.0,-258576309.71903688,776490.6603174603,121065.0375,-92570771.21077836,-259528501.39902723,1974683.3346761912,-259649566.43652725,2751173.9949936504,471498.6009727566,1073.7518709969368,104.08125,January,32642.05687830688,3122.4375,1069353.7833333332,135937.18366493113,489630.8531746032,46836.5625,47.76,58.53559796310771,1558984.6365079363,182773.74616493116,20,19,20,21
47272727.27272727,130000000.0,141818181.8181818,390000000.0,0.0,-386163304.3693088,1525487.2757020756,195277.725,-137691381.54196715,-389176593.48059887,4126800.276214659,-389371871.2055989,5652287.551916728,823406.5194010969,1642.5364372469635,164.91708333333332,February,49933.10769230769,4947.5125,2152116.941538461,277695.2309283402,748996.6153846154,74212.6875,58.1,71.12825251645958,2901113.556923077,351907.9184283402,20,20,20,22
47272727.27272727,130000000.0,189090909.0909091,520000000.0,0.0,-512770382.24181664,2300689.547791837,248329.21693548383,-182850907.4209777,-518922246.5505256,6240001.669931352,-519170575.76746106,8540691.21772318,1077753.4494744092,1700.0049826529855,117.89220430107528,March,51680.15147265077,3536.766129032258,2113201.39371669,201295.4381378285,775202.2720897614,53051.49193548387,55.89,71.91511137404711,2888403.665806452,254346.93007331237,20,21,20,23
47272727.27272727,130000000.0,236363636.3636364,650000000.0,0.0,-638316460.4001489,3239782.547791837,318613.41693548387,-227336406.66970503,-648635511.868073,9027229.69393134,-648954125.2850085,12267012.24172318,1364488.1319269522,2059.4144736842104,156.18711111111108,April,62606.2,4685.613333333333,2787228.024,216450.48245254287,939093.0,70284.2,59.52,61.19469577498419,3726321.024,286734.6824525429,20,22,20,24
47272727.27272727,130000000.0,283636363.6363636,780000000.0,0.0,-762768445.3056997,4190836.991618311,393534.69279755285,-271497283.8022321,-778285223.0724592,12139079.83413154,-778678757.7652569,16329916.825749876,1714776.9275406715,2085.6457101457763,166.49172413793104,May,63403.62958843159,4994.751724137931,3111850.1402002224,275367.5197516505,951054.443826474,74921.27586206897,64.08,70.13137288103697,4062904.584026696,350288.7956137195,20,23,20,25
47272727.27272727,130000000.0,330909090.9090909,910000000.0,0.0,-886268863.5432513,5168130.491618311,470426.5927975528,-315741704.28295934,-908013854.957464,15167386.626131536,-908484281.5502616,20335517.11774988,1986145.042535997,2143.1875,170.87088888888886,June,65152.9,5126.126666666666,3028306.792,194476.21499532543,977293.5,76891.9,61.48,52.93823829206825,4005600.292,271368.11499532545,20,25,20,26
47272727.27272727,130000000.0,378181818.1818181,1040000000.0,0.0,-1008705295.3399516,6217568.008973079,551899.6107003661,-360106790.00760233,-1037691992.728173,18075028.174215797,-1038243892.3388736,24292596.183188923,2308007.2718267743,2301.3980643744912,181.0511508951407,July,69962.50115698454,5431.5345268542205,2907641.5480842777,240389.2113879639,1049437.517354768,81473.01790281331,56.56,59.25806559811929,3957079.065439045,321862.22929077724,21,26,21,27
47272727.27272727,130000000.0,425454545.4545454,1170000000.0,0.0,-1130226277.7578268,7330530.267037595,642722.35263585,-405040812.5887167,-1167463821.508438,20413732.865828693,-1168106543.861074,27744263.13286634,2536178.491561803,2440.7067062818337,201.8283154121864,August,74197.48387096774,6054.849462365591,2338704.691612903,137348.4777995447,1112962.258064516,90822.74193548386,46.52,37.68404502097787,3451666.9496774194,228171.21973502857,21,27,21,28
47272727.27272727,130000000.0,472727272.7272726,1300000000.0,0.0,-1250683718.967899,8385607.267037595,730357.0193025166,-450019099.0787773,-1297175009.1236649,22708173.64849532,-1297905366.1429672,31093780.91553301,2824990.8763351226,2313.765350877193,194.7437037037037,September,70338.46666666667,5842.311111111111,2294440.782666667,201177.71810665276,1055077.0,87634.66666666667,47.62,49.434612310194495,3349517.782666667,288812.3847733194,21,27,21,28
