Month-Year,Monthly_production_BBL,Oil_price_USD,CAPEX_monthly,OPEX_monthly,Oil_sales,Net_revenue_after_OPEX,Cumulative_revenue,Cumulative_OPEX,Cumulative_CAPEX,Cumulative_cash_flow,Cumulative_cash_flow_after_OPEX,Cumulative_NPV,Wells_total,Wells_producing,Daily_production_rate_BBL_per_day
December,19123.987142857142,0.0,47272727.27272727,286859.8071428571,0.0,-286859.8071428571,0.0,286859.8071428571,47272727.27272727,-47559587.07987013,-286859.80714285374,0.0,20,20,629.0785244360902
January,32642.056878306877,0.0,47272727.27272727,489630.85317460314,0.0,-489630.85317460314,0.0,776490.6603174603,94545454.54545455,-95321945.20577201,-776490.6603174657,0.0,20,20,1073.7518709969368
February,49933.10769230769,0.0,47272727.27272727,748996.6153846154,0.0,-748996.6153846154,0.0,1525487.2757020756,141818181.8181818,-143343669.0938839,-1525487.275702089,0.0,20,20,1642.5364372469635
March,51680.15147265077,0.0,47272727.27272727,775202.2720897614,0.0,-775202.2720897614,0.0,2300689.547791837,189090909.0909091,-191391598.63870093,-2300689.5477918386,0.0,20,20,1700.0049826529857
April,62606.2,0.0,47272727.27272727,939093.0,0.0,-939093.0,0.0,3239782.547791837,236363636.36363637,-239603418.9114282,-3239782.5477918386,0.0,20,20,2059.4144736842104
May,63403.62958843159,0.0,47272727.27272727,951054.4438264739,0.0,-951054.4438264739,0.0,4190836.9916183106,283636363.6363636,-287827200.62798196,-4190836.9916183352,0.0,20,20,2085.6457101457763
June,65152.9,0.0,47272727.27272727,977293.5,0.0,-977293.5,0.0,5168130.491618311,330909090.9090909,-336077221.4007092,-5168130.491618335,0.0,20,20,2143.1875
July,69962.50115698454,0.0,47272727.27272727,1049437.517354768,0.0,-1049437.517354768,0.0,6217568.008973079,378181818.1818181,-384399386.19079125,-6217568.008973122,0.0,21,21,2301.3980643744912
August,74197.48387096774,0.0,47272727.27272727,1112962.2580645161,0.0,-1112962.2580645161,0.0,7330530.267037595,425454545.4545454,-432785075.721583,-7330530.26703763,0.0,21,21,2440.7067062818337
September,70338.46666666667,0.0,47272727.27272727,1055077.0,0.0,-1055077.0,0.0,8385607.267037595,472727272.7272726,-481112879.99431026,-8385607.26703763,0.0,21,21,2313.765350877193
October,69876.87096774194,0.0,47272727.27272727,1048153.0645161291,0.0,-1048153.0645161291,0.0,9433760.331553724,519999999.9999999,-529433760.33155364,-9433760.331553757,0.0,21,21,2298.5812818336167
November,65470.01915708812,0.0,47272727.27272727,982050.2873563218,0.0,-982050.2873563218,0.0,10415810.618910046,567272727.2727271,-577688537.8916372,-10415810.618910074,0.0,21,21,2153.619051220004
December,71277.29032258065,0.0,47272727.27272727,1069159.3548387098,0.0,-1069159.3548387098,0.0,11484969.973748757,614545454.5454544,-626030424.5192032,-11484969.973748803,0.0,21,21,2344.647707979627
January,70901.90322580645,0.0,47272727.27272727,1063528.5483870967,0.0,-1063528.5483870967,0.0,12548498.522135854,661818181.8181816,-674366680.3403176,-12548498.522135973,0.0,21,21,2332.2994482173176
February,71220.20689655172,0.0,47272727.27272727,1068303.103448276,0.0,-1068303.103448276,0.0,13616801.62558413,709090909.0909089,-722707710.7164931,-13616801.625584245,0.0,22,22,2342.7699637023593
March,73120.16129032258,0.0,47272727.27272727,1096802.4193548386,0.0,-1096802.4193548386,0.0,14713604.044938968,756363636.3636361,-771077240.4085753,-14713604.04493916,0.0,22,22,2405.2684634974535
April,78885.64838709676,0.0,47272727.27272727,1183284.7258064514,0.0,-1183284.7258064514,0.0,15896888.770745419,803636363.6363634,-819533252.407109,-15896888.770745635,0.0,22,22,2594.9226443123935
