,absolute_diff_mean,absolute_diff_sum,excel_sum,max_absolute_diff,max_percent_diff,percent_diff_mean,task8_sum
CAPEX_monthly,1477272.7272727462,81250000.00000021,2600000000.0000014,82727272.72727272,190.9090909090909,84.59504132231409,2518749999.9999995
Cumulative_CAPEX,-508772727.2727264,-27982499999.99996,72799999999.99998,992727272.7272729,63.63636363636365,-34.37209062255216,100782499999.99997
Cumulative_NPV,1689269663.2932305,92909831481.1277,0.0,2229134635.836368,100.0,-100.0,-92909831481.1277
Cumulative_OPEX,33913037.842848375,1865217081.356661,1982838521.7819939,81777700.84367427,2031.7728550039512,1372.2922261671188,117621440.42533244
Cumulative_cash_flow,592445320.1092803,32584492606.010426,-67721356966.64615,1016335216.826397,65.3133739441492,-38.378685288389946,-100305849572.65657
Cumulative_cash_flow_after_OPEX,1918220255.3897407,105502114046.43573,5078643033.353833,2755853290.8526106,109.97342050958511,-104.3169460524506,-100423471013.08191
Cumulative_revenue,119724202.32349853,6584831127.79242,7061481555.135843,318880991.69628304,1892.6644432060737,1182.3441909469811,476650427.3434246
Daily_production_rate_BBL_per_day,3258.53408835713,179219.37485964212,188163.6928058871,4900.379968873798,3563.3709026811503,2124.3108423236213,8944.317946245057
Monthly_production_BBL,99124.48587112033,5451846.722911617,5720176.2612989675,149034.94193548386,3612.215848050231,2153.968320221269,268329.53838735167
Net_revenue_after_OPEX,4310968.924592887,237103290.85260877,249926605.94749227,9277430.82441273,6942.450404804597,2056.913531105388,12823315.094883487
OPEX_monthly,1486867.2880668044,81777700.84367426,85802643.91948454,2235524.1290322584,3612.215848050232,2153.968320221269,4024943.0758102746
Oil_price_USD,-6.49888098372643,-357.43845410495373,3113.14,38.09318064502339,69.78935154463767,-8.294484765755017,3470.5784541049534
Oil_sales,5797836.212659692,318880991.6962831,335729249.86697686,11359527.479083747,5825.939620986825,2063.0452343201578,16848258.170693766
Wells_producing,-2.1454545454545455,-118.0,1294.0,6.0,22.22222222222222,-8.032283352025397,1412.0
Wells_total,-3.8181818181818183,-210.0,1294.0,7.0,25.0,-13.862427866380429,1504.0
