LEASE_NUMBER,LEASE_NAME,DEV_NAME,DEV_SYSTEM,TOTAL_OIL_BBLS,TOTAL_GAS_MCF,CUM_OIL_MMBBL,CUM_GAS_BCF,MAX_WELLS,FIRST_PROD,LAST_PROD,MONTHS,PROD_YEARS,AVG_GOR
G21245,Jack,Jack St Malo,subsea15,209526391,50784304,209.526391,50.784304,12,2000-09-01,2025-07-01,267,24.8,0.2
G17015,St Malo,Jack St Malo,subsea15,130727497,30746267,130.727497,30.746267,9,2005-12-01,2025-07-01,236,19.6,0.2
G17001,Stones,Stones,subsea15,84683092,12562945,84.683092,12.562945,8,2005-04-01,2025-07-01,235,20.2,0.1
G20351,Julia,Julia,tieback15,71558836,7306686,71.558836,7.306686,5,2008-06-01,2025-06-01,205,17.0,0.1
G16942,Big Foot,Big Foot,dry,68962612,16617165,68.962612,16.617165,15,2006-06-01,2025-07-01,230,19.1,0.2
G18745,St Malo,Jack St Malo,subsea15,29621513,6993797,29.621513,6.993797,1,2016-08-01,2025-07-01,108,8.9,0.2
G16997,Chinook,Cascade Chinook,subsea15,27714810,4267965,27.71481,4.267965,2,2003-06-01,2025-06-01,265,22.0,0.2
G18753,St Malo,Jack St Malo,subsea15,23833301,5810861,23.833301,5.810861,2,2007-08-01,2025-07-01,216,17.9,0.2
G16965,Cascade,Cascade Chinook,subsea15,10076081,2061248,10.076081,2.061248,1,2002-04-01,2025-06-01,172,23.2,0.2
G17016,St Malo,Jack St Malo,subsea15,9463190,2208475,9.46319,2.208475,2,2004-05-01,2025-07-01,254,21.2,0.2
G20394,St Malo,Jack St Malo,subsea15,9283938,2152806,9.283938,2.152806,1,2019-12-01,2025-07-01,68,5.6,0.2
G31752,Anchor,Anchor,subsea20,9171605,2481694,9.171605,2.481694,4,2014-12-01,2025-07-01,49,10.6,0.3
G31751,Anchor,Anchor,subsea20,340028,105482,0.340028,0.105482,1,2023-11-01,2025-07-01,21,1.7,0.3
G31938,Shenandoah,Shenandoah,subsea20,3784,3914,0.003784,0.003914,8,2012-09-01,2025-06-01,149,12.7,1.0
G30876,North Platte,North Platte,subsea20,0,0,0.0,0.0,2,2012-09-01,2017-06-01,47,4.7,
G25782,Tiber,Tiber,subsea20,0,0,0.0,0.0,2,2009-08-01,2017-04-01,93,7.7,
G25232,Shenandoah,Shenandoah,subsea20,0,0,0.0,0.0,1,2008-11-01,2025-06-01,136,16.6,
G32460,North Platte,North Platte,subsea20,0,0,0.0,0.0,1,2015-04-01,2015-04-01,1,0.0,
