LEASE_NUMBER,LEASE_NAME,DEV_NAME,DEV_SYSTEM,API_WELL_NUMBER,WELL_COUNT
G17001,Stones,Stones,subsea15,608124001500,23
G17001,Stones,Stones,subsea15,608124002200,23
G17001,Stones,Stones,subsea15,608124003200,23
G17001,Stones,Stones,subsea15,608124003201,23
G17001,Stones,Stones,subsea15,608124003202,23
G17001,Stones,Stones,subsea15,608124008700,23
G17001,Stones,Stones,subsea15,608124009200,23
G17001,Stones,Stones,subsea15,608124009201,23
G17001,Stones,Stones,subsea15,608124009500,23
G17001,Stones,Stones,subsea15,608124009900,23
G17001,Stones,Stones,subsea15,608124010300,23
G17001,Stones,Stones,subsea15,608124010400,23
G17001,Stones,Stones,subsea15,608124010500,23
G17001,Stones,Stones,subsea15,608124011000,23
G17001,Stones,Stones,subsea15,608124011001,23
G17001,Stones,Stones,subsea15,608124011700,23
G17001,Stones,Stones,subsea15,608124012300,23
G17001,Stones,Stones,subsea15,608124012900,23
G17001,Stones,Stones,subsea15,608124013400,23
G17001,Stones,Stones,subsea15,608124013700,23
G17001,Stones,Stones,subsea15,608124013701,23
G17001,Stones,Stones,subsea15,608124014300,23
G17001,Stones,Stones,subsea15,608124014301,23
G16965,Cascade,Cascade Chinook,subsea15,608124000800,5
G16965,Cascade,Cascade Chinook,subsea15,608124000801,5
G16965,Cascade,Cascade Chinook,subsea15,608124001600,5
G16965,Cascade,Cascade Chinook,subsea15,608124004700,5
G16965,Cascade,Cascade Chinook,subsea15,608124008300,5
G16997,Chinook,Cascade Chinook,subsea15,608124001000,5
G16997,Chinook,Cascade Chinook,subsea15,608124004600,5
G16997,Chinook,Cascade Chinook,subsea15,608124004601,5
G16997,Chinook,Cascade Chinook,subsea15,608124004602,5
G16997,Chinook,Cascade Chinook,subsea15,608124009700,5
G20351,Julia,Julia,tieback15,608124003300,8
G20351,Julia,Julia,tieback15,608124003301,8
G20351,Julia,Julia,tieback15,608124009400,8
G20351,Julia,Julia,tieback15,608124010200,8
G20351,Julia,Julia,tieback15,608124010800,8
G20351,Julia,Julia,tieback15,608124011100,8
G20351,Julia,Julia,tieback15,608124012700,8
G20351,Julia,Julia,tieback15,608124012701,8
G31752,Anchor,Anchor,subsea20,608114063500,6
G31752,Anchor,Anchor,subsea20,608114063501,6
G31752,Anchor,Anchor,subsea20,608114075000,6
G31752,Anchor,Anchor,subsea20,608114075100,6
G31752,Anchor,Anchor,subsea20,608114076100,6
G31752,Anchor,Anchor,subsea20,608114076900,6
G31751,Anchor,Anchor,subsea20,608114077400,1
G21245,Jack,Jack St Malo,subsea15,608124000400,17
G21245,Jack,Jack St Malo,subsea15,608124000401,17
G21245,Jack,Jack St Malo,subsea15,608124000402,17
G21245,Jack,Jack St Malo,subsea15,608124001100,17
G21245,Jack,Jack St Malo,subsea15,608124003100,17
G21245,Jack,Jack St Malo,subsea15,608124003101,17
G21245,Jack,Jack St Malo,subsea15,608124005400,17
G21245,Jack,Jack St Malo,subsea15,608124005600,17
G21245,Jack,Jack St Malo,subsea15,608124005700,17
G21245,Jack,Jack St Malo,subsea15,608124005800,17
G21245,Jack,Jack St Malo,subsea15,608124011400,17
G21245,Jack,Jack St Malo,subsea15,608124011801,17
G21245,Jack,Jack St Malo,subsea15,608124012200,17
G21245,Jack,Jack St Malo,subsea15,608124013202,17
G21245,Jack,Jack St Malo,subsea15,608124013300,17
G21245,Jack,Jack St Malo,subsea15,608124013500,17
G21245,Jack,Jack St Malo,subsea15,608124013600,17
G18753,St Malo,Jack St Malo,subsea15,608124002900,3
G18753,St Malo,Jack St Malo,subsea15,608124005300,3
G18753,St Malo,Jack St Malo,subsea15,608124015100,3
G18745,St Malo,Jack St Malo,subsea15,608124010701,1
G17015,St Malo,Jack St Malo,subsea15,608124001700,30
G17015,St Malo,Jack St Malo,subsea15,608124001701,30
G17015,St Malo,Jack St Malo,subsea15,608124002700,30
G17015,St Malo,Jack St Malo,subsea15,608124002701,30
G17015,St Malo,Jack St Malo,subsea15,608124002702,30
G17015,St Malo,Jack St Malo,subsea15,608124002703,30
G17015,St Malo,Jack St Malo,subsea15,608124005000,30
G17015,St Malo,Jack St Malo,subsea15,608124005102,30
G17015,St Malo,Jack St Malo,subsea15,608124005103,30
G17015,St Malo,Jack St Malo,subsea15,608124005200,30
G17015,St Malo,Jack St Malo,subsea15,608124005201,30
G17015,St Malo,Jack St Malo,subsea15,608124005202,30
G17015,St Malo,Jack St Malo,subsea15,608124005203,30
G17015,St Malo,Jack St Malo,subsea15,608124011500,30
G17015,St Malo,Jack St Malo,subsea15,608124011501,30
G17015,St Malo,Jack St Malo,subsea15,608124011502,30
G17015,St Malo,Jack St Malo,subsea15,608124011503,30
G17015,St Malo,Jack St Malo,subsea15,608124011504,30
G17015,St Malo,Jack St Malo,subsea15,608124011600,30
G17015,St Malo,Jack St Malo,subsea15,608124011602,30
G17015,St Malo,Jack St Malo,subsea15,608124011603,30
G17015,St Malo,Jack St Malo,subsea15,608124011604,30
G17015,St Malo,Jack St Malo,subsea15,608124011605,30
G17015,St Malo,Jack St Malo,subsea15,608124011606,30
G17015,St Malo,Jack St Malo,subsea15,608124012601,30
G17015,St Malo,Jack St Malo,subsea15,608124012602,30
G17015,St Malo,Jack St Malo,subsea15,608124014600,30
G17015,St Malo,Jack St Malo,subsea15,608124015501,30
G17015,St Malo,Jack St Malo,subsea15,608124015503,30
G17015,St Malo,Jack St Malo,subsea15,608124015504,30
G17016,St Malo,Jack St Malo,subsea15,608124001300,4
G17016,St Malo,Jack St Malo,subsea15,608124001301,4
G17016,St Malo,Jack St Malo,subsea15,608124012500,4
G17016,St Malo,Jack St Malo,subsea15,608124015400,4
G20394,St Malo,Jack St Malo,subsea15,608124012804,1
G25782,Tiber,Tiber,subsea20,608084001500,2
G25782,Tiber,Tiber,subsea20,608084005500,2
G31938,Shenandoah,Shenandoah,subsea20,608124007500,11
G31938,Shenandoah,Shenandoah,subsea20,608124007900,11
G31938,Shenandoah,Shenandoah,subsea20,608124010900,11
G31938,Shenandoah,Shenandoah,subsea20,608124013900,11
G31938,Shenandoah,Shenandoah,subsea20,608124014000,11
G31938,Shenandoah,Shenandoah,subsea20,608124014001,11
G31938,Shenandoah,Shenandoah,subsea20,608124014002,11
G31938,Shenandoah,Shenandoah,subsea20,608124014003,11
G31938,Shenandoah,Shenandoah,subsea20,608124014100,11
G31938,Shenandoah,Shenandoah,subsea20,608124014400,11
G31938,Shenandoah,Shenandoah,subsea20,608124015200,11
G25232,Shenandoah,Shenandoah,subsea20,608124003401,3
G25232,Shenandoah,Shenandoah,subsea20,608124003402,3
G25232,Shenandoah,Shenandoah,subsea20,608124011302,3
G30876,North Platte,North Platte,subsea20,608074030500,10
G30876,North Platte,North Platte,subsea20,608074030501,10
G30876,North Platte,North Platte,subsea20,608074030502,10
G30876,North Platte,North Platte,subsea20,608074031500,10
