   ,1,  001a,2,5,CA003,CA004,CA006,,,,,,,,
Company,Petrobras America Inc.,Murphy Exploration & Production Company - USA,Murphy Exploration & Production Company - USA,Petrobras America Inc.,Murphy Exploration & Production Company - USA,Murphy Exploration & Production Company - USA,Murphy Exploration & Production Company - USA,,,,,,,,
Water Depth (ft),8152,8143,8160,8149,8142,8143,8147,8845,8831,8835,8850,8843,8839,,8467.615385
Well Purpose,E,E,E,D,E,E,D,,,,,,,,
Rig(s),,C.R. LUIGIS,GSF C.R. LUIGS,ENSCO DS-5,"SEADRILL WEST SIRIUS, DIAMOND OCEAN ENDEAVOR","PRIDE DEEP OCEAN MENDOCINO, ENSCO DS-5",ENSCO DS-5,,,,,,,,
Side Tracks,0,1,1,0,0,1,0,,,,,,,,
Spud Date,,1/31/2002,3/19/2005,12/18/2012,11/6/2008,11/25/2009,1/1/2013,,,,,,,,
Wellbore Status,CNL,PA,TA,PA,COM,COM,COM,,,,,,,,
Last BSEE Date,3/29/2006,6/4/2002,1/1/2006,12/27/2012,5/3/2010,12/4/2012,12/16/2013,,,,,,,,
Well Construction Days,0,108,210,11,76,146,223,,,,,,,,
Well Completion Days,0,0,0,0,136,84,127,,,,,,,,
Rig Last Date on Well,,6/6/2002,1/1/2006,12/29/2012,5/5/2010,12/8/2012,12/16/2013,,,,,,,,
Tree Height AML (ft),,,,,18,14,18,,,,,,,,
BSEE Field,WR206,WR206,WR206,WR206,WR206,WR206,WR206,,,,,,,,
API10,6081240012,6081240008,6081240016,6081240082,6081240038,6081240047,6081240083,,,,,,,,
