DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,LEASE_NUMBER,DOC_TYPE,DATA_SET,DOC_DATE,DOC_BAR_CODE
327,Gulf of Mexico,8/18/2004,142,6157579,G04228,,Expired Terminated Relinquished,10/4/1995,
328,Gulf of Mexico,8/18/2004,158,6385621,G04586,,Expired Terminated Relinquished,9/27/1995,
329,Gulf of Mexico,8/18/2004,65,2891490,G06015,,Expired Terminated Relinquished,9/26/1995,
330,Gulf of Mexico,8/18/2004,75,2834074,G06486,,Expired Terminated Relinquished,8/29/1995,
331,Gulf of Mexico,8/18/2004,71,2718871,G06487,,Expired Terminated Relinquished,8/29/1995,
332,Gulf of Mexico,8/18/2004,71,2758314,G06488,,Expired Terminated Relinquished,8/29/1995,
333,Gulf of Mexico,8/18/2004,131,5341495,G06489,,Expired Terminated Relinquished,8/31/1995,
334,Gulf of Mexico,8/18/2004,72,2717642,G06490,,Expired Terminated Relinquished,8/29/1995,
335,Gulf of Mexico,8/18/2004,70,2683130,G06493,,Expired Terminated Relinquished,8/29/1995,
336,Gulf of Mexico,8/18/2004,99,4082090,G06494,,Expired Terminated Relinquished,8/31/1995,
337,Gulf of Mexico,8/18/2004,68,2713611,G06495,,Expired Terminated Relinquished,8/29/1995,
338,Gulf of Mexico,8/18/2004,68,2732567,G06496,,Expired Terminated Relinquished,8/29/1995,
339,Gulf of Mexico,8/18/2004,142,6120250,G06497,,Expired Terminated Relinquished,8/31/1995,
340,Gulf of Mexico,8/18/2004,90,3871063,G06498,,Expired Terminated Relinquished,8/29/1995,
341,Gulf of Mexico,8/18/2004,117,5148155,G06499,,Expired Terminated Relinquished,8/31/1995,
342,Gulf of Mexico,8/18/2004,146,6157801,G06500,,Expired Terminated Relinquished,,
343,Gulf of Mexico,8/18/2004,119,4924315,G06501,,Expired Terminated Relinquished,8/31/1995,
344,Gulf of Mexico,8/18/2004,119,4921763,G06502,,Expired Terminated Relinquished,8/31/1995,
345,Gulf of Mexico,8/18/2004,86,3815223,G06503,,Expired Terminated Relinquished,8/29/1995,
346,Gulf of Mexico,8/18/2004,119,5189274,G06504,,Expired Terminated Relinquished,8/31/1995,
347,Gulf of Mexico,8/18/2004,118,4968429,G06505,,Expired Terminated Relinquished,8/31/1995,
348,Gulf of Mexico,8/18/2004,118,4997050,G06509,,Expired Terminated Relinquished,8/31/1995,
349,Gulf of Mexico,8/18/2004,142,6007935,G06508,,Expired Terminated Relinquished,8/31/1995,
350,Gulf of Mexico,8/18/2004,90,3978116,G06511,,Expired Terminated Relinquished,8/29/1995,
351,Gulf of Mexico,8/18/2004,122,5127301,G06512,,Expired Terminated Relinquished,8/31/1995,
352,Gulf of Mexico,8/18/2004,87,3710231,G06513,,Expired Terminated Relinquished,8/29/1995,
353,Gulf of Mexico,8/18/2004,143,5946131,G06516,,Expired Terminated Relinquished,8/31/1995,
