SN_APD,H2S_DESIGNATION,H2S_ACTVTN_PLAN_TVD,GEO_MARKER_NAME,TOP_MD
-23625,Absent,,Peach D,25434
-23625,Absent,,Peach E,25584
-24060,Absent,,"""I2"" Sand",7910
-24060,Absent,,"""K4"" Sand",9060
-24060,Absent,,"""L2"" Sand",9370
-24060,Absent,,"""N2"" Sand",9908
-25023,Absent,,Fault 1,6496
-25023,Absent,,Fault 2,6799
-25023,Absent,,Top of Salt,7060
-25023,Absent,,Base of Salt,21709
-25023,Absent,,UM1,22378
-25023,Absent,,MM7,26210
-25023,Absent,,MM4,27403
-25023,Absent,,Fault 3,27459
-25023,Absent,,Fault 4,28109
-25023,Absent,,LM,29587
-25023,Absent,,Oligocene,30723
-25085,Absent,,02,21257
-25085,Absent,,M4,19657
-23617,Absent,,Top of Salt,5188
-23617,Absent,,Base of Salt,9518
-23617,Absent,,K Sand,13634
-23617,Absent,,M2 Sand,14229
-23617,Absent,,M56A Sand,17829
-23617,Absent,,M56B Sand,18217
-23617,Absent,,M56C Sand,18790
-23661,Absent,,VM60,27358
-23661,Absent,,VM80,30667
-23775,Absent,,Q1_TerraCotta,20393
-23775,Absent,,R_AquaTerraCotta_U,21163
-23775,Absent,,R_AquaTerraCotta_L1,21317
-23775,Absent,,R_AquaTerraCotta_L2,21398
-23775,Absent,,U0_Amber,23987
-23775,Absent,,U1_Amber,24569
-23775,Absent,,V1_Platinum,25573
-23775,Absent,,W0_Tungsten,26922
-24085,Absent,,CM10,12348
-23911,Absent,,Q1_TerraCotta,20393
-23911,Absent,,R_AquaTerraCotta_U,21163
-23911,Absent,,R_AquaTerraCotta_L1,21317
-23911,Absent,,R_AquaTerraCotta_L2,21398
-23911,Absent,,U0_Amber,23987
-23911,Absent,,U1_Amber,24569
-23911,Absent,,V1_Platinum,25573
-23911,Absent,,W0_Tungsten,26922
-24024,Absent,,OO10 Sand,10368
-24085,Absent,,CM20,12576
-24085,Absent,,GALT10,12860
-24085,Absent,,GALT30,13051
-24085,Absent,,GALT40,13187
-24085,Absent,,GALT50,13269
-24085,Absent,,GALT65,13355
-24085,Absent,,GALT60,13380
-24085,Absent,,GALT70,13438
-24085,Absent,,GMARG10,13594
-24098,Absent,,Salt,11497
-24098,Absent,,WM30,28260
-24098,Absent,,WM50,28970
-24153,Absent,,WM30,28260
-24104,Absent,,17000 Sand,17051
-24104,Absent,,18800 Sand,19087
-24104,Absent,,19000 Sand,19733
-24104,Absent,,Green,20898
-24104,Absent,,Upper Pink Sand,21779
-24104,Absent,,Upper Pink B Sand,21924
-24104,Absent,,Lower Pink Sand,22040
-24153,Absent,,WM50,28970
-24184,Absent,,WM30,28260
-24150,Absent,,Wilcox 5_T,25594
-24150,Absent,,Wilcox 6_T,25910
-24153,Absent,,Salt,11497
-24184,Absent,,WM50,28970
-24179,Absent,,A-1 Sand,7000
-24179,Absent,,B-2 Sand,8970
-24179,Absent,,C-9 Sand,9752
-24179,Absent,,D-1 Sand,9850
-24179,Absent,,D-5 Sand,10410
-24184,Absent,,Salt,11497
-24188,Absent,,Top of Salt,7219
-24188,Absent,,Base of Salt,10504
-24188,Absent,,PS4,13252
-24188,Absent,,PPU,16751
-24188,Absent,,N Seq_t,17763
-24188,Absent,,O Seq,18860
-24188,Absent,,S Seq,20033
-24188,Absent,,V Seq,20464
-24188,Absent,,LAM_Seq,21142
-24188,Absent,,LV Seq,21431
-24188,Absent,,LV Sand_T,21609
-24188,Absent,,CC_T,22239
-24188,Absent,,DD_T,22481
-24188,Absent,,EE_T,22665
-24188,Absent,,FF_T,22760
-24188,Absent,,Wilcox 1_T,24516
-24188,Absent,,Wilcox 2_T,25054
-24188,Absent,,Wilcox 3_T,25320
-24188,Absent,,Wilcox 4_T,25510
-24188,Absent,,Wilcox 5_T,25594
-24188,Absent,,Wilcox 6_T,25910
-24190,Absent,,17000 Sand,17051
