FMP_LOC_NAME,FMP_NUMBER,COMGL_PROD_CD,FMP_MEAS_TYP_CD,METER_MAKE,METER_TYPE_CODE,METER_SIZE,RECORDER_MAKE,METER_SERIAL_NUM,METER_STAT_CODE,FMP_OPERATOR_NUM,BUS_ASC_NAME,FMP_NAME,FMP_NUMBER_SALES,FMP_NUMBER_OUT,TANK_SERIAL_NUM,TANK_ID_NUM,TANK_STORAGE_CAP,TANK_STAT_CODE
AC 0857   A,22608050133,2,ALL,ENDRESS+HAUSER,COR,4.0,THERMO SCIENTIFIC,C,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",20608050131,20608050131,,,,
AC 0857   A,22608050133,2,ALL,ENDRESS+HAUSER,COR,4.0,THERMO SCIENTIFIC,D,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",20608050131,20608050131,,,,
AC 0857   A,22608050133,2,ALL,ENDRESS+HAUSER,COR,4.0,THERMO SCIENTIFIC,E,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",20608050131,20608050131,,,,
AC 0857   A,22608050135,4,ALL,ENDRESS+HAUSER,COR,4.0,THERMO SCIENTIFIC,9908EC02000,A     ,689,Shell Offshore Inc.,PROCESS TRAIN C,20608050131,20608050131,,,,
AC 0857   A,22608050135,4,ALL,ENDRESS+HAUSER,COR,4.0,THERMO SCIENTIFIC,9908F102000,A     ,689,Shell Offshore Inc.,PROCESS TRAIN C,20608050131,20608050131,,,,
AC 0857   A,22608050135,4,ALL,ENDRESS+HAUSER,COR,4.0,THERMO SCIENTIFIC,9908F102000-2,A     ,689,Shell Offshore Inc.,PROCESS TRAIN C,20608050131,20608050131,,,,
AC 0857   A,3060805CC00,4,GAS,DANIEL,ORF,3.0,THERMO SCIENTIFIC,A07IV029-4,A     ,689,Shell Offshore Inc.,PERDIDO SPAR FACILITY,,,,,,
AC 0857   A,3060805CC00,4,GAS,INSTROMET,SON,4.0,THERMO SCIENTIFIC,A07IV029-1,A     ,689,Shell Offshore Inc.,PERDIDO SPAR FACILITY,,,,,,
AC 0857   A,3060805CC00,4,GAS,INSTROMET,SON,8.0,THERMO SCIENTIFIC,A07IV029-2,A     ,689,Shell Offshore Inc.,PERDIDO SPAR FACILITY,,,,,,
AC 0857   A,3060805CC00,4,GAS,INSTROMET,SON,8.0,THERMO SCIENTIFIC,A07IV029-3,A     ,689,Shell Offshore Inc.,PERDIDO SPAR FACILITY,,,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,1.0,THERMO SCIENTIFIC,2,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,1.0,THERMO SCIENTIFIC,6,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,1.0,THERMO SCIENTIFIC,A,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,1.0,THERMO SCIENTIFIC,E,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,3.0,THERMO SCIENTIFIC,4,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,3.0,THERMO SCIENTIFIC,8,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,3.0,THERMO SCIENTIFIC,C,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,3.0,THERMO SCIENTIFIC,G,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,8.0,THERMO SCIENTIFIC,1,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,8.0,THERMO SCIENTIFIC,3,I     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,8.0,THERMO SCIENTIFIC,5,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,8.0,THERMO SCIENTIFIC,7,I     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,8.0,THERMO SCIENTIFIC,9,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,8.0,THERMO SCIENTIFIC,B,I     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,8.0,THERMO SCIENTIFIC,D,A     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC00,2,ALG,MCCROMETER,VCN,8.0,THERMO SCIENTIFIC,F,I     ,689,Shell Offshore Inc.,"PROCESS TRAINS A, B, D, E",3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC02,4,ALG,MCCROMETER,VCN,1.0,THERMO SCIENTIFIC,2,A     ,689,Shell Offshore Inc.,PROCESS TRAIN C,3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC02,4,ALG,MCCROMETER,VCN,3.0,THERMO SCIENTIFIC,4,A     ,689,Shell Offshore Inc.,PROCESS TRAIN C,3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC02,4,ALG,MCCROMETER,VCN,4.0,THERMO SCIENTIFIC,1,A     ,689,Shell Offshore Inc.,PROCESS TRAIN C,3060805CC00,3060805CC00,,,,
AC 0857   A,3260805CC02,4,ALG,MCCROMETER,VCN,8.0,THERMO SCIENTIFIC,3,I     ,689,Shell Offshore Inc.,PROCESS TRAIN C,3060805CC00,3060805CC00,,,,
AC 0857   A,5060805FLR1,4,FLV,GE PANAMETRICS,SON,10.0,THERMO SCIENTIFIC,2,A     ,689,Shell Offshore Inc.,PERDIDO SPAR FACILITY,,,,,,
AC 0857   A,5060805FLR1,4,FLV,GE PANAMETRICS,SON,24.0,THERMO SCIENTIFIC,1,A     ,689,Shell Offshore Inc.,PERDIDO SPAR FACILITY,,,,,,
BAA0133   A,3042705CC08,1,GAS,DANIEL,ORF,8.0,FLOW AUTOMATION,A00KJ124-1,I     ,2451,GOM Shelf LLC,,,,,,,
BAA0133   A,3042705CC08,1,GAS,DANIEL,ORF,8.0,FLOW AUTOMATION,A00KJ124-2,I     ,2451,GOM Shelf LLC,,,,,,,
BAA0133   B,22427050058,1,ALL,HALLIBURTON,TUR,1.0,,1,I     ,2451,GOM Shelf LLC,,20423210050,20423210050,,,,
BAA0133   B,22427050058,1,ALL,HALLIBURTON,TUR,1.0,,2,I     ,2451,GOM Shelf LLC,,20423210050,20423210050,,,,
BAA0133   B,3042705CC08,1,GAS,DANIEL,ORF,12.0,FLOW AUTOMATION,A00GJ011-1,I     ,2451,GOM Shelf LLC,,,,,,,
BAA0133   B,3042705CC08,1,GAS,DANIEL,ORF,12.0,FLOW AUTOMATION,A00GJ011-2,I     ,2451,GOM Shelf LLC,,,,,,,
BAYOU BLACK RESEP FAC,3017109K000,3,GAS,DANIEL,ORF,2.0,THERMOFLOW AUTOMATIO,A00IJ147-A,A     ,2385,Williams Field Services - Gulf Coast Company LLC,FLASH GAS - SYSTEM 26.5,,,,,,
BAYOU BLACK RESEP FAC,3017109K000,3,GAS,DANIEL,ORF,2.0,THERMOFLOW AUTOMATIO,A00IJ147-B,A     ,2385,Williams Field Services - Gulf Coast Company LLC,FLASH GAS - SYSTEM 26.5,,,,,,
BAYOU BLACK RESEP FAC,3017109K000,3,GAS,SPONSLER,TUR,2.0,FLOW AUTOMATION,AO8JP118,A     ,2385,Williams Field Services - Gulf Coast Company LLC,FLASH GAS - SYSTEM 26.5,,,,,,
"BAYOU BLACK, LA",01171092651,4,INV,,,,,,,2385,Williams Field Services - Gulf Coast Company LLC,BAYOU BLACK RESEPARATION FAC.,20171092650,20171092650,1122,56.1G,20000.0,A
"BAYOU BLACK, LA",01171092651,4,INV,,,,,,,2385,Williams Field Services - Gulf Coast Company LLC,BAYOU BLACK RESEPARATION FAC.,20171092650,20171092650,44279,56.1A,7000.0,A
"BAYOU BLACK, LA",01171092651,4,INV,,,,,,,2385,Williams Field Services - Gulf Coast Company LLC,BAYOU BLACK RESEPARATION FAC.,20171092650,20171092650,44309-1,56.1E,10000.0,A
"BAYOU BLACK, LA",01171092651,4,INV,,,,,,,2385,Williams Field Services - Gulf Coast Company LLC,BAYOU BLACK RESEPARATION FAC.,20171092650,20171092650,44309-2,56.1F,10000.0,A
"BAYOU BLACK, LA",20171092650,3,ACT,SMITH,POS,4.0,,FQ-12,A     ,2385,Williams Field Services - Gulf Coast Company LLC,BAYOU BLACK RESEPARATION FAC.,,,,,,
"BAYOU BLACK, LA",20171092650,3,ACT,SMITH,POS,4.0,,FQ-13,A     ,2385,Williams Field Services - Gulf Coast Company LLC,BAYOU BLACK RESEPARATION FAC.,,,,,,
BM 0003 C&I,3017714DS00,3,GAS,DANIEL,COR,0.5,ABB TOTALFLOW,T151322524,A     ,3481,"Cantium, LLC",,,,,,,
BM 0003 C&I,3017714DS00,3,GAS,DANIEL,ORF,2.0,THERMO SCIENTIFIC,A10FV001-3,A     ,3481,"Cantium, LLC",,,,,,,
BM 0003 C&I,3017714DS00,3,GAS,DANIEL,ORF,4.0,THERMO SCIENTIFIC,A10FV001-1,A     ,3481,"Cantium, LLC",,,,,,,
BM 0003 C&I,3017714DS00,3,GAS,DANIEL,ORF,4.0,THERMO SCIENTIFIC,A10FV001-2,A     ,3481,"Cantium, LLC",,,,,,,
BM 0003 C&I,3017714DS00,3,GAS,MICRO MOTION,COR,0.5,ABB TOTALFLOW,T151322525,A     ,3481,"Cantium, LLC",,,,,,,
BM 0003 C&I,3017714DS00,3,GAS,NUFLO,TUR,2.0,NUFLO,15SBFA10622,I     ,3481,"Cantium, LLC",,,,,,,
BS 0025   A,3017726MPL3,3,GAS,DANIEL,ORF,4.0,ABB TOTALFLOW,T134751008,A     ,2628,"Arena Offshore, LP",,,,,,,
BS 0025   A,3017726MPL3,3,GAS,DANIEL,ORF,4.0,ABB TOTALFLOW,T134751010,A     ,2628,"Arena Offshore, LP",,,,,,,
CALUMET GAS PLANT,3017101X000,3,GAS,DANIEL,ORF,3.0,FLOW AUTOMATION,5092,A     ,2546,Trunkline Field Services LLC,FLASH GAS - SYSTEM 25.0,,,,,,
"CALUMET, LA",01171012500,4,INV,,,,,,,2546,Trunkline Field Services LLC,TERREBONNE LIQS. HANDLING FAC.,20171012500,20171012500,#1,CS #1,10000.0,A
"CALUMET, LA",01171012500,4,INV,,,,,,,2546,Trunkline Field Services LLC,TERREBONNE LIQS. HANDLING FAC.,20171012500,20171012500,#2,CS #2,10000.0,A
"CALUMET, LA",01171012500,4,INV,,,,,,,2546,Trunkline Field Services LLC,TERREBONNE LIQS. HANDLING FAC.,20171012500,20171012500,#3,CS #3,10000.0,A
"CALUMET, LA",01171012500,4,INV,,,,,,,2546,Trunkline Field Services LLC,TERREBONNE LIQS. HANDLING FAC.,20171012500,20171012500,#4,CS #4,30000.0,A
"CALUMET, LA",20171012500,3,ACT,A.O.SMITH,POS,4.0,,PJ147384,A     ,2546,Trunkline Field Services LLC,TERREBONE LIQ HANDLING FAC,,,,,,
"CALUMET, LA",20171012500,3,ACT,A.O.SMITH,POS,4.0,,PJ147385,A     ,2546,Trunkline Field Services LLC,TERREBONE LIQ HANDLING FAC,,,,,,
"CALUMET, LA",20171012500,3,ACT,A.O.SMITH,POS,4.0,,PJ147386,A     ,2546,Trunkline Field Services LLC,TERREBONE LIQ HANDLING FAC,,,,,,
"CALUMET, LA",20171012500,3,ACT,SMITH,POS,6.0,,42104,I     ,2546,Trunkline Field Services LLC,TERREBONE LIQ HANDLING FAC,,,,,,
"COCODRIE, LA",21171132800,4,ACT,A.O.SMITH,POS,3.0,,LB142905,A     ,3203,"Kinetica Partners, LLC",COCODRIE SEP FAC ACT UNIT,,,,,,
"COCODRIE, LA",21171132800,4,ACT,A.O.SMITH,POS,3.0,,LB142906,A     ,3203,"Kinetica Partners, LLC",COCODRIE SEP FAC ACT UNIT,,,,,,
"EAST BAY, LA",01170754800,4,INV,,,,,,,3368,"Whitney Oil & Gas, LLC",EAST BAY COMMINGLING FACILITY,20170754800,20170754800,1,25,15000.0,A
"EAST BAY, LA",01170754800,4,INV,,,,,,,3368,"Whitney Oil & Gas, LLC",EAST BAY COMMINGLING FACILITY,20170754800,20170754800,2,26,15000.0,A
"EAST BAY, LA",01170754800,4,INV,,,,,,,3368,"Whitney Oil & Gas, LLC",EAST BAY COMMINGLING FACILITY,20170754800,20170754800,3,27,17000.0,A
"EAST BAY, LA",20170754800,3,ACT,A.O. SMITH,POS,4.0,OMNI,2131,A     ,3368,"Whitney Oil & Gas, LLC",EAST BAY COMMINGLING FACILITY,,,,,,
"EAST BAY, LA",20170754800,3,ACT,A.O. SMITH,POS,4.0,OMNI,2132,A     ,3368,"Whitney Oil & Gas, LLC",EAST BAY COMMINGLING FACILITY,,,,,,
"EAST BAY, LA",3017075E000,3,GAS,DANIEL,ORF,2.0,ABB,06690419,A     ,3368,"Whitney Oil & Gas, LLC",EAST BAY COMMINGLING FACILITY,,,,,,
"EAST BAY, LA",3017075E000,3,GAS,DANIEL,ORF,4.0,TELEFLOW,01-675-398-2,A     ,3368,"Whitney Oil & Gas, LLC",EAST BAY COMMINGLING FACILITY,,,,,,
"EAST BAY, LA",3017075E000,3,GAS,DANIEL,ORF,12.0,TELEFLOW,01-675-398-1,A     ,3368,"Whitney Oil & Gas, LLC",EAST BAY COMMINGLING FACILITY,,,,,,
"EAST BAY, LA",3017075E000,3,GAS,TMCO,ORF,3.0,ABB,T152630615,A     ,3368,"Whitney Oil & Gas, LLC",EAST BAY COMMINGLING FACILITY,,,,,,
EB 0165   A,20608040152,2,ACT,A.O.SMITH,POS,4.0,,EM138239,A     ,730,Walter Oil & Gas Corporation,SNAPPER,,,,,,
