SN_WAR_CSNG_INTV_FK,SN_WAR_FK,CSNG_SETTING_BOTM_MD,CSNG_SETTING_TOP_MD
-23294,-16764,11182,0
-23516,-16897,12745,12396
-23386,-16828,784,0
-23590,-16982,12061,0
-23591,-16982,15221,11896
-23592,-16982,15922,15060
-23342,-16798,5009,0
-23843,-17152,985,0
-23213,-16713,13151,3925
17279,72606,6217,5317
-23896,-17180,4979,0
-23958,-17210,1008,0
-24034,-17290,8653,0
-23405,-16844,4130,3394
-23566,-16939,4122,0
-23729,-17086,5155,0
-22480,-16242,10208,0
-24183,-17363,5811,0
-23873,-17161,12745,12396
-24007,-17268,4488,0
-23354,-16803,8018,0
-24275,-17447,3493,0
-24223,-17282,20045,0
-24205,-17390,18390,0
-24207,-17391,1000,0
-24126,-17329,9230,0
-24279,-17452,4998,0
-24032,-17289,3571,0
-23717,-17081,7545,0
-24462,-17549,2040,0
-24266,-17445,1303,0
-24613,-17691,800,0
-24605,-17663,9722,0
-24212,-17393,9605,0
-24489,-17564,1023,0
-23256,-16745,12806,11253
-24316,-17493,12520,0
-24569,-17635,9141,8599
-24722,-17754,13670,0
-24798,-17810,1023,0
-24085,-17310,10650,0
-24089,-17315,992,0
-24090,-17315,5236,0
-23987,-17232,5480,0
-24287,-17467,1152,0
-24835,-17868,1992,0
-24875,-17893,6690,0
-24877,-17893,23151,3648
-24934,-17914,13726,0
-24858,-17877,11950,11091
-24833,-17849,814,0
-25124,-18074,2600,1523
-24943,-17919,5009,0
-25079,-17573,1005,0
-24730,-17760,8653,0
-24731,-17760,13582,8017
-24987,-17952,4512,0
-25031,-17967,5155,0
-24820,-17825,898,0
-25100,-18064,4012,0
-25221,-18129,11572,0
-25197,-18113,7571,3951
-25283,-18161,1102,229
-24908,-17903,4488,0
-24909,-17903,12590,0
-25193,-18112,11278,11185
-24984,-17946,12205,0
-25261,-18148,3096,0
-25321,-18194,4389,0
-25392,-18223,12061,0
-25472,-18248,12976,10288
-25336,-18198,3985,0
-20554,-14955,10002,0
-20559,-14956,12649,0
-25587,-18351,5770,0
-25596,-18363,7098,0
-25569,-18291,7097,0
-25218,-18128,8905,0
-25382,-18218,5751,0
-25291,-18165,5236,0
-25436,-18244,11925,0
-25377,-18215,5130,0
-25586,-18350,5500,0
-25597,-18375,800,0
-25439,-18251,6258,4168
-26055,-18660,1000,0
-25465,-18262,16735,13529
-25737,-18458,1015,0
-25992,-18627,641,0
-26197,-18731,23255,18664
-25573,-18340,9230,0
-25923,-18572,2040,0
-26032,-18647,12498,5700
-25514,-18312,4977,0
-25741,-18460,16602,13637
-25742,-18460,20150,16126
-25743,-18460,20788,18083
-26320,-18791,3947,0
-25917,-18568,5263,0
-25504,-18295,992,0
