PLAN_CTRL_CD,PLAN_CTRL_NUM,BOTM_LEASE_NUM,AREA_CODE,BLOCK_NUMBER,SURF_LEASE_NUM,SURF_AREA_CODE,SURF_BLOCK_NUM,BLOCK_LOOKUP,WATER_DEPTH
S,7360,G22971,GC,  511,G22971,GC,  511,511.0,3733
S,7360,G22971,GC,  511,G22971,GC,  511,511.0,3778
S,7360,G22971,GC,  511,G22971,GC,  511,511.0,3812
S,7360,G22971,GC,  511,G22971,GC,  511,511.0,3829
S,7360,G22971,GC,  511,G22971,GC,  511,511.0,3831
S,7361,G20341,WR,  543,G20341,WR,  543,543.0,6669
S,7362, 00310,SM,  218, 00310,SM,  218,218.0,14
S,7362, 00310,SM,  218, 00310,SM,  218,218.0,15
S,7362,,,, 00310,SM,  218,,14
S,7362,,,, 00310,SM,  218,,15
S,7363,G20725,EB,  646,G20725,EB,  646,646.0,3650
S,7363,G20725,EB,  646,G20725,EB,  646,646.0,3689
S,7363,G20725,EB,  646,G20725,EB,  646,646.0,4008
S,7364,G25792,KC,  292,G25792,KC,  292,292.0,5936
S,7365, 00254,WC,  150, 00254,WC,  150,150.0,41
S,7365,,,, 00254,WC,  150,,41
S,7366, 00130,GI,   41, 00130,GI,   41,41.0,80
S,7367,G01848,HI,  129,G01848,HI,  129,129.0,46
S,7367,,,,G01848,HI,  129,,46
S,7368, 00796,EI,  100, 00796,EI,  100,100.0,25
S,7369,G24102,MC,  727,G24102,MC,  727,727.0,4810
S,7369,G24102,MC,  727,G24102,MC,  727,727.0,4862
S,7369,G24102,MC,  727,G24102,MC,  727,727.0,4945
S,7370,G02754,HI,A 376,G02754,HI,A 376,376.0,321
S,7371,G23526,DC,  618,G23526,DC,  618,618.0,7860
S,7372,G33116,GI,   49,G33116,GI,   49,49.0,74
S,7372,,,,G33116,GI,   49,,74
S,7373,G02118,EI,  338,G02118,EI,  338,338.0,253
S,7374, 00831,SS,  230, 00831,SS,  230,230.0,126
S,7374, 00832,SS,  242, 00832,SS,  242,242.0,133
S,7374,G24937,SS,  241, 00831,SS,  230,241.0,126
S,7374,G24937,SS,  241, 00832,SS,  242,241.0,133
S,7375, 00830,SS,  229, 00830,SS,  229,229.0,125
S,7375, 00830,SS,  229, 00830,SS,  229,229.0,133
S,7375,G01022,SS,  218,G01022,SS,  218,218.0,114
S,7376,G04935,MC,   20,G04935,MC,   20,20.0,440
S,7377,G27195,MP,   20,G27195,MP,   20,20.0,35
S,7377,G27195,MP,   20,G27195,MP,   20,20.0,36
S,7377,G27195,MP,   20,G27195,MP,   20,20.0,38
S,7377,,,,G27195,MP,   20,,35
S,7377,,,,G27195,MP,   20,,36
S,7377,,,,G27195,MP,   20,,38
S,7378,G03068,MU,A 111,G03068,MU,A 111,111.0,298
S,7379,G14205,EB,  602,G14205,EB,  602,602.0,3678
S,7380,G15605,GC,  700,G15608,GC,  744,700.0,6523
S,7380,G15608,GC,  744,G15608,GC,  744,744.0,6524
S,7381,G20660,HI,  206,G20660,HI,  206,206.0,45
S,7381,G20660,HI,  206,G20660,HI,  206,206.0,46
S,7381,,,,G20660,HI,  206,,46
S,7382,G02300,SM,  234,G02300,SM,  234,234.0,19
S,7382,,,,G02300,SM,  234,,19
S,7383,G01088,WD,   89,G01088,WD,   89,89.0,202
S,7384,G13964,MP,  122,G13964,MP,  122,122.0,170
S,7384,,,,G13964,MP,  122,,170
S,7385,G01082,WD,   72,G01082,WD,   72,72.0,157
S,7385,,,,G01082,WD,   72,,157
S,7386,,,,G07215,BA,  376,,56
S,7387,G32534,GC,  814,G32534,GC,  814,814.0,5837
S,7387,G32534,GC,  814,G32534,GC,  814,814.0,5853
S,7387,G32536,GC,  858,G32536,GC,  858,858.0,5809
S,7387,G32536,GC,  858,G32536,GC,  858,858.0,5844
S,7388,G17973,EI,  143,G17973,EI,  143,143.0,47
S,7388,,,,G17973,EI,  143,,47
S,7389, 00813,EI,  269, 00813,EI,  269,269.0,185
S,7389, 00813,EI,  269, 00813,EI,  269,269.0,194
S,7389, 00813,EI,  269, 00813,EI,  269,269.0,195
S,7389,,,, 00813,EI,  269,,185
S,7389,,,, 00813,EI,  269,,194
S,7389,,,, 00813,EI,  269,,195
S,7390,G08760,MP,  309,G32265,MP,  308,309.0,275
S,7390,G32265,MP,  308,G32265,MP,  308,308.0,285
S,7391,G05479,EI,   28,G05479,EI,   28,28.0,17
S,7391,,,,G05479,EI,   28,,17
S,7392,,,,G31362,EI,   11,,13
S,7393, 00254,WC,  150, 00254,WC,  150,150.0,41
S,7393,,,, 00254,WC,  150,,41
S,7394,,,,G00900,WC,  225,,61
S,7395,G02047,EC,  272,G31349,VR,  282,272.0,190
S,7396,,,,G04832,MP,  108,,65
S,7397,G01997,WC,  171,G01997,WC,  171,171.0,45
S,7397,,,,G01997,WC,  171,,45
S,7398,G03088,MI,  623,G03088,MI,  623,623.0,84
S,7398,,,,G03088,MI,  623,,84
S,7399,G16770,GC,  641,G20082,GC,  640,641.0,4288
S,7399,G20082,GC,  640,G20082,GC,  640,640.0,4288
S,7400,G27904,EI,   26,G27904,EI,   26,26.0,20
S,7400,,,,G27904,EI,   26,,20
S,7401,G03088,MI,  623,G03088,MI,  623,623.0,78
S,7401,,,,G03088,MI,  623,,78
S,7402,G33408,HI,   88,G33408,HI,   88,88.0,41
S,7402,,,,G33408,HI,   88,,41
S,7403,G08461,MP,   59,G03194,MP,   59,59.0,67
S,7403,,,,G03194,MP,   59,,67
S,7404,G14205,EB,  602,G14205,EB,  602,602.0,3681
S,7405,G07976,MC,  935,G07976,MC,  935,935.0,3769
S,7405,G07976,MC,  935,G07976,MC,  935,935.0,3779
S,7405,G07976,MC,  935,G07976,MC,  935,935.0,3789
S,7406,G01196,SM,   61,G01196,SM,   61,61.0,130
S,7406,,,,G01196,SM,   61,,130
S,7407,G16461,GI,   45, 00132,GI,   46,45.0,110
