SN_OSFR_ITEM,SEGMENT_NUM
31565,8888
26800,13251
26794,13255
23285,15051
32041,15284
31102,13940
32473,15769
32475,17460
31303,11788
31388,17453
29892,3478
8029,1663
8062,8906
38891,18606
16556,13840
18552,14170
18554,14171
26823,17070
39241,13447
22525,14848
22526,14851
30061,16149
41387,19350
41386,12664
41463,20222
41468,19297
41469,20155
8651,2311
8647,4246
8649,5324
12097,10822
10574,3346
10589,10601
24404,10698
8079,7364
32654,13632
29200,8985
31411,18074
25559,5853
19464,14324
19463,14325
10747,12003
22971,14685
7101,3556
23632,15286
23503,15265
23502,15268
23504,15269
23505,15275
32586,16269
23804,13818
8738,1577
8780,1619
8866,5378
8887,5787
14318,13284
32484,1240
32015,13618
26308,10098
26311,10960
33554,4650
33445,11935
33447,12246
33127,12527
33295,13766
33689,12265
41064,14294
33908,6759
34049,11765
34053,12759
34054,13384
34055,13386
34053,12758
34156,18724
36081,8425
34557,18554
34810,3407
34819,5907
34841,16219
34842,18664
34845,18080
34863,17332
34886,10999
19948,10098
19951,10960
19964,12162
19974,12384
36374,14275
36396,6683
36643,13619
36686,19094
36704,15603
36747,17641
36751,3538
37049,15086
37365,8097
38095,11930
38094,11273
38102,13591
38721,19710
