Rank,Field    name,Field           Nickname,Disc          year,Water  depth  (feet),Field class,Field   type,Field               GOR     (SCF/STB),"Original  Reserves, Oil (MMbbl)","Original  Reserves, Gas (Bcf)","Original  Reserves, BOE (MMbbl)","Cumulative Production, Oil (MMbbl)","Cumulative Production, Gas (Bcf)","Cumulative Production, BOE (MMbbl)","Reserves, Oil (MMbbl)","Reserves, Gas (Bcf)","Reserves, BOE (MMbbl)"
1,MC807,MARS-URSA,1989,3341,P,O,"1,359 ",1871.2,2542.7,2323.7,1352.9,1740.9,1662.7,518.3,801.8,661.0
2,EI330,,1971,248,P,O,"4,081 ",466.6,1904.5,805.4,455.9,1889.3,792.0,10.7,15.2,13.4
3,WD030,,1949,48,P,O,"1,650 ",594.5,983.2,769.5,590.7,973.3,763.9,3.8,9.9,5.6
4,GI043,,1956,140,P,O,"4,365 ",401.9,1743.5,712.1,379.8,1654.0,674.1,22.1,89.5,38.0
5,TS000,,1958,13,P,G,"79,565 ",46.8,3725.0,709.6,45.3,3634.0,691.9,1.5,91.0,17.7
6,GC640,TAHITI/CAESAR/TONGA,2002,4339,P,O,605 ,616.7,373.0,683.1,322.9,208.1,359.9,293.8,164.9,323.2
7,BM002,,1949,50,P,O,"1,057 ",547.2,578.6,650.2,544.2,574.5,646.5,3.0,4.1,3.7
8,VR014,,1956,26,P,G,"65,255 ",47.9,3126.5,604.2,47.9,3126.5,604.2,0.0,0.0,0.0
9,GC743,ATLANTIS,1998,6303,P,O,748 ,494.8,369.9,560.6,323.6,213.6,361.6,171.2,156.3,199.0
10,MP041,,1956,42,P,O,"5,719 ",272.8,1560.0,550.3,271.4,1556.6,548.3,1.4,3.4,2.0
11,VR039,,1948,38,P,G,"79,958 ",32.6,2606.9,496.5,32.2,2603.8,495.5,0.4,3.1,1.0
12,GC654,SHENZI,2002,4303,P,O,394 ,462.5,182.3,494.9,289.8,114.8,310.2,172.7,67.5,184.7
13,SS208,,1960,102,P,O,"6,110 ",234.0,1433.9,489.1,226.4,1399.1,475.3,7.6,34.8,13.8
14,GB426,AUGER,1987,2847,P,O,"3,503 ",289.0,1012.3,469.2,268.0,937.4,434.8,21.0,74.9,34.4
15,GC826,MAD DOG,1998,4799,P,O,412 ,393.3,162.1,422.2,189.5,56.2,199.5,203.8,105.9,222.7
16,WD073,,1962,177,P,O,"2,501 ",279.2,702.8,404.2,277.3,689.7,400.0,1.9,13.1,4.2
17,EI238,,1964,147,P,G,"16,126 ",102.6,1612.7,389.5,94.7,1537.1,368.2,7.9,75.6,21.3
18,GI016,,1948,54,P,O,"1,298 ",310.1,402.0,381.6,307.3,396.4,377.8,2.8,5.6,3.8
19,SP061,,1967,220,P,O,"1,931 ",276.0,532.9,370.9,272.2,529.3,366.4,3.8,3.6,4.5
20,MC778,THUNDER HORSE,1999,6095,P,O,741 ,322.9,239.1,365.4,145.0,109.3,164.4,177.9,129.8,201.0
21,SP089,,1969,421,P,O,"4,425 ",198.3,877.3,354.3,196.5,873.7,351.9,1.8,3.6,2.4
22,ST172,,1962,98,P,G,"158,376 ",12.0,1898.9,349.9,12.0,1898.9,349.9,0.0,0.0,0.0
23,MC084,KING/HORN MT.,1993,5315,P,O,"1,064 ",290.3,308.9,345.2,236.7,261.6,283.2,53.6,47.3,62.0
24,WC180,,1961,48,P,G,"139,651 ",13.2,1845.8,341.7,13.2,1845.8,341.7,0.0,0.0,0.0
25,MC776,N.THUNDER HORSE,2000,5672,P,O,964 ,290.0,279.6,339.7,244.7,237.2,286.9,45.3,42.4,52.8
26,ST021,,1957,46,P,O,"1,652 ",259.8,428.9,336.1,258.8,426.6,334.7,1.0,2.3,1.4
27,SS169,,1960,63,P,O,"5,280 ",172.5,911.0,334.7,168.8,897.3,328.5,3.7,13.7,6.2
28,MC194,COGNAC,1975,1022,P,O,"4,166 ",185.1,770.9,322.3,182.0,761.8,317.6,3.1,9.1,4.7
29,EI292,,1964,214,P,G,"61,864 ",26.8,1657.8,321.8,24.4,1650.6,318.1,2.4,7.2,3.7
30,ST176,,1963,127,P,G,"13,936 ",92.3,1286.4,321.2,90.1,1272.3,316.5,2.2,14.1,4.7
31,EC271,,1971,172,P,G,"17,775 ",76.3,1355.4,317.4,72.6,1343.8,311.7,3.7,11.6,5.7
32,EC064,,1957,50,P,G,"56,112 ",28.7,1609.0,315.0,27.4,1606.4,313.2,1.3,2.6,1.8
33,SM048,,1961,100,P,G,"51,549 ",30.3,1566.3,309.1,29.3,1558.7,306.7,1.0,7.6,2.4
34,SS176,,1956,101,P,G,"19,163 ",69.5,1332.8,306.7,68.8,1317.5,303.3,0.7,15.3,3.4
35,AC857,GREAT WHITE,2002,7915,P,O,"2,017 ",218.0,439.6,296.2,138.4,256.6,184.0,79.6,183.0,112.2
36,WC587,,1971,210,P,G,"118,356 ",13.4,1581.1,294.7,13.4,1581.1,294.7,0.0,0.0,0.0
37,SP027,EAST BAY,1954,64,P,O,"5,166 ",153.1,791.6,294.0,152.2,783.9,291.7,0.9,7.7,2.3
38,ST135,,1956,129,P,O,"3,699 ",171.8,635.4,284.9,169.8,626.5,281.3,2.0,8.9,3.6
39,WD079,,1966,123,P,O,"3,881 ",168.3,650.2,284.1,165.3,639.8,279.2,3.0,10.4,4.9
40,EI296,,1971,214,P,G,"71,230 ",20.6,1464.0,281.1,20.6,1464.0,281.1,0.0,0.0,0.0
41,WC192,,1954,57,P,G,"60,168 ",23.7,1420.5,276.4,23.4,1416.3,275.4,0.3,4.2,1.0
42,GB171,SALSA,1984,1212,P,G,"3,961 ",161.5,639.7,275.3,143.7,573.2,245.7,17.8,66.5,29.6
43,HI573A,,1973,341,P,O,"7,443 ",118.3,880.6,275.0,116.3,877.6,272.5,2.0,3.0,2.5
44,MI623,,1980,83,P,G,"102,244 ",13.8,1412.2,265.1,13.8,1410.1,264.7,0.0,2.1,0.4
45,GI047,,1955,88,P,O,"3,834 ",156.6,602.1,263.7,154.2,593.6,259.8,2.4,8.5,3.9
46,VK956,RAM-POWELL,1985,3238,P,O,"9,114 ",100.2,912.6,262.5,99.1,905.0,260.1,1.1,7.6,2.4
