Lease Number,Production Month,Production Year,Lease Oil Production (BBL),Lease Condensate Production (BBL),Lease Gas-Well-Gas Production (MCF),Lease Oil-Well-Gas Production (MCF),Lease Water Production (BBL),Producing Completions,Lease Max Water Depth (meters)
 00016,1,2006,46190,0,23492,185209,293439,16,18
 00016,2,2006,21846,0,19122,85942,162440,16,18
 00016,3,2006,16332,0,25761,92447,126080,9,18
 00016,4,2006,13479,0,23315,94015,101341,9,18
 00016,5,2006,25848,0,22400,152276,194162,16,18
 00016,6,2006,24335,0,15466,95253,182838,16,18
 00016,7,2006,29152,0,24731,138754,209944,14,18
 00016,8,2006,29240,0,13996,160856,235486,16,18
 00016,9,2006,29414,0,15332,97157,212996,15,18
 00016,10,2006,28043,0,28926,92492,237720,15,18
 00016,11,2006,33207,0,26142,126742,220064,16,18
 00016,12,2006,32300,0,24939,107771,223107,15,18
 00016,1,2007,40661,0,23243,104370,286207,15,18
 00016,2,2007,27377,0,23219,119237,277965,15,18
 00016,3,2007,29833,0,22253,104042,249116,17,18
 00016,4,2007,26552,0,26331,100785,273670,13,18
 00016,5,2007,30234,0,27553,92571,296398,15,18
 00016,6,2007,35200,0,33739,125452,344881,14,18
 00016,7,2007,34590,0,25471,96267,362248,14,18
 00016,8,2007,28958,0,27943,78728,330416,14,18
 00016,9,2007,24294,0,29503,101751,338820,15,18
 00016,10,2007,32828,0,31037,102319,332946,15,18
 00016,11,2007,33474,0,25752,86181,276378,16,18
 00016,12,2007,46721,0,37260,103133,411209,16,18
 00016,1,2008,46557,0,32941,92774,366732,16,18
 00016,2,2008,30367,0,13623,30145,144999,16,18
 00016,3,2008,20114,0,19626,30440,55584,7,18
 00016,4,2008,22224,0,11751,19064,94386,14,18
 00016,5,2008,20694,0,19341,22991,38595,12,18
 00016,6,2008,16678,0,53582,24096,32482,16,18
 00016,7,2008,32006,0,58593,50516,91159,16,18
 00016,8,2008,29460,0,69293,49345,129884,16,18
 00016,9,2008,19791,0,24150,17825,70311,14,18
 00016,10,2008,27238,0,49130,63610,134092,14,18
 00016,11,2008,33964,0,17548,28548,160452,15,18
 00016,12,2008,23930,0,1321,16022,108078,13,18
 00016,1,2009,28772,0,7633,15085,133685,14,18
 00016,2,2009,40203,0,15694,50118,197261,15,18
 00016,3,2009,37538,0,37024,65151,191047,16,18
 00016,4,2009,36356,0,19760,48701,241926,17,18
 00016,5,2009,40987,0,18995,59936,191176,19,18
 00016,6,2009,48431,0,31511,79059,205915,20,18
 00016,7,2009,37104,0,20340,72969,214540,20,18
 00016,8,2009,30296,0,23463,51472,184546,20,18
 00016,9,2009,30117,0,19541,65227,207001,20,18
 00016,10,2009,16302,0,4491,26250,139426,17,18
 00016,11,2009,25196,0,21777,46322,125038,17,18
 00016,12,2009,28726,0,25985,49453,151583,16,18
 00018,1,2006,132,0,0,0,455,1,21
 00018,2,2006,568,0,0,338,1497,1,21
 00018,3,2006,949,0,0,3670,3772,1,21
 00018,4,2006,629,0,0,3832,3190,1,21
 00018,5,2006,651,0,0,1100,2406,1,21
 00018,6,2006,299,0,0,10,1768,1,21
 00018,7,2006,417,0,0,9,2713,1,21
 00018,8,2006,245,0,0,7,2416,1,21
 00018,9,2006,213,0,0,4,1530,1,21
 00018,10,2006,144,0,0,4,1206,1,21
 00018,11,2006,186,0,0,5,2180,1,21
 00018,12,2006,193,0,0,5,2887,1,21
 00018,1,2007,193,0,0,0,2871,1,21
 00018,2,2007,97,0,0,1,1928,1,21
 00018,3,2007,151,0,0,5,2820,1,21
 00018,4,2007,121,0,0,4,1315,1,21
 00018,5,2007,186,0,0,672,2302,1,21
 00018,6,2007,170,0,0,706,2078,1,21
