Field Name,Lease Number,Completion Name,API Well Number,Reservoir Name,Test Date,Shut-In Time,Temp,SI Pressure,BH MD (feet),True Vertical Depth (feet),BH Pressure,Remark
AC025,G10380,HA006,608054001203,P1-10,4/20/2013,16,132,763,14255,11705,5608,Wavier approved July 2009.
AC025,G10380,HA002,608054000803,P1-10,4/18/2015,6,133,1078,12084,11568,5321,
AC025,G10380,HA002,608054000803,P1-10,3/12/2016,13,133,1078,12084,11568,5312,
AC025,G10380,HA003,608054000902,P1-10,4/12/2012,32,134,1528,14499,12863,5669,Waiver approved - Diana Deepwater
AC025,G10380,HA002,608054000803,P1-10,4/18/2015,6,133,1078,14523,13039,5969,
AC025,G10380,HA004,608054001002,P1-10,4/19/2014,7,136,2208,13635,12938,5409,Waiver granted by Loc Than letter 6/19/14.
AC025,G10380,HA003,608054000902,P1-10,4/12/2012,32,134,1528,14858,12916,5708,Waiver approved - Diana Deepwater
AC025,G10380,HA004,608054001002,P1-10,6/19/2014,,,,,,,BHP waiver approved per Loc Van Than on 6/9/14.
AC025,G10380,HA002,608054000803,P1-10,3/12/2016,13,133,1078,14523,13039,5960,
AC025,G10380,HA005,608054001100,P1-10,6/21/2011,91,136,1603,14499,12383,5080,Waiver approved - subsea well
AC025,G10380,HA004,608054001002,P1-10,4/19/2014,7,136,2208,11780,11798,4973,Waiver granted by Loc Than letter 6/19/14.
AC857,G17565,GB004,608054006600,WM12 RA,6/11/2015,,,,,,,BHP waiver approved per Deirdre Thomas on 11/6/15.
AC857,G17565,GB004,608054006600,WM12 RA,10/27/2011,999,999,999,14696,13797,6254,Waiver approved per Loc Than by letter of 10/27/2011.
AC857,G17565,GB004,608054006600,WM12 RA,7/13/2013,-,999,99999,,,,Waiver approved per Loc Than letter on 2/6/14.
AC859,G20871,TA001,608054002702,WM12 RA,2/3/2012,-,999,999,17921,16513,8388,Waiver approved per Loc Than by letter of 2/3/2012.
AC859,G19409,SA002,608054006200,FR14 RA,8/9/2011,999,999,999,14194,13059,6322,Waiver approved per Loc Than letter of 8/9/2011
AC859,G19409,SA001,608054006101,FR12 RA,9/17/2011,999,999,999,13280,12311,6299,Waiver approved per Loc Than by letter of 8/17/2011.
AT063,G13198,SS004,608184004100,E-4/E-3.5,3/18/2015,2,176,10973,22150,22180,16700,GC 609 BHP waiver approved per Deirdre Thomas on 5/18/15. THF noted on BHP 4509.
AT426,G18603,SS002,608184006600,PL-1 Sand,2/28/2011,-,999,99999,,,,BHP rec'd in previous SS002 completion in this reservoir in 3-2008
AT575,G08035,SC004,608184006900,M9X/M10,8/22/2017,24,155,2041,10423,10474,5628,"THF noted SS trees-WD 6,213.  Waiver approved by Tao Lin on 10/6/17."
AT575,G08035,SC001,608184004403,M9X/M10,6/23/2016,5,157,9999,10067,9154,5422,Waiver approved by Tao Lin letter on 9/12/16.
AT575,G08035,SC003,608184006500,M9X/M10,5/10/2014,16,150,2808,10133,15824,5689,THF noted on BHP-6198'.
AT575,G08035,SB003,608184007500,M9X/M10,8/22/2017,24,156,2372,12477,12125,5768,"THF noted SS trees-WD 6,266. Waiver approved by Tao Lin letter 10/6/17."
AT575,G08035,SC002,608184006300,M9X/M10,5/10/2014,18,158,2576,10789,16600,6024,"THF noted on BHP-6199'.  Bottom perf noted on BHP is 18,455'."
AT575,G08038,SB002,608184007000,M9X/M10,8/22/2017,24,152,1838,11141,10217,5170,"THF-SS trees-WD 6,266'. Waiver approved by Tao Lin letter 10/6/17."
AT575,G08035,SC004,608184006900,M9X/M10,5/10/2014,17,157,5923,10420,16601,5923,"THF noted on BHP 6200'. Perfs noted on BHP 17,294-17,472."
AT575,G08035,SC002,608184006300,M9,5/10/2014,18,158,2576,10789,16600,6024,"THF noted on BHP-6199'.  Bottom perf noted on BHP is 18,455'."
AT575,G08035,SC003,608184006500,M9,6/23/2016,5,151,2295,10136,9222,5334,Waiver approved per Tao Lin letter of 9/19/2016.
AT575,G08038,SB002,608184007000,M9X/M10,6/23/2016,24,154,1829,11141,10217,5253,Waiver approved by Tao Lin letter on 9/12/16.
AT575,G08035,SB003,608184007500,M9X/M10,1/24/2015,14,155,3563,12462,12114,7065,Waiver approved by Deirdre Thomas letter on 3/13/15.
AT575,G08035,SB001,608184006700,M9X/M10,8/22/2017,24,154,2222,10751,9837,5704,"THF-SS trees-WD 6,260'.  Waiver approved by Tao Lin letter 10/6/17."
AT575,G08035,SC003,608184006500,M9X/M10,8/22/2017,24,148,2220,10136,10187,5313,"THF-SS trees-WD 6,211.  Waiver approved by Tao Lin letter 10/6/17."
AT575,G08035,SB001,608184006700,M9X/M10,5/10/2014,19,157,2484,10753,16466,5913,THF noted on BHP is 6245.
AT575,G08035,SB001,608184006700,M9X/M10,3/5/2011,7,157,3200,17083,16509,6571,
