Lease Number,Production Month,Production Year,Lease Oil Production (BBL),Lease Condensate Production (BBL),Lease Gas-Well-Gas Production (MCF),Lease Oil-Well-Gas Production (MCF),Lease Water Production (BBL),Producing Completions,Lease Max Water Depth (meters)
 00016,1,2015,35105,0,0,18892,260899,10,18
 00016,2,2015,26201,0,0,12321,231750,10,18
 00016,3,2015,20640,0,0,14013,305603,10,18
 00016,4,2015,18011,0,0,16349,302217,9,18
 00016,5,2015,19084,0,0,3799,327360,9,18
 00016,6,2015,19464,0,0,4405,317748,9,18
 00016,7,2015,18633,0,0,3980,286436,9,18
 00016,8,2015,18869,0,0,4028,279113,9,18
 00016,9,2015,17116,0,0,7028,303029,9,18
 00016,10,2015,19901,0,0,10246,324749,9,18
 00016,11,2015,21304,0,0,9719,323116,9,18
 00016,12,2015,19487,0,0,11977,305991,9,18
 00016,1,2016,18596,0,0,12137,304003,9,18
 00016,2,2016,17070,0,0,7529,284104,10,18
 00016,3,2016,15861,0,0,5204,262414,10,18
 00016,4,2016,17059,0,0,10119,299326,9,18
 00016,5,2016,16143,0,0,9231,315344,9,18
 00016,6,2016,15152,0,0,10735,314567,9,18
 00016,7,2016,15171,0,0,8537,321011,9,18
 00016,8,2016,9930,0,0,7045,236003,9,18
 00016,9,2016,11606,0,0,7502,314499,9,18
 00016,10,2016,12657,0,0,9259,328150,9,18
 00016,11,2016,12017,0,0,8639,317847,9,18
 00016,12,2016,11839,0,0,6866,292997,9,18
 00016,1,2017,10900,0,0,9454,283679,9,18
 00016,2,2017,8344,0,0,6962,203693,10,18
 00016,3,2017,16162,0,0,14296,336431,9,18
 00016,4,2017,15742,0,0,21152,309798,9,18
 00016,5,2017,14591,0,0,12051,301324,9,18
 00016,6,2017,12571,0,0,9922,273948,9,18
 00016,7,2017,15486,0,0,13412,360938,9,18
 00016,8,2017,13268,0,0,12780,350866,9,18
 00016,9,2017,12729,0,0,13817,323178,9,18
 00016,10,2017,11692,0,0,11969,285119,9,18
 00016,11,2017,13021,0,0,13752,342232,9,18
 00016,12,2017,12779,0,0,14554,322330,9,18
 00016,1,2018,7181,0,0,6537,189053,9,18
 00016,2,2018,10322,0,0,8904,257591,9,18
 00016,3,2018,11995,0,0,8490,267814,8,18
 00016,4,2018,9501,0,0,7253,212976,8,18
 00016,5,2018,12388,0,0,9963,230898,8,18
 00016,6,2018,9296,0,0,7674,155418,7,18
 00016,7,2018,11682,0,41,14006,192762,8,18
 00016,8,2018,12448,0,0,10437,223674,7,18
 00016,9,2018,8760,0,9,6460,175360,8,18
 00016,10,2018,11561,0,0,10637,218198,8,18
 00016,11,2018,10079,0,38,11506,200654,9,18
 00016,12,2018,10912,0,0,10828,226451,7,18
 00016,1,2019,8842,0,50,10385,191840,9,18
 00016,2,2019,8445,0,20,11441,194913,9,18
 00016,3,2019,10506,0,17,11310,194297,9,18
 00016,4,2019,10254,0,0,10289,199289,7,18
 00016,5,2019,10356,0,0,10003,192678,7,18
 00016,6,2019,8352,0,4,8167,131234,8,18
 00016,7,2019,4996,0,0,4010,64198,7,18
 00016,8,2019,6647,0,0,5561,115119,8,18
 00016,9,2019,7147,0,0,10971,203389,7,18
 00016,10,2019,14932,0,0,10770,197884,8,18
 00016,11,2019,10890,0,0,9015,165701,7,18
 00016,12,2019,11199,0,0,8529,188345,7,18
 00016,1,2020,11773,0,21,11052,197908,9,18
 00018,1,2015,176,0,0,1278,2001,1,21
 00018,2,2015,227,0,0,765,2157,1,21
 00018,3,2015,244,0,0,1081,2526,1,21
 00018,4,2015,236,0,0,854,2404,1,21
 00018,5,2015,261,0,0,2363,2906,1,21
 00018,6,2015,170,0,0,382,2512,1,21
 00018,7,2015,179,0,0,1476,2543,1,21
 00018,8,2015,126,0,0,2414,1461,1,21
 00018,9,2015,109,0,0,1657,2950,1,21
 00018,10,2015,192,0,0,2472,2672,1,21
 00018,11,2015,159,0,0,2385,2525,1,21
 00018,12,2015,153,0,0,4013,2106,1,21
 00018,1,2016,196,0,0,1759,2283,1,21
 00018,2,2016,218,0,0,1365,2256,1,21
 00018,3,2016,258,0,0,1142,2741,1,21
 00018,4,2016,235,0,0,1161,2453,1,21
 00018,5,2016,234,0,0,1213,2436,1,21
 00018,6,2016,216,0,0,1171,2238,1,21
 00018,7,2016,253,0,0,1311,2554,1,21
 00018,8,2016,247,0,0,1106,2506,1,21
 00018,9,2016,141,0,0,2899,1856,1,21
