Lease Number,Production Month,Production Year,Lease Oil Production (BBL),Lease Condensate Production (BBL),Lease Gas-Well-Gas Production (MCF),Lease Oil-Well-Gas Production (MCF),Lease Water Production (BBL),Producing Completions,Lease Max Water Depth (meters)
 00016,1,2010,28856,0,24554,53114,166369,17,18
 00016,2,2010,25395,0,14363,42290,144273,16,18
 00016,3,2010,23766,0,17544,48369,176334,16,18
 00016,4,2010,27536,0,13242,55011,182081,16,18
 00016,5,2010,23069,0,14923,47744,171603,16,18
 00016,6,2010,25529,0,13279,44654,158252,15,18
 00016,7,2010,30578,0,15560,40400,204225,16,18
 00016,8,2010,27410,0,10612,36049,209089,16,18
 00016,9,2010,50080,0,21407,62624,183025,17,18
 00016,10,2010,48428,0,18826,55296,175000,16,18
 00016,11,2010,32212,0,13017,40506,162799,16,18
 00016,12,2010,29689,0,11803,38098,172202,16,18
 00016,1,2011,31750,66,27849,26304,204185,15,18
 00016,2,2011,25588,0,9414,38974,175077,16,18
 00016,3,2011,28099,50,13468,26755,413598,16,18
 00016,4,2011,29600,51,14425,31939,418763,16,18
 00016,5,2011,23993,0,14282,35662,359987,14,18
 00016,6,2011,24323,0,9594,38679,384056,15,18
 00016,7,2011,18746,0,4112,21702,189486,14,18
 00016,8,2011,35850,0,5293,33265,364493,14,18
 00016,9,2011,30935,0,7141,33350,347608,14,18
 00016,10,2011,41755,0,10990,41277,483915,18,18
 00016,11,2011,40891,0,6640,47199,494877,19,18
 00016,12,2011,49057,0,15653,37522,464011,18,18
 00016,1,2012,36156,0,10481,25211,402578,19,18
 00016,2,2012,31433,0,16645,29515,327275,20,18
 00016,3,2012,40692,0,17985,38188,485569,18,18
 00016,4,2012,26043,0,12139,32264,255591,16,18
 00016,5,2012,36062,0,31367,48939,390280,16,18
 00016,6,2012,30923,0,17636,30820,322227,15,18
 00016,7,2012,33631,0,19474,42563,401370,16,18
 00016,8,2012,28963,0,0,25872,319346,14,18
 00016,9,2012,15853,0,0,8948,251471,11,18
 00016,10,2012,35221,0,0,96691,375109,15,18
 00016,11,2012,27827,0,0,89549,304330,15,18
 00016,12,2012,31587,0,0,97016,457066,17,18
 00016,1,2013,29783,0,0,27001,511101,17,18
 00016,2,2013,28903,0,0,67587,426711,16,18
 00016,3,2013,25596,0,0,71225,496124,15,18
 00016,4,2013,23934,0,0,21584,426292,15,18
 00016,5,2013,28194,0,0,28117,492997,15,18
 00016,6,2013,27289,0,0,22500,477000,15,18
 00016,7,2013,23744,0,0,23641,387842,14,18
 00016,8,2013,18330,0,0,19126,219805,14,18
 00016,9,2013,26500,0,0,26964,480296,14,18
 00016,10,2013,32937,0,0,28704,446321,15,18
 00016,11,2013,32337,0,0,25411,430167,15,18
 00016,12,2013,31424,0,0,31128,469506,15,18
 00016,1,2014,30117,0,0,26902,464498,15,18
 00016,2,2014,26362,0,0,19767,417557,15,18
 00016,3,2014,28207,0,0,28390,482637,15,18
 00016,4,2014,25971,0,0,21876,481122,16,18
 00016,5,2014,28650,0,0,25574,491988,15,18
 00016,6,2014,24439,0,0,27603,468888,15,18
 00016,7,2014,23231,0,0,26149,454669,14,18
 00016,8,2014,21553,0,0,26468,383445,14,18
 00016,9,2014,22217,0,0,19523,311884,12,18
 00016,10,2014,21743,0,0,20580,301794,11,18
 00016,11,2014,17877,0,0,17484,284971,11,18
 00016,12,2014,20050,0,0,16133,270352,10,18
 00018,1,2010,289,0,0,3,2642,1,21
 00018,2,2010,363,0,0,2,2597,1,21
 00018,3,2010,290,0,0,2,2609,1,21
 00018,4,2010,364,0,0,2,2735,1,21
 00018,5,2010,336,0,0,4,2819,1,21
 00018,6,2010,245,0,0,0,2116,1,21
 00018,7,2010,168,0,0,0,1618,1,21
 00018,8,2010,216,0,0,0,1990,1,21
 00018,9,2010,237,0,0,0,2281,1,21
 00018,10,2010,276,0,0,1,2256,1,21
 00018,11,2010,205,0,0,1,2793,1,21
 00018,12,2010,275,0,0,1,2721,1,21
 00018,1,2011,164,0,0,1,2627,1,21
 00018,2,2011,582,0,0,1282,4026,1,21
 00018,3,2011,600,0,0,381,4613,1,21
 00018,4,2011,339,0,0,45,2257,1,21
 00018,5,2011,213,0,0,487,1857,1,21
 00018,6,2011,112,0,0,223,1944,1,21
 00018,7,2011,221,0,0,110,2387,1,21
 00018,8,2011,224,0,0,92,2431,1,21
 00018,9,2011,159,0,0,122,1816,1,21
 00018,10,2011,67,0,0,435,1035,1,21
 00018,11,2011,161,0,0,1973,3124,1,21
 00018,12,2011,192,0,0,2004,3578,1,21
 00018,1,2012,124,0,0,1391,2144,1,21
 00018,2,2012,150,0,0,1238,1732,1,21
 00018,3,2012,91,0,0,522,2691,1,21
 00018,4,2012,59,0,0,159,1150,1,21
 00018,5,2012,114,0,0,423,2040,1,21
 00018,6,2012,71,0,0,405,1420,1,21
 00018,7,2012,123,0,0,354,1755,1,21
 00018,8,2012,168,0,0,1779,1705,1,21
 00018,9,2012,185,0,0,1798,2856,1,21
 00018,10,2012,207,0,0,1550,3122,1,21
 00018,11,2012,95,0,0,846,954,1,21
 00018,12,2012,101,0,0,746,1668,1,21
 00018,1,2013,109,0,0,1111,2008,1,21
 00018,2,2013,146,0,0,1527,2108,1,21
 00018,3,2013,189,0,0,1837,2370,1,21
 00018,4,2013,213,0,0,234,2088,1,21
 00018,5,2013,376,0,0,249,2068,1,21
 00018,6,2013,373,0,0,616,2262,1,21
 00018,7,2013,362,0,0,597,2591,1,21
 00018,8,2013,369,0,0,1227,5717,1,21
 00018,9,2013,391,0,0,1271,4580,1,21
 00018,10,2013,193,0,0,1095,2717,1,21
 00018,11,2013,143,0,0,663,2160,1,21
 00018,12,2013,195,0,0,488,2905,1,21
 00018,1,2014,171,0,0,805,2678,1,21
 00018,2,2014,144,0,0,352,2402,1,21
 00018,3,2014,109,0,0,500,1727,1,21
 00018,4,2014,102,0,0,936,1561,1,21
 00018,5,2014,143,0,0,1704,2113,1,21
 00018,6,2014,167,0,0,988,2649,1,21
 00018,7,2014,158,0,0,951,2723,1,21
 00018,8,2014,122,0,0,139,2506,1,21
 00018,9,2014,130,0,0,127,2624,1,21
 00018,10,2014,134,0,0,391,2631,1,21
 00018,11,2014,114,0,0,1166,2155,1,21
 00018,12,2014,199,0,0,817,2253,1,21
 00019,1,2010,24391,2192,61905,77006,132490,7,20
 00019,2,2010,22823,1778,53215,101595,107486,6,20
 00019,3,2010,24469,1842,57253,142502,138913,8,20
 00019,4,2010,32857,1164,28325,166316,158944,8,20
 00019,5,2010,28298,409,26108,137393,151347,8,20
 00019,6,2010,27590,215,16777,127175,138682,8,20
 00019,7,2010,27006,112,7309,113595,123484,8,20
 00019,8,2010,29500,401,14732,117152,130269,8,20
 00019,9,2010,24261,302,10918,78914,150133,8,20
 00019,10,2010,24136,238,7741,69959,147593,8,20
 00019,11,2010,19755,0,2817,42191,133383,7,20
 00019,12,2010,15556,0,2763,2858,142509,6,20
 00019,1,2011,14777,448,15987,3983,159982,7,20
 00019,2,2011,16059,0,2707,4913,121084,6,20
 00019,3,2011,12693,0,748,1066,129599,6,20
 00019,4,2011,14380,0,350,503,109171,6,20
 00019,5,2011,16184,131,7715,54912,109856,7,20
 00019,6,2011,17088,1154,26927,50064,142358,7,20
 00019,7,2011,24796,1481,10951,53535,145925,6,20
 00019,8,2011,23117,838,6923,43383,127872,7,20
 00019,9,2011,21638,790,9171,48636,137751,6,20
 00019,10,2011,21858,364,5846,40183,123409,6,20
 00019,11,2011,18900,775,9080,38666,128528,7,20
 00019,12,2011,22239,917,6840,45468,152748,6,20
 00019,1,2012,19637,741,6076,44357,145699,6,20
 00019,2,2012,19853,817,5744,34823,118626,6,20
 00019,3,2012,16868,540,6959,35166,148492,6,20
 00019,4,2012,14582,452,6387,30377,107991,6,20
 00019,5,2012,14999,679,8533,16411,133860,6,20
