Field Name,Lease Number,Completion Name,API Well Number,Reservoir Name,Test Date,Shut-In Time,Temp,SI Pressure,BH MD (feet),True Vertical Depth (feet),BH Pressure,Remark
AC025,G10380,HA005,608054001100,P1-10,3/14/2006,22,136,1572,14900,12580,5349,Subsea well; waiver approved per Holly Karrigan.
AC025,G10380,HA005,608054001100,P1-10,4/13/2008,7,137,1471,14858,12559,5369,Waiver approved for Diana DWOP per Holly Karrigan
AC025,G10380,HA005,608054001100,P1-10,3/14/2006,22,136,1572,14858,12559,1557,Subsea well; waiver approved per Holly Karrigan.
AC025,G10380,HA005,608054001100,P1-10,7/24/2009,-,999,99999,14858,12559,2157,Waiver approved - subsea well.
AC025,G10381,HA002,608054000802,P1-10,5/16/2010,32,133,2147,16049,12572,5904,Diana Deep Water well.  Waiver approved 4/30/10.
AC025,G10381,HA002,608054000802,P1-10,5/16/2010,32,133,2147,14102,11598,5443,Diana Deep Water well.  Waiver approved 4/30/10.
AC025,G10380,HA005,608054001100,P1-10,10/12/2006,-,999,99999,14858,12559,5415,Waiver approved per Loc Van Than
AC025,G10380,HA005,608054001100,P1-10,4/13/2008,7,137,1471,14499,12383,5345,Waiver approved for Diana DWOP per Holly Karrigan
AC857,G17565,GB004,608054006600,WM12 RA,6/21/2010,999,999,9999,14696,13075,6812,Waiver approved per Loc Than letter of 6/21/2010.
AT037,G21826,SS001,608184002601,AMP6.2,1/23/2008,-,999,99999,7919,6999,7567,Waiver approved per Loc Than letter of 1/23/2008.
AT063,G13198,SS004,608184004100,E-4/E-3.5,10/7/2010,-,999,99999,22150,21218,13639,Waiver approved - subsea well.
AT063,G13198,SS004,608184004100,E-4 Sand,6/11/2010,-,999,9999,23732,22797,16983,Waiver approved per Loc Than letter of 6/11/2010.
AT261,G16890,SS001,608184003501,MM9-C,3/11/2008,-,999,99999,,,,Waiver approved.
AT349,G18577,SS002,608184004500,UM-1B MIDDLE,3/11/2008,-,999,9999,16703,15783,8476,Waiver approved per Loc Van Than
AT426,G18603,SS002,608184006600,PL-1 SAND,3/13/2008,4,112,5849,12940,11827,6503,
AT426,G18603,SS001,608184001701,PL-1 SAND,12/7/2008,-,999,99999,,,,Waiver approved - subsea well.
AT426,G18603,SS002,608184006600,PL-1 SAND,3/13/2008,4,112,5849,13600,12390,6575,
AT426,G18603,SS002,608184006600,PL-1 SAND,3/13/2008,4,112,5849,6707,5794,5849,
AT426,G18603,SS002,608184006600,PL-1 SAND,3/13/2008,4,112,5849,13300,12132,6545,
AT575,G08035,SC003,608184006500,M9X/M10,12/11/2008,-,999,9999,17060,15593,8811,Waiver approved per Loc Than letter of 12/11/2008.
AT575,G08035,SC001,608184004403,M9X/M10,5/30/2009,72,158,3488,16348,16320,7719,
AT575,G08036,SD001,608184006100,M9X/M10,6/23/2009,-,999,9999,16727,15813,7437,Waiver approved per Loc Than letter of 6/23/2009.
AT575,G08038,SB002,608184007000,M9X/M10,6/15/2010,999,999,999,18704,16122,8587,
AT575,G08035,SC003,608184006500,M9,6/2/2010,999,999,999,16417,15040,6647,
AT575,G08035,SC003,608184006500,M9X/M10,5/3/2009,72,152,3701,16416,15040,7183,
