COMPANY,TICKER,HQ_COUNTRY,HQ_CITY,PARENT_OR_JV,MANIFOLD_ROLE,ROLE_TIER,MARKET_POSITION,MAX_WATER_DEPTH_M,PRODUCT_LINES,NOTABLE_PROJECTS,RECENT_DEVELOPMENTS,DATA_SOURCE_URLS,DATA_SOURCE_URL,COLLECTION_DATE,NOTES
TechnipFMC plc,NYSE:FTI,United Kingdom,"Newcastle upon Tyne (operational HQ Houston, USA)",Independent (2017 Technip + FMC Technologies merger),OEM,tier_1,Tier-1 global subsea market leader; only provider integrating SPS + SURF via iEPCI. Subsea backlog ~$15.8B (Q1 2026); 100th Subsea 2.0 tree delivered May 2025.,3000,Subsea 2.0 compact/configured manifolds | Production and injection manifolds | Templates and tie-in systems | PLEM / PLET | Subsea 2.0 trees (horizontal and vertical) | Subsea controls and distribution systems | Configured-to-order standardized subsea systems,"TotalEnergies GranMorgu, Block 58, Suriname (>$1B iEPCI, Q4 2024) | Eni Maha deepwater, offshore Indonesia (iEPCI, Nov 2025) | Energean Katlan, Eastern Mediterranean (large iEPCI)",Nov 2024: >$1B iEPCI award for TotalEnergies GranMorgu (Suriname) | May 2025: 100th Subsea 2.0 tree delivered | Nov 2025: substantial iEPCI scope from Eni for Maha (Indonesia) | 2025: FCF rose to $1.4B; subsea-driven guidance raise,https://www.technipfmc.com/en/what-we-do/subsea/subsea-systems/well-control/manifolds/ | https://www.technipfmc.com/en/what-we-do/subsea/iepci-subsea/ | https://www.technipfmc.com/en/investors/financial-news-releases/press-release/technipfmc-awarded-major-iepci-contract-for-totalenergies-granmorgu-development-offshore-suriname/ | https://www.worldoil.com/news/2025/11/18/eni-awards-technipfmc-substantial-iepci-scope-for-maha-project-offshore-indonesia/,https://www.technipfmc.com/en/what-we-do/subsea/subsea-systems/well-control/manifolds/,2026-06-21,"Subsea 2.0 is a modular standardized platform (~50% size/weight/part-count reduction). MAX_WATER_DEPTH_M reflects connection-system qualification ~3,000 m / 20,000 psi; trees rated ~10,000 ft."
SLB OneSubsea,NYSE:SLB (OneSubsea is a non-listed JV),Norway / United States (dual),"Oslo, Norway and Houston, Texas",OneSubsea JV: SLB 70% / Aker Solutions 20% / Subsea7 10% (closed Oct 2023),OEM,tier_1,Tier-1 global leader in subsea production systems and the market leader in subsea boosting/processing; combines SLB + Aker Solutions manufacturing with Subsea7 installation (Subsea Integration Alliance).,3050,"Production and injection (water/gas) manifolds | Cluster manifolds (multi well-slot) | PLEM / PLET and tie-in structures | Integrated template structures (ITS) | Subsea trees (vertical and horizontal, ultra-deepwater) | Multiphase boosting / helico-axial pumps | Subsea wet-gas compression and processing | Subsea controls and connectors","Shell Stones, Gulf of Mexico (~2,900 m, world's deepest; boosting) | Shell Ormen Lange, Norway (first subsea wet-gas compression) | CNOOC Kaiping 18-1, South China Sea (20-well integrated EPC, 2024/2026) | Var Energi NCS framework (trees, templates, manifolds, 2025)","Oct 2023: OneSubsea JV closed (SLB 70/AKSO 20/SUBC 10), ~11,000 staff | 2024: integrated EPC award from CNOOC for Kaiping 18-1 deepwater | Mar 2026: deepwater award offshore Malaysia (PTTEP) | Push on standardized/configurable manifold and tree designs",https://www.onesubsea.slb.com/products-and-services/subsea-field-development/subsea-production-systems/subsea-manifolds | https://www.akersolutions.com/news/news-archive/2023/aker-solutions-slb-and-subsea7-announce-closing-of-the-onesubsea-joint-venture/ | https://www.slb.com/newsroom/press-release/2026/pr-2026-0316oss-kaiping-cnooc,https://www.onesubsea.slb.com/products-and-services/subsea-field-development/subsea-production-systems/subsea-manifolds,2026-06-21,"MAX_WATER_DEPTH_M = ~10,000 ft rated manifold capability (15,000 psi, 175C) per OneSubsea product page; deepest field deployment is Shell Stones ~2,900 m. Consolidated within SLB."
Baker Hughes Company,NASDAQ:BKR,United States,"Houston, Texas",Independent (carries former GE Oil & Gas subsea heritage),OEM,tier_1,"Tier-1 global subsea production system OEM; one of three majors alongside SLB-OneSubsea and TechnipFMC, differentiated by the lightweight/modular Aptara TOTEX-lite system.",3000,"Production/injection manifolds (cluster, template, WAG) | Aptara modular compact manifold (TOTEX-lite) | PLEM / PLET / riser bases / in-line tees | HIPPS and subsea isolation valve modules (SSIV) | Subsea trees (vertical/horizontal and compact) | Subsea controls (SemStar5) and connection systems (FLX360) | Flexible pipe systems and jumpers","TPAO Sakarya Gas Phase 3, Black Sea (trees + structures, 2025) | Azule Energy Agogo West Hub, Angola (23 trees + 11 Aptara manifolds) | Petrobras Buzios, Santos Basin (WAG manifolds, ~2,000 m) | TotalEnergies Kaminho deepwater, Angola (compression, 2024)",2025: integrated subsea + completion systems for TPAO Sakarya Phase 3 | 2025: added a large Brazilian deepwater field (Petrobras) | Oct 2024: all-electric compression order for TotalEnergies Kaminho | Ongoing Aptara compact manifold + FLX360 expansion,https://www.bakerhughes.com/subsea/subsea-production-systems/subsea-manifolds-pipeline-products | https://www.bakerhughes.com/subsea/subsea-connect/aptara-totexlite-subsea-system | https://investors.bakerhughes.com/news-releases/news-release-details/baker-hughes-supply-integrated-subsea-completion-systems-turkish | https://investors.bakerhughes.com/news-releases/news-release-details/baker-hughes-awarded-major-subsea-contract-azule-energy-agogo,https://www.bakerhughes.com/subsea/subsea-production-systems/subsea-manifolds-pipeline-products,2026-06-21,"Subsea business sits in Oilfield Services & Equipment (Subsea & Surface Pressure Systems). MAX_WATER_DEPTH_M reflects flexible-pipe qualification target; manifolds deployed >2,000 m."
Aker Solutions ASA,OSE:AKSO,Norway,Fornebu (Oslo area),Subsea OEM business contributed to OneSubsea JV (20% stake) Oct 2023,OEM,tier_1,"Tier-1 subsea OEM heritage; subsea/manifold OEM capability folded into OneSubsea (Oct 2023). Retains 20% JV stake plus field development, floaters and life-cycle services outside the JV.",2500,"Production and injection manifolds (deepwater range) | Templates and integrated template structures (ITS) | Subsea structures: flow base, guide base, riser base | Subsea trees (vertical/standardized) | Wellheads and subsea control systems | PLET / PLEM and tie-in equipment","Equinor Irpa gas, Norwegian Sea (trees + manifolds, Sept 2025) | Equinor Halten East, Norwegian Sea (7 trees, 5 manifold structures, 2022) | Statoil/Equinor Skuld, Norwegian Sea (template manifolds, trees) | CNOOC Kaiping 18-1 deepwater (via OneSubsea, 2025/2026)","Oct 2023: closed OneSubsea JV (20% stake; SLB 70%, Subsea7 10%) | Feb 2025: SLB OneSubsea + Var Energi NCS SPS agreement | Sept 2025: awarded Equinor Irpa subsea production system",https://www.akersolutions.com/what-we-do/subsea-production-systems-and-lifecycle-services/onesubsea/ | https://www.akersolutions.com/news/news-archive/2022/aker-solutions-to-provide-subsea-production-system-for-the-halten-east-development/ | https://www.slb.com/newsroom/press-release/2025/slb-onesubsea-signs-agreement-with-var-energi-for-upcoming-subsea-developments-in-norway,https://www.akersolutions.com/what-we-do/subsea-production-systems-and-lifecycle-services/onesubsea/,2026-06-21,"Since Oct 2023 not a standalone manifold OEM; most new SPS hardware flows through SLB OneSubsea, though some Norwegian awards (e.g. Irpa) still report under the Aker Solutions name. MAX_WATER_DEPTH_M is indicative design/study capability."
Subsea 7 S.A.,OSE:SUBC,Luxembourg (registered); UK operational HQ,Luxembourg City (registered); London/Sutton (operational),"OneSubsea JV 10% stake; Saipem merger ('Saipem7') signed 2025, pending",EPC,tier_1,"Tier-1 global SURF/EPCI contractor; one of two dominant SURF installers (with TechnipFMC). Manifolds/SPS accessed via the SLB OneSubsea JV and Subsea Integration Alliance, not a standalone OEM.",3000,"SURF (umbilicals, risers, flowlines) EPCI | Subsea structures, manifolds and templates (via OneSubsea JV) | PLET / PLEM and pipeline end terminations | Rigid and flexible risers, flowlines and tie-ins | Pipeline installation (S-lay, J-lay, reel-lay) | Life-of-field services, IRM and ROV operations","ConocoPhillips Greater Ekofisk SURF EPCI, Norway (Dec 2025) | Equinor Fram Sor FEED + EPCI option, Norway (2025) | OKEA Bestla integrated SPS+SURF via OneSubsea (2024) | Petrobras deepwater SURF awards, Brazil (>$1.25B)","Oct 2023: OneSubsea JV closed (10% stake) | Jul 2025: binding Saipem-Subsea7 merger agreement signed ('Saipem7') | Jun 2026: merger pending regulatory clearance (UK CMA), target H2 2026",https://www.subsea7.com/en/investors/shareholder-centre/faqs.html | https://investorcenter.slb.com/news-releases/news-release-details/slb-aker-solutions-and-subsea7-announce-closing-onesubsea-joint | https://www.saipem.com/en/media/press-releases/2025-07-24/saipem-and-subsea7-announce-signing-merger-agreement | https://www.gov.uk/cma-cases/subsea7-slash-saipem-merger-inquiry,https://www.subsea7.com/en/investors/shareholder-centre/faqs.html,2026-06-21,"Manifolds are an OEM offering only through the OneSubsea JV (10% stake) and Subsea Integration Alliance. 3,000 m is the cited pipeline/installation capability. Saipem7 merger NOT closed as of Jun 2026."
"McDermott International, Ltd",private,United States,"Houston, Texas",Privately owned by creditor consortium since 2024 restructuring (formerly NYSE:MDR),fabricator,tier_1,"Tier-1 global offshore EPCI / SURF contractor and large-structure fabricator; manifolds delivered as part of integrated EPCI scope (structural fabrication + installation), not as an SPS OEM.",2900,"Subsea manifolds and structures (structural fabrication/integration) | Subsea templates and PLET / PLEM structures | SURF (umbilicals, risers, flowlines) | Rigid and reel-lay pipelines (incl. pipe-in-pipe) | Subsea field-development EPCI | Floating facilities / topsides fabrication","ADNOC Nasr Phase II EPCI incl. new manifold tower, UAE (Jan 2026) | PTTEP Sabah Block H deepwater pipeline + SURF EPCI, Malaysia (2025) | Chevron Gorgon Phase 2 subsea manifolds fabrication, Australia (2025) | QatarEnergy North Field South offshore pipelines EPCI (2024)","Jan 2026: ~$0.75-1B ADNOC Al Nasr EPCI incl. subsea manifold tower | Sep 2025: PTTEP Block H deepwater pipeline + SURF EPCI (Malaysia) | Dec 2024: completed CB&I storage divestment (~$475M) | 2024: out-of-court restructuring (~$2B debt reduction), went private",https://www.mcdermott.com/solutions/subsea-floating-facilities | https://www.prnewswire.com/news-releases/mcdermott-awarded-deepwater-subsea-contract-by-pttep-in-malaysia-302549872.html | https://worldoil.com/news/2026/1/22/mcdermott-wins-major-epci-contract-for-adnoc-s-al-nasr-offshore-expansion/ | https://www.mcdermott.com/mcdermott-difference/fabrication-facilities,https://www.mcdermott.com/solutions/subsea-floating-facilities,2026-06-21,"Fabricates/installs manifolds, templates, PLET/PLEM at yards (Batam, Altamira, Dammam, Jebel Ali) but integrates third-party trees/valves/controls; NOT an SPS OEM. 2,900 m is stated deepest pipelay capability. McDermott is NOT part of the Saipem-Subsea7 deal."
"Dril-Quip (Innovex International, Inc.)",NYSE:INVX,United States,"Houston, Texas",Innovex International (Sept 2024 Dril-Quip + Innovex Downhole merger),OEM,tier_2,Tier-2 global OEM in subsea wellheads/connectors and deepwater drilling/production hardware (founded 1981). Smaller than the tier-1 SPS integrators; post-merger narrowed to core wellhead/connector lines (exited subsea trees in 2025).,4572,"Subsea wellheads (SS-15 series, BigBore IIe, SS-15 RLDe) | Mudline hanger systems | Specialty/wellhead connectors (DXe connector) | Subsea manifolds and flowline/connection systems | Drilling and production riser systems | Subsea control and tie-back systems","Murphy Samurai/Khaleesi, Gulf of Mexico (first SS-15 RLDe, 2021) | Premier Oil Catcher, Central North Sea (subsea trees, 2010s) | Petrobras Brazil pre-salt wellhead equipment (~2023) | Gulf of Mexico HP/HT deepwater wellhead programs",Sept 2024: merger completed; renamed Innovex International (NYSE:INVX) | Early 2025: ~$30M annualized merger cost synergies realized | Jul 2025: divested subsea tree product line to Trendsetter Engineering,https://www.innovex-inc.com/dril-quip-and-innovex-complete-merger-to-form-innovex-international-inc/ | https://investors.innovex-inc.com/news/news-details/2025/Innovex-Completes-Divestment-of-Subsea-Tree-Product-Line/default.aspx | https://www.offshore-energy.biz/newly-formed-houston-firm-sheds-subsea-tree-business-to-focus-on-core-product-lines/,https://www.innovex-inc.com/dril-quip-and-innovex-complete-merger-to-form-innovex-international-inc/,2026-06-21,"Dril-Quip survives as a brand under Innovex International. MAX_WATER_DEPTH_M = 15,000 ft SS-15/DXe wellhead-connector rating. Manifolds always secondary to wellheads/connectors; subsea TREES (not manifolds) were sold to Trendsetter in 2025."
"Trendsetter Engineering, Inc.",private,United States,"Houston, Texas",Privately owned; affiliate Trendsetter Vulcan Offshore (HPHT intervention),OEM,niche,"Independent / niche US subsea hardware specialist; competes with integrated majors by offering customized, fit-for-purpose, schedule-driven manifolds and connection systems. Recently expanded into subsea trees and HPHT well intervention.",3048,"Subsea production manifolds (production, gas-lift, SSIV) | PLETs and PLEMs | Connection systems (TCS connectors, Dual Bore, TC2 Collet) | Jumper systems and pipework fabrication | Mudmats and suction pile foundations | Horizontal subsea trees (15K, via acquired Innovex line) | Well intervention / capping and containment systems","Woodside/Pemex Trion, offshore Mexico (manifolds + foundations, 2024) | Trident Energy Bonito/Bicudo, Brazil (two 6-slot manifolds, 2024-25) | Woodside Shenzi North, US Gulf of Mexico | Leviathan production manifold (~450 tons)","Jan 2024: awarded Woodside Trion manifolds/foundations/connectors | Jun 2024: 'significant' Brazil contract (Trident Energy, 2 manifolds) | Jul 2025: won four 15K horizontal trees + acquired Innovex tree line",https://www.trendsetterengineering.com/manifolds-plets-plems/ | https://www.trendsetterengineering.com/news/trendsetter-engineering-commences-work-on-woodsides-trion-project/ | https://worldoil.com/news/2024/6/13/trendsetter-engineering-secures-significant-subsea-contract-offshore-brazil/ | https://worldoil.com/news/2025/7/23/trendsetter-engineering-secures-subsea-tree-contract-for-u-s-gulf/,https://www.trendsetterengineering.com/manifolds-plets-plems/,2026-06-21,"Privately owned Houston firm; in-house machine shop + FAT testing, ISO 9001. MAX_WATER_DEPTH_M = 10,000 ft (TVO intervention rating); manifold/tree pages do not publish explicit field depth ratings."
ABB Ltd,SIX:ABBN (also NYSE:ABB),Switzerland,Zurich,Independent,subsystem_supplier,adjacency,Not a subsea manifold/SPS OEM. Leading specialist supplier of subsea electrification — power distribution/conversion and automation — an enabling technology complementary to manifolds/SPS.,3000,"Subsea power distribution and conversion system (transformer, MV drives, switchgear) | Subsea automation and control systems | Subsea Power Distribution System (PDS) for seabed pumps/compressors | ABB Ability System 800xA topside control | Subsea variable speed drives for boosting/compression","Subsea Power JIP with Equinor, TotalEnergies, Chevron (3,000-hr test, 2019) | ABB-Equinor frame agreement for offshore electrical equipment","Subsea power distribution positioned for long-distance step-outs (to 100 MW, 600 km, 3,000 m) | Ongoing Equinor electrical-equipment framework agreements | No 2024-2026 named manifold field award (activity is power/electrification)",https://new.abb.com/oil-and-gas/sectors/offshore-oil-and-gas/subsea/subsea-power | https://new.abb.com/news/detail/46714/abb-proves-world-first-subsea-power-technology-system-signaling-new-era-for-offshore-oil-and-gas | https://www.offshore-mag.com/subsea/article/14168482/subsea-power-system-opens-way-to-longer-distance-deepwater-step-outs,https://new.abb.com/oil-and-gas/sectors/offshore-oil-and-gas/subsea/subsea-power,2026-06-21,"Electrification/automation company, not a manifold manufacturer or EPC. Listed in some 'subsea manifold market' aggregator reports due to its adjacent subsea-power/controls role. MAX_WATER_DEPTH_M = 3,000 m stated PDS capability (validated in 2019 shallow test)."
Halliburton Company,NYSE:HAL,United States,"Houston, Texas",Independent,limited,adjacency,"Tier-1 global oilfield services major but NOT a subsea manifold OEM. In subsea it competes in completions, well intervention, tubing-hanger controls and safety systems, not trees/manifolds/EPC.",2578,"Subsea completion systems (intelligent/multizone, FlexRite TAML) | Subsea well intervention systems (SCILS, coiled tubing) | Remote Operated Control/Completion Systems (ROCS, eROCS, umbilical-less) | Optime Tubing Hanger Orientation System (OTHOS) | Subsea safety systems (Veto, EcoStar eTRSV) | Subsea controls (Dash electrohydraulic module, DynaLink telemetry)","Aker BP first umbilical-less tubing hanger (eROCS + OTHOS), NCS (2025) | Shell framework for umbilical-less tubing hanger install, GoM (2025) | Deepwater record umbilical-less ROCS at 8,458 ft (~2,578 m), GoM","Oct 2025: framework agreement with Shell for umbilical-less ROCS | Oct 2025: first eROCS + OTHOS operation with Aker BP (NCS) | 2024-25: deepest umbilical-less tubing hanger op (~2,578 m)",https://www.halliburton.com/en/completions/well-intervention-and-diagnostics/subsea-completion-interventions-systems | https://www.halliburton.com/en/about-us/press-release/halliburton-signs-framework-agreement-umbilical-less-tubing-hanger-installations | https://www.halliburton.com/en/resources/operator-sets-deepwater-record-with-umbilical-less-rocs-technology,https://www.halliburton.com/en/completions/well-intervention-and-diagnostics/subsea-completion-interventions-systems,2026-06-21,"Does NOT make subsea manifolds/trees/jumpers; footprint is completions, tubing-hanger/controls (umbilical-less ROCS/eROCS), safety valves and well intervention. MAX_WATER_DEPTH_M derived from the 8,458 ft umbilical-less record (intervention capability)."
