,Record Type,API Well Number,Paleo Report ID Number,Total Number of Reports for API,Measured Depth,True Vertical Depth,Definite/Possible,At/In,Paleo Age,Definite/Possible,At/In,Ecozone
0,P,608054000300,1,1,12660,12628,DEF,AT,Upper Oligocene (Chattian) Discoaster woodringii,DEF,AT,
1,P,608054000300,1,1,14340,14067,DEF,AT,Upper Oligocene (Chattian) Clausicoccus fenestratus,DEF,AT,
2,P,608054000300,1,1,14460,14169,DEF,AT,Upper Oligocene (Chattian) Zygrhablithus bijugatus,DEF,AT,
3,P,608054000300,1,1,14659,14340,DEF,AT,Upper Oligocene (Chattian) Sphenolithus delphix,DEF,AT,
4,P,608054000300,1,1,14660,14341,DEF,AT,Upper Oligocene (Chattian) Dictyococcites bisectus increase,DEF,AT,
5,P,608054000300,1,1,14750,14421,DEF,AT,Upper Oligocene (Chattian) Sphenolithus ciperoensis,DEF,AT,
6,P,608054000300,1,1,14810,14475,DEF,AT,Lower Oligocene (Rupelian) Helicosphaera compacta,DEF,AT,
7,P,608054000300,1,1,14940,14592,DEF,AT,Upper Oligocene (Chattian) Globigerina angulisuturalis,DEF,AT,
8,P,608054000300,1,1,15830,15349,DEF,AT,Upper Oligocene (Chattian) Sphenolithus distentus,DEF,AT,
9,P,608054000300,1,1,16190,15668,DEF,AT,Upper Oligocene (Chattian) Sphenolithus predistentus,DEF,AT,
10,P,608054000301,1,1,14759,0,DEF,IN,Oligocene,DEF,IN,5.0
11,P,608054000301,1,1,14790,0,DEF,AT,Oligocene,DEF,AT,6.0
12,P,608054000301,1,1,14940,0,DEF,IN,Upper Oligocene (Chattian) Globigerina angulisuturalis,DEF,IN,6.0
13,P,608054001300,2,3,10141,10141,DEF,AT,Lower Oligocene (Rupelian) Chiloguembelina cubensis,DEF,AT,4.0
14,P,608054001300,2,3,10230,10230,DEF,AT,Lower Oligocene (Rupelian) Turborotalia increbescens,DEF,AT,4.0
15,P,608054001300,2,3,10260,10260,DEF,AT,Upper Eocene (Priabonian) Turborotalia cerroazulensis cocoaensis,DEF,AT,4.0
16,P,608054001300,2,3,10351,10351,DEF,AT,Upper Eocene (Priabonian) Hantkenina alabamensis,DEF,AT,4.0
17,P,608054001300,2,3,10470,10470,DEF,AT,Upper Oligocene (Chattian) Paragloborotalia opima opima,DEF,AT,5.0
18,P,608054001300,2,3,10830,10830,DEF,AT,Eocene,DEF,AT,5.0
19,P,608054001300,3,3,10141,10141,DEF,AT,Lower Oligocene (Rupelian) Reticulofenestra hillae,DEF,AT,
20,P,608054001300,3,3,10380,10380,DEF,AT,Lower Oligocene (Rupelian) Ericsonia formosa,DEF,AT,
21,P,608054001300,3,3,10381,10381,DEF,AT,Upper Eocene (Priabonian) Discoaster barbadiensis,DEF,AT,
22,P,608054001300,3,3,10530,10530,DEF,AT,Upper Eocene (Priabonian) Cribrocentrum reticulatum,DEF,AT,
23,P,608054001300,3,3,10710,10710,DEF,AT,Lower Oligocene (Rupelian) Ismolithus recurvus,DEF,AT,
24,P,608054001300,4,3,10934,10934,DEF,AT,Lower Oligocene (Rupelian) Ericsonia formosa,DEF,AT,
25,P,608054001300,4,3,11004,11004,DEF,AT,Upper Eocene (Priabonian) Discoaster barbadiensis,DEF,AT,
26,P,608054001300,4,3,11025,11025,DEF,AT,Upper Eocene (Priabonian) Discoaster saipanensis,DEF,AT,
27,P,608054001300,4,3,11252,0,DEF,AT,Middle Eocene (Bartonian) Sphenolithus furcatolithoides,DEF,AT,
28,P,608054001300,4,3,11478,0,DEF,AT,Middle Eocene (Bartonian) Chiasmolithus solitus,DEF,AT,
29,P,608054001300,4,3,11506,0,DEF,AT,Middle Eocene (Lutetian) Discoaster lodoensis,DEF,AT,
30,P,608054001300,4,3,11738,0,DEF,AT,Middle Eocene (Bartonian) Sphenolithus spiniger,DEF,AT,
31,P,608054001301,2,3,11280,11280,DEF,IN,Lower Oligocene (Rupelian) Turborotalia ampliapertura,DEF,IN,4.0
32,P,608054001301,2,3,11400,11400,DEF,IN,Eocene,DEF,IN,4.0
33,P,608054001301,2,3,11490,11489,DEF,IN,Middle Eocene (Bartonian) Truncorotaloides rohri,DEF,IN,4.0
34,P,608054001301,2,3,11670,11669,DEF,IN,Middle Eocene (Lutetian) Morozovella aragonensis,DEF,IN,4.0
35,P,608054001301,2,3,11850,11849,DEF,IN,Lower Eocene (Ypresian) Morozovella quetra,DEF,IN,4.0
36,P,608054001301,2,3,13530,13520,DEF,AT,Upper Paleocene (Thanetian) Planulorotalites pseudomenardii,DEF,AT,4.0
37,P,608054001301,3,3,11701,11700,DEF,AT,Middle Eocene (Bartonian) Chiasmolithus grandis,DEF,AT,
38,P,608054001301,3,3,11790,11789,DEF,AT,Middle Eocene (Bartonian) Pemma balium,DEF,AT,
39,P,608054001301,3,3,11850,11849,DEF,AT,Lower Eocene (Ypresian) Rhabdosphaera inflata,DEF,AT,
40,P,608054001301,3,3,11910,11909,DEF,AT,Middle Eocene (Lutetian) Discoaster lodoensis,DEF,AT,
41,P,608054001301,3,3,12000,11999,DEF,AT,Lower Eocene (Ypresian) Tribrachiatus contortus,DEF,AT,
42,P,608054001301,3,3,12090,12089,DEF,AT,Lower Eocene (Ypresian) Discoaster multiradiatus,DEF,AT,
43,P,608054001301,3,3,12210,12209,DEF,AT,Lower Eocene (Ypresian) Fasciculithus tympaniformis,DEF,AT,
44,P,608054001301,4,3,11836,11835,DEF,AT,Upper Eocene (Priabonian) Discoaster barbadiensis,DEF,AT,
45,P,608054001301,4,3,12327,12326,DEF,AT,Middle Eocene (Lutetian) Discoaster lodoensis,DEF,AT,
46,P,608054001301,4,3,13911,13880,DEF,AT,Lower Eocene (Ypresian) Discoaster multiradiatus,DEF,AT,
47,P,608054001302,2,6,16660,16397,DEF,AT,Lower Paleocene (Danian) Parasubbotina pseudobulloides,DEF,AT,5.0
48,P,608054001302,2,6,16840,16563,POS,AT,Upper Paleocene (Thanetian) Subbotina triloculinoides,POS,AT,5.0
49,P,608054001302,2,6,16870,16590,DEF,AT,Lower Paleocene (Danian) Praemurica uncinata,DEF,AT,5.0
50,P,608054000100,2,3,9560,9560,DEF,AT,Upper Oligocene (Chattian) Globigerina sellii,DEF,AT,5.0
51,P,608054000100,2,3,9800,9800,DEF,AT,Upper Eocene (Priabonian) Turborotalia cerroazulensis cocoaensis,DEF,AT,5.0
52,P,608054000100,2,3,10100,10100,DEF,AT,Upper Eocene (Priabonian) Globorotalia pomeroli,DEF,AT,5.0
53,P,608054000100,2,3,10370,10370,DEF,AT,Middle Eocene (Bartonian) Orbulinoides beckmanni,DEF,AT,5.0
54,P,608054000100,2,3,10759,10759,DEF,AT,Middle Eocene (Bartonian) Turborotalia frontosa,DEF,AT,5.0
55,P,608054000100,2,3,10760,10760,DEF,AT,Middle Eocene (Lutetian) Globigerinoides higginsi,DEF,AT,5.0
56,P,608054000100,2,3,10880,10880,DEF,IN,Lower Eocene (Ypresian) Acarinina soldadoensis,DEF,IN,5.0
57,P,608054000100,2,3,10969,10969,DEF,IN,Lower Eocene (Ypresian) Morozovella quetra,DEF,IN,5.0
58,P,608054000100,2,3,10970,10970,DEF,IN,Lower Eocene (Ypresian) Subbotina velascoensis,DEF,IN,5.0
59,P,608054000100,2,3,11000,11000,DEF,IN,Lower Eocene (Ypresian) Morozovella lensiformis,DEF,IN,5.0
60,P,608054000100,2,3,11030,11030,DEF,IN,Lower Eocene (Ypresian) Morozovella rex / subbotinae,DEF,IN,5.0
61,P,608054000100,2,3,11090,11090,DEF,IN,Lower Eocene (Ypresian) Subbotina velascoensis,DEF,IN,5.0
62,P,608054000100,3,3,9590,9590,DEF,AT,Upper Oligocene (Chattian) Paragloborotalia opima opima,DEF,AT,5.0
63,P,608054000100,3,3,10610,10610,DEF,AT,Lower Oligocene (Rupelian) Textularia mississippiensis seligi,DEF,AT,5.0
64,P,608054000100,3,3,10693,10693,DEF,AT,Lower Oligocene (Rupelian) Ericsonia formosa,DEF,AT,5.0
65,P,608054000100,3,3,10694,10694,DEF,AT,Lower Oligocene (Rupelian) Cibicides mississippiensis,DEF,AT,5.0
66,P,608054000100,3,3,10910,10910,DEF,AT,Upper (Late) Eocene,DEF,AT,5.0
67,P,608054000100,3,3,10917,10917,DEF,AT,Upper Eocene (Priabonian) Globigerinatheka semiinvoluta,DEF,AT,5.0
68,P,608054000100,3,3,11000,11000,DEF,AT,Middle Eocene,DEF,AT,5.0
69,P,608054000100,4,3,9291,9291,DEF,AT,Upper Oligocene (Chattian) Sphenolithus predistentus,DEF,AT,
70,P,608054000100,4,3,9717,9717,DEF,AT,Lower Oligocene (Rupelian) Helicosphaera compacta,DEF,AT,
71,P,608054000100,4,3,10693,10693,DEF,AT,Lower Oligocene (Rupelian) Reticulofenestra umbilica,DEF,AT,
72,P,608054000100,4,3,10722,10722,DEF,AT,Upper Eocene (Priabonian) Pemma papillatum,DEF,AT,
73,P,608054000100,4,3,10922,10922,DEF,AT,Upper Eocene (Priabonian) Discoaster barbadiensis,DEF,AT,
74,P,608054000100,4,3,10940,10940,DEF,AT,Upper Eocene (Priabonian) Discoaster barbadiensis,DEF,AT,
75,P,608054000100,4,3,11030,11030,DEF,AT,Middle Eocene (Bartonian) Chiasmolithus grandis,DEF,AT,
76,P,608054000100,4,3,11031,11031,DEF,AT,Middle Eocene (Bartonian) Sphenolithus furcatolithoides,DEF,AT,
77,P,608054000100,4,3,11068,11068,DEF,AT,Middle Eocene (Bartonian) Sphenolithus spiniger,DEF,AT,
78,P,608054000100,4,3,11082,11082,DEF,AT,Middle Eocene (Lutetian) Blackites gladius,DEF,AT,
79,P,608054000100,4,3,11202,11202,DEF,AT,Middle Eocene (Lutetian) Discoaster lodoensis,DEF,AT,
