date,accident_type,activity,activity_name,subactivity,subactivity_name,confidence,match_method
12/19/2009,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
10/16/2013,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/16/2016,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
9/13/2017,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
7/1/2009,- Shutdown from Gas Release - Required Muster ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
8/31/2009,- Required Muster ,OTHER,Other,unknown,Unknown,0.1,default
5/8/2018,- Shutdown from Gas Release ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
12/15/2002,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
12/10/2016,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
2/27/2010,- Fire - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
8/3/2005,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
2/27/2021,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
1/23/2022,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
1/26/2022,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
10/31/2005,- Pollution - pollution,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/9/2009,- Item Lost Overboard,OTHER,Other,unknown,Unknown,0.1,default
5/14/2009,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
8/4/2009,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/2/2014,- Other Injury - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/10/2017,- Required Evacuation ,OTHER,Other,unknown,Unknown,0.1,default
5/8/2025,- RW/JT (>3 days) - Required Evacuation - Other Lifting Device ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/28/2020,- Incident >$25K ,OTHER,Other,unknown,Unknown,0.1,default
6/3/2013,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
7/22/2013,- Required Evacuation ,OTHER,Other,unknown,Unknown,0.1,default
10/28/2009,- Required Muster ,OTHER,Other,unknown,Unknown,0.1,default
9/20/2007,- Pollution - 20 bbls lost SBM,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
