API Well Number,Well Type Code,Well Name,Well Name Suffix,Company Name,Status Date,Status Code,Field Name,Surface Lease Number,Surface Area,Surface Block,Bottom Lease Number,Bottom Area,Bottom Block,Spud Date,Total Depth Date,BH Total MD (feet)
012032016500,E,  001,ST00BP00,Exxon Mobil Corporation,3/9/1993,COM,WILD,S00538,MO,  827,S00538,MO,  827,9/24/1984,3/10/1985,21678
012032027100,E,  001,ST00BP00,Exxon Mobil Corporation,3/7/1993,COM,WILD,S00538,MO,  827,S00539,MO,  828,11/27/1991,4/27/1992,22646
012032029300,E,  002,ST00BP00,Exxon Mobil Corporation,9/10/2002,COM,WILD,S00538,MO,  827,S00538,MO,  827,3/28/2002,7/31/2002,22160
012032030900,E,  003,ST00BP00,Exxon Mobil Corporation,5/8/2009,COM,WILD,S00538,MO,  827,S00538,MO,  827,1/2/2009,5/8/2009,21711
170750244200,E,  002,ST00BP00,Chevron U.S.A. Inc.,9/15/1997,PA,WD027,S00192,WD,   24,S00192,WD,   24,7/15/1960,8/1/1960,15653
170750244400,E, A002,ST00BP00,Chevron U.S.A. Inc.,11/22/1963,COM,WD027,S00192,WD,   24,S00192,WD,   24,4/1/1953,4/3/1953,14150
170750244800,E,  009,ST00BP00,Chevron U.S.A. Inc.,5/25/1997,PA,WD027,S00192,WD,   24,S00192,WD,   24,7/8/1963,7/30/1963,16336
170750245000,E,  003,ST00BP00,Chevron U.S.A. Inc.,9/15/1997,PA,WD027,S00192,WD,   24,S00192,WD,   24,12/19/1963,12/31/1963,16450
170750245100,E,  001,ST00BP00,Chevron U.S.A. Inc.,6/1/1968,PA,WD027,S00192,WD,   24,S00192,WD,   24,5/1/1960,6/1/1960,15500
170750245600,E,  011,ST00BP00,Chevron U.S.A. Inc.,9/15/1997,PA,WD027,S00192,WD,   24,S00192,WD,   24,9/6/1963,9/30/1963,16500
170750245700,E,  012,ST00BP00,Chevron U.S.A. Inc.,9/14/1997,PA,WD027,S00192,WD,   24,S00192,WD,   24,12/7/1963,12/30/1963,16300
170750407500,E,  014,ST00BP00,Chevron U.S.A. Inc.,4/2/1991,PA,WD027,S00192,WD,   24,S00192,WD,   24,4/11/1964,4/20/1964,14850
170750407600,E,  015,ST00BP00,Chevron U.S.A. Inc.,4/2/1991,PA,WD027,S00192,WD,   24,S00192,WD,   24,6/24/1964,7/5/1964,15000
170750560000,E,  008,ST00BP00,Chevron U.S.A. Inc.,5/9/2011,PA,WD027,S00192,WD,   24,S00192,WD,   24,11/9/1962,11/30/1962,16500
177000000600,E,  002,ST00BP00,"Sanare Energy Partners, LLC",11/23/1959,COM,WC045, 00680,WC,   20, 00680,WC,   20,10/28/1959,11/10/1959,10450
177000000700,D,  003,ST00BP00,"Northstar Offshore Group, LLC",1/4/1985,PA,WC045, 00680,WC,   20, 00680,WC,   20,11/24/1959,12/9/1959,10650
177000000800,D,  004,ST00BP00,"Northstar Offshore Group, LLC",8/7/2004,PA,WC045, 00680,WC,   20, 00680,WC,   20,12/22/1959,1/14/1960,11000
177000000900,D,  005,ST00BP00,"Northstar Offshore Group, LLC",3/7/1960,PA,WC045, 00680,WC,   20, 00680,WC,   20,2/23/1960,3/4/1960,10685
177000001000,D,  006,ST00BP00,"Northstar Offshore Group, LLC",8/1/2004,PA,WC045, 00680,WC,   20, 00680,WC,   20,1/26/1960,2/11/1960,10739
177000001100,D,  007,ST00BP00,"Northstar Offshore Group, LLC",12/11/2002,PA,WC045, 00680,WC,   20, 00680,WC,   20,5/7/1960,5/15/1960,10500
177000001200,D,  008,ST00BP00,"Northstar Offshore Group, LLC",11/25/2002,PA,WC045, 00680,WC,   20, 00680,WC,   20,3/26/1960,4/5/1960,10066
177000001300,D,  009,ST00BP00,"Northstar Offshore Group, LLC",12/11/1984,PA,WC045, 00680,WC,   20, 00680,WC,   20,4/16/1960,4/24/1960,10100
177000001400,E,  001,ST00BP00,Talos Petroleum LLC,8/9/1982,PA,WC045, 00300,WC,   45, 00300,WC,   45,5/6/1956,6/16/1956,10136
177000001500,E,  002,ST00BP00,Talos Petroleum LLC,6/20/1957,PA,WC045, 00300,WC,   45, 00300,WC,   45,6/19/1957,6/20/1957,5865
177000001600,E,  003,ST00BP00,Talos Petroleum LLC,2/16/1974,PA,WC045, 00300,WC,   45, 00300,WC,   45,9/19/1957,10/22/1957,10503
177000001700,E,  004,ST00BP00,Talos Petroleum LLC,1/11/1958,PA,WC045, 00300,WC,   45, 00300,WC,   45,11/11/1957,1/11/1958,10203
177000001800,E,  005,ST00BP00,Talos Petroleum LLC,3/15/1958,PA,WC045, 00300,WC,   45, 00300,WC,   45,2/4/1958,3/15/1958,10792
177000001900,E,  006,ST00BP00,Talos Petroleum LLC,2/16/1974,PA,WC045, 00300,WC,   45, 00300,WC,   45,6/18/1958,7/24/1958,11800
177000002000,E,  007,ST00BP00,Talos Petroleum LLC,6/22/1980,PA,WC045, 00300,WC,   45, 00300,WC,   45,8/16/1958,9/14/1958,10428
177000002100,E,  008,ST00BP00,Talos Petroleum LLC,2/12/1974,PA,WC045, 00300,WC,   45, 00300,WC,   45,10/18/1958,11/27/1958,10444
177000002200,E,  009,ST00BP00,Talos Petroleum LLC,6/25/1980,PA,WC045, 00300,WC,   45, 00300,WC,   45,11/29/1958,1/20/1959,14025
