incident_id,date,vessel_name,description,incident_type,location,source,fatalities,injuries
52867,2024-09-03,,"On 03 September 2024, the fishing vessel ""EASTERN LADY"", with 3 persons onboard had an injury onboard which lead to incapacitation. The crew returned to Pointe-Sapin, NB with the incapacitated crew member where an ambulance attended the injured. The crew member later died.",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,NEW BRUNSWICK (NB),Canadian TSB,1,1
52824,2025-02-07,,"On 07 February 2025, the fishing vessel ""FORTUNE PRIDE"", with 4 people on board, sank off Sambro, NS. The crew abandoned the vessel. All crew members were recovered; two were pronounced deceased.",SANK - Founders (taking on water above the waterline),NOVA SCOTIA (NS),Canadian TSB,2,2
52824,2025-02-07,,"On 07 February 2025, the fishing vessel ""FORTUNE PRIDE"", with 4 people on board, sank off Sambro, NS. The crew abandoned the vessel. All crew members were recovered; two were pronounced deceased.",SANK - Founders (taking on water above the waterline),NOVA SCOTIA (NS),Canadian TSB,2,2
52658,2024-11-15,,"On 15 November 2024, the Canadian Coast Guard Ship ""KOPIT HOPSON 1752"", while off Glace Bay, NS, reported that a crewmember had been found unresponsive onboard. The casualty was landed at Sydney Marine Terminal.",PERSON (CREW MEMBER) PHYSICAL INCAPACITATION,NOVA SCOTIA (NS),Canadian TSB,1,1
52617,2022-10-15,,"On 15 October 2022, an unregistered fishing vessel, with 2 people on board, was reported missing. The sunken vessel was found in Cockeram Lake, MB. After an extensive search both crew members were recovered and declared deceased.",SANK - Founders (taking on water above the waterline),MANITOBA (MB),Canadian TSB,2,0
52309,2024-06-13,,"On 18 June 2024, JRCC Halifax was advised that the sailing vessel ""THEROS"", engaged in an Atlantic crossing with 2 people onboard, had not provided position updates for 5 days. No distress signal was received and a search was unsuccessful. On 10 July, the vessel's dinghy, with the remains of the vessel's crew, was found on Sable Island, NS. The data collected is consistent with an occurrence involving a fire onboard the sailing vessel.",ABANDONED,NOVA SCOTIA (NS),Canadian TSB,2,0
52298,2024-06-27,,"On 27 June 2024, an unnamed fishing vessel, with 3 people on board, was reported overdue on Lake Winnipeg, MB, near Grand Rapids, MB. Search and rescue efforts recovered 1 crew member deceased in the water. The vessel and the 2 other crew members were declared missing.",MISSING (the ship is),MANITOBA (MB),Canadian TSB,1,0
52297,2024-06-17,,"On 17 June 2024, an unregistered fishing vessel, with 3 people on board, took on water and sank while its crew were hauling back fishing nets on Lake Winnipeg, MB. All 3 crew members ended up in the water without personal flotation devices. Subsequent search and rescue efforts rescued 2 crew members and recovered 1 deceased. ",CAPSIZES,MANITOBA (MB),Canadian TSB,1,0
52220,2024-06-19,,"On 19 June 2024, the fishing vessel ""MISS P.E.I. I"", with 4 people on board, reported a crew member sustaining a serious injury at the eastern entrance of the Northumberland Strait, PE. The fishing vessel ""CHASING DREAMS"" and the Canadian Coast Guard fast rescue craft from Souris, PE responded. Local fire fighters and paramedics attended the casualty at the dock in North Lake, PE. The crew member was later pronounced deceased.",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,PRINCE EDWARD ISLAND (PE),Canadian TSB,1,0
52217,2024-06-18,,"On 18 June 2024, the unnamed fishing vessel known as ""VRN 127805"", with 1 person on board, was reported overdue in Sweet Bay, NL. A local Canadian Coast Guard station workboat found the vessel flooded off Wolf Island, NL. Its crew member was recovered from the water and later pronounced deceased.","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship",NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,1,0
51952,2024-04-21,,"On 21 April 2024, after landing 4 people on the shore, an unnamed dory, with 2 people on board, was reported capsized with its crew members overboard in the vicinity of Port au Port Bay, NL. The four people stranded ashore were evacuated to Lark Harbour, NL by helicopter, and the two crew members in the water were recovered, and later pronounced deceased.",CAPSIZES,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,2,0
51837,2024-02-22,,"On 22 February 2024, the fishing vessel ""ANNE RISLEY"", with 31 people on board, reported one of its crew members sustained a fatal injury while secured in Mulgrave, NS. The crew member was carried to a hospital by ambulance.",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,NOVA SCOTIA (NS),Canadian TSB,1,0
51535,2023-10-23,,"On 23 October 2023, the unregistered tug known as ""GREEN HORNET"", with 1 person on board, reported having capsized in the Strait of Georgia off Vancouver, BC. The Search and Rescue response team found the crew member deceased on shore. The vessel sank, but was later retrieved and taken to a drydock in Mill Bay, BC.",CAPSIZES,BRITISH COLUMBIA (BC),Canadian TSB,1,0
