incident_id,date,vessel_name,description,fatalities,location,source,injuries
52824,2025-02-07,,"On 07 February 2025, the fishing vessel ""FORTUNE PRIDE"", with 4 people on board, sank off Sambro, NS. The crew abandoned the vessel. All crew members were recovered; two were pronounced deceased.",2,NOVA SCOTIA (NS),Canadian TSB,2
52824,2025-02-07,,"On 07 February 2025, the fishing vessel ""FORTUNE PRIDE"", with 4 people on board, sank off Sambro, NS. The crew abandoned the vessel. All crew members were recovered; two were pronounced deceased.",2,NOVA SCOTIA (NS),Canadian TSB,2
52773,2025-01-06,,"On 06 January 2025, the unmanned barge ""OC38-B"" was reported being partly submerged in a vicinity of the l'Île-aux-Tourtes Bridge in the Lake of Two Mountains off Vaudreuil-Dorion, QC.",0,QUEBEC (QC),Canadian TSB,0
52760,2024-12-24,,"On 24 December 2024, the tug ""BROUGHTON RANGER"", while uncrewed, was reported to have sunk alongside in Port Hardy, B.C.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
52667,2024-11-24,,"On 24 November 2024, the tug ""WESTCOASTER"", with 2 people on board, reported that the barge it was towing, the ""JENSEN COVE"", was taking on water and listing in the vicinity of Christie Passage off Port Hardy, BC. The barge later capsized and sank. Minor pollution was reported.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
52649,2024-11-16,,"On 16 November 2024, the fishing vessel ""NICK & ASH 2021"", with 4 people on board, was reported capsized in the Bay of Fundy off Grand Manan, NB. All crew members were rescued from the water by the fishing vessels ""SCOTIA BAND IT"" and ""LAST HAUL"", and transported to North Head, NB. The Canadian Coast Guard Ship ""GELIGET"" reported that the fishing vessel sank but remained partially submerged. ",0,NEW BRUNSWICK (NB),Canadian TSB,0
52645,2024-11-14,,"On 14 November 2024, the fishing vessel ""IVY ROSE"", with 6 people on board, reported being disabled and taking on water in the vicinity of the Grand Banks off St. Stephens, NL. The crew controlled the water ingress and the fishing vessel was assisted by the container vessel ""GLASGOW EXPRESS"" and the Canadian Coast Guard Ship ""JEAN GOODWILL"". ",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
52617,2022-10-15,,"On 15 October 2022, an unregistered fishing vessel, with 2 people on board, was reported missing. The sunken vessel was found in Cockeram Lake, MB. After an extensive search both crew members were recovered and declared deceased.",2,MANITOBA (MB),Canadian TSB,0
52599,2024-10-21,,"On 21 October 2024, the fishing vessel ""HUDSON & FINLEY"", with 2 people on board, reported taking on water with unserviceable bilge pumps at the mouth of Sheet Harbour, NS. The crew was able to restart 2 pumps while being towed into the harbour by a recreational craft.",0,NOVA SCOTIA (NS),Canadian TSB,0
52558,2024-10-01,,"On 01 October 2024, the unmanned workboat ""C14307BC"" sunk while secured in Maple Ridge, BC. Minor pollution was reported. ",0,BRITISH COLUMBIA (BC),Canadian TSB,0
52330,2024-07-16,,"On 16 July 2024, the fishing vessel ""SNOW QUEEN"", with 5 people on board, reported taking on water in its engine room while proceeding in Chatham Sound off Lax Kw'alaams, BC. The crew pumped water out while proceeding to Port Edwards, BC. ",0,BRITISH COLUMBIA (BC),Canadian TSB,0
52297,2024-06-17,,"On 17 June 2024, an unregistered fishing vessel, with 3 people on board, took on water and sank while its crew were hauling back fishing nets on Lake Winnipeg, MB. All 3 crew members ended up in the water without personal flotation devices. Subsequent search and rescue efforts rescued 2 crew members and recovered 1 deceased. ",1,MANITOBA (MB),Canadian TSB,0
