facility_id,facility_name,country,region,water_depth_m,depth_band,host_type,concept_type,tree_type
720,Aasta Hansteen Spar,Norway,North Sea & NW Europe,1300.0,500-1500 m (deepwater),SPAR,spar,dry
874,Abadi FLNG,Indonesia,Asia-Pacific,1000.0,500-1500 m (deepwater),FLNG,flng,wet
760,Abo FPSO,Nigeria,West Africa,550.0,500-1500 m (deepwater),FPSO,fpso,wet
1275,Abu Qir Complex,Egypt,Mediterranean & N Africa,35.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
249,Agbami FPSO,Nigeria,West Africa,1462.0,500-1500 m (deepwater),FPSO,fpso,wet
708,Aje FPSO,Niger,West Africa,900.0,500-1500 m (deepwater),FPSO,fpso,wet
560,Akcakoca Platform,Turkey,Mediterranean & N Africa,95.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
668,Akepo FSO,Nigeria,West Africa,8.0,0-150 m (shallow shelf),FSO/FSU,,other
252,Akpo FPSO,Nigeria,West Africa,1325.0,500-1500 m (deepwater),FPSO,fpso,wet
1276,Al Jalilah Complex,UAE,Middle East,,,Fixed Platform,fixed_jacket,dry
1498,Al Jurf Platform,Libya,Mediterranean & N Africa,90.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
452,Al Shaheen FSO 1,Qatar,Middle East,70.0,0-150 m (shallow shelf),FSO/FSU,,other
452,Al Shaheen FSO 2,Qatar,Middle East,70.0,0-150 m (shallow shelf),FSO/FSU,,other
452,Al Shaheen FSO 3,Qatar,Middle East,70.0,0-150 m (shallow shelf),FSO/FSU,,other
452,Al Shaheen Location 1,Qatar,Middle East,70.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
452,Al Shaheen Location 2,Qatar,Middle East,70.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
452,Al Shaheen Location 3,Qatar,Middle East,70.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
452,Al Shaheen Location 4,Qatar,Middle East,70.0,0-150 m (shallow shelf),Fixed Platform,fixed_jacket,dry
