# Regional decommissioning liability (facility-level, offshore-assets)
# source: data/modules/offshore_assets/curated/production_facilities.csv | 836 facilities
# modeled=421 (5 regions with a cost multiplier); unmodeled-region=414 excluded; unmapped-asset=1 (Artificial Island) excluded
# total modeled liability = $17.5B (17,505 MUSD)
# pricing: DecommissioningCostEstimator, weight=0, depth floor; FPSO base low-confidence
facility_id,facility_name,country,region,asset,host_type,water_depth_m,cost_musd
720,Aasta Hansteen Spar,Norway,ncs,spar,SPAR,1300.0,70.07
760,Abo FPSO,Nigeria,west_africa,fpso,FPSO,550.0,92.0
249,Agbami FPSO,Nigeria,west_africa,fpso,FPSO,1462.0,92.0
668,Akepo FSO,Nigeria,west_africa,fpso,FSO/FSU,8.0,92.0
252,Akpo FPSO,Nigeria,west_africa,fpso,FPSO,1325.0,92.0
1467,Alba (EG) B2 Platform,Equatorial Guinea,west_africa,jacket,Fixed Platform,75.0,2.7312
1467,Alba (EG) B3 Compression Platform,Equatorial Guinea,west_africa,jacket,Fixed Platform,75.0,2.7312
226,Alba Northern Platform,UK,ukcs,jacket,Fixed Platform,158.0,3.4875
226,Alba Southern Platform,UK,ukcs,jacket,Fixed Platform,138.0,3.3625
477,Alen Platform,Equatorial Guinea,west_africa,jacket,Fixed Platform,530.0,5.3475
305,Alima FPU,Congo,west_africa,fpso,FPU/FPS,1200.0,92.0
116,Allegheny SeaStar Mini-TLP,US,gom,tlp,Mini-TLP,1005.0,42.01
212,Alvheim FPSO,Norway,ncs,fpso,FPSO,130.0,104.0
227,Alwyn North A Platform,UK,ukcs,jacket,Fixed Platform,126.0,3.2875
227,Alwyn North B Platform,UK,ukcs,jacket,Fixed Platform,126.0,3.2875
168,Amberjack Fixed Platform,US,gom,jacket,Fixed Platform,314.0,3.57
318,Amenam Kpono Production Platform (Phase I),Nigeria,west_africa,jacket,Fixed Platform,40.0,2.53
318,Amenam Kpono Production Platform (Phase II),Nigeria,west_africa,jacket,Fixed Platform,40.0,2.53
783,Amethyst Platforms,UK,ukcs,jacket,Fixed Platform,30.0,2.6875
1269,Anasuria FPSO,UK,ukcs,fpso,FPSO,0.0,100.0
786,Andrew Platform,UK,ukcs,jacket,Fixed Platform,117.0,3.2313
868,Anglia Fixed Platform,UK,ukcs,jacket,Fixed Platform,26.0,2.6625
238,Aoka Mizu FPSO,UK,ukcs,fpso,FPSO,110.0,100.0
398,Appaloosa Subsea,US,gom,subsea_tree,Subsea Tieback,853.0,2.0
1402,Arbroath Platform,UK,ukcs,jacket,Fixed Platform,93.0,3.0812
488,Armada Perdana FPSO,Nigeria,west_africa,fpso,FPSO,350.0,92.0
771,Armada Platform,UK,ukcs,jacket,Fixed Platform,88.0,3.05
477,Aseng FPSO,Equatorial Guinea,west_africa,fpso,FPSO,945.0,92.0
357,Asgard A FPSO,Norway,ncs,fpso,FPSO,300.0,104.0
357,Asgard B Semisubmersible,Norway,ncs,fpso,Semisub,310.0,104.0
358,Asgard C FSO,Norway,ncs,fpso,FSO/FSU,300.0,104.0
357,Asgard Subsea Compression,Norway,ncs,subsea_tree,Subsea Tieback,300.0,2.6
