afxNpdidAfexArea,afxName,afxKind,afxDateApproved,afxDateValidFrom,afxDateValidTo,afxActive,afxFactPageUrl,afxFactMapUrl,afxPublishOnInternet,cmpLongName,cmpFactPageUrl,cmpNpdidCompany,afxDateUpdated,afxDateUpdatedMax,afxAreaGeometryWKT
4555336,BALDER AFEX,AFEX PROD,2007-12-01 00:00:00,2007-09-01 00:00:00,,Y,N/A,N/A,Y,N/A,N/A,,2022-11-28 00:00:00,2024-01-02 00:00:00,"POLYGON ((2.3333333000000493 59.25000000000006,2.3333333000000493 59.24565220000005,2.3333333000000493 59.24130430000008,2.3333333000000493 59.236956500000076,2.3333333000000493 59.23260870000007,2.3333333000000493 59.228260900000066,2.3333333000000493 59.22391300000004,2.3333333000000493 59.219565200000034,2.3333333000000493 59.21521740000003,2.3333333000000493 59.21086960000008,2.3333333000000493 59.20652170000005,2.3333333000000493 59.20217390000005,2.3333333000000493 59.19782610000004,2.3333333000000493 59.19347830000004,2.3333333000000493 59.18913040000007,2.3333333000000493 59.18478260000006,2.3333333000000493 59.18043480000006,2.3333333000000493 59.17608700000005,2.3333333000000493 59.17173910000008,2.3333333000000493 59.16739130000008,2.3333333000000493 59.16304350000007,2.3333333000000493 59.15869570000007,2.3333333000000493 59.15434780000004,2.3333333000000493 59.150000000000034,2.3416666000000532 59.150000000000034,2.3500000000000227 59.150000000000034,2.3583333000000266 59.150000000000034,2.3666666000000305 59.150000000000034,2.375000000000057 59.150000000000034,2.3833333000000607 59.150000000000034,2.3833333000000607 59.154166700000076,2.3833333000000607 59.15833340000006,2.3833333000000607 59.16250000000008,2.3833333000000607 59.166666700000064,2.3916666000000646 59.166666700000064,2.400000000000034 59.166666700000064,2.408333300000038 59.166666700000064,2.416666600000042 59.166666700000064,2.425000000000068 59.166666700000064,2.433333300000072 59.166666700000064,2.441666600000076 59.166666700000064,2.4500000000000455 59.166666700000064,2.4583333000000493 59.166666700000064,2.4666666000000532 59.166666700000064,2.4750000000000227 59.166666700000064,2.4833333000000266 59.166666700000064,2.4833333000000266 59.17083340000005,2.4833333000000266 59.17500000000007,2.4833333000000266 59.17916670000005,2.4833333000000266 59.18333340000004,2.4833333000000266 59.18750000000006,2.4833333000000266 59.19166670000004,2.4833333000000266 59.19583330000006,2.4833333000000266 59.200000000000045,2.491666700000053 59.200000000000045,2.500000000000057 59.200000000000045,2.500000000000057 59.20416670000003,2.500000000000057 59.20833340000007,2.500000000000057 59.212500000000034,2.500000000000057 59.216666700000076,2.5083333000000607 59.216666700000076,2.5166667000000302 59.216666700000076,2.525000000000034 59.216666700000076,2.533333300000038 59.216666700000076,2.533333300000038 59.22083340000006,2.533333300000038 59.22500000000008,2.533333300000038 59.229166700000064,2.533333300000038 59.23333340000005,2.533333300000038 59.23750000000007,2.533333300000038 59.24166670000005,2.533333300000038 59.24583330000007,2.533333300000038 59.25000000000006,2.5246376000000623 59.25000000000006,2.5159420000000523 59.25000000000006,2.50724630000002 59.25000000000006,2.4985507000000666 59.25000000000006,2.489855000000034 59.25000000000006,2.481159400000024 59.25000000000006,2.4724637000000484 59.25000000000006,2.4637681000000384 59.25000000000006,2.4550724000000628 59.25000000000006,2.4463768000000528 59.25000000000006,2.4376811000000203 59.25000000000006,2.428985500000067 59.25000000000006,2.4202898000000346 59.25000000000006,2.4115942000000246 59.25000000000006,2.402898500000049 59.25000000000006,2.394202900000039 59.25000000000006,2.385507200000063 59.25000000000006,2.376811600000053 59.25000000000006,2.3681159000000207 59.25000000000006,2.3594203000000675 59.25000000000006,2.350724600000035 59.25000000000006,2.342029000000025 59.25000000000006,2.3333333000000493 59.25000000000006))"
4555359,BLANE AFEX,AFEX PROD,2007-12-01 00:00:00,2007-01-01 00:00:00,,Y,N/A,N/A,Y,N/A,N/A,,2022-11-28 00:00:00,2024-01-02 00:00:00,"POLYGON ((2.498888900000054 56.83333330000005,2.5057778000000326 56.83333330000005,2.512666700000068 56.83333330000005,2.519555500000024 56.83333330000005,2.5264444000000594 56.83333330000005,2.533333300000038 56.83333330000005,2.533333300000038 56.837500000000034,2.533333300000038 56.84166660000005,2.533333300000038 56.84583330000004,2.533333300000038 56.85000000000008,2.533333300000038 56.85416660000004,2.533333300000038 56.85833330000003,2.533333300000038 56.86250000000007,2.533333300000038 56.86666660000003,2.533333300000038 56.87083330000007,2.533333300000038 56.87500000000006,2.533333300000038 56.879166600000076,2.533333300000038 56.88333330000006,2.5388889000000745 56.88333330000006,2.5444444000000317 56.88333330000006,2.550000000000068 56.88333330000006,2.550000000000068 56.887500000000045,2.550000000000068 56.891666600000065,2.550000000000068 56.89583330000005,2.550000000000068 56.900000000000034,2.550000000000068 56.90416660000005,2.550000000000068 56.90833330000004,2.550000000000068 56.91250000000008,2.550000000000068 56.91666660000004,2.550000000000068 56.92083330000003,2.550000000000068 56.92500000000007,2.550000000000068 56.92916660000003,2.550000000000068 56.93333330000007,2.542340200000069 56.93333330000007,2.5346803000000477 56.93333330000007,2.5270205000000487 56.93333330000007,2.5193607000000497 56.93333330000007,2.5117008000000283 56.93333330000007,2.5040410000000293 56.93333330000007,2.4963812000000303 56.93333330000007,2.4887214000000313 56.93333330000007,2.4810615000000666 56.93333330000007,2.4734017000000676 56.93333330000007,2.4657419000000687 56.93333330000007,2.458082000000047 56.93333330000007,2.450422200000048 56.93333330000007,2.45253483700003 56.928985899000054,2.454646983000032 56.92463845900005,2.4567586380000535 56.92029098100005,2.458869802000038 56.915943464000065,2.4609804760000316 56.91159590800004,2.463090659000045 56.90724831300008,2.4652003510000213 56.90290068000007,2.4673095530000637 56.89855300800008,2.469418266000048 56.89420529700004,2.471526488000052 56.889857548000066,2.4736342210000544 56.88550976000005,2.4757414650000555 56.88116193400003,2.477848219000066 56.876814069000034,2.4799544850000643 56.87246616600004,2.4820602620000614 56.86811822300007,2.484165550000057 56.86377024300003,2.4862703490000513 56.85942222400007,2.4883746600000336 56.855074166000065,2.4904784840000502 56.850726070000064,2.4925818190000655 56.84637793500008,2.494684667000058 56.84202976200004,2.496787027000039 56.83768155000007,2.498888900000054 56.83333330000005))"
4555379,DRAUGEN AFEX,AFEX PROD,2007-12-01 00:00:00,2007-01-01 00:00:00,,Y,N/A,N/A,Y,N/A,N/A,,2022-11-28 00:00:00,2024-01-02 00:00:00,"MULTIPOLYGON (((7.750000000000057 64.25000000000006,7.750000000000057 64.25416670000004,7.750000000000057 64.25833340000008,7.750000000000057 64.26250000000005,7.750000000000057 64.26666670000003,7.758333400000026 64.26666670000003,7.76666670000003 64.26666670000003,7.76666670000003 64.27083340000007,7.76666670000003 64.27500000000003,7.76666670000003 64.27916660000005,7.76666670000003 64.28333330000004,7.775000000000034 64.28333330000004,7.783333300000038 64.28333330000004,7.783333300000038 64.28750000000008,7.783333300000038 64.29166670000006,7.783333300000038 64.29583330000008,7.783333300000038 64.30000000000007,7.791666700000064 64.30000000000007,7.800000000000068 64.30000000000007,7.800000000000068 64.30416670000005,7.800000000000068 64.30833340000004,7.800000000000068 64.31250000000006,7.800000000000068 64.31666670000004,7.808333400000038 64.31666670000004,7.816666700000042 64.31666670000004,7.816666700000042 64.32083340000008,7.816666700000042 64.32500000000005,7.816666700000042 64.32916670000003,7.816666700000042 64.33333330000005,7.8250000000000455 64.33333330000005,7.833333300000049 64.33333330000005,7.833333300000049 64.33777770000006,7.833333300000049 64.34222220000004,7.833333300000049 64.34666660000005,7.833333300000049 64.35111110000008,7.833333300000049 64.35555550000004,7.833333300000049 64.36000000000007,7.833333300000049 64.36444440000008,7.833333300000049 64.36888890000006,7.833333300000049 64.37333330000007,7.833333300000049 64.37777780000005,7.833333300000049 64.38222220000006,7.833333300000049 64.38666670000003,7.833333300000049 64.39111110000005,7.833333300000049 64.39555560000008,7.833333300000049 64.40000000000003,7.8250000000000455 64.40000000000003,7.816666700000042 64.40000000000003,7.816666700000042 64.40416670000008,7.816666700000042 64.40833330000004,7.816666700000042 64.41250000000008,7.816666700000042 64.41666670000006,7.816666700000042 64.42083330000008,7.816666700000042 64.42500000000007,7.816666700000042 64.42916660000003,7.816666700000042 64.43333330000007,7.806666700000051 64.43333330000007,7.79666670000006 64.43333330000007,7.786666700000069 64.43333330000007,7.776666700000021 64.43333330000007,7.76666670000003 64.43333330000007,7.76666670000003 64.42916660000003,7.76666670000003 64.42500000000007,7.76666670000003 64.42083330000008,7.76666670000003 64.41666670000006,7.76666670000003 64.41250000000008,7.76666670000003 64.40833330000004,7.76666670000003 64.40416670000008,7.76666670000003 64.40000000000003,7.758333400000026 64.40000000000003,7.750000000000057 64.40000000000003,7.750000000000057 64.39583330000005,7.750000000000057 64.39166670000003,7.750000000000057 64.38750000000005,7.750000000000057 64.38333330000006,7.740000000000066 64.38333330000006,7.730000000000075 64.38333330000006,7.720000000000027 64.38333330000006,7.710000000000036 64.38333330000006,7.7000000000000455 64.38333330000006,7.7000000000000455 64.37916670000004,7.7000000000000455 64.37500000000006,7.7000000000000455 64.37083340000004,7.7000000000000455 64.36666670000005,7.691666700000042 64.36666670000005,7.683333300000072 64.36666670000005,7.683333300000072 64.36250000000007,7.683333300000072 64.35833340000005,7.683333300000072 64.35416670000006,7.683333300000072 64.35000000000008,7.675000000000068 64.35000000000008,7.666666700000064 64.35000000000008,7.666666700000064 64.34565220000007,7.666666700000064 64.34130430000005,7.666666700000064 64.33695650000004,7.666666700000064 64.33260870000004,7.666666700000064 64.32826090000003,7.666666700000064 64.32391300000006,7.666666700000064 64.31956520000006,7.666666700000064 64.31521740000005,7.666666700000064 64.31086960000005,7.666666700000064 64.30652170000008,7.666666700000064 64.30217390000007,7.666666700000064 64.29782610000007,7.666666700000064 64.29347830000006,7.666666700000064 64.28913040000003,7.666666700000064 64.28478260000003,7.666666700000064 64.28043480000008,7.666666700000064 64.27608700000008,7.666666700000064 64.27173910000005,7.666666700000064 64.26739130000004,7.666666700000064 64.26304350000004,7.666666700000064 64.25869570000003,7.666666700000064 64.25434780000006,7.666666700000064 64.25000000000006,7.666666700000064 64.24583330000007,7.666666700000064 64.24166670000005,7.666666700000064 64.23750000000007,7.666666700000064 64.23333330000008,7.675926000000061 64.23333330000008,7.685185200000035 64.23333330000008,7.694444500000031 64.23333330000008,7.703703700000062 64.23333330000008,7.712963000000059 64.23333330000008,7.722222200000033 64.23333330000008,7.731481500000029 64.23333330000008,7.74074070000006 64.23333330000008,7.750000000000057 64.23333330000008,7.750000000000057 64.23750000000007,7.750000000000057 64.24166670000005,7.750000000000057 64.24583330000007,7.750000000000057 64.25000000000006)),((7.9500000000000455 64.38333330000006,7.958333400000072 64.38333330000006,7.966666700000076 64.38333330000006,7.966666700000076 64.38750000000005,7.966666700000076 64.39166670000003,7.966666700000076 64.39583330000005,7.966666700000076 64.40000000000003,7.958333400000072 64.40000000000003,7.9500000000000455 64.40000000000003,7.9500000000000455 64.39583330000005,7.9500000000000455 64.39166670000003,7.9500000000000455 64.38750000000005,7.9500000000000455 64.38333330000006)))"
4555476,GRANE AFEX,AFEX PROD,2008-01-04 00:00:00,2007-01-01 00:00:00,,Y,N/A,N/A,Y,N/A,N/A,,2022-11-28 00:00:00,2024-01-02 00:00:00,"POLYGON ((2.550000000000068 59.200000000000045,2.558333300000072 59.200000000000045,2.5666667000000416 59.200000000000045,2.5750000000000455 59.200000000000045,2.5833333000000493 59.200000000000045,2.5916667000000757 59.200000000000045,2.6000000000000227 59.200000000000045,2.6000000000000227 59.20416670000003,2.6000000000000227 59.20833340000007,2.6000000000000227 59.212500000000034,2.6000000000000227 59.216666700000076,2.608333400000049 59.216666700000076,2.616666700000053 59.216666700000076,2.616666700000053 59.22083340000006,2.616666700000053 59.22500000000008,2.616666700000053 59.229166700000064,2.616666700000053 59.23333330000003,2.608333400000049 59.23333330000003,2.6000000000000227 59.23333330000003,2.6000000000000227 59.23750000000007,2.6000000000000227 59.24166670000005,2.6000000000000227 59.24583340000004,2.6000000000000227 59.25000000000006,2.5916667000000757 59.25000000000006,2.583333400000072 59.25000000000006,2.5750000000000455 59.25000000000006,2.5666667000000416 59.25000000000006,2.5583334000000377 59.25000000000006,2.550000000000068 59.25000000000006,2.541666600000042 59.25000000000006,2.533333300000038 59.25000000000006,2.533333300000038 59.24583330000007,2.533333300000038 59.24166670000005,2.533333300000038 59.23750000000007,2.533333300000038 59.23333340000005,2.533333300000038 59.229166700000064,2.533333300000038 59.22500000000008,2.533333300000038 59.22083340000006,2.533333300000038 59.216666700000076,2.525000000000034 59.216666700000076,2.5166667000000302 59.216666700000076,2.5083333000000607 59.216666700000076,2.500000000000057 59.216666700000076,2.500000000000057 59.212500000000034,2.500000000000057 59.20833340000007,2.500000000000057 59.20416670000003,2.500000000000057 59.200000000000045,2.491666700000053 59.200000000000045,2.4833333000000266 59.200000000000045,2.4833333000000266 59.19583330000006,2.4833333000000266 59.19166670000004,2.4833333000000266 59.18750000000006,2.4833333000000266 59.18333340000004,2.4833333000000266 59.17916670000005,2.4833333000000266 59.17500000000007,2.4833333000000266 59.17083340000005,2.4833333000000266 59.166666700000064,2.4750000000000227 59.166666700000064,2.4666667000000757 59.166666700000064,2.4583333000000493 59.166666700000064,2.4500000000000455 59.166666700000064,2.4500000000000455 59.16250000000008,2.4500000000000455 59.15833340000006,2.4500000000000455 59.154166700000076,2.4500000000000455 59.150000000000034,2.4416667000000416 59.150000000000034,2.433333300000072 59.150000000000034,2.433333300000072 59.14583330000005,2.433333300000072 59.14166670000003,2.433333300000072 59.137500000000045,2.433333300000072 59.13333330000006,2.425000000000068 59.13333330000006,2.4166667000000643 59.13333330000006,2.4166667000000643 59.129166600000076,2.4166667000000643 59.12500000000006,2.4166667000000643 59.12083330000007,2.4166667000000643 59.11666670000005,2.4166667000000643 59.11250000000007,2.4166667000000643 59.10833330000003,2.4166667000000643 59.104166700000064,2.4166667000000643 59.10000000000008,2.425000000000068 59.10000000000008,2.4333334000000377 59.10000000000008,2.4416667000000416 59.10000000000008,2.4500000000000455 59.10000000000008,2.458333400000072 59.10000000000008,2.4666667000000757 59.10000000000008,2.4666667000000757 59.104166700000064,2.4666667000000757 59.10833340000005,2.4666667000000757 59.11250000000007,2.4666667000000757 59.11666670000005,2.4750000000000227 59.11666670000005,2.483333400000049 59.11666670000005,2.491666700000053 59.11666670000005,2.500000000000057 59.11666670000005,2.500000000000057 59.12083340000004,2.500000000000057 59.12500000000006,2.500000000000057 59.12916670000004,2.500000000000057 59.13333330000006,2.5083334000000264 59.13333330000006,2.5166667000000302 59.13333330000006,2.5166667000000302 59.137500000000045,2.5166667000000302 59.14166670000003,2.5166667000000302 59.14583330000005,2.5166667000000302 59.150000000000034,2.5166667000000302 59.154166700000076,2.5166667000000302 59.15833340000006,2.5166667000000302 59.16250000000008,2.5166667000000302 59.166666700000064,2.525000000000034 59.166666700000064,2.5333334000000605 59.166666700000064,2.5416667000000643 59.166666700000064,2.550000000000068 59.166666700000064,2.550000000000068 59.17083340000005,2.550000000000068 59.17500000000007,2.550000000000068 59.17916670000005,2.550000000000068 59.18333340000004,2.550000000000068 59.18750000000006,2.550000000000068 59.19166670000004,2.550000000000068 59.19583330000006,2.550000000000068 59.200000000000045))"
4599175,HULDRA AFEX,AFEX PROD,2007-12-19 00:00:00,2007-01-01 00:00:00,2014-09-03 00:00:00,N,N/A,N/A,Y,N/A,N/A,,2024-06-07 00:00:00,2024-01-02 00:00:00,POLYGON EMPTY
4604773,NJORD AFEX,AFEX PROD,2008-01-06 00:00:00,2007-01-01 00:00:00,,Y,N/A,N/A,Y,N/A,N/A,,2022-11-28 00:00:00,2024-01-02 00:00:00,"POLYGON ((7.216666700000076 64.25000000000006,7.225000000000023 64.25000000000006,7.233333400000049 64.25000000000006,7.241666700000053 64.25000000000006,7.250000000000057 64.25000000000006,7.250000000000057 64.25416670000004,7.250000000000057 64.25833330000006,7.250000000000057 64.26250000000005,7.250000000000057 64.26666670000003,7.250000000000057 64.27083330000005,7.250000000000057 64.27500000000003,7.250000000000057 64.27916670000008,7.250000000000057 64.28333330000004,7.250000000000057 64.28750000000008,7.250000000000057 64.29166670000006,7.250000000000057 64.29583330000008,7.250000000000057 64.30000000000007,7.241666700000053 64.30000000000007,7.233333300000027 64.30000000000007,7.223333300000036 64.30000000000007,7.213333300000045 64.30000000000007,7.203333300000054 64.30000000000007,7.193333300000063 64.30000000000007,7.183333300000072 64.30000000000007,7.183333300000072 64.30416670000005,7.183333300000072 64.30833340000004,7.183333300000072 64.31250000000006,7.183333300000072 64.31666670000004,7.173333300000024 64.31666670000004,7.163333300000033 64.31666670000004,7.1533333000000425 64.31666670000004,7.143333300000052 64.31666670000004,7.133333300000061 64.31666670000004,7.12333330000007 64.31666670000004,7.113333300000022 64.31666670000004,7.103333300000031 64.31666670000004,7.09333330000004 64.31666670000004,7.083333300000049 64.31666670000004,7.083333300000049 64.31250000000006,7.083333300000049 64.30833340000004,7.083333300000049 64.30416670000005,7.083333300000049 64.30000000000007,7.0750000000000455 64.30000000000007,7.066666700000042 64.30000000000007,7.066666700000042 64.29583330000008,7.066666700000042 64.29166670000006,7.066666700000042 64.28750000000008,7.066666700000042 64.28333330000004,7.058333400000038 64.28333330000004,7.050000000000068 64.28333330000004,7.050000000000068 64.27916660000005,7.050000000000068 64.27500000000003,7.050000000000068 64.27083340000007,7.050000000000068 64.26666670000003,7.060000000000059 64.26666670000003,7.07000000000005 64.26666670000003,7.080000000000041 64.26666670000003,7.090000000000032 64.26666670000003,7.100000000000023 64.26666670000003,7.100000000000023 64.26250000000005,7.100000000000023 64.25833340000008,7.100000000000023 64.25416670000004,7.100000000000023 64.25000000000006,7.108333300000027 64.25000000000006,7.116666700000053 64.25000000000006,7.125000000000057 64.25000000000006,7.133333300000061 64.25000000000006,7.133333300000061 64.24583330000007,7.133333300000061 64.24166670000005,7.133333300000061 64.23750000000007,7.133333300000061 64.23333330000008,7.143333300000052 64.23333330000008,7.1533333000000425 64.23333330000008,7.163333300000033 64.23333330000008,7.173333300000024 64.23333330000008,7.183333300000072 64.23333330000008,7.191666700000042 64.23333330000008,7.2000000000000455 64.23333330000008,7.208333400000072 64.23333330000008,7.216666700000076 64.23333330000008,7.216666700000076 64.23750000000007,7.216666700000076 64.24166670000005,7.216666700000076 64.24583330000007,7.216666700000076 64.25000000000006))"
4607247,HEIDRUN AFEX,AFEX PROD,2008-01-04 00:00:00,2007-01-01 00:00:00,,Y,N/A,N/A,Y,N/A,N/A,,2024-10-30 00:00:00,2024-10-30 00:00:00,"POLYGON ((7.383333300000061 65.36666670000005,7.39166670000003 65.36666670000005,7.400000000000034 65.36666670000005,7.4083334000000605 65.36666670000005,7.416666700000064 65.36666670000005,7.416666700000064 65.37083340000004,7.416666700000064 65.37500000000006,7.416666700000064 65.37916670000004,7.416666700000064 65.38333330000006,7.425000000000068 65.38333330000006,7.433333300000072 65.38333330000006,7.433333300000072 65.38750000000005,7.433333300000072 65.39166670000003,7.433333300000072 65.39583330000005,7.433333300000072 65.40000000000003,7.423333300000024 65.40000000000003,7.413333300000033 65.40000000000003,7.4033333000000425 65.40000000000003,7.393333300000052 65.40000000000003,7.383333300000061 65.40000000000003,7.37333330000007 65.40000000000003,7.363333300000022 65.40000000000003,7.353333300000031 65.40000000000003,7.34333330000004 65.40000000000003,7.333333300000049 65.40000000000003,7.3250000000000455 65.40000000000003,7.316666700000042 65.40000000000003,7.308333300000072 65.40000000000003,7.300000000000068 65.40000000000003,7.300000000000068 65.39583330000005,7.300000000000068 65.39166670000003,7.300000000000068 65.38750000000005,7.300000000000068 65.38333330000006,7.291666700000064 65.38333330000006,7.283333300000038 65.38333330000006,7.283333300000038 65.37916670000004,7.283333300000038 65.37500000000006,7.283333300000038 65.37083340000004,7.283333300000038 65.36666670000005,7.275000000000034 65.36666670000005,7.26666670000003 65.36666670000005,7.26666670000003 65.36250000000007,7.26666670000003 65.35833340000005,7.26666670000003 65.35416670000006,7.26666670000003 65.35000000000008,7.258333400000026 65.35000000000008,7.250000000000057 65.35000000000008,7.250000000000057 65.34583330000004,7.250000000000057 65.34166670000008,7.250000000000057 65.33750000000003,7.250000000000057 65.33333330000005,7.241666700000053 65.33333330000005,7.233333300000027 65.33333330000005,7.233333300000027 65.32916670000003,7.233333300000027 65.32500000000005,7.233333300000027 65.32083340000008,7.233333300000027 65.31666670000004,7.241666700000053 65.31666670000004,7.250000000000057 65.31666670000004,7.250000000000057 65.31250000000006,7.250000000000057 65.30833340000004,7.250000000000057 65.30416670000005,7.250000000000057 65.30000000000007,7.258333300000061 65.30000000000007,7.26666670000003 65.30000000000007,7.275000000000034 65.30000000000007,7.283333300000038 65.30000000000007,7.283333300000038 65.29583330000008,7.283333300000038 65.29166670000006,7.283333300000038 65.28750000000008,7.283333300000038 65.28333330000004,7.291666700000064 65.28333330000004,7.300000000000068 65.28333330000004,7.300000000000068 65.27916660000005,7.300000000000068 65.27500000000003,7.300000000000068 65.27083340000007,7.300000000000068 65.26666670000003,7.308333300000072 65.26666670000003,7.316666700000042 65.26666670000003,7.3250000000000455 65.26666670000003,7.333333300000049 65.26666670000003,7.333333300000049 65.27083340000007,7.333333300000049 65.27500000000003,7.333333300000049 65.27916660000005,7.333333300000049 65.28333330000004,7.341666700000076 65.28333330000004,7.350000000000023 65.28333330000004,7.358333400000049 65.28333330000004,7.366666700000053 65.28333330000004,7.366666700000053 65.28750000000008,7.366666700000053 65.29166670000006,7.366666700000053 65.29583330000008,7.366666700000053 65.30000000000007,7.375000000000057 65.30000000000007,7.383333300000061 65.30000000000007,7.383333300000061 65.30444440000008,7.383333300000061 65.30888890000006,7.383333300000061 65.31333330000007,7.383333300000061 65.31777780000004,7.383333300000061 65.32222220000006,7.383333300000061 65.32666670000003,7.383333300000061 65.33111110000004,7.383333300000061 65.33555560000008,7.383333300000061 65.34000000000003,7.383333300000061 65.34444450000007,7.383333300000061 65.34888890000008,7.383333300000061 65.35333340000005,7.383333300000061 65.35777780000006,7.383333300000061 65.36222230000004,7.383333300000061 65.36666670000005))"
4629082,MIKKEL AFEX,AFEX PROD,2008-01-05 00:00:00,2007-01-01 00:00:00,,Y,N/A,N/A,Y,N/A,N/A,,2022-11-28 00:00:00,2024-01-02 00:00:00,"POLYGON ((7.666666700000064 64.61666670000005,7.675000000000068 64.61666670000005,7.683333300000072 64.61666670000005,7.683333300000072 64.62083340000004,7.683333300000072 64.62500000000006,7.683333300000072 64.62916670000004,7.683333300000072 64.63333340000008,7.683333300000072 64.63750000000005,7.683333300000072 64.64166670000003,7.683333300000072 64.64583330000005,7.683333300000072 64.65000000000003,7.691666700000042 64.65000000000003,7.7000000000000455 64.65000000000003,7.7000000000000455 64.65416670000008,7.7000000000000455 64.65833330000004,7.7000000000000455 64.66250000000008,7.7000000000000455 64.66666670000006,7.7000000000000455 64.67083330000008,7.7000000000000455 64.67500000000007,7.7000000000000455 64.67916670000005,7.7000000000000455 64.68333330000007,7.7000000000000455 64.68750000000006,7.7000000000000455 64.69166670000004,7.7000000000000455 64.69583330000006,7.7000000000000455 64.70000000000005,7.708333400000072 64.70000000000005,7.716666700000076 64.70000000000005,7.716666700000076 64.70416670000003,7.716666700000076 64.70833340000007,7.716666700000076 64.71250000000003,7.716666700000076 64.71666670000008,7.708333400000072 64.71666670000008,7.7000000000000455 64.71666670000008,7.7000000000000455 64.72083340000006,7.7000000000000455 64.72500000000008,7.7000000000000455 64.72916670000006,7.7000000000000455 64.73333330000008,7.691666700000042 64.73333330000008,7.683333300000072 64.73333330000008,7.683333300000072 64.73750000000007,7.683333300000072 64.74166670000005,7.683333300000072 64.74583330000007,7.683333300000072 64.75000000000006,7.675000000000068 64.75000000000006,7.666666700000064 64.75000000000006,7.6583334000000605 64.75000000000006,7.650000000000034 64.75000000000006,7.650000000000034 64.74555560000005,7.650000000000034 64.74111110000007,7.650000000000034 64.73666670000006,7.650000000000034 64.73222220000008,7.650000000000034 64.72777780000007,7.650000000000034 64.72333330000004,7.650000000000034 64.71888890000008,7.650000000000034 64.71444440000005,7.650000000000034 64.71000000000004,7.650000000000034 64.70555550000006,7.650000000000034 64.70111110000005,7.650000000000034 64.69666660000007,7.650000000000034 64.69222220000006,7.650000000000034 64.68777770000008,7.650000000000034 64.68333330000007,7.64166670000003 64.68333330000007,7.633333300000061 64.68333330000007,7.633333300000061 64.67916660000003,7.633333300000061 64.67500000000007,7.633333300000061 64.67083330000008,7.633333300000061 64.66666660000004,7.633333300000061 64.66250000000008,7.633333300000061 64.65833330000004,7.633333300000061 64.65416660000005,7.633333300000061 64.65000000000003,7.633333300000061 64.64583330000005,7.633333300000061 64.64166660000006,7.633333300000061 64.63750000000005,7.633333300000061 64.63333330000006,7.64166670000003 64.63333330000006,7.650000000000034 64.63333330000006,7.650000000000034 64.62916660000008,7.650000000000034 64.62500000000006,7.650000000000034 64.62083330000007,7.650000000000034 64.61666670000005,7.650000000000034 64.61250000000007,7.650000000000034 64.60833330000008,7.650000000000034 64.60416670000006,7.650000000000034 64.60000000000008,7.6583334000000605 64.60000000000008,7.666666700000064 64.60000000000008,7.666666700000064 64.60416670000006,7.666666700000064 64.60833340000005,7.666666700000064 64.61250000000007,7.666666700000064 64.61666670000005))"
4630777,GLITNE AFEX,AFEX PROD,2008-01-03 00:00:00,2007-01-01 00:00:00,2013-02-24 00:00:00,N,N/A,N/A,Y,N/A,N/A,,2024-06-07 00:00:00,2024-01-02 00:00:00,POLYGON EMPTY
4634691,ALVE AFEX,AFEX PROD,2008-01-09 00:00:00,2007-01-16 00:00:00,,Y,N/A,N/A,Y,N/A,N/A,,2022-11-28 00:00:00,2024-01-02 00:00:00,"POLYGON ((7.800000000000068 65.98333330000008,7.791666700000064 65.98333330000008,7.783333300000038 65.98333330000008,7.783333300000038 65.97916670000006,7.783333300000038 65.97500000000008,7.783333300000038 65.97083340000006,7.783333300000038 65.96666670000008,7.775000000000034 65.96666670000008,7.76666670000003 65.96666670000008,7.76666670000003 65.96250000000003,7.76666670000003 65.95833340000007,7.76666670000003 65.95416670000003,7.76666670000003 65.95000000000005,7.76666670000003 65.94583330000006,7.76666670000003 65.94166670000004,7.76666670000003 65.93750000000006,7.76666670000003 65.93333330000007,7.776666700000021 65.93333330000007,7.786666700000069 65.93333330000007,7.79666670000006 65.93333330000007,7.806666700000051 65.93333330000007,7.816666700000042 65.93333330000007,7.816666700000042 65.93750000000006,7.816666700000042 65.94166670000004,7.816666700000042 65.94583330000006,7.816666700000042 65.95000000000005,7.8266667000000325 65.95000000000005,7.836666700000023 65.95000000000005,7.846666700000071 65.95000000000005,7.856666700000062 65.95000000000005,7.866666700000053 65.95000000000005,7.866666700000053 65.95416670000003,7.866666700000053 65.95833340000007,7.866666700000053 65.96250000000003,7.866666700000053 65.96666670000008,7.875000000000057 65.96666670000008,7.883333300000061 65.96666670000008,7.883333300000061 65.97083340000006,7.883333300000061 65.97500000000008,7.883333300000061 65.97916670000006,7.883333300000061 65.98333330000008,7.89166670000003 65.98333330000008,7.900000000000034 65.98333330000008,7.900000000000034 65.98750000000007,7.900000000000034 65.99166670000005,7.900000000000034 65.99583330000007,7.900000000000034 66.00000000000006,7.890000000000043 66.00000000000006,7.880000000000052 66.00000000000006,7.870000000000061 66.00000000000006,7.8600000000000705 66.00000000000006,7.850000000000023 66.00000000000006,7.840000000000032 66.00000000000006,7.830000000000041 66.00000000000006,7.82000000000005 66.00000000000006,7.810000000000059 66.00000000000006,7.800000000000068 66.00000000000006,7.800000000000068 65.99583330000007,7.800000000000068 65.99166670000005,7.800000000000068 65.98750000000007,7.800000000000068 65.98333330000008))"
