baaNpdidBsnsArrArea,baaName,baaKind,baaFactPageUrl,baaAreaPolyDateValidFrom,baaAreaPolyDateValidTo,prlName,prlFactPageUrl,baaAreaPolyNationCode2,baaAreaPolyBlockName,baaAreaPolyNo,baaAreaPolyArea,baaAreaPolyDateUpdated,baaAreaGeometryWKT
3500071,OSEBERG AREA UNIT,UNITIZED,https://factpages.sodir.no/factpages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=3500071,2022-01-01 00:00:00,,055 C,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=2424830,NO,31/4,3,5.07,2024-04-16 00:00:00,"POLYGON ((3.000000000000057 60.68333330000007,3.0083334000000264 60.68333330000007,3.0166667000000302 60.68333330000007,3.0166667000000302 60.68750000000006,3.0166667000000302 60.691666600000076,3.0166667000000302 60.69583330000006,3.0166667000000302 60.700000000000045,3.0166667000000302 60.704166600000065,3.0166667000000302 60.70833330000005,3.0166667000000302 60.712500000000034,3.0166667000000302 60.71666660000005,3.0166667000000302 60.72083330000004,3.0166667000000302 60.72500000000008,3.0166667000000302 60.72916660000004,3.0166667000000302 60.73333330000003,3.0083334000000264 60.73333330000003,3.000000000000057 60.73333330000003,3.000000000000057 60.72916660000004,3.000000000000057 60.72500000000008,3.000000000000057 60.72083330000004,3.000000000000057 60.71666660000005,3.000000000000057 60.712500000000034,3.000000000000057 60.70833330000005,3.000000000000057 60.704166600000065,3.000000000000057 60.700000000000045,3.000000000000057 60.69583330000006,3.000000000000057 60.691666600000076,3.000000000000057 60.68750000000006,3.000000000000057 60.68333330000007))"
29400473,SINDRE UNIT,UNITIZED,https://factpages.sodir.no/factpages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=29400473,2017-04-07 00:00:00,2022-12-31 00:00:00,193 FS,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=29468347,NO,34/11,2,4.5,2024-04-16 00:00:00,"POLYGON ((2.3500000000000227 61.226388900000074,2.3547588410000344 61.22976242100003,2.35951870100007 61.23313577300007,2.364279581000062 61.23650895600008,2.3690414800000212 61.239881971000045,2.37380440000004 61.24325481600005,2.378568340000072 61.24662749300006,2.3833333000000607 61.25000000000006,2.375000000000057 61.25000000000006,2.3666666000000305 61.25000000000006,2.3583333000000266 61.25000000000006,2.3500000000000227 61.25000000000006,2.3416666000000532 61.25000000000006,2.3333333000000493 61.25000000000006,2.3333333000000493 61.246111100000064,2.3333333000000493 61.24222220000007,2.3333333000000493 61.238333400000045,2.3333333000000493 61.23444450000005,2.3333333000000493 61.23055560000006,2.341667201000064 61.22847250600006,2.3500000000000227 61.226388900000074))"
41319926,EXL010,EXPLORATION LICENCE,https://factpages.sodir.no/factpages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=41319926,2024-09-20 00:00:00,,,,NO,25/3,5,97,2024-10-29 00:00:00,"POLYGON ((3.000000000000057 59.75000000000006,3.000000000000057 59.75448720000003,3.000000000000057 59.75897440000006,3.000000000000057 59.76346150000006,3.000000000000057 59.767948700000034,3.000000000000057 59.77243590000006,3.000000000000057 59.77692310000003,3.000000000000057 59.78141030000006,3.000000000000057 59.78589740000007,3.000000000000057 59.79038460000004,3.000000000000057 59.79487180000007,3.000000000000057 59.79935900000004,3.000000000000057 59.803846200000066,3.000000000000057 59.80833340000004,3.000000000000057 59.81282050000004,3.000000000000057 59.81730770000007,3.000000000000057 59.82179490000004,3.000000000000057 59.82628210000007,3.000000000000057 59.83076930000004,3.000000000000057 59.83525640000005,3.000000000000057 59.83974360000008,3.000000000000057 59.84423080000005,3.000000000000057 59.848718000000076,3.000000000000057 59.85320520000005,3.000000000000057 59.85769230000005,3.000000000000057 59.86217950000008,3.000000000000057 59.86666670000005,2.9911111000000687 59.86666670000005,2.982222200000024 59.86666670000005,2.9733333000000357 59.86666670000005,2.96444450000007 59.86666670000005,2.955555600000025 59.86666670000005,2.946666700000037 59.86666670000005,2.937777800000049 59.86666670000005,2.928888900000061 59.86666670000005,2.9200000000000728 59.86666670000005,2.911111100000028 59.86666670000005,2.9022222000000397 59.86666670000005,2.893333400000074 59.86666670000005,2.884444500000029 59.86666670000005,2.875555600000041 59.86666670000005,2.866666700000053 59.86666670000005,2.866666700000053 59.86217950000008,2.866666700000053 59.85769230000005,2.866666700000053 59.85320520000005,2.866666700000053 59.848718000000076,2.866666700000053 59.84423080000005,2.866666700000053 59.83974360000008,2.866666700000053 59.83525640000005,2.866666700000053 59.83076930000004,2.866666700000053 59.82628210000007,2.866666700000053 59.82179490000004,2.866666700000053 59.81730770000007,2.866666700000053 59.81282050000004,2.866666700000053 59.80833340000004,2.866666700000053 59.803846200000066,2.866666700000053 59.79935900000004,2.866666700000053 59.79487180000007,2.866666700000053 59.79038460000004,2.866666700000053 59.78589740000007,2.866666700000053 59.78141030000006,2.866666700000053 59.77692310000003,2.866666700000053 59.77243590000006,2.866666700000053 59.767948700000034,2.866666700000053 59.76346150000006,2.866666700000053 59.75897440000006,2.866666700000053 59.75448720000003,2.866666700000053 59.75000000000006,2.875555600000041 59.75000000000006,2.884444500000029 59.75000000000006,2.893333400000074 59.75000000000006,2.9022222000000397 59.75000000000006,2.911111100000028 59.75000000000006,2.9200000000000728 59.75000000000006,2.928888900000061 59.75000000000006,2.937777800000049 59.75000000000006,2.946666700000037 59.75000000000006,2.955555600000025 59.75000000000006,2.96444450000007 59.75000000000006,2.9733333000000357 59.75000000000006,2.982222200000024 59.75000000000006,2.9911111000000687 59.75000000000006,3.000000000000057 59.75000000000006))"
1854695,HALTENBANKEN VEST UNIT,UNITIZED,https://factpages.sodir.no/factpages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695,2001-12-18 00:00:00,2003-05-11 00:00:00,257,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=1033013,NO,6406/1,2,7.37,2024-04-16 00:00:00,"POLYGON ((6.250000000000057 64.75000000000006,6.260416700000064 64.75000000000006,6.270833300000049 64.75000000000006,6.281250000000057 64.75000000000006,6.291666700000064 64.75000000000006,6.302083300000049 64.75000000000006,6.312500000000057 64.75000000000006,6.322916600000042 64.75000000000006,6.333333300000049 64.75000000000006,6.333333300000049 64.75416670000004,6.333333300000049 64.75833340000008,6.333333300000049 64.76250000000005,6.333333300000049 64.76666670000003,6.322916600000042 64.76666670000003,6.312500000000057 64.76666670000003,6.302083300000049 64.76666670000003,6.291666700000064 64.76666670000003,6.281250000000057 64.76666670000003,6.270833300000049 64.76666670000003,6.260416700000064 64.76666670000003,6.250000000000057 64.76666670000003,6.250000000000057 64.76250000000005,6.250000000000057 64.75833340000008,6.250000000000057 64.75416670000004,6.250000000000057 64.75000000000006))"
40638,OSEBERG SØR UNIT,UNITIZED,https://factpages.sodir.no/factpages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40638,1996-12-20 00:00:00,2000-10-08 00:00:00,171,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22180,NO,30/12,4,23.15,2024-04-16 00:00:00,"POLYGON ((2.7000000000000455 60.216666700000076,2.708974400000045 60.216666700000076,2.717948700000022 60.216666700000076,2.726923100000022 60.216666700000076,2.7358974000000558 60.216666700000076,2.7448718000000554 60.216666700000076,2.753846200000055 60.216666700000076,2.762820500000032 60.216666700000076,2.7717949000000317 60.216666700000076,2.7807693000000313 60.216666700000076,2.7897436000000653 60.216666700000076,2.798718000000065 60.216666700000076,2.807692300000042 60.216666700000076,2.8166667000000416 60.216666700000076,2.8166667000000416 60.22083340000006,2.8166667000000416 60.22500000000008,2.8166667000000416 60.229166700000064,2.8166667000000416 60.23333340000005,2.8166667000000416 60.23750000000007,2.8166667000000416 60.24166670000005,2.8166667000000416 60.24583330000007,2.8166667000000416 60.25000000000006,2.807638900000029 60.25000000000006,2.7986111000000733 60.25000000000006,2.7895834000000264 60.25000000000006,2.7805556000000706 60.25000000000006,2.771527800000058 60.25000000000006,2.7625000000000455 60.25000000000006,2.753472200000033 60.25000000000006,2.7444444000000203 60.25000000000006,2.7354167000000302 60.25000000000006,2.7263889000000745 60.25000000000006,2.717361100000062 60.25000000000006,2.7083333000000493 60.25000000000006,2.7083333000000493 60.24583330000007,2.7083333000000493 60.24166670000005,2.7083333000000493 60.23750000000007,2.7083333000000493 60.23333330000003,2.7000000000000455 60.23333330000003,2.7000000000000455 60.229166700000064,2.7000000000000455 60.22500000000008,2.7000000000000455 60.22083340000006,2.7000000000000455 60.216666700000076))"
2588637,ORMEN LANGE UNIT,UNITIZED,https://factpages.sodir.no/factpages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=2588637,2003-12-03 00:00:00,,209,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22484,NO,6305/5,2,193.72,2024-04-16 00:00:00,"POLYGON ((5.333333300000049 63.50000000000006,5.34333330000004 63.50000000000006,5.353333300000031 63.50000000000006,5.363333300000022 63.50000000000006,5.37333330000007 63.50000000000006,5.383333300000061 63.50000000000006,5.393333300000052 63.50000000000006,5.4033333000000425 63.50000000000006,5.413333300000033 63.50000000000006,5.423333300000024 63.50000000000006,5.433333300000072 63.50000000000006,5.443333300000063 63.50000000000006,5.453333300000054 63.50000000000006,5.463333300000045 63.50000000000006,5.473333300000036 63.50000000000006,5.483333300000027 63.50000000000006,5.493333300000074 63.50000000000006,5.503333300000065 63.50000000000006,5.513333300000056 63.50000000000006,5.523333300000047 63.50000000000006,5.533333300000038 63.50000000000006,5.533333300000038 63.50444440000007,5.533333300000038 63.508888900000045,5.533333300000038 63.513333300000056,5.533333300000038 63.51777780000003,5.533333300000038 63.522222200000044,5.533333300000038 63.52666670000008,5.533333300000038 63.53111110000003,5.533333300000038 63.535555500000044,5.533333300000038 63.54000000000008,5.533333300000038 63.54444440000003,5.533333300000038 63.548888900000065,5.533333300000038 63.55333330000008,5.533333300000038 63.55777780000005,5.533333300000038 63.562222200000065,5.533333300000038 63.56666670000004,5.533333300000038 63.57111110000005,5.533333300000038 63.575555500000064,5.533333300000038 63.58000000000004,5.533333300000038 63.58444440000005,5.533333300000038 63.58888890000003,5.533333300000038 63.59333330000004,5.533333300000038 63.597777800000074,5.533333300000038 63.60222220000003,5.533333300000038 63.60666660000004,5.533333300000038 63.61111110000007,5.533333300000038 63.61555550000003,5.533333300000038 63.62000000000006,5.533333300000038 63.62444440000007,5.533333300000038 63.62888890000005,5.533333300000038 63.63333330000006,5.523333300000047 63.63333330000006,5.513333300000056 63.63333330000006,5.503333300000065 63.63333330000006,5.493333300000074 63.63333330000006,5.483333300000027 63.63333330000006,5.483333300000027 63.637500000000045,5.483333300000027 63.64166670000003,5.483333300000027 63.64583330000005,5.483333300000027 63.650000000000034,5.483333300000027 63.654166700000076,5.483333300000027 63.65833340000006,5.483333300000027 63.66250000000008,5.483333300000027 63.666666700000064,5.473333300000036 63.666666700000064,5.463333300000045 63.666666700000064,5.453333300000054 63.666666700000064,5.443333300000063 63.666666700000064,5.433333300000072 63.666666700000064,5.433333300000072 63.67083340000005,5.433333300000072 63.67500000000007,5.433333300000072 63.67916670000005,5.433333300000072 63.68333340000004,5.433333300000072 63.68750000000006,5.433333300000072 63.69166670000004,5.433333300000072 63.69583330000006,5.433333300000072 63.700000000000045,5.423333300000024 63.700000000000045,5.413333300000033 63.700000000000045,5.4033333000000425 63.700000000000045,5.393333300000052 63.700000000000045,5.383333300000061 63.700000000000045,5.37333330000007 63.700000000000045,5.363333300000022 63.700000000000045,5.353333300000031 63.700000000000045,5.34333330000004 63.700000000000045,5.333333300000049 63.700000000000045,5.333333300000049 63.695555600000034,5.333333300000049 63.69111110000006,5.333333300000049 63.686666700000046,5.333333300000049 63.68222220000007,5.333333300000049 63.67777780000006,5.333333300000049 63.67333330000008,5.333333300000049 63.66888890000007,5.333333300000049 63.664444400000036,5.333333300000049 63.66000000000008,5.333333300000049 63.65555560000007,5.333333300000049 63.65111110000004,5.333333300000049 63.64666670000008,5.333333300000049 63.64222220000005,5.333333300000049 63.63777780000004,5.333333300000049 63.63333330000006,5.333333300000049 63.62888890000005,5.333333300000049 63.62444440000007,5.333333300000049 63.62000000000006,5.333333300000049 63.61555560000005,5.333333300000049 63.61111110000007,5.333333300000049 63.60666670000006,5.333333300000049 63.60222220000003,5.333333300000049 63.597777800000074,5.333333300000049 63.59333330000004,5.333333300000049 63.58888890000003,5.333333300000049 63.58444440000005,5.333333300000049 63.58000000000004,5.333333300000049 63.57555560000003,5.333333300000049 63.57111110000005,5.333333300000049 63.56666670000004,5.333333300000049 63.562222200000065,5.333333300000049 63.55777780000005,5.333333300000049 63.55333330000008,5.333333300000049 63.548888900000065,5.333333300000049 63.54444440000003,5.333333300000049 63.54000000000008,5.333333300000049 63.535555600000066,5.333333300000049 63.53111110000003,5.333333300000049 63.52666670000008,5.333333300000049 63.522222200000044,5.333333300000049 63.51777780000003,5.333333300000049 63.513333300000056,5.333333300000049 63.508888900000045,5.333333300000049 63.50444440000007,5.333333300000049 63.50000000000006))"
40564,ÅSGARD UNIT,UNITIZED,https://factpages.sodir.no/factpages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40564,2023-08-11 00:00:00,,134 E,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=38723939,NO,6406/2,10,8.77,2024-04-16 00:00:00,"POLYGON ((6.566666700000042 64.96666670000008,6.5766667000000325 64.96666670000008,6.586666700000023 64.96666670000008,6.596666700000071 64.96666670000008,6.606666700000062 64.96666670000008,6.616666700000053 64.96666670000008,6.616666700000053 64.97083340000006,6.616666700000053 64.97500000000008,6.616666700000053 64.97916670000006,6.616666700000053 64.98333340000005,6.616666700000053 64.98750000000007,6.616666700000053 64.99166670000005,6.616666700000053 64.99583330000007,6.616666700000053 65.00000000000006,6.606666700000062 65.00000000000006,6.596666700000071 65.00000000000006,6.586666700000023 65.00000000000006,6.5766667000000325 65.00000000000006,6.566666700000042 65.00000000000006,6.566666700000042 64.99583330000007,6.566666700000042 64.99166670000005,6.566666700000042 64.98750000000007,6.566666700000042 64.98333340000005,6.566666700000042 64.97916670000006,6.566666700000042 64.97500000000008,6.566666700000042 64.97083340000006,6.566666700000042 64.96666670000008))"
1333943,SNØHVIT UNIT,UNITIZED,https://factpages.sodir.no/factpages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1333943,2019-01-01 00:00:00,2023-09-21 00:00:00,110,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21684,NO,7121/5,4,28.41,2024-04-16 00:00:00,"POLYGON ((21.550000000000068 71.61666670000005,21.53645830000005 71.61666670000005,21.522916700000053 71.61666670000005,21.509375000000034 71.61666670000005,21.495833300000072 71.61666670000005,21.482291700000076 71.61666670000005,21.468750000000057 71.61666670000005,21.455208300000038 71.61666670000005,21.44166670000004 71.61666670000005,21.428125000000023 71.61666670000005,21.41458330000006 71.61666670000005,21.401041600000042 71.61666670000005,21.387500000000045 71.61666670000005,21.373958300000027 71.61666670000005,21.360416600000065 71.61666670000005,21.346875000000068 71.61666670000005,21.33333330000005 71.61666670000005,21.33333330000005 71.61250000000007,21.33333330000005 71.60833340000005,21.33333330000005 71.60416670000006,21.33333330000005 71.60000000000008,21.33333330000005 71.59583330000004,21.33333330000005 71.59166670000008,21.33333330000005 71.58750000000003,21.33333330000005 71.58333330000005,21.346875000000068 71.58333330000005,21.360416600000065 71.58333330000005,21.373958300000027 71.58333330000005,21.387500000000045 71.58333330000005,21.401041600000042 71.58333330000005,21.41458330000006 71.58333330000005,21.428125000000023 71.58333330000005,21.44166670000004 71.58333330000005,21.455208300000038 71.58333330000005,21.468750000000057 71.58333330000005,21.482291700000076 71.58333330000005,21.495833300000072 71.58333330000005,21.509375000000034 71.58333330000005,21.522916700000053 71.58333330000005,21.53645830000005 71.58333330000005,21.550000000000068 71.58333330000005,21.550000000000068 71.58750000000003,21.550000000000068 71.59166670000008,21.550000000000068 71.59583330000004,21.550000000000068 71.60000000000008,21.550000000000068 71.60416670000006,21.550000000000068 71.60833340000005,21.550000000000068 71.61250000000007,21.550000000000068 71.61666670000005))"
3812119,MARTIN LINGE UNIT,UNITIZED,https://factpages.sodir.no/factpages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=3812119,2005-09-07 00:00:00,2006-01-05 00:00:00,040,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21108,NO,30/7,2,30.64,2024-04-16 00:00:00,"POLYGON ((2.000000000000057 60.450000000000045,2.0090909000000465 60.450000000000045,2.018181800000036 60.450000000000045,2.027272700000026 60.450000000000045,2.0363636000000724 60.450000000000045,2.045454500000062 60.450000000000045,2.0545455000000743 60.450000000000045,2.063636400000064 60.450000000000045,2.0727273000000537 60.450000000000045,2.0818182000000434 60.450000000000045,2.090909100000033 60.450000000000045,2.1000000000000227 60.450000000000045,2.1000000000000227 60.45416670000003,2.1000000000000227 60.45833330000005,2.1000000000000227 60.462500000000034,2.1000000000000227 60.466666700000076,2.1000000000000227 60.47083330000004,2.1000000000000227 60.47500000000008,2.1000000000000227 60.479166700000064,2.1000000000000227 60.48333330000003,2.1000000000000227 60.48750000000007,2.1000000000000227 60.49166670000005,2.1000000000000227 60.49583330000007,2.1000000000000227 60.50000000000006,2.090909100000033 60.50000000000006,2.0818182000000434 60.50000000000006,2.0727273000000537 60.50000000000006,2.063636400000064 60.50000000000006,2.0545455000000743 60.50000000000006,2.045454500000062 60.50000000000006,2.0363636000000724 60.50000000000006,2.027272700000026 60.50000000000006,2.018181800000036 60.50000000000006,2.0090909000000465 60.50000000000006,2.000000000000057 60.50000000000006,2.000000000000057 60.49583330000007,2.000000000000057 60.49166670000005,2.000000000000057 60.48750000000007,2.000000000000057 60.48333330000003,2.000000000000057 60.479166700000064,2.000000000000057 60.47500000000008,2.000000000000057 60.47083330000004,2.000000000000057 60.466666700000076,2.000000000000057 60.462500000000034,2.000000000000057 60.45833330000005,2.000000000000057 60.45416670000003,2.000000000000057 60.450000000000045))"
41313,ØST FRIGG UNIT,UNITIZED,https://factpages.sodir.no/factpages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=41313,1987-12-01 00:00:00,1996-12-31 00:00:00,112,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21700,NO,25/2,3,1.73,2024-04-16 00:00:00,"POLYGON ((2.400000000000034 59.88333330000006,2.4083334000000605 59.88333330000006,2.4166667000000643 59.88333330000006,2.4166667000000643 59.887500000000045,2.4166667000000643 59.89166670000003,2.4166667000000643 59.89583330000005,2.4166667000000643 59.900000000000034,2.4083334000000605 59.900000000000034,2.400000000000034 59.900000000000034,2.400000000000034 59.89583330000005,2.400000000000034 59.89166670000003,2.400000000000034 59.887500000000045,2.400000000000034 59.88333330000006))"
