afxNpdidAfexArea,afxName,afxKind,afxFactPageUrl,afxAreaPolyDateValidFrom,afxAreaPolyDateValidTo,prlName,prlFactPageUrl,afxAreaPolyNationCode2,blcName,afxAreaPolyNo,blcNpdidBlock,afxAreaPolyArea,prlNpdidLicence,afxAreaPolyDateUpdated,afxAreaPolyHstPK,afxAreaGeometryWKT
31141066,PL 554 og 554 B AFEX,AFEX GEN GG,N/A,2015-02-19 00:00:00,2015-12-31 00:00:00,554,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=17654471,NO,34/6,1,3669,143,17654471,2024-01-02 00:00:00,0056D57E-D30C-4C02-BE52-C04E24F31290,"POLYGON ((2.6666667000000643 61.50000000000006,2.675641100000064 61.50000000000006,2.684615400000041 61.50000000000006,2.6935898000000407 61.50000000000006,2.7025641000000746 61.50000000000006,2.7115385000000742 61.50000000000006,2.7205128000000514 61.50000000000006,2.729487200000051 61.50000000000006,2.738461500000028 61.50000000000006,2.7474359000000277 61.50000000000006,2.7564102000000616 61.50000000000006,2.7653846000000613 61.50000000000006,2.7743589000000384 61.50000000000006,2.783333300000038 61.50000000000006,2.783333300000038 61.50438600000007,2.783333300000038 61.508771900000056,2.783333300000038 61.51315790000007,2.783333300000038 61.51754390000008,2.783333300000038 61.521929800000066,2.783333300000038 61.52631580000008,2.783333300000038 61.530701700000066,2.783333300000038 61.535087700000076,2.783333300000038 61.53947370000003,2.783333300000038 61.543859600000076,2.783333300000038 61.54824560000003,2.783333300000038 61.55263160000004,2.783333300000038 61.55701750000003,2.783333300000038 61.56140350000004,2.783333300000038 61.56578940000003,2.783333300000038 61.57017540000004,2.783333300000038 61.57456140000005,2.783333300000038 61.57894730000004,2.783333300000038 61.58333330000005,2.7925926000000345 61.58333330000005,2.8018518000000654 61.58333330000005,2.811111100000062 61.58333330000005,2.8203704000000585 61.58333330000005,2.8296296000000325 61.58333330000005,2.838888900000029 61.58333330000005,2.8481482000000256 61.58333330000005,2.8574074000000564 61.58333330000005,2.866666700000053 61.58333330000005,2.866666700000053 61.58771930000006,2.866666700000053 61.59210520000005,2.866666700000053 61.59649120000006,2.866666700000053 61.60087720000007,2.866666700000053 61.60526310000006,2.866666700000053 61.60964910000007,2.866666700000053 61.61403510000008,2.866666700000053 61.61842100000007,2.866666700000053 61.62280700000008,2.866666700000053 61.627193000000034,2.866666700000053 61.631579000000045,2.866666700000053 61.63596490000003,2.866666700000053 61.640350900000044,2.866666700000053 61.644736900000055,2.866666700000053 61.64912280000004,2.866666700000053 61.653508800000054,2.866666700000053 61.657894800000065,2.866666700000053 61.66228070000005,2.866666700000053 61.666666700000064,2.858333400000049 61.666666700000064,2.8500000000000227 61.666666700000064,2.8500000000000227 61.66250000000008,2.8500000000000227 61.65833340000006,2.8500000000000227 61.654166700000076,2.8500000000000227 61.650000000000034,2.8500000000000227 61.64583330000005,2.8500000000000227 61.64166670000003,2.8500000000000227 61.637500000000045,2.8500000000000227 61.63333330000006,2.8416667000000757 61.63333330000006,2.8333333000000493 61.63333330000006,2.8333333000000493 61.62916670000004,2.8333333000000493 61.62500000000006,2.8333333000000493 61.62083340000004,2.8333333000000493 61.61666670000005,2.8250000000000455 61.61666670000005,2.8166667000000416 61.61666670000005,2.808333300000072 61.61666670000005,2.800000000000068 61.61666670000005,2.800000000000068 61.62083340000004,2.800000000000068 61.62500000000006,2.800000000000068 61.62916670000004,2.800000000000068 61.63333340000008,2.800000000000068 61.637500000000045,2.800000000000068 61.64166670000003,2.800000000000068 61.64583340000007,2.800000000000068 61.650000000000034,2.800000000000068 61.654166700000076,2.800000000000068 61.65833340000006,2.800000000000068 61.66250000000008,2.800000000000068 61.666666700000064,2.7911111000000233 61.666666700000064,2.782222200000035 61.666666700000064,2.773333300000047 61.666666700000064,2.7644445000000246 61.666666700000064,2.7555556000000365 61.666666700000064,2.7466667000000484 61.666666700000064,2.7377778000000603 61.666666700000064,2.7288889000000722 61.666666700000064,2.7200000000000273 61.666666700000064,2.711111100000039 61.666666700000064,2.702222200000051 61.666666700000064,2.6933334000000286 61.666666700000064,2.6844445000000405 61.666666700000064,2.6755556000000524 61.666666700000064,2.6666667000000643 61.666666700000064,2.6666667000000643 61.66228070000005,2.6666667000000643 61.657894800000065,2.6666667000000643 61.653508800000054,2.6666667000000643 61.64912280000004,2.6666667000000643 61.644736900000055,2.6666667000000643 61.640350900000044,2.6666667000000643 61.63596490000003,2.6666667000000643 61.631579000000045,2.6666667000000643 61.627193000000034,2.6666667000000643 61.62280700000008,2.6666667000000643 61.618421100000035,2.6666667000000643 61.61403510000008,2.6666667000000643 61.60964910000007,2.6666667000000643 61.60526320000008,2.6666667000000643 61.60087720000007,2.6666667000000643 61.59649120000006,2.6666667000000643 61.59210530000007,2.6666667000000643 61.58771930000006,2.6666667000000643 61.58333340000007,2.6666667000000643 61.57894740000006,2.6666667000000643 61.57456140000005,2.6666667000000643 61.57017550000006,2.6666667000000643 61.56578950000005,2.6666667000000643 61.56140350000004,2.6666667000000643 61.55701760000005,2.6666667000000643 61.55263160000004,2.6666667000000643 61.54824560000003,2.6666667000000643 61.54385970000004,2.6666667000000643 61.53947370000003,2.6666667000000643 61.535087700000076,2.6666667000000643 61.53070180000003,2.6666667000000643 61.52631580000008,2.6666667000000643 61.521929800000066,2.6666667000000643 61.51754390000008,2.6666667000000643 61.51315790000007,2.6666667000000643 61.508771900000056,2.6666667000000643 61.50438600000007,2.6666667000000643 61.50000000000006))"
21569275,BRAGE AFEX,AFEX PROD,N/A,2011-07-08 00:00:00,2012-12-12 00:00:00,053,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21220,NO,30/6,4,3628,8,21220,2024-01-02 00:00:00,00CBF907-3F6E-41B0-9ED8-7C31D1F796A7,"POLYGON ((3.000000000000057 60.63333330000006,2.991666700000053 60.63333330000006,2.9833333000000266 60.63333330000006,2.9833333000000266 60.62916670000004,2.9833333000000266 60.62500000000006,2.9833333000000266 60.62083340000004,2.9833333000000266 60.61666670000005,2.9750000000000227 60.61666670000005,2.9666667000000757 60.61666670000005,2.9666667000000757 60.61250000000007,2.9666667000000757 60.60833340000005,2.9666667000000757 60.604166700000064,2.9666667000000757 60.60000000000008,2.9666667000000757 60.59583330000004,2.9666667000000757 60.591666700000076,2.9666667000000757 60.587500000000034,2.9666667000000757 60.58333330000005,2.9750000000000227 60.58333330000005,2.9833333000000266 60.58333330000005,2.991666700000053 60.58333330000005,3.000000000000057 60.58333330000005,3.000000000000057 60.587500000000034,3.000000000000057 60.591666700000076,3.000000000000057 60.59583330000004,3.000000000000057 60.60000000000008,3.000000000000057 60.604166700000064,3.000000000000057 60.60833340000005,3.000000000000057 60.61250000000007,3.000000000000057 60.61666670000005,3.000000000000057 60.62083340000004,3.000000000000057 60.62500000000006,3.000000000000057 60.62916670000004,3.000000000000057 60.63333330000006))"
5465835,VISUND AFEX,AFEX PROD,N/A,2007-01-01 00:00:00,2014-04-23 00:00:00,120,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21772,NO,34/7,1,3670,3,21772,2024-01-02 00:00:00,00EBBB7B-3DB8-4E38-82B5-75E94CF4675F,"POLYGON ((2.3333333000000493 61.30000000000007,2.3333333000000493 61.30416670000005,2.3333333000000493 61.30833330000007,2.3333333000000493 61.31250000000006,2.3333333000000493 61.31666670000004,2.3333333000000493 61.32083330000006,2.3333333000000493 61.325000000000045,2.3333333000000493 61.329166600000065,2.3333333000000493 61.33333330000005,2.3250000000000455 61.33333330000005,2.3166667000000416 61.33333330000005,2.3166667000000416 61.329166600000065,2.3166667000000416 61.325000000000045,2.3166667000000416 61.32083330000006,2.3166667000000416 61.31666670000004,2.3166667000000416 61.31250000000006,2.3166667000000416 61.30833330000007,2.3166667000000416 61.30416670000005,2.3166667000000416 61.30000000000007,2.3250000000000455 61.30000000000007,2.3333333000000493 61.30000000000007))"
22426341,VALEMON REV AFEX,AFEX PROD,N/A,2016-05-23 00:00:00,2016-12-31 00:00:00,050 HS,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21668287,NO,34/10,7,3673,2,21668287,2024-01-02 00:00:00,0102A172-4E00-42AE-BD39-7EE1DC8490E7,"POLYGON ((2.0833333000000493 61.01666670000003,2.0833333000000493 61.02083340000007,2.0833333000000493 61.025000000000034,2.0833333000000493 61.029166700000076,2.0833333000000493 61.03333330000004,2.0750000000000455 61.03333330000004,2.0666667000000416 61.03333330000004,2.0666667000000416 61.029166700000076,2.0666667000000416 61.025000000000034,2.0666667000000416 61.02083340000007,2.0666667000000416 61.01666670000003,2.0750000000000455 61.01666670000003,2.0833333000000493 61.01666670000003))"
30348343,ANTARES 248 F AFEX,AFEX WELL,N/A,2016-01-01 00:00:00,2017-12-31 00:00:00,248 F,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=27160027,NO,35/11,1,3686,23,27160027,2024-01-02 00:00:00,010CC50C-9887-45A7-A173-FEEA970387ED,"POLYGON ((3.3833333000000607 61.216666700000076,3.3833333000000607 61.212500000000034,3.3833333000000607 61.20833340000007,3.3833333000000607 61.20416670000003,3.3833333000000607 61.200000000000045,3.3833333000000607 61.19583330000006,3.3833333000000607 61.19166670000004,3.3833333000000607 61.18750000000006,3.3833333000000607 61.18333330000007,3.3916666000000646 61.18333330000007,3.400000000000034 61.18333330000007,3.408333300000038 61.18333330000007,3.4166667000000643 61.18333330000007,3.425000000000068 61.18333330000007,3.433333300000072 61.18333330000007,3.4416667000000416 61.18333330000007,3.4500000000000455 61.18333330000007,3.4500000000000455 61.18750000000006,3.4500000000000455 61.19166670000004,3.4500000000000455 61.19583330000006,3.4500000000000455 61.200000000000045,3.458333400000072 61.200000000000045,3.4666667000000757 61.200000000000045,3.4666667000000757 61.20416670000003,3.4666667000000757 61.20833340000007,3.4666667000000757 61.212500000000034,3.4666667000000757 61.216666700000076,3.458333400000072 61.216666700000076,3.4500000000000455 61.216666700000076,3.4500000000000455 61.22083340000006,3.4500000000000455 61.22500000000008,3.4500000000000455 61.229166700000064,3.4500000000000455 61.23333330000003,3.440740700000049 61.23333330000003,3.431481500000075 61.23333330000003,3.4222222000000215 61.23333330000003,3.4129630000000475 61.23333330000003,3.403703700000051 61.23333330000003,3.39444450000002 61.23333330000003,3.3851852000000235 61.23333330000003,3.3759260000000495 61.23333330000003,3.366666700000053 61.23333330000003,3.366666700000053 61.229166700000064,3.366666700000053 61.22500000000008,3.366666700000053 61.22083340000006,3.366666700000053 61.216666700000076,3.375000000000057 61.216666700000076,3.3833333000000607 61.216666700000076))"
4703762,ENOCH AFEX,AFEX PROD,N/A,2007-01-01 00:00:00,2014-12-31 00:00:00,048 D,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=3489553,NO,15/5,1,3496,7,3489553,2024-01-02 00:00:00,0157AC89-662E-4BC1-B2CA-AC6581620889,"POLYGON ((1.5666667000000416 58.63333330000006,1.5666667000000416 58.637500000000045,1.5666667000000416 58.64166670000003,1.5666667000000416 58.64583330000005,1.5666667000000416 58.650000000000034,1.5750000000000455 58.650000000000034,1.5833333000000493 58.650000000000034,1.5833333000000493 58.654166700000076,1.5833333000000493 58.65833340000006,1.5833333000000493 58.66250000000008,1.5833333000000493 58.666666700000064,1.5756666000000337 58.666666700000064,1.5680000000000405 58.666666700000064,1.5603333000000248 58.666666700000064,1.5526667000000316 58.666666700000064,1.5450000000000728 58.666666700000064,1.5439227140000753 58.662500066000064,1.542845686000021 58.658333420000076,1.5417689130000554 58.654166763000035,1.5406923980000329 58.65000009400006,1.5396161390000316 58.64583341300005,1.5385401360000515 58.641666720000046,1.537464390000025 58.63750001600005,1.53638890000002 58.63333330000006,1.543958400000065 58.63333330000006,1.5515278000000308 58.63333330000006,1.5590973000000758 58.63333330000006,1.5666667000000416 58.63333330000006))"
26226742,PEON AFEX,AFEX GEN NO PROD,N/A,2016-01-01 00:00:00,2016-12-31 00:00:00,318 C,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=5463114,NO,6203/10,1,3733,15,5463114,2024-01-02 00:00:00,016662DC-34C7-408C-B2C0-D41BA497F187,"POLYGON ((3.3166667000000416 62.01666670000003,3.3083334000000377 62.01666670000003,3.300000000000068 62.01666670000003,3.300000000000068 62.02083340000007,3.300000000000068 62.025000000000034,3.300000000000068 62.029166700000076,3.300000000000068 62.03333330000004,3.2904762000000574 62.03333330000004,3.2809524000000465 62.03333330000004,3.2714286000000357 62.03333330000004,3.261904700000059 62.03333330000004,3.2523809000000483 62.03333330000004,3.2428571000000375 62.03333330000004,3.2333333000000266 62.03333330000004,3.2333333000000266 62.02916660000005,3.2333333000000266 62.025000000000034,3.2333333000000266 62.02083330000005,3.2333333000000266 62.01666670000003,3.2333333000000266 62.012500000000045,3.2333333000000266 62.00833330000006,3.2333333000000266 62.00416670000004,3.2333333000000266 62.00000000000006,3.242592600000023 62.00000000000006,3.251851800000054 62.00000000000006,3.2611111000000506 62.00000000000006,3.270370400000047 62.00000000000006,3.279629600000021 62.00000000000006,3.2888889000000745 62.00000000000006,3.298148200000071 62.00000000000006,3.307407400000045 62.00000000000006,3.3166667000000416 62.00000000000006,3.3166667000000416 62.00416670000004,3.3166667000000416 62.00833340000008,3.3166667000000416 62.012500000000045,3.3166667000000416 62.01666670000003))"
28161094,MARIA AFEX,AFEX PROD,N/A,2015-05-05 00:00:00,,475 BS,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=5107669,NO,6407/1,2,3926,6,5107669,2024-01-02 00:00:00,01732C36-40CD-4239-9359-614B72952EDA,"POLYGON ((7.000000000000057 65.00000000000006,7.000000000000057 64.99583330000007,7.000000000000057 64.99166670000005,7.000000000000057 64.98750000000007,7.000000000000057 64.98333330000008,7.000000000000057 64.97916670000006,7.000000000000057 64.97500000000008,7.000000000000057 64.97083330000004,7.000000000000057 64.96666670000008,7.000000000000057 64.96250000000003,7.000000000000057 64.95833330000005,7.000000000000057 64.95416670000003,7.000000000000057 64.95000000000005,7.008333400000026 64.95000000000005,7.01666670000003 64.95000000000005,7.01666670000003 64.95416670000003,7.01666670000003 64.95833330000005,7.01666670000003 64.96250000000003,7.01666670000003 64.96666670000008,7.01666670000003 64.97083330000004,7.01666670000003 64.97500000000008,7.01666670000003 64.97916660000004,7.01666670000003 64.98333330000008,7.025000000000034 64.98333330000008,7.033333300000038 64.98333330000008,7.033333300000038 64.98750000000007,7.033333300000038 64.99166670000005,7.033333300000038 64.99583330000007,7.033333300000038 65.00000000000006,7.025000000000034 65.00000000000006,7.01666670000003 65.00000000000006,7.008333300000061 65.00000000000006,7.000000000000057 65.00000000000006))"
38666811,SKRUIS AFEX L2,AFEX GEN WELL LEVEL 2,N/A,2021-05-16 00:00:00,2022-05-15 00:00:00,532,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=5463659,NO,7220/5,1,4680,5,5463659,2024-01-02 00:00:00,01868C2B-C984-40F2-93D7-BEE11D6CACE4,"POLYGON ((20.400000000000034 72.63333330000006,20.400000000000034 72.62916660000008,20.400000000000034 72.62500000000006,20.400000000000034 72.62083330000007,20.400000000000034 72.61666670000005,20.400000000000034 72.61250000000007,20.400000000000034 72.60833330000008,20.400000000000034 72.60416670000006,20.400000000000034 72.60000000000008,20.40833340000006 72.60000000000008,20.416666700000064 72.60000000000008,20.416666700000064 72.60416670000006,20.416666700000064 72.60833330000008,20.416666700000064 72.61250000000007,20.416666700000064 72.61666670000005,20.416666700000064 72.62083330000007,20.416666700000064 72.62500000000006,20.416666700000064 72.62916670000004,20.416666700000064 72.63333330000006,20.416666700000064 72.63750000000005,20.416666700000064 72.64166670000003,20.416666700000064 72.64583330000005,20.416666700000064 72.65000000000003,20.404166700000076 72.65000000000003,20.39166670000003 72.65000000000003,20.37916670000004 72.65000000000003,20.366666700000053 72.65000000000003,20.366666700000053 72.64583330000005,20.366666700000053 72.64166670000003,20.366666700000053 72.63750000000005,20.366666700000053 72.63333330000006,20.377777800000047 72.63333330000006,20.38888890000004 72.63333330000006,20.400000000000034 72.63333330000006))"
4704988,TORDIS AFEX,AFEX PROD,N/A,2007-01-01 00:00:00,,050,https://factpages.sodir.no/factpages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21188,NO,34/10,2,3673,3,21188,2024-01-02 00:00:00,01B1243F-28D3-452D-9F85-DBD7A2F35356,"POLYGON ((2.1333333000000607 61.23333330000003,2.1333333000000607 61.23750000000007,2.1333333000000607 61.24166670000005,2.1333333000000607 61.24583330000007,2.1333333000000607 61.25000000000006,2.125000000000057 61.25000000000006,2.116666700000053 61.25000000000006,2.1083333000000266 61.25000000000006,2.1000000000000227 61.25000000000006,2.1000000000000227 61.24583330000007,2.1000000000000227 61.24166670000005,2.1000000000000227 61.23750000000007,2.1000000000000227 61.23333330000003,2.1083333000000266 61.23333330000003,2.116666700000053 61.23333330000003,2.125000000000057 61.23333330000003,2.1333333000000607 61.23333330000003))"
