wlbWellboreName,wlbNpdidWellbore,wlbWell,wlbDrillingOperator,cmpFactPageUrl,cmpNpdidCompany,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbWellType,wlbEntryDate,wlbCompletionDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbKickOffPoint,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMove,wlbProductionFacility,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbContentPlanned,wlbEntryYear,wlbCompletionYear,wlbReentry,wlbEntryPreDrillDate,wlbCompPreDrillDate,wlbReleasedDate,wlbReclassFromWellbore,wlbDateReclass,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDecDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbFactPageUrl,wlbFactMapUrl,wlbPressReleaseUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,prlNpdidProdLicenceTarget,dscNpdidDiscovery,fldNpdidField,fclNpdidFacilityDrilling,fclNpdidFacilityProducing,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbEntryDay,wlbEntryMonth,wlbCompletionDay,wlbCompletionMonth,wlbDrillPerApprovedPermitDate,wlbDrillPerEwDeg,wlbDrillPerLegalRefEnLegalNote,wlbDrillPerLegalRefNbLegalNote,wlbDrillPerNbComment,wlbDrillPerNsDeg,wlbEntryDatePlanned,wlbAliasName,wlbWdssQcDate,wlbSubSea,wlbWdssVolumeReference,wlbCoreSampleAvailable,wlbCuttingsSamplesAvailable,wlbWithCasingAndLot,wlbWithCompositeLog,wlbWithCorePhoto,wlbWithCores,wlbWithCuttings,wlbWithDocReportedByLicensee,wlbWithDst,wlbWithFormationTops,wlbWithGeochemInfo,wlbWithLog,wlbWithMud,wlbWithNpdPapers,wlbWithOilSamples,wlbWithOldWdss,wlbWithPalySlides,wlbPluggedDate,wlbWithWellboreHistory,wlbLicenceTargetName,wlbPluggedAbandonDate,wlbNpdidSiteSurvey,wlbSiteSurvey,wlbDateUpdatedMax,wlbDateUpdated,wlbPointGeometryWKT
6407/9-U-4,139,6407/9-U-4,A/S Norske Shell,https://factpages.sodir.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=562,562,,,,,OTHER,,,,45-G,,NO,,,,0,0,,,0,,,NORWEGIAN SEA,,,,,,NO,,,0,0,NO,,,,,,,0,,,,,,,0,ED50,0,0,0,,0,0,0,,0,0,0,0,0,6407,9,U,4,,,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=139,,,initial,,,,,,,0,,0,0,0,0,,,,,,,,,,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,2014-10-18 00:00:00,2024-01-02 00:00:00,POINT EMPTY
7120/6-U-1,1003,7120/6-U-1,IKU Petroleumsforskning SINTEF Gruppen,https://factpages.sodir.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=2539,2539,,,WILL NEVER BE DRILLED,,OTHER,,,,46-G,,NO,,NH84-53-101 FP. 130.5,,0,0,,,317,,,BARENTS SEA,,,,,,NO,,,0,0,NO,,,,,,,0,,,,,,,0,ED50,0,0,0,N,0,0,0,E,0,0,0,0,34,7120,6,U,1,,,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1003,,,initial,,,,,,,0,,0,0,0,0,,,,,,,,,,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,2024-01-02 00:00:00,POINT EMPTY
6407/9-U-7,1083,6407/9-U-7,A/S Norske Shell,https://factpages.sodir.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=562,562,,,,,OTHER,,,,49-G,,NO,,,,0,0,,,0,,,NORWEGIAN SEA,,,,,,NO,,,0,0,NO,,,,,,,0,,,,,,,0,ED50,0,0,0,,0,0,0,,0,0,0,0,0,6407,9,U,7,,,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1083,,,initial,,,,,,,0,,0,0,0,0,,,,,,,,,,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,2014-10-18 00:00:00,2024-01-02 00:00:00,POINT EMPTY
30/3-U-3,1086,30/3-U-3,Den norske stats oljeselskap a.s,https://factpages.sodir.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=749,749,,SOIL DRILLING,P&A,,OTHER,1987-03-09 00:00:00,1987-03-09 00:00:00,,52-G,,NO,,,,0,0,,110,0,,,NORTH SEA,,,,,,NO,,,1987,1987,NO,,,1989-03-09 00:00:00,,,,0,,,,,,,0,ED50,0,0,0,,0,0,0,,0,0,0,0,0,30,3,U,3,,,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1086,,,initial,,,,,,,0,,9,3,9,3,,,,,,,,,,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,2014-10-18 00:00:00,2024-01-02 00:00:00,POINT EMPTY
30/3-U-4,1087,30/3-U-4,Den norske stats oljeselskap a.s,https://factpages.sodir.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=749,749,,,,,OTHER,,,,53-G,,NO,,,,0,0,,,0,,,NORTH SEA,,,,,,NO,,,0,0,NO,,,,,,,0,,,,,,,0,ED50,0,0,0,,0,0,0,,0,0,0,0,0,30,3,U,4,,,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1087,,,initial,,,,,,,0,,0,0,0,0,,,,,,,,,,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,2014-10-18 00:00:00,2024-01-02 00:00:00,POINT EMPTY
30/3-U-5,1088,30/3-U-5,Den norske stats oljeselskap a.s,https://factpages.sodir.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=749,749,,,,,OTHER,,,,54-G,,NO,,,,0,0,,,0,,,NORTH SEA,,,,,,NO,,,0,0,NO,,,,,,,0,,,,,,,0,ED50,0,0,0,,0,0,0,,0,0,0,0,0,30,3,U,5,,,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1088,,,initial,,,,,,,0,,0,0,0,0,,,,,,,,,,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,2014-10-18 00:00:00,2024-01-02 00:00:00,POINT EMPTY
30/3-U-6,1089,30/3-U-6,Den norske stats oljeselskap a.s,https://factpages.sodir.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=749,749,,SOIL DRILLING,P&A,,OTHER,1995-10-05 00:00:00,1995-10-05 00:00:00,,55-G,,NO,,,,0,0,,60,0,,,NORTH SEA,,,,,,NO,,,1995,1995,NO,,,1997-10-05 00:00:00,,,,0,,,,,,,0,ED50,0,0,0,,0,0,0,,0,0,0,0,0,30,3,U,6,,,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1089,,,initial,,,,,,,0,,5,10,5,10,,,,,,,,,,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,2014-10-18 00:00:00,2024-01-02 00:00:00,POINT EMPTY
30/3-U-7,1090,30/3-U-7,Den norske stats oljeselskap a.s,https://factpages.sodir.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=749,749,,,,,OTHER,,,,56-G,,NO,,,,0,0,,,0,,,NORTH SEA,,,,,,NO,,,0,0,NO,,,,,,,0,,,,,,,0,ED50,0,0,0,,0,0,0,,0,0,0,0,0,30,3,U,7,,,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1090,,,initial,,,,,,,0,,0,0,0,0,,,,,,,,,,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,2014-10-18 00:00:00,2024-01-02 00:00:00,POINT EMPTY
30/3-U-8,1092,30/3-U-8,Den norske stats oljeselskap a.s,https://factpages.sodir.no/factpages/default.aspx?nav1=company&nav2=PageView|All&nav3=749,749,,SOIL DRILLING,P&A,,OTHER,1987-03-09 00:00:00,1987-03-10 00:00:00,,57-G,,NO,,,,0,0,,60,0,,,NORTH SEA,,,,,,NO,,,1987,1987,NO,,,1989-03-10 00:00:00,,,,0,,,,,,,0,ED50,0,0,0,,0,0,0,,0,0,0,0,0,30,3,U,8,,,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1092,,,initial,,,,,,,0,,9,3,10,3,,,,,,,,,,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,2014-10-18 00:00:00,2024-01-02 00:00:00,POINT EMPTY
6702/9-U-1,1115,6702/9-U-1,NATIONAL SCIENCE FOUNDATION,,,,,,,OTHER,,,,1-G1,,NO,,,,0,0,,,0,,,NORWEGIAN SEA,,,,,,NO,,,0,0,NO,,,,,,,0,,,,,,,0,ED50,0,0,0,,0,0,0,,0,0,0,0,0,6702,9,U,1,,,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1115,,,initial,,,,,,,0,,0,0,0,0,,,,,,,,,,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,2014-10-18 00:00:00,2024-01-02 00:00:00,POINT EMPTY
