API_WELL_NUMBER,REMARK_DATE,REMARK_TEXT
427044008700,12/23/14,FIRST REPORT - P/A - Skidded HPU South/commence RU on well. WOW. LO/RU temp piping.
427044008700,12/24/14,WOW. ND dry hole tree F/frac valve. NU adapters/risers.
427044008700,12/25/14,NU BOP'S. Skidded HPU over well. Commence RU same. WOW.
427044008700,12/26/14,"Completed RU HPU. Performed bubble test on 7"" csg/OK. Tested BOP'S to 250/1500 psi/OK. Performed accu drawdown (APM step 1)."
427044008700,12/27/14,Installed BN/FL. TIH w/CO assy to 530'MD. Circ thru csg patch to 594'MD. Circ hole clean w/10.8# CACL2. TIH to 2629'MD. Displaced well w/10.8# CACL2. POOH/LD CO assy.
427044008700,12/28/14,WOW. LD CO assy. TIH w/mill assy to 1390'MD/could not get deeper. POOH/LD mill assy/check knives/OK.
427044008700,12/29/14,"TIH w/CO assy to 2263'MD. CBU. POOH/LD assy. Waiting on tools. Circ 50 bbl of 8.6# SW down 13 3/8"" taking returns up the 13 3/8"" X 30"" annulus. Offloaded/RU tools. TIH w/mill assy to 2510'MD."
427044008700,12/30/14,"Unable to located collars. POOH to 2490'MD/circ. Cut out 7"" csg @ 2490'MD. Milled/csg fell 6' at cut out. Milled to 2491'MD. POOH/LD mill assy/check knives. TIH w/mill assy to 1271'MD."
427044008700,12/31/14,TIH to 2478'MD. Milled to 2941'MD. Pumped/circ out hi-vis sweep. POOH/LD mill assy. Waiting on equip. Circ out CACL2 out BOPS/flowpath.
427044008700,01/01/15,Waiting on equip. Performed general maintenace/housekeeping.
427044008700,01/02/15,Waiting on equip. Performed general maintenace/housekeeping. Commence testing BOP'S.
427044008700,01/03/15,"Completed testing BOP'S to 250/1500 psi. Performed drawdown test/OK. Repaired leak on HPU. TIH w/mill assy to 2491'MD/7"" stump. Obtain circ/changed out swivel."
427044008700,01/04/15,Unable to mill pass 2491'MD. Pumped/circ out 5 bbl sweep. Circ hole clean. POOH/LD mill assy. Performed mast inspection/OK. TIH w/mill assy to 2491'MD. Milled to 2494'MD.
427044008700,01/05/15,Milled to 2503'MD. Pumped vis sweeps.
