API Well Number,Operations Code,Approved Date,Submitted Date,Well Name,Well Name Bp Suffix,Well Name St Suffix,Water Depth (feet),Company Number,Company Name,Bottom Lease Number,Bottom Area,Bottom Block,Surface Lease Number,Surface Area,Surface Block
177000000600,WORKOVER,1/29/2008,1/29/2008,002,00,00,28,01482,Nippon Oil Exploration U.S.A. Limited, 00680,WC,20, 00680,WC,20
177000000600,WORKOVER,5/5/2008,5/4/2008,002,00,00,28,01482,Nippon Oil Exploration U.S.A. Limited, 00680,WC,20, 00680,WC,20
177000000600,OTHER,10/23/2008,10/22/2008,002,00,00,28,01482,Nippon Oil Exploration U.S.A. Limited, 00680,WC,20, 00680,WC,20
177000000600,ENHANCE,2/26/2009,2/25/2009,002,00,00,28,01482,Nippon Oil Exploration U.S.A. Limited, 00680,WC,20, 00680,WC,20
177000002702,ABANDON,11/8/2012,10/11/2012,A001,02,00,38,01834,Stone Energy Corporation, 00299,WC,45, 00299,WC,45
177000002702,ABANDON,5/6/2013,4/23/2013,A001,02,00,38,01834,Stone Energy Corporation, 00299,WC,45, 00299,WC,45
177000002801,ENHANCE,4/26/2012,4/26/2012,A010,00,01,35,01834,Stone Energy Corporation, 00301,WC,56, 00299,WC,45
177000002801,ABANDON,12/17/2012,12/10/2012,A010,00,01,35,01834,Stone Energy Corporation, 00301,WC,56, 00299,WC,45
177000002801,ABANDON,4/24/2013,4/10/2013,A010,00,01,35,01834,Stone Energy Corporation, 00301,WC,56, 00299,WC,45
177000002900,ABANDON,11/8/2012,10/12/2012,A003,00,00,30,01834,Stone Energy Corporation, 00299,WC,45, 00299,WC,45
177000002900,ABANDON,3/5/2013,3/5/2013,A003,00,00,30,01834,Stone Energy Corporation, 00299,WC,45, 00299,WC,45
177000002900,ABANDON,3/27/2013,3/26/2013,A003,00,00,30,01834,Stone Energy Corporation, 00299,WC,45, 00299,WC,45
177000002900,ABANDON,5/2/2013,5/2/2013,A003,00,00,30,01834,Stone Energy Corporation, 00299,WC,45, 00299,WC,45
177000002900,ABANDON,6/5/2013,6/5/2013,A003,00,00,30,01834,Stone Energy Corporation, 00299,WC,45, 00299,WC,45
177000003000,ABANDON,12/5/2012,12/4/2012,A004,00,00,30,01834,Stone Energy Corporation, 00299,WC,45, 00299,WC,45
177000003000,ABANDON,4/24/2013,4/10/2013,A004,00,00,30,01834,Stone Energy Corporation, 00299,WC,45, 00299,WC,45
177000003300,ABANDON,11/13/2012,11/6/2012,A007,00,00,38,01834,Stone Energy Corporation, 00301,WC,56, 00299,WC,45
177000003300,ABANDON,3/4/2013,2/27/2013,A007,00,00,38,01834,Stone Energy Corporation, 00301,WC,56, 00299,WC,45
