FIELD,Field 1,YEAR,DISCYR,Field 2,Orig Oil Reserves,Orig Gas Reserves,Orig BOE Reserves,Field 3,CUMOIL,CUMGAS,CUMBOE,Field 4,Oil Reserves,Gas Reserves,BOE Reserves,FCLASS
AC024,,1998,1998,,7798119,9357743,9463198,,0,0,0,,7798119,9357743,9463198,PDP
AC024,,1999,1998,,8459206,7190325,9738623,,0,0,0,,8459206,7190325,9738623,PDP
AC024,,2000,1998,,4967694,7451541,6293591,,0,0,0,,4967694,7451541,6293591,PDP
AC024,,2001,1998,,7125984,5700787,8140359,,0,0,0,,7125984,5700787,8140359,PDP
AC024,,2002,1998,,7125984,5700787,8140359,,1600948,1305359,1833218,,5525036,4395428,6307141,PDP
AC024,,2003,1998,,7125984,5344488,8076961,,4104374,3130467,4661397,,3021610,2214021,3415564,PDP
AC024,,2004,1998,,9639114,7036553,10891170,,6415958,4739432,7259273,,3223156,2297121,3631897,PDP
AC024,,2005,1998,,9639114,7036553,10891170,,7869363,5755718,8893512,,1769751,1280835,1997658,PDP
AC024,,2006,1998,,10442374,7936204,11854510,,8871740,6473620,10023630,,1570634,1462584,1830880,PDP
AC024,,2007,1998,,10832000,8069840,12267915,,9370215,6906017,10599044,,1461785,1163823,1668871,PDP
AC024,,2008,1998,,10832000,8069840,12267915,,9730589,7235128,11017978,,1101411,834712,1249937,PDP
AC024,,2009,1998,,10832000,8069840,12267915,,9942118,7375129,11254419,,889882,694711,1013496,PDP
AC024,,2010,1998,,10832000,8069840,12267915,,9968955,7404889,11286551,,863045,664951,981364,PDP
AC024,,2011,1998,,10832000,8069840,12267915,,9980770,7423406,11301661,,851230,646434,966254,PDP
AC024,,2012,1998,,12129011,7653406,13490827,,10200492,7457071,11527373,,1928519,196335,1963454,PDP
AC024,,2013,1998,,12129011,7653406,13490827,,10642406,7491445,11975403,,1486605,161961,1515424,PDP
AC024,,2014,1998,,12129011,7653406,13490827,,11073786,7563598,12419622,,1055225,89808,1071205,PDP
AC024,,2015,1998,,12129011,7859599,13527516,,11490984,7774489,12874345,,638027,85110,653171,PDP
AC024,,2016,1998,,12423779,8410898,13920380,,11867812,8163062,13320314,,555967,247836,600066,PDP
AC024,,2017,1998,,12845315,8863267,14422409,,12202525,8403079,13697735,,642790,460188,724674,PDP
AC024,,2017,1998,,12845315,8863267,14422409,,12202525,8403079,13697735,,642790,460188,724674,PDP
AC025,,1997,1997,,61995806,74394967,75233345,,0,0,0,,61995806,74394967,75233345,PDP
AC025,,1998,1997,,71009713,76095234,84549791,,0,0,0,,71009713,76095234,84549791,PDP
AC025,,1999,1997,,60277030,113583767,80487665,,0,0,0,,60277030,113583767,80487665,PDP
AC025,,2000,1997,,63717129,100660960,81628332,,953164,1306100,1185566,,62763965,99354860,80442766,PDP
AC025,,2001,1997,,52881899,71557937,65614628,,12109170,15067456,14790212,,40772729,56490481,50824416,PDP
AC025,,2002,1997,,52881899,71557937,65614628,,28053902,35040996,34288955,,24827997,36516941,31325673,PDP
AC025,,2003,1997,,54867598,72846885,67829678,,35915418,44588583,43849330,,18952180,28258302,23980348,PDP
AC025,,2004,1997,,60494992,77074465,74209310,,42371934,52270543,51672742,,18123058,24803922,22536568,PDP
AC025,,2005,1997,,61901840,78748614,75914049,,47696724,57992208,58015622,,14205116,20756406,17898427,PDP
AC025,,2006,1997,,61901840,78748614,75914049,,51749854,62492119,62869448,,10151986,16256495,13044601,PDP
AC025,,2007,1997,,61901331,73662584,75008552,,54416823,64997896,65982285,,7484508,8664688,9026267,PDP
AC025,,2008,1997,,71749270,84090144,86711929,,56836316,67180678,68790173,,14912954,16909466,17921756,PDP
AC025,,2009,1997,,71749270,84090144,86711929,,58557962,69230361,70876532,,13191308,14859783,15835398,PDP
AC025,,2010,1997,,71749270,84090144,86711929,,60523004,70896296,73138003,,11226266,13193848,13573926,PDP
AC025,,2011,1997,,71749270,84090144,86711929,,62762314,74061263,75940475,,8986956,10028881,10771454,PDP
AC025,,2012,1997,,78338700,88757747,94131893,,67071304,78370007,81016145,,11267396,10387740,13115748,PDP
AC025,,2013,1997,,106770741,121059034,128311495,,70505216,81551547,85016167,,36265525,39507487,43295328,PDP
AC025,,2014,1997,,94886556,104177401,113423460,,73435724,84295386,88434902,,21450832,19882015,24988557,PDP
AC025,,2015,1997,,94886556,104177401,113423460,,75677419,86371884,91046082,,19209137,17805517,22377379,PDP
AC025,,2016,1997,,90940903,99543103,108653198,,77405750,87898775,93046101,,13535153,11644328,15607097,PDP
AC025,,2017,1997,,89043978,97610954,106412475,,78811154,89135755,94671609,,10232824,8475199,11740866,PDP
AC025,,2017,1997,,89043978,97610954,106412475,,78811154,89135755,94671609,,10232824,8475199,11740866,PDP
AC065,,1998,1997,,432326,22480947,4432495,,0,0,0,,432326,22480947,4432495,PDN
AC065,,1999,1997,,432326,22480947,4432495,,0,0,0,,432326,22480947,4432495,PDN
