FACILITY_TYPE,VESSEL_NAME,CLASSIFICATION,LENGTH_M,WIDTH_M,DEPTH_M,MAX_OPERATING_DRAFT_M,HULL_CONSTRUCTION,DEADWEIGHT_DWT_TONNES,CONSTRUCTION_TYPE,HULL_FAB_YEAR,LATEST_UPGRADE_YEAR,MAX_OIL_PROD_MBOPD,GAS_PROCESSING_MMSCFD,TOTAL_THROUGHPUT_MBOED,STORAGE_CAPACITY_MBBLS,TOTAL_RISERS,UMBILICALS,QUARTERS_CAPACITY,MOORING_SYSTEM_TYPE,PERMANENT_OR_DISCONNECTABLE,NUMBER_OF_ANCHOR_LEGS
FPSO,ABO,DNV,269,54,20,15,DS,155612,Converted,1986,2002,40,44,40,932,8,2,66,SM,P,12
FPSO,ARMADA PERKASA,ABS,211,32,18,13,SH,58557,Converted,1975,2008,27,,27,360,3,0,87,SM,P,10
FPSO,P-33,ABS,337,55,28,22,SH,269443,Converted,1978,1998,50,,50,700,1,,,IT,,
FPSO,P-34,LR,231,26,18,13,SH,62236,Converted,1959,1997,190,,190,1800,34,,,IT,,
FPSO,P-35,ABS,336,54,28,21,SH,270000,Converted,1975,1996,100,,100,650,2,,85,IT,,
FPSO,P-37,ABS,339,54,26,21,SH,282000,Converted,1975,2000,150,16,153,1000,,,120,IT,,
FPSO,P-43,ABS,337,55,27,21,SH,311000,Converted,1975,2003,150,14,152,880,5,,36,SALM,,
FPSO,P-48,ABS,337,55,27,21,SH,311000,Converted,1973,2004,150,15,153,500,1,,35,CALM,,
FPSO,P-50,ABS,337,55,28,21,SH,279688,Converted,1980,2003,180,85,194,1035,23,10,100,SM,,
FPSO,P-53,,346,57,28,22,SH,322446,Converted,1984,2007,180,210,215,2000,75,,160,IT,P,9
FPSO,P-54,ABS,337,54,28,22,SH,321000,Converted,1979,2007,180,,180,2000,10,,,,,
FPSO,P-57,,,,,,DH,,Converted,2003,2010,180,4,181,1600,80,,52,SM,P,9
FPSO,ARMADA STERLING,ABS,235,42,21,15,DH,107222,Converted,1997,2012,50,,50,580,6,2,70,IT,P,9
FPSO,PAZFLOR,,325,61,32,,DS,396000,New Built,2010,,160,177,190,2000,17,8,,SM,P,16
FPSO,PEREGRINO,,345,58,31,21,DH,277450,Converted,2008,2010,100,13,102,1600,12,,100,STP,,
FPSO,PERINTIS,ABS,242,39,21,16,SH,94237,Converted,1984,1999,35,100,52,640,6,,60,ET,P,6
FPSO,PETROJARL FOINAVEN,DNV,250,34,13,,DH,43276,Converted,1989,2008,140,,,260,15,2,70,IT,P,10
FPSO,PETROJARL VARG,DNV,214,38,21,16,DH,60000,New Built,1998,2002,80,,80,1000,4,2,,IT,,
FPSO,PETROLEO NAUTIPA,DNV,255,44,23,16,SH,141330,Converted,1975,2002,20,3,21,1080,18,,70,SM,P,8
FPSO,PIRANEMA SPIRIT (former Sevan Piranema),DNV,65,65,27,18,,13000,New Built,2006,,25,127,46,250,25,,63,SM,P,9
FPSO,POLVO,ABS,325,55,28,17,SH,257272,Converted,1980,2007,90,7.5,91,1600,6,,75,IT,D,6
FPSO,PSVM FPSO,ABS,318,57,32,23,DH,296200,Converted,1996,2011,157,245,210,2000,18,6,140,ET,P,12
FPSO,PYRENEES VENTURE,,,,,,DH,,Converted,,,96,60,106,850,,,,,D,9
FPSO,ARMADA TGT1 (PERWIRA),ABS,336,48,23,14,DH,112323,Converted,1996,2011,55,,55,620,10,0,100,ET,P,1
FPSO,RAROA,ABS,,,,,,,New Built,2007,,95,83,109,120,10,,60,IT,P,10
FPSO,RUBICON INTREPID,DNV,217,32,19,13,DH,67436,Converted,1981,2007,15,40,22,450,,,36,ET,,
FPSO,RUBICON VANTAGE,DNV,228,32,19,13,,67436,Converted,1987,2008,35,,35,450,,,36,,,
