RIG_NAME,RIG_DESIGN_MODEL,YEAR_DELIVERED,COUNTRY_BUILT,CLASSIFICATION_SOCIETY,MAX_WATER_DEPTH_RATING_FT,MIN_WATER_DEPTH_FT,OVERALL_LEG_LENGTH_FT,SPUD_CAN_DIAMETER_FT,MAX_DRILLING_DEPTH_FT,QUARTERS_CAPACITY,OVERALL_HULL_LENGTH_FT,DERRICK_RATING_KIPS,DRAWWORKS_HP,BOP_OPERATING_PRESSURE_KSI
ABAN VIII,BMC Pacific 375,2008,Singapore,ABS,375,30,506,56,30000,120,245,1600,3000,15
Deep Driller 1,Baker Marine Pacific,2006,Singapore,ABS,375,30,506,55,30000,120,240,1600,3450,15
Deep Driller 2,KFELS Super u2018Bu2019 class,2006,Singapore,ABS,350,30,486,52,35000,120,246,2000,4600,15
Deep Driller 3,KFELS Super u2018Bu2019 class,2006,Singapore,ABS,350,30,486,52,35000,120,246,2000,4600,15
Deep Driller 4,Baker Marine Pacific,2007,Singapore,ABS,375,30,506,55,30000,120,240,1600,3450,15
Deep Driller 5,KFELS Super u2018Bu2019 class,2007,Singapore,ABS,350,30,486,52,35000,120,246,2000,4600,15
Deep Driller 6,KFELS Super u2018Bu2019 class,2008,Singapore,ABS,350,30,486,52,35000,120,246,2000,4600,15
Deep Driller 7,Baker Marine Pacific,2008,Singapore,ABS,375,30,506,55,30000,120,240,1600,3450,15
Deep Driller 8,KFELS Super u2018Bu2019 class,2008,Singapore,ABS,350,30,486,52,35000,120,246,2000,4600,15
Raniworo,BMC 350,,Singapore,ABS,350,30,,55,25000,100,,1250,2000,10
Soehanah,BMC Pacific 375,2007,Singapore,ABS,375,30,505,55,25000,115,326,1400,2800,10
Atwood Beacon,KFELS enhanced u2018Bu2019 class,2003,Singapore,ABS,400,18,517,47,36000,112,234,1500,3300,2
Atwood Mako,BMC Pacific 400,2012,Singapore,ABS,400,,532,55,30000,150,237,1500,,15
Atwood Manta,BMC Pacific 400,2012,Singapore,ABS,400,,532,55,30000,150,237,1500,,15
Atwood Orca,BMC Pacific 400,2012,Singapore,ABS,400,,532,55,30000,150,237,1500,,15
Atwood Aurora,LeTourneau Super 116E,2008,USA,ABS,350,18,477,46,30000,110,243,1500,4500,15
COSL Craft,KFELS u2018Bu2019 class,2007,Singapore,ABS,400,30,517,47,30000,112,234,1500,3450,15
COSL Power,BMC Pacific 375,2006,Singapore,ABS,375,30,506,56,30000,115,236,1500,3450,15
COSL Superior,BMC Pacific 375,2006,Singapore,ABS,375,30,506,56,30000,115,236,1500,3450,15
COSL Boss,KFELS u2018Bu2019 class,2007,Singapore,ABS,400,30,517,47,30000,112,234,1500,3450,15
COSL Force,BMC Pacific 375,2008,Singapore,ABS,375,30,506,56,30000,115,236,1500,3450,15
